node  steadstate_value	DAC
AURKA  0.49368147529320316	-0.01965
BUB1  0.4936814752932033	-0.01965
CAV1  0.006374161618434949	-0.03822
CDC16  0.03136339036028858	-0.10083
CDC20  0.504443999974155	-0.014
CDKN1A  0.03136339036028858	-0.10083
FN1  0.03437946338193201	-0.13187
FZR1  0.012948608047605172	-0.07426
GRB2  0.3104530392693143	-0.02813
HMGA2  0.025319648522078613	-0.0812
PPM1D  0.040377816169837336	-0.15488
RRM2B  0.03136339036028858	-0.10083
TGFA  0.3691124412313496	-0.02979
