source,target,int,,,,,,,
RELA,CSNK2A1:CSNK2A2:CSNK2B:RELA,binding;,reversible,,,,,,
AKT1,CTNNB1,phosphorylation,,,,,,,
CDK5,CTNNB1,phosphorylation,,,,,,,
CDK5,CTNNB1,phosphorylation,,,,,,,
CHUK,CTNNB1,phosphorylation,,,,,,,
CHUK,CTNNB1,phosphorylation,,,,,,,
CREBBP,CTNNB1,acetylation,,,,,,,
CSNK2A1:CSNK2A2:CSNK2B,CTNNB1,activation;,phosphorylation,,,,,,
CSNK2A1:CSNK2A2:CSNK2B,CTNNB1,phosphorylation,,,,,,,
CSNK2A1:CSNK2A2:CSNK2B,CTNNB1,phosphorylation,,,,,,,
DVL2,CTNNB1,activation,,,,,,,
DVL2,CTNNB1,activation,,,,,,,
EGFR,CTNNB1,phosphorylation,,,,,,,
EGFR,CTNNB1,phosphorylation,,,,,,,
EGFR,CTNNB1,phosphorylation,,,,,,,
ERBB2,CTNNB1,phosphorylation,,,,,,,
ERBB2,CTNNB1,phosphorylation,,,,,,,
GSK3B,CTNNB1,phosphorylation,,,,,,,
GSK3B,CTNNB1,phosphorylation,,,,,,,
GSK3B,CTNNB1,phosphorylation,,,,,,,
GSK3B,CTNNB1,phosphorylation,,,,,,,
GSK3B,CTNNB1,phosphorylation,,,,,,,
GSK3B,CTNNB1,phosphorylation,,,,,,,
HIPK2,CTNNB1,phosphorylation,,,,,,,
HIPK2,CTNNB1,phosphorylation,,,,,,,
IKBKB,CTNNB1,phosphorylation,,,,,,,
IKBKB,CTNNB1,phosphorylation,,,,,,,
IKBKB,CTNNB1,phosphorylation,,,,,,,
IKBKB,CTNNB1,phosphorylation,,,,,,,
IQGAP1,CTNNB1,activation;,destabilization,,,,,,
PAK1,CTNNB1,phosphorylation,,,,,,,
PLK1,CTNNB1,phosphorylation,,,,,,,
PTK6,CTNNB1,phosphorylation,,,,,,,
PTPN1,CTNNB1,dephosphorylation, ,,,,,,
PTPN11,CTNNB1,dephosphorylation,,,,,,,
RARA,CTNNB1,activation;,binding,,,,,,
RARB,CTNNB1,activation;,binding,,,,,,
ELK1,CUL1:ELK1:FBXO25:RBX1:SKP1,binding;,reversible,,,,,,
IKBKG,CYLD,phosphorylation,,,,,,,
STAT3,DUSP1,increase,of,abundance,,,,,
ELOC,DVL2,ubiquitination,,,,,,,
CDC25A,EGFR,dephosphorylation,,,,,,,
JUN,EGFR,increase,of,abundance,,,,,
MAPK6,EGFR,phosphorylation,,,,,,,
MAPK6,EGFR,phosphorylation,,,,,,,
MAPK6,EGFR,phosphorylation,,,,,,,
PRMT5,EGFR,methylation,,,,,,,
EIF2AK2,EIF2AK2:PDGFB:PDGFRB,binding;,reversible,,,,,,
PRPF4,ELK1,phosphorylation,,,,,,,
CUL2,ELOC,activation;,binding,,,,,,
AKT1,EP300,phosphorylation,,,,,,,
