name	MDAMB231_1	MDAMB231_2	MDAMB231_3	MDAMB231_4
SKIL	9.2880175	9.00465439	9.41503211	8.7784494
SKP2	8.11575496	9.47960002	8.24740638	9.4728625
SNAI1	4.57236446	4.37059965	4.51695118	4.54677495
SNRPA	10.12556361	10.41144302	10.11868186	10.41470817
SREBF2	11.31700445	10.47658705	11.27224538	10.36692905
SRPK1	11.87608559	12.22525628	11.921514	12.26711277
STAT3	11.16121217	10.91066701	11.16668464	10.91759214
AURKA	10.07625999	11.02582441	10.15813787	11.02671988
STK10	11.14189424	10.9186483	11.12832492	10.85964398
STK11	9.5390478	9.44084595	9.48248334	9.35769019
TACC1	10.56340241	10.8187512	10.50536345	10.82101978
TAF12	7.15977846	6.59399321	7.16454653	6.61137625
MAP3K7	9.6079233	9.7192143	9.64445311	9.74824177
TBL1X	10.01154219	9.69345637	10.00111721	9.71179022
ELOC	9.13252661	9.45703732	9.14889799	9.4929855
TCF3	10.19490836	10.60056882	10.24625873	10.54881364
TGFA	9.32585269	9.4901994	9.39043472	9.47736127
TGFB1	10.95415746	10.22711734	10.90689243	10.14568543
TOP2A	12.20034291	13.02230899	12.2156097	13.04255429
TP53	10.68878512	10.16467823	10.69670021	10.17786866
TPR	11.68570337	11.89113192	11.69653166	11.89382698
UBE2D3	12.3020909	12.36902199	12.34907593	12.41201513
UBE2I	11.06162004	11.21545846	11.08250782	11.23783185
SUMO1	10.53404005	10.56845728	10.59684079	10.65761015
VDR	8.62906473	8.74306202	8.59779342	8.72455881
VIM	14.91051981	14.9283795	14.89815008	14.93748026
WNT5A	7.27943098	7.05354835	7.32592828	6.98595373
YWHAZ	13.71356787	14.00468125	13.78280567	14.07331698
ZBTB17	7.70546597	7.76036154	7.78558574	7.68416989
MAPKAPK3	10.16135851	10.44640892	10.15149271	10.35920422
HMGA2	10.15414979	10.44031877	10.12957795	10.42903337
CUL2	10.00468357	10.37414165	10.08318839	10.25628083
OGT	11.0400896	10.63863733	11.04957979	10.64859566
PPM1D	7.9815259	8.03178156	7.85666132	8.037379
IKBKG	8.50671909	8.3412343	8.43368077	8.2899985
PIAS1	9.48901681	9.5292538	9.50232263	9.38705458
ADAM9	12.61122305	12.57029723	12.59126617	12.5620578
IQGAP1	13.12996793	12.97948348	13.12872321	12.98765982
HDAC3	9.84842798	10.02732455	9.80683273	9.99109486
KAT2B	8.4250292	8.74178568	8.4714171	8.72809997
TAF1B	8.78935208	9.06723578	8.8529473	9.09869806
PRPF4	9.89569949	10.55073206	9.89241052	10.56359256
RPS6KA5	6.39561298	6.38122616	6.66840521	6.63123771
MAPKAPK2	11.01113273	10.89588309	10.9425122	10.87189513
SNAP29	9.45329029	9.4612066	9.46507202	9.38818545
TAOK2	9.14337132	9.22675892	9.09039735	9.21001741
CKAP5	11.98959295	12.4180547	11.97429651	12.42422611
HUWE1	12.20578702	11.93633774	12.20364458	11.94959744
TRIM28	11.58364197	11.99235009	11.52211843	11.96425845
TNK2	8.51793913	8.54859576	8.59566871	8.48196314
STX6	9.73951034	9.63436671	9.83488934	9.61040654
PIAS3	10.24354568	10.10997313	10.23908586	10.15555486
NDC80	8.62731661	9.50133149	8.52874152	9.47593791
YAP1	11.98133922	11.98782551	11.99623729	12.01955676
PRMT5	11.10898263	11.4133153	11.10619933	11.39409242
TAB1	8.35603095	8.2286231	8.24842248	8.21770727
MAD2L2	8.50951978	8.67585363	8.46922819	8.77190986
PMVK	7.86935154	7.74863493	7.95057324	7.89242724
MAP3K2	10.21697763	9.87982852	10.16691183	9.99555373
COPS5	8.94327152	9.26222639	9.00733478	9.25176257
TRIOBP	10.06868671	9.6814374	9.93770481	9.67818635
CDC37	11.41560169	11.74081143	11.37910807	11.70449286
CHEK2	6.30397029	6.52340142	6.46349368	6.77854243
DKK1	11.9934999	12.2428136	11.99032888	12.26843577
