name	MCF10A_1	MCF10A_2	MCF10A_3	MCF10A_4	MDAMB231_1	MDAMB231_2	MDAMB231_3	MDAMB231_4
ABL1	10.85909265	10.54758773	10.8229175	10.80052128	10.43212696	10.34419772	10.40961649	10.40620234
AKT1	10.87854288	11.12959373	10.84834298	11.09126581	11.00299793	11.10279088	10.97003065	11.08088504
ANXA1	12.53572044	12.52835018	12.5116432	12.51662501	12.69916974	12.93889502	12.68756295	12.89386241
XIAP	9.92130855	9.98028419	9.98858031	10.02928562	9.75297909	9.89960228	10.20839042	9.9142735
ARAF	9.67406882	9.58216567	9.60633084	9.50498289	10.240188	10.03549422	10.15722626	9.97524408
RHOA	12.23696881	12.64192256	12.31839757	12.66071983	12.33631176	12.29629639	12.86848139	12.32642896
ATF3	3.98454475	4.12597474	3.89776881	4.18451486	6.20894753	5.35673255	6.12564438	5.47655783
ATM	9.95175527	9.81445705	10.02676493	9.7367863	9.35638607	9.24476473	9.43668613	9.32319074
BGN	10.82651449	11.08147402	10.81186077	10.99981602	7.10972577	7.01833752	7.11089048	6.99693186
BRAF	7.39768079	7.29180005	7.50655158	7.31912852	7.79811997	7.4909092	7.72919646	7.44341041
BUB1	8.9960703	9.04342394	8.93765768	9.05557321	10.00518402	11.00037269	10.00685052	10.92700709
CASP3	9.11876932	9.24180116	9.14162317	9.33438814	8.70824665	9.24353871	8.77409855	8.21034562
CCNG2	9.91295671	9.23919459	9.92632315	9.28975042	9.16623711	7.94878423	9.19646467	8.02880686
CDK1	8.84180243	9.05763053	8.92192969	9.19608289	9.62796343	10.51774537	9.67349219	10.59559991
CDC20	9.14836294	9.06764215	9.15691568	9.0057433	9.86725022	11.07816171	9.78547988	11.03023357
CDC25A	6.17994489	7.33640364	6.37183813	7.29922861	7.58012417	8.93389866	7.70697159	8.91308668
CDC25C	7.0103056	6.69419494	7.02930229	6.64423715	7.59931277	8.00383669	7.464584	8.08129419
CDK5	7.74252955	7.66314385	7.64747928	7.52548504	7.56923872	7.52417779	7.51247675	7.49632838
CDK6	9.84542369	10.36969223	9.88159711	10.52587356	10.1461377	10.51827644	10.22694147	10.54049906
CDKN1A	11.0819773	11.48880317	11.04156746	11.45238044	10.26198327	10.31263049	10.23178914	10.29359336
CHEK1	9.00929659	9.00020139	8.95421678	9.10290123	9.28040524	9.85249514	9.18937548	9.91402203
CHUK	8.67286388	8.94631436	8.57770421	8.94887346	9.06457347	9.39466611	9.09936618	9.48121122
COL13A1	5.40226199	5.61880403	5.21570547	5.53804622	8.15579664	8.67591491	8.18360183	8.55843161
CREB1	9.59146322	9.63138285	9.55836309	9.65135197	9.68096451	9.8428979	9.67827441	9.8395944
CREBBP	10.7463486	10.47008504	10.68657144	10.43364564	10.54136875	10.23342861	10.51466271	10.2621034
MAPK14	10.16160359	9.97673021	10.38359303	10.23554168	10.70327976	10.85405259	10.83525762	10.59174235
CSNK1E	10.81408273	10.75158666	10.69614236	10.72634825	10.58819241	10.50757384	10.62867692	10.46236081
CSNK2A1	11.38865827	11.36149185	11.4376387	11.35452178	11.32495622	11.35214219	11.38016412	11.38795236
CTNNB1	12.49892803	12.86679471	12.48924827	12.83456686	12.17006454	12.15239972	12.21129594	12.16066965
CYLD	9.35474623	9.27517988	9.29188316	9.2094446	9.0513774	8.8863578	8.98990073	8.83045668
CD55	9.62231571	9.54546282	9.55541435	9.42115877	11.29082979	11.05433626	11.25633557	11.06378184
DUSP1	11.85000994	11.2851079	11.86648159	11.26863547	11.15424737	10.85263745	11.16553183	10.8775162
DVL2	9.38237398	9.31548106	9.41781499	9.33722771	9.41404689	9.38463088	9.46423581	9.39753701
EGFR	11.28517709	11.31796053	11.2861289	11.27624889	12.0248955	11.59971321	11.97651499	11.60006279
ELK1	9.89093696	9.97883636	9.77128973	9.50322183	9.74989501	10.34831963	9.84899861	10.32385729
EP300	10.06814332	9.95246848	9.97963155	9.8688416	10.32748851	9.91167961	10.27208568	9.87768157
ERBB2	10.68412439	10.55468777	10.68411982	10.43209314	9.96119873	9.87067082	9.96366265	9.89706347
ERBB3	6.69191254	4.96396701	6.47085068	4.74168821	4.60167341	4.34925191	4.66686852	3.94672304
