"SUID","consensus_direction","consensus_inhibition","consensus_stimulation","interaction","is_directed","is_inhibition","is_stimulation","name","references","selected","shared interaction","shared name","source","sources","target"
"26615","1","1","0","interacts with","1","1","0","TWIST1 (interacts with) CDH1","15311212;21876555;20053763;22899291;19581928;15311212;21876555;20053763;22899291;19581928","false","interacts with","TWIST1 (interacts with) CDH1","Q15672","TFe;trrust","P12830"
"26617","1","0","1","interacts with","1","0","1","CDX1 (interacts with) PPARG","19059241;19059241","false","interacts with","CDX1 (interacts with) PPARG","P47902","tfact;trrust","P37231"
"26618","1","0","1","interacts with","1","0","1","LEF1 (interacts with) CDX1","10934025;11997022;12446687;10934025;11997022;12446687","false","interacts with","LEF1 (interacts with) CDX1","Q9UJU2","ReMap;tfact","P47902"
"26620","1","0","1","interacts with","1","0","1","EGR1 (interacts with) CD44","8628295;8628295;8628295","false","interacts with","EGR1 (interacts with) CD44","P18146","PAZAR;tfact;tred_via_RegNetwork","P16070"
"26621","1","0","1","interacts with","1","0","1","TCF7L2 (interacts with) CD44","12782598;18483247;10027409;12782598;18483247;10027409","false","interacts with","TCF7L2 (interacts with) CD44","Q9NQB0","ReMap;tfact","P16070"
"26622","1","0","1","interacts with","1","0","1","SP1 (interacts with) CD44","12972613;12972613;12972613","false","interacts with","SP1 (interacts with) CD44","P08047","ReMap;tred_via_RegNetwork;trrust","P16070"
"26623","1","0","1","interacts with","1","0","1","USF1 (interacts with) SERPINE1","16902162;16902162;16902162","false","interacts with","USF1 (interacts with) SERPINE1","P22415","ReMap;tred_via_RegNetwork;trrust","P05121"
"26624","1","0","1","interacts with","1","0","1","HIF1A (interacts with) SERPINE1","17570486;14567996;11877282;17570486;14567996;11877282;17570486;14567996;11877282;17570486;14567996;11877282;17570486;14567996;11877282;17570486;14567996;11877282","false","interacts with","HIF1A (interacts with) SERPINE1","Q16665","ARACNe-GTEx;PAZAR;kegg;tfact;tred_via_RegNetwork;trrust","P05121"
"26625","1","0","1","interacts with","1","0","1","SMAD4 (interacts with) SERPINE1","9765209;9765209;9765209","false","interacts with","SMAD4 (interacts with) SERPINE1","Q13485","kegg;tred_via_RegNetwork;trrust","P05121"
"26626","1","0","1","interacts with","1","0","1","RELA (interacts with) SERPINE1","12675842;11757833;12675842;11757833;12675842;11757833","false","interacts with","RELA (interacts with) SERPINE1","Q04206","ReMap;kegg;trrust","P05121"
"26627","1","0","1","interacts with","1","0","1","NFKB1 (interacts with) SERPINE1","12675842;11757833;12675842;11757833","false","interacts with","NFKB1 (interacts with) SERPINE1","P19838","kegg;trrust","P05121"
"26628","1","0","1","interacts with","1","0","1","SP1 (interacts with) SERPINE1","8342330;1634545;15039136;8342330;1634545;15039136;8342330;1634545;15039136;8342330;1634545;15039136","false","interacts with","SP1 (interacts with) SERPINE1","P08047","HTRIdb;tred_via_RegNetwork;trrd_via_tfact;trrust","P05121"
"26630","1","0","1","interacts with","1","0","1","ARNTL2 (interacts with) SERPINE1","22198637;22198637","false","interacts with","ARNTL2 (interacts with) SERPINE1","Q8WYA1","ARACNe-GTEx;trrust","P05121"
"26631","1","0","1","interacts with","1","0","1","PPARA (interacts with) SERPINE1","15631825;15631825","false","interacts with","PPARA (interacts with) SERPINE1","Q07869","tred_via_RegNetwork;trrust","P05121"
