"SUID","consensus_direction","consensus_inhibition","consensus_stimulation","interaction","is_directed","is_inhibition","is_stimulation","name","references","selected","shared interaction","shared name","source","sources","target"
"23802","1","0","1","interacts with","1","0","1","E2F1 (interacts with) TK1","11799067;11799067;11799067","false","interacts with","E2F1 (interacts with) TK1","Q01094","ARACNe-GTEx;tfact;tred_via_RegNetwork","P04183"
"23804","1","0","1","interacts with","1","0","1","E2F4 (interacts with) TK1","11799067;11799067;11799067;11799067","false","interacts with","E2F4 (interacts with) TK1","Q16254","PAZAR;ReMap;tfact;tred_via_RegNetwork","P04183"
"23806","1","0","1","interacts with","1","0","1","MYB (interacts with) TK1","1944282;1944282","false","interacts with","MYB (interacts with) TK1","P10242","tred_via_RegNetwork;trrust","P04183"
"23809","1","0","1","interacts with","1","0","1","HNF4A (interacts with) G6PC","15933209;15933209;15933209;15933209","false","interacts with","HNF4A (interacts with) G6PC","P41235","ARACNe-GTEx;PAZAR;kegg;oreganno","P35575"
"23811","1","0","1","interacts with","1","0","1","HNF1A (interacts with) G6PC","15933209;15933209;15933209;15933209","false","interacts with","HNF1A (interacts with) G6PC","P20823","PAZAR;hocomoco_v11;jaspar_v2018;oreganno","P35575"
"23814","1","0","1","interacts with","1","0","1","GATA2 (interacts with) GPR146","22951020;22951020","false","interacts with","GATA2 (interacts with) GPR146","P23769","ARACNe-GTEx;oreganno","Q96CH1"
"23817","1","1","0","interacts with","1","1","0","TP53 (interacts with) HSP90AB1","15284248;15284248;15284248;15284248","false","interacts with","TP53 (interacts with) HSP90AB1","P04637","ARACNe-GTEx;tfact;tred_via_RegNetwork;trrust","P08238"
"23820","1","0","1","interacts with","1","0","1","YY1 (interacts with) WDR82","22951020;22951020","false","interacts with","YY1 (interacts with) WDR82","P25490","ARACNe-GTEx;oreganno","Q6UXN9"
"23823","1","0","1","interacts with","1","0","1","NFKB2 (interacts with) SELP","7559449;7559449","false","interacts with","NFKB2 (interacts with) SELP","Q00653","tred_via_RegNetwork;trrust","P16109"
"23825","1","0","1","interacts with","1","0","1","NFKB2 (interacts with) SND1","20363924;20363924","false","interacts with","NFKB2 (interacts with) SND1","Q00653","ReMap;trrust","Q7KZF4"
"23827","1","0","1","interacts with","1","0","1","NFKB2 (interacts with) CDK6","18504428;18504428","false","interacts with","NFKB2 (interacts with) CDK6","Q00653","ReMap;trrust","Q00534"
"23829","1","0","1","interacts with","1","0","1","NFKB2 (interacts with) CCL21","20953353;20953353","false","interacts with","NFKB2 (interacts with) CCL21","Q00653","kegg;trrust","O00585"
"23831","1","0","1","interacts with","1","0","1","NFKB2 (interacts with) CCND2","18504428;18504428;18504428","false","interacts with","NFKB2 (interacts with) CCND2","Q00653","ARACNe-GTEx;ReMap;trrust","P30279"
"23833","1","0","1","interacts with","1","0","1","NFKB2 (interacts with) CXCL8","15079071;15079071","false","interacts with","NFKB2 (interacts with) CXCL8","Q00653","tfact;tred_via_RegNetwork","P10145"
"23836","1","0","1","interacts with","1","0","1","HOPX (interacts with) FLG","21256618;21256618","false","interacts with","HOPX (interacts with) FLG","Q9BPY8","ARACNe-GTEx;trrust","P20930"
"23839","1","1","0","interacts with","1","1","0","NFKBIA (interacts with) IL1B","15228586;15228586","false","interacts with","NFKBIA (interacts with) IL1B","P25963","ARACNe-GTEx;trrust","P01584"
"23841","0","0","0","interacts with","1","1","0","NFKBIA (interacts with) RELA","11278471;18606063;17709515;12885753;17362989;25759022;18045535;24634218;20173029;16280327;8262046;11278471;18606063;17709515;12885753;17362989;25759022;18045535;24634218;20173029;16280327;8262046","false","interacts with","NFKBIA (interacts with) RELA","P25963","ARACNe-GTEx;trrust","Q04206"
"23842","1","0","1","interacts with","1","0","1","RELA (interacts with) NFKBIA","11278471;18606063;17709515;12885753;17362989;25759022;18045535;24634218;20173029;16280327;8262046;11278471;18606063;17709515;12885753;17362989;25759022;18045535;24634218;20173029;16280327;8262046;17709515;12885753;17362989;25759022;18045535;24634218;16280327;8262046;17709515;12885753;17362989;25759022;18045535;24634218;16280327;8262046;17709515;12885753;17362989;25759022;18045535;24634218;16280327;8262046;17709515;12885753;17362989;25759022;18045535;24634218;16280327;8262046;17709515;12885753;17362989;25759022;18045535;24634218;16280327;8262046;17709515;12885753;17362989;25759022;18045535;24634218;16280327;8262046;17709515;12885753;17362989;25759022;18045535;24634218;16280327;8262046","false","interacts with","RELA (interacts with) NFKBIA","Q04206","ARACNe-GTEx;IntAct;ReMap;fantom4;hocomoco_v11;jaspar_v2018;kegg;tred_via_RegNetwork;trrust","P25963"
"23844","1","0","1","interacts with","1","0","1","NFKB1 (interacts with) NFKBIA","17709515;12885753;8262046;17709515;12885753;8262046;17709515;12885753;8262046;17709515;12885753;8262046;17709515;11278471;18606063;12885753;20173029;8262046","false","interacts with","NFKB1 (interacts with) NFKBIA","P19838","IntAct;fantom4;kegg;tred_via_RegNetwork;trrust","P25963"
"23845","0","0","0","interacts with","1","1","0","NFKBIA (interacts with) NFKB1","17709515;11278471;18606063;12885753;20173029;8262046;11278471;20173029;18606063","false","interacts with","NFKBIA (interacts with) NFKB1","P25963","ARACNe-GTEx;trrust","P19838"
"23847","1","1","0","interacts with","1","1","0","NFKBIA (interacts with) ICAM1","9990039;12490396;9733827;9990039;12490396;9733827","false","interacts with","NFKBIA (interacts with) ICAM1","P25963","ARACNe-GTEx;trrust","P05362"
"23849","1","0","1","interacts with","1","0","1","NFKBIA (interacts with) PON2","19401157;19401157","false","interacts with","NFKBIA (interacts with) PON2","P25963","ReMap;trrust","Q15165"
"23851","1","0","1","interacts with","1","0","1","PPARA (interacts with) NFKBIA","14976045;14976045","false","interacts with","PPARA (interacts with) NFKBIA","Q07869","tred_via_RegNetwork;trrust","P25963"
"23854","1","0","1","interacts with","1","0","1","FOXO1 (interacts with) DAPK1","12351634;12351634","false","interacts with","FOXO1 (interacts with) DAPK1","Q12778","jaspar_v2018;tfact","P53355"
"23857","1","1","0","interacts with","1","1","0","SOX2 (interacts with) ISL1","20739473;20739473","false","interacts with","SOX2 (interacts with) ISL1","P48431","jaspar_v2018;trrust","P61371"
"23860","1","0","1","interacts with","1","0","1","IRF1 (interacts with) HLA-A","19428110;19428110;19428110;19428110","false","interacts with","IRF1 (interacts with) HLA-A","P10914","ARACNe-GTEx;hocomoco_v11;jaspar_v2018;trrust","P13746"
"23862","1","1","0","interacts with","1","1","0","PAX2 (interacts with) TP53","8521821;8521821;8521821","false","interacts with","PAX2 (interacts with) TP53","Q02962","jaspar_v2018;tred_via_RegNetwork;trrust","P04637"
"23864","1","1","0","interacts with","1","1","0","WT1 (interacts with) PAX2","9916932;9738017;9178767;9916932;9738017;9178767","false","interacts with","WT1 (interacts with) PAX2","P19544","tred_via_RegNetwork;trrust","Q02962"
"23867","1","0","1","interacts with","1","0","1","FOXA1 (interacts with) NF1","8495744;8495744","false","interacts with","FOXA1 (interacts with) NF1","P55317","PAZAR;trrust","P21359"
"23869","1","0","1","interacts with","1","0","1","IRF8 (interacts with) NF1","15371411;15371411","false","interacts with","IRF8 (interacts with) NF1","Q02556","hocomoco_v11;trrust","P21359"
"23871","1","0","1","interacts with","1","0","1","TP53 (interacts with) LITAF","10321740;10321740;10321740;10321740","false","interacts with","TP53 (interacts with) LITAF","P04637","PAZAR;ReMap;tfact;tred_via_RegNetwork","Q99732"
"23873","1","1","0","interacts with","1","1","0","BCL6 (interacts with) LITAF","23795761;23795761","false","interacts with","BCL6 (interacts with) LITAF","P41182","ReMap;trrust","Q99732"
"23875","1","0","1","interacts with","1","0","1","GATA2 (interacts with) PPP1R15A","22951020;22951020","false","interacts with","GATA2 (interacts with) PPP1R15A","P23769","PAZAR;oreganno","O75807"
"23877","1","0","1","interacts with","1","0","1","TP53 (interacts with) SERTAD1","15843459;15843459","false","interacts with","TP53 (interacts with) SERTAD1","P04637","PAZAR;oreganno","Q9UHV2"
"23879","1","1","0","interacts with","1","1","0","TP53 (interacts with) S100B","15178678;15178678;15178678","false","interacts with","TP53 (interacts with) S100B","P04637","tfact;tred_via_RegNetwork;trrust","P04271"
"23882","1","0","1","interacts with","1","0","1","NR1I3 (interacts with) UGT1A1","18172616;11343253;18172616;11343253","false","interacts with","NR1I3 (interacts with) UGT1A1","Q14994","HTRIdb;trrust","P22309"
"23883","1","0","1","interacts with","1","0","1","HNF1A (interacts with) UGT1A1","18172616;18172616;18172616","false","interacts with","HNF1A (interacts with) UGT1A1","P20823","hocomoco_v11;jaspar_v2018;trrust","P22309"
"23886","1","0","1","interacts with","1","0","1","AR (interacts with) DHX15","11867260;11867260","false","interacts with","AR (interacts with) DHX15","P10275","hocomoco_v11;tfact","O43143"
"23888","1","0","1","interacts with","1","0","1","TP53 (interacts with) CAV1","10684646;18431400;10684646;18431400;10684646;18431400;10684646;18431400","false","interacts with","TP53 (interacts with) CAV1","P04637","reviews;tfact;tred_via_RegNetwork;trrust","Q03135"
"23891","1","0","1","interacts with","1","0","1","ESR1 (interacts with) TAC3","14592957;14592957","false","interacts with","ESR1 (interacts with) TAC3","P03372","tred_via_RegNetwork;trrust","Q9UHF0"
"23894","1","0","1","interacts with","1","0","1","MYC (interacts with) AIMP2","11085504;11085504;11085504","false","interacts with","MYC (interacts with) AIMP2","P01106","jaspar_v2018;tfact;tred_via_RegNetwork","Q13155"
"23897","1","0","1","interacts with","1","0","1","USF1 (interacts with) B2M","12480693;12480693","false","interacts with","USF1 (interacts with) B2M","P22415","tred_via_RegNetwork;trrust","P61769"
"23899","1","0","1","interacts with","1","0","1","USF2 (interacts with) B2M","12480693;12480693","false","interacts with","USF2 (interacts with) B2M","Q15853","tred_via_RegNetwork;trrust","P61769"
"23900","1","0","1","interacts with","1","0","1","NFKB1 (interacts with) B2M","12480693;12480693;12480693","false","interacts with","NFKB1 (interacts with) B2M","P19838","tfact;tred_via_RegNetwork;trrust","P61769"
"23903","1","1","0","interacts with","1","1","0","STAT1 (interacts with) PRKCE","24825907;24825907;24825907;24825907","false","interacts with","STAT1 (interacts with) PRKCE","P42224","IntAct;PAZAR;ReMap;trrust","Q02156"
"23905","1","1","0","interacts with","1","1","0","SP1 (interacts with) PRKCE","24825907;24825907;24825907","false","interacts with","SP1 (interacts with) PRKCE","P08047","IntAct;ReMap;trrust","Q02156"
"23908","1","0","1","interacts with","1","0","1","ATF6 (interacts with) DNAJC3","12601012;12601012","false","interacts with","ATF6 (interacts with) DNAJC3","P18850","ARACNe-GTEx;trrust","Q13217"
"23911","1","0","1","interacts with","1","0","1","ARNT (interacts with) CYP1B1","12801909;19287966;16115918;12801909;19287966;16115918","false","interacts with","ARNT (interacts with) CYP1B1","P27540","HTRIdb;trrust","Q16678"
"23913","0","0","0","interacts with","1","1","0","ARNT (interacts with) FOS","21544813","false","interacts with","ARNT (interacts with) FOS","P27540","trrust","P01100"
"23915","1","0","1","interacts with","1","0","1","ARNT (interacts with) EPO","8663540;8663540","false","interacts with","ARNT (interacts with) EPO","P27540","kegg;trrust","P01588"
"23917","1","1","0","interacts with","1","1","0","NFIL3 (interacts with) IL1B","8547328;8547328","false","interacts with","NFIL3 (interacts with) IL1B","Q16649","HTRIdb;trrust","P01584"
"23920","1","0","1","interacts with","1","0","1","CEBPA (interacts with) GLS2","12444921;12444921","false","interacts with","CEBPA (interacts with) GLS2","P49715","PAZAR;tfact","Q9UI32"
"23922","1","0","1","interacts with","1","0","1","E2F1 (interacts with) CDC25A","11799067;11799067;11799067;11799067;11799067","false","interacts with","E2F1 (interacts with) CDC25A","Q01094","ARACNe-GTEx;PAZAR;jaspar_v2018;tfact;tred_via_RegNetwork","P30304"
"23923","1","0","1","interacts with","1","0","1","E2F4 (interacts with) CDC25A","11799067;11799067;11799067;11799067","false","interacts with","E2F4 (interacts with) CDC25A","Q16254","PAZAR;ReMap;tfact;tred_via_RegNetwork","P30304"
"23925","1","0","1","interacts with","1","0","1","HMGA1 (interacts with) CDC25A","22249617;22249617","false","interacts with","HMGA1 (interacts with) CDC25A","P17096","ARACNe-GTEx;trrust","P30304"
"23927","1","1","0","interacts with","1","1","0","NANOG (interacts with) CDC25A","19139263;17761754;19139263;17761754","false","interacts with","NANOG (interacts with) CDC25A","Q9H9S0","HTRIdb;trrust","P30304"
"23930","1","0","1","interacts with","1","0","1","CREB1 (interacts with) CDK11A","15087126;15087126","false","interacts with","CREB1 (interacts with) CDK11A","P16220","tfact;tred_via_RegNetwork","Q9UQ88"
"23932","1","0","1","interacts with","1","0","1","ETS1 (interacts with) CDK11A","15087126;15087126;15087126","false","interacts with","ETS1 (interacts with) CDK11A","P14921","PAZAR;tfact;tred_via_RegNetwork","Q9UQ88"
"23935","1","0","1","interacts with","1","0","1","SP3 (interacts with) TFF1","18543253;15987735;15541729;18543253;15987735;15541729","false","interacts with","SP3 (interacts with) TFF1","Q02447","HTRIdb;trrust","P04155"
"23936","1","0","1","interacts with","1","0","1","ESR1 (interacts with) TFF1","18543253;16651411;25303530;15304487;15380516;19487245;11517191;15541729;18543253;16651411;25303530;15304487;15380516;19487245;11517191;15541729;18543253;16651411;25303530;15304487;15380516;19487245;11517191;15541729;18543253;16651411;25303530;15304487;15380516;19487245;11517191;15541729;18543253;16651411;25303530;15304487;15380516;19487245;11517191;15541729","false","interacts with","ESR1 (interacts with) TFF1","P03372","HTRIdb;IntAct;PAZAR;tred_via_RegNetwork;trrust","P04155"
"23938","1","0","1","interacts with","1","0","1","ESR2 (interacts with) TFF1","11517191;11517191","false","interacts with","ESR2 (interacts with) TFF1","Q92731","jaspar_v2018;trrust","P04155"
"23939","1","0","1","interacts with","1","0","1","IRF1 (interacts with) HLA-A","19428110;19428110;19428110;19428110","false","interacts with","IRF1 (interacts with) HLA-A","P10914","ARACNe-GTEx;hocomoco_v11;jaspar_v2018;trrust","P16188"
"23942","1","0","1","interacts with","1","0","1","EGR1 (interacts with) PCSK2","9359835;9359835;9359835","false","interacts with","EGR1 (interacts with) PCSK2","P18146","PAZAR;tred_via_RegNetwork;trrust","P16519"
"23944","1","1","0","interacts with","1","1","0","PPARA (interacts with) UCP1","11875072;11875072;11875072","false","interacts with","PPARA (interacts with) UCP1","Q07869","kegg;tred_via_RegNetwork;trrust","P25874"
"23946","1","0","1","interacts with","1","0","1","YY1 (interacts with) NARS","22951020;22951020","false","interacts with","YY1 (interacts with) NARS","P25490","hocomoco_v11;oreganno","O43776"
"23948","1","0","1","interacts with","1","0","1","RELA (interacts with) IL12A","18690006;18690006","false","interacts with","RELA (interacts with) IL12A","Q04206","kegg;trrust","P29459"
"23949","1","0","1","interacts with","1","0","1","NFKB1 (interacts with) IL12A","18690006;18690006","false","interacts with","NFKB1 (interacts with) IL12A","P19838","kegg;trrust","P29459"
"23952","1","0","1","interacts with","1","0","1","STAT6 (interacts with) ALOX15","12517954;12517954;12517954","false","interacts with","STAT6 (interacts with) ALOX15","P42226","hocomoco_v11;jaspar_v2018;trrust","P16050"
"23954","1","0","1","interacts with","1","0","1","STAT6 (interacts with) CCL17","16810739;18191727;16810739;18191727","false","interacts with","STAT6 (interacts with) CCL17","P42226","HTRIdb;trrust","Q92583"
"23956","1","0","1","interacts with","1","0","1","STAT6 (interacts with) SLC26A4","24429829;24429829;24429829","false","interacts with","STAT6 (interacts with) SLC26A4","P42226","hocomoco_v11;jaspar_v2018;trrust","O43511"
"23958","1","0","1","interacts with","1","0","1","STAT6 (interacts with) RHOA","19857574;19857574","false","interacts with","STAT6 (interacts with) RHOA","P42226","jaspar_v2018;trrust","P61586"
"23959","1","0","1","interacts with","1","0","1","STAT6 (interacts with) FOS","11922943;7588632;11922943;7588632","false","interacts with","STAT6 (interacts with) FOS","P42226","fantom4;trrust","P01100"
"23961","1","0","1","interacts with","1","0","1","STAT6 (interacts with) IL4","16647686;20214667;12082548;16647686;20214667;12082548","false","interacts with","STAT6 (interacts with) IL4","P42226","kegg;trrust","P05112"
"23963","1","0","1","interacts with","1","0","1","TP53 (interacts with) PTTG1","12355087;12355087","false","interacts with","TP53 (interacts with) PTTG1","P04637","tred_via_RegNetwork;trrust","O95997"
"23964","1","0","1","interacts with","1","0","1","SP1 (interacts with) PTTG1","14644503;18339849;14644503;18339849","false","interacts with","SP1 (interacts with) PTTG1","P08047","fantom4;trrust","O95997"
"23966","1","0","1","interacts with","1","0","1","E2F1 (interacts with) CTNND2","18302937;18302937","false","interacts with","E2F1 (interacts with) CTNND2","Q01094","PAZAR;tfact","Q9UQB3"
"23968","1","0","1","interacts with","1","0","1","CEBPA (interacts with) ADH1B","1620113;1620113","false","interacts with","CEBPA (interacts with) ADH1B","P49715","PAZAR;tfact","P00325"
"23971","1","0","1","interacts with","1","0","1","STAT5A (interacts with) LONP1","15528381;15528381","false","interacts with","STAT5A (interacts with) LONP1","P42229","ReMap;tfact","P36776"
"23973","1","0","1","interacts with","1","0","1","EGR1 (interacts with) FN1","9933644;10783396;15608673;9933644;10783396;15608673;9933644;10783396;15608673;9933644;10783396;15608673;9933644;10783396;15608673","false","interacts with","EGR1 (interacts with) FN1","P18146","HTRIdb;PAZAR;tfact;tred_via_RegNetwork;trrust","P02751"
"23974","1","1","0","interacts with","1","1","0","RELA (interacts with) FN1","10867646;10649441;25314079;10867646;10649441;25314079;10867646;10649441;25314079;10867646;10649441;25314079;10867646;10649441;25314079","false","interacts with","RELA (interacts with) FN1","Q04206","IntAct;ReMap;tfact;tred_via_RegNetwork;trrust","P02751"
"23975","1","1","0","interacts with","1","1","0","NFKB1 (interacts with) FN1","10867646;10649441;10867646;10649441;10867646;10649441","false","interacts with","NFKB1 (interacts with) FN1","P19838","tfact;tred_via_RegNetwork;trrust","P02751"
"23978","1","1","0","interacts with","1","1","0","TCFL5 (interacts with) CD2","12923186;12923186","false","interacts with","TCFL5 (interacts with) CD2","Q9UL49","HTRIdb;trrust","P06729"
"23979","1","0","1","interacts with","1","0","1","USF1 (interacts with) CD2","7929376;7929376","false","interacts with","USF1 (interacts with) CD2","P22415","tred_via_RegNetwork;trrust","P06729"
"23980","1","0","1","interacts with","1","0","1","USF2 (interacts with) CD2","7929376;7929376","false","interacts with","USF2 (interacts with) CD2","Q15853","tred_via_RegNetwork;trrust","P06729"
"23983","1","1","0","interacts with","1","1","0","TFAP2A (interacts with) HGF","10860846;10860846","false","interacts with","TFAP2A (interacts with) HGF","P05549","hocomoco_v11;trrust","P14210"
"23985","1","1","0","interacts with","1","1","0","TFAP2A (interacts with) HOXA4","8759021;8759021","false","interacts with","TFAP2A (interacts with) HOXA4","P05549","tred_via_RegNetwork;trrust","Q00056"
"23987","1","1","0","interacts with","1","1","0","TFAP2A (interacts with) ACHE","7559515;7559515;7559515","false","interacts with","TFAP2A (interacts with) ACHE","P05549","PAZAR;tred_via_RegNetwork;trrust","P22303"
"23989","1","0","1","interacts with","1","0","1","TFAP2A (interacts with) CDKN1A","20805990;20805990","false","interacts with","TFAP2A (interacts with) CDKN1A","P05549","tred_via_RegNetwork;trrust","P38936"
"23991","1","1","0","interacts with","1","1","0","TFAP2A (interacts with) BCL2","12391156;16533807;12391156;16533807","false","interacts with","TFAP2A (interacts with) BCL2","P05549","HTRIdb;trrust","P10415"
"23993","0","0","0","interacts with","1","1","0","TFAP2A (interacts with) KLF12","9858544;10704285;11373277","false","interacts with","TFAP2A (interacts with) KLF12","P05549","trrust","Q9Y4X4"
"23994","1","1","0","interacts with","1","1","0","KLF12 (interacts with) TFAP2A","9858544;10704285;11373277;9858544;10704285;11373277","false","interacts with","KLF12 (interacts with) TFAP2A","Q9Y4X4","fantom4;trrust","P05549"
"23996","1","0","1","interacts with","1","0","1","TFAP2A (interacts with) TAF7","12364593;12364593;12364593","false","interacts with","TFAP2A (interacts with) TAF7","P05549","HTRIdb;tred_via_RegNetwork;trrust","Q15545"
"23998","1","1","0","interacts with","1","1","0","TFAP2A (interacts with) HSD17B1","9231796;9231796","false","interacts with","TFAP2A (interacts with) HSD17B1","P05549","tred_via_RegNetwork;trrust","P14061"
"24000","1","0","1","interacts with","1","0","1","TFAP2A (interacts with) IGFBP5","7559606;7559606","false","interacts with","TFAP2A (interacts with) IGFBP5","P05549","HTRIdb;trrust","P24593"
"24002","1","0","1","interacts with","1","0","1","TFAP2A (interacts with) ERBB2","15870067;10698518;18218085;22577344;15870067;10698518;18218085;22577344;15870067;10698518;18218085;22577344;15870067;10698518;18218085;22577344","false","interacts with","TFAP2A (interacts with) ERBB2","P05549","ARACNe-GTEx;tfact;tred_via_RegNetwork;trrust","P04626"
"24004","1","0","1","interacts with","1","0","1","TFAP2A (interacts with) NME3","9067290;9067290;9067290","false","interacts with","TFAP2A (interacts with) NME3","P05549","HTRIdb;tred_via_RegNetwork;trrust","Q13232"
"24006","1","0","1","interacts with","1","0","1","TFAP2A (interacts with) NR3C1","7794935;7794935;7794935","false","interacts with","TFAP2A (interacts with) NR3C1","P05549","fantom4;tred_via_RegNetwork;trrust","P04150"
"24008","1","0","1","interacts with","1","0","1","TFAP2A (interacts with) SLC19A1","12228234;12228234;12228234","false","interacts with","TFAP2A (interacts with) SLC19A1","P05549","ReMap;tred_via_RegNetwork;trrust","P41440"
"24010","1","0","1","interacts with","1","0","1","TFAP2A (interacts with) PRKCA","12269829;12269829","false","interacts with","TFAP2A (interacts with) PRKCA","P05549","tred_via_RegNetwork;trrust","P17252"
"24012","1","0","1","interacts with","1","0","1","TFAP2A (interacts with) CRABP2","17187826;17187826","false","interacts with","TFAP2A (interacts with) CRABP2","P05549","tred_via_RegNetwork;trrust","P29373"
"24014","1","0","1","interacts with","1","0","1","TFAP2A (interacts with) VEGFA","9049304;9049304;9049304;9049304","false","interacts with","TFAP2A (interacts with) VEGFA","P05549","HTRIdb;ReMap;tred_via_RegNetwork;trrust","P15692"
"24016","1","0","1","interacts with","1","0","1","TFAP2A (interacts with) KRT5","12024040;12024040;12024040","false","interacts with","TFAP2A (interacts with) KRT5","P05549","ARACNe-GTEx;tred_via_RegNetwork;trrust","P13647"
"24017","0","0","0","interacts with","1","0","1","TFAP2A (interacts with) ETS1","1945412;12843180;1945412;12843180","false","interacts with","TFAP2A (interacts with) ETS1","P05549","tred_via_RegNetwork;trrust","P14921"
"24018","1","0","1","interacts with","1","0","1","ETS1 (interacts with) TFAP2A","12843180;1945412;12843180;1945412;12843180","false","interacts with","ETS1 (interacts with) TFAP2A","P14921","fantom4;tred_via_RegNetwork;trrust","P05549"
"24020","1","0","1","interacts with","1","0","1","TFAP2A (interacts with) CDH1","12391156;17224907;12391156;17224907;12391156;17224907","false","interacts with","TFAP2A (interacts with) CDH1","P05549","ARACNe-GTEx;HTRIdb;trrust","P12830"
"24021","1","0","1","interacts with","1","0","1","IRF1 (interacts with) HLA-A","19428110;19428110;19428110;19428110","false","interacts with","IRF1 (interacts with) HLA-A","P10914","ARACNe-GTEx;hocomoco_v11;jaspar_v2018;trrust","Q09160"
"24023","1","0","1","interacts with","1","0","1","YY1 (interacts with) CCDC43","22951020;22951020;22951020","false","interacts with","YY1 (interacts with) CCDC43","P25490","hocomoco_v11;jaspar_v2018;oreganno","Q96MW1"
"24025","1","0","1","interacts with","1","0","1","E2F1 (interacts with) DRAM1","18408756;18408756","false","interacts with","E2F1 (interacts with) DRAM1","Q01094","tfact;trrust","Q8N682"
"24028","1","1","0","interacts with","1","1","0","NR3C2 (interacts with) ATP1B1","9694812;9694812;9694812","false","interacts with","NR3C2 (interacts with) ATP1B1","P08235","HTRIdb;kegg;trrust","P05026"
"24030","1","1","0","interacts with","1","1","0","PPARA (interacts with) ACSL1","17150915;17150915;17150915","false","interacts with","PPARA (interacts with) ACSL1","Q07869","kegg;tred_via_RegNetwork;trrust","P33121"
"24033","1","0","1","interacts with","1","0","1","TBP (interacts with) LIN28B","23494474;23494474","false","interacts with","TBP (interacts with) LIN28B","P20226","ReMap;trrust","Q6ZN17"
"24034","1","0","1","interacts with","1","0","1","IRF1 (interacts with) HLA-A","19428110;19428110;19428110;19428110","false","interacts with","IRF1 (interacts with) HLA-A","P10914","ARACNe-GTEx;hocomoco_v11;jaspar_v2018;trrust","P16190"
"24037","1","0","1","interacts with","1","0","1","CEBPB (interacts with) SLC10A1","14701722;11031103;14701722;11031103","false","interacts with","CEBPB (interacts with) SLC10A1","P17676","tfact;trrust","Q14973"
"24039","1","0","1","interacts with","1","0","1","TP53 (interacts with) PRODH","18794809;18794809;18794809","false","interacts with","TP53 (interacts with) PRODH","P04637","PAZAR;tfact;tred_via_RegNetwork","O43272"
"24041","1","0","1","interacts with","1","0","1","E2F1 (interacts with) MEFV","20805247;20805247","false","interacts with","E2F1 (interacts with) MEFV","Q01094","PAZAR;trrust","O15553"
"24043","1","0","1","interacts with","1","0","1","FOXO1 (interacts with) CNOT8","12351634;12351634","false","interacts with","FOXO1 (interacts with) CNOT8","Q12778","ARACNe-GTEx;tfact","Q9UFF9"
"24045","1","0","1","interacts with","1","0","1","SP3 (interacts with) CNMD","15107420;15107420","false","interacts with","SP3 (interacts with) CNMD","Q02447","tred_via_RegNetwork;trrust","O75829"
"24048","1","0","1","interacts with","1","0","1","TFDP1 (interacts with) RRM1","14618416;14618416","false","interacts with","TFDP1 (interacts with) RRM1","Q14186","ARACNe-GTEx;trrust","P23921"
"24049","1","0","1","interacts with","1","0","1","E2F1 (interacts with) RRM1","14618416;14618416;14618416","false","interacts with","E2F1 (interacts with) RRM1","Q01094","ARACNe-GTEx;tred_via_RegNetwork;trrust","P23921"
"24050","1","0","1","interacts with","1","0","1","TP53 (interacts with) RRM1","15843459;15843459","false","interacts with","TP53 (interacts with) RRM1","P04637","ARACNe-GTEx;oreganno","P23921"
"24052","1","0","1","interacts with","1","0","1","E2F1 (interacts with) PLK4","18439978;18439978;18439978","false","interacts with","E2F1 (interacts with) PLK4","Q01094","ARACNe-GTEx;jaspar_v2018;tfact","O00444"
"24054","1","0","1","interacts with","1","0","1","E2F2 (interacts with) PLK4","18439978;18439978","false","interacts with","E2F2 (interacts with) PLK4","Q14209","ARACNe-GTEx;tfact","O00444"
"24056","1","0","1","interacts with","1","0","1","CEBPB (interacts with) CRP","12667216;23361365;18684932;12667216;23361365;18684932","false","interacts with","CEBPB (interacts with) CRP","P17676","HTRIdb;trrust","P02741"
"24058","1","0","1","interacts with","1","0","1","STAT3 (interacts with) CRP","12667216;20978825;23361365;18684932;12667216;20978825;23361365;18684932","false","interacts with","STAT3 (interacts with) CRP","P40763","HTRIdb;trrust","P02741"
"24059","1","0","1","interacts with","1","0","1","NFKB1 (interacts with) CRP","12667216;17704137;18684932;12667216;17704137;18684932","false","interacts with","NFKB1 (interacts with) CRP","P19838","HTRIdb;trrust","P02741"
"24061","1","0","1","interacts with","1","0","1","SP3 (interacts with) MSH6","14585961;14585961;14585961","false","interacts with","SP3 (interacts with) MSH6","Q02447","ARACNe-GTEx;tred_via_RegNetwork;trrust","P52701"
"24063","1","1","0","interacts with","1","1","0","YY1 (interacts with) SRP68","22951020;22951020","false","interacts with","YY1 (interacts with) SRP68","P25490","jaspar_v2018;oreganno","Q9UHB9"
"24065","1","1","0","interacts with","1","1","0","YY1 (interacts with) RANBP10","22951020;22951020;22951020","false","interacts with","YY1 (interacts with) RANBP10","P25490","hocomoco_v11;jaspar_v2018;oreganno","Q6VN20"
"24067","1","1","0","interacts with","1","1","0","YY1 (interacts with) MKLN1","22951020;22951020;22951020","false","interacts with","YY1 (interacts with) MKLN1","P25490","hocomoco_v11;jaspar_v2018;oreganno","Q9UL63"
"24069","1","1","0","interacts with","1","1","0","YY1 (interacts with) CXCR4","20068066;15805285;12571248;11145693;10229837;15737629;20068066;15805285;12571248;11145693;10229837;15737629","false","interacts with","YY1 (interacts with) CXCR4","P25490","tfact;trrust","P61073"
