name apoptosis bid caspase ceramide disc fas fasl fast gpcr gzmb iap ifngt nfkb pdgfr pi3k s1p sphk1 tpl2 tradd
attr_418 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_419 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_420 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_429 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_430 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_440 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_441 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_442 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_454 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_460 1 1 1 1 1 1 1 1 0 1 0 1 1 0 0 0 0 1 0
attr_462 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_465 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_471 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_473 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_475 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_482 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_484 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_500 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_502 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_505 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_508 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_534 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_541 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_543 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_545 1 1 1 1 1 1 1 1 0 1 0 1 1 0 0 0 0 1 0
attr_549 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_550 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_555 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_562 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
