ID	Ensembl ID	Average Intensity	UniProt ID	Gene symbol ID
MO000138614	ENSG00000125249	82.66025747471346	P10114	
MO000138620	ENSG00000181467	215.64214181962114	P61225	
MO000138647	ENSG00000213281	283.32582319850843	P01111	
MO000138649	ENSG00000142347	5.481032543210263	O00160	
MO000138650	ENSG00000213281	283.32582319850843	P01111	
MO000138666	ENSG00000147400	21.15491140015603	P41208	
MO000138702	ENSG00000130176	65.19665476311508	P51911	
MO000138704	ENSG00000173786	226.57001960283475	P09543-2	
MO000138705	ENSG00000173786	226.57001960283475	P09543-2	
MO000138708	ENSG00000136816	11.61931405630608	O14657	
MO000138709	ENSG00000136816	11.61931405630608	O14657	
MO000138710	ENSG00000173786	226.57001960283475	P09543-2	
MO000138756	ENSG00000115380	3.6184214745126613	Q12805-2	
MO000138757	ENSG00000115380	3.6184214745126613	Q12805-2	
MO000138759	ENSG00000115380	3.6184214745126613	Q12805-2	
MO000138770	ENSG00000058673	87.07694762100942	O75152	
MO000138771	ENSG00000058673	87.07694762100942	O75152	
MO000138782	ENSG00000145833	193.598875399387	Q7L014	
MO000138783	ENSG00000145833	193.598875399387	Q7L014	
MO000138791	ENSG00000037757	35.123690027986605	Q9BV20	
MO000138801	ENSG00000173486	860.6393220316004	P26885	
MO000138813	ENSG00000071127	8148.357803657461	O75083	
MO000138816	ENSG00000132589	252.36583566442494	Q14254	
MO000138819	ENSG00000071127	8148.357803657461	O75083	
MO000138845	ENSG00000087086	18.404762917611578	P02792	
MO000138846	ENSG00000134440	676.3415280453398	O43776	
MO000138848	ENSG00000134440	676.3415280453398	O43776	
MO000138850	ENSG00000079134	40.96845379658682	Q96FV9	
MO000138851	ENSG00000079134	40.96845379658682	Q96FV9	
MO000138876	ENSG00000115944	38.733906068805695	O14548	
MO000138885	ENSG00000136937	89.82700214953908	Q09161	
