node,10A,231
TBP,7.964940548,8.722839235
TCF7L2,9.398795899,9.367551834
TFAP4,7.185855308,8.591874068
TGFA,5.50208107,10.11311511
THBS1,16.30576752,14.10598779
TOP2A,11.08693129,13.07295191
TP53,9.779710175,10.64068503
TPX2,10.51637929,12.55338015
UBA1,12.70893702,12.49912094
UBE2I,10.91445655,11.21415969
USP4,9.593132241,9.429449326
VDR,8.955297342,8.607452307
VHL,10.02174847,9.996038307
WNT5A,11.22364975,4.932416302
YWHAG,11.8606844,12.06663548
