ID	Ensembl ID	UniProt ID	Average Intensity
MO000134055	ENSG00000137411	Q5ST30	112.95313061340161
MO000134057	ENSG00000117751	Q12972	100.98113963668624
MO000134061	ENSG00000114784	O60739	1041.0820522066633
MO000134064	ENSG00000171241	Q8NEM2	6.5960981356749535
MO000134065	ENSG00000171241	Q8NEM2	6.5960981356749535
MO000134066	ENSG00000124571	Q9HAV4	221.65236414989818
MO000134067	ENSG00000124571	Q9HAV4	221.65236414989818
MO000134068	ENSG00000169217	O95400	26.613622075702015
MO000134069	ENSG00000169217	O95400	26.613622075702015
MO000134079	ENSG00000138095	P42704	928.325992446669
MO000134081	ENSG00000138095	P42704	928.325992446669
MO000134084	ENSG00000161542	Q14558-2	155.6801115172236
MO000134086	ENSG00000100764	P62191	1812.4684246103757
MO000134087	ENSG00000100764	P62191	1812.4684246103757
MO000134089	ENSG00000185129	Q00577	100.89425275918585
MO000134090	ENSG00000185129	Q00577	100.89425275918585
MO000134096	ENSG00000108774	P51148	1361.795656671778
MO000134097	ENSG00000108774	P51148	1361.795656671778
MO000134098	ENSG00000158941	Q8N163	273.9899075558549
MO000134099	ENSG00000158941	Q8N163	273.9899075558549
MO000134101	ENSG00000170540	Q15041	451.88881223883425
MO000134102	ENSG00000170540	Q15041	451.88881223883425
MO000134105	ENSG00000006744	Q9BQ52	145.998256574883
MO000134106	ENSG00000006744	Q9BQ52	145.998256574883
MO000134110	ENSG00000144029	P82675	20.773303729293225
MO000134114	ENSG00000018610	Q9H5V9	2.518774120642365
MO000134117	ENSG00000101193	Q9NWU2	35.00209883533996
MO000134118	ENSG00000182899	P18077	2838.837839850191
MO000134119	ENSG00000101193	Q9NWU2	35.00209883533996
MO000134120	ENSG00000182899	P18077	2838.837839850191
MO000134122	ENSG00000109805	Q9BPX3	103.81608807581179
MO000134124	ENSG00000109805	Q9BPX3	103.81608807581179
MO000134126	ENSG00000062582	Q96EL2	10.455775482957343
MO000134129	ENSG00000155229	Q96T76	77.508451529973
MO000134130	ENSG00000149100	Q7L2H7	885.5405096678403
MO000134132	ENSG00000155229	Q96T76	77.508451529973
MO000134133	ENSG00000149100	Q7L2H7	885.5405096678403
MO000134141	ENSG00000115694	O00506	108.74816814046062
MO000134142	ENSG00000115694	O00506	108.74816814046062
MO000134152	ENSG00000149428	Q9Y4L1	895.7476848121498
MO000134153	ENSG00000085978	Q676U5	5.81942442533933
MO000134154	ENSG00000149428	Q9Y4L1	895.7476848121498
MO000134155	ENSG00000085978	Q676U5	5.81942442533933
MO000134157	ENSG00000146909	Q5C9Z4	4.265265150290396
