ID	UniProt ID	UniProt ID_1	Average Intensity
ENSG00000166866	Q9UBC5	Q9UBC5	25.28672711437492
ENSG00000167578	P61018	P61018	486.3442031052174
ENSG00000168280	O60282	O60282	141.3003064903981
ENSG00000168530	P05976	P05976	393.3672061370531
ENSG00000169067	Q562R1	Q562R1	58013.118667821065
ENSG00000169093	O95671	O95671	23.07775732522035
ENSG00000169213	P20337	P20337	436.44673468902283
ENSG00000170484	Q7RTS7	Q7RTS7	1106.1324252351606
ENSG00000170542	P50453	P50453	1176.283836720496
ENSG00000170950	P07205	P07205	3919.1599118466593
ENSG00000171346	P19012	P19012	1647.588702897068
ENSG00000171403	P35527	P35527	706.3951255963191
ENSG00000171431	P35900	P35900	37.77186696162544
ENSG00000171989	Q9BYZ2	Q9BYZ2	2407.0586879229363
ENSG00000172137	P22676	P22676	226.79624438485064
ENSG00000172867	P35908	P35908	1555.598704926149
ENSG00000177688	Q6EEV6	Q6EEV6	2727.1702187590045
ENSG00000178363	P27482	P27482	5958.772166940864
ENSG00000178462	A6NHL2-2	A6NHL2-2	8287.637230879576
ENSG00000178772	P22792	P22792	4.199780525159368
ENSG00000179172	O60812	O60812	3287.367624213479
ENSG00000180210	P00734	P00734	48.56230978062208
ENSG00000181085	Q8TD08-2	Q8TD08-2	115.63317409360909
ENSG00000182866	P06239	P06239	6.69872677195853
ENSG00000183054	Q99666	Q99666	26.625771455413553
ENSG00000183785	Q9NY65	Q9NY65	28000.504862081336
ENSG00000184357	P16401	P16401	353.3154716081612
ENSG00000186832	P08779	P08779	830.824923012176
ENSG00000186847	P02533	P02533	773.3936578049371
ENSG00000187672	O15083	O15083	4.517482595158
ENSG00000188573	A6NHQ2	A6NHQ2	156.02840075677702
ENSG00000188677	Q9HBI1	Q9HBI1	34.74493554109146
ENSG00000189182	Q7Z794	Q7Z794	1686.053584141956
ENSG00000189369	Q8IYD1	Q8IYD1	284.21592658901466
ENSG00000196353	Q96A23	Q96A23	29.784168678022255
ENSG00000196368	Q96G61	Q96G61	54.785810380923905
ENSG00000196549	P08473	P08473	4.044688123336942
ENSG00000196565	P69892	P69892	823.7384906001507
ENSG00000197444	Q9ULD0	Q9ULD0	46.62338037706796
ENSG00000197632	P05120	P05120	4.922734410486607
ENSG00000197872	Q9H0Q0	Q9H0Q0	11.092957104847905
ENSG00000197976	Q02040	Q02040	5.2373774899547465
ENSG00000198033	Q13748	Q13748	58594.09268488189
ENSG00000198610	P17516	P17516	117.60984049944403
ENSG00000198712	P00403	P00403	2370.5769219458657
ENSG00000198786	P03915	P03915	8.944951948559822
ENSG00000205358	P80294	P80294	1860.619778192227
ENSG00000205362	P04731	P04731	1865.0303231432326
ENSG00000205609	B5ME19	B5ME19	782.4639757964612
ENSG00000213424	Q8N1A0-2	Q8N1A0-2	70.98876915675224
ENSG00000213934	P69891	P69891	823.7384906001507
ENSG00000214114	Q99417	Q99417	337.4734639779894
ENSG00000223609	P02042	P02042	937.8652899932467
ENSG00000227471	C9JRZ8-2	C9JRZ8-2	73.60317507225686
ENSG00000228253	P03928	P03928	546.3575005372926
ENSG00000243910	Q9H853	Q9H853	16242.562687459113
ENSG00000243989	Q03154	Q03154	37.638860207241635
ENSG00000244734	P68871	P68871	973.2564330118597
ENSG00000258643	Q92843-2	Q92843-2	202.65984799902176
ENSG00000261456	Q3ZCM7	Q3ZCM7	49625.493468339264
ENSG00000265190	P13928	P13928	44.206522142343005
ENSG00000266967	Q9BTE6	Q9BTE6	75.78824714659082
