ID	UniProt ID	UniProt ID_1	Average Intensity
ENSG00000005249	P31323	P31323	54.491219907406986
ENSG00000006047	Q9Y2T7	Q9Y2T7	322.7338935891321
ENSG00000015568	Q99666	Q99666	26.625771455413553
ENSG00000032389	Q53HC9	Q53HC9	91.60249305429471
ENSG00000049283	Q9H201	Q9H201	22.12572735928453
ENSG00000057149	P29508	P29508	105.33888669428555
ENSG00000058404	Q13554-4	Q13554-4	79.6037193227508
ENSG00000062582	Q96EL2	Q96EL2	10.455775482957343
ENSG00000066032	P26232-2	P26232-2	33.51849523499417
ENSG00000067842	Q16720-8	Q16720-8	42.02182073751558
ENSG00000068976	P11217	P11217	259.4094897728279
ENSG00000070061	O95163	O95163	50.581890801833154
ENSG00000070182	P11277-3	P11277-3	30.971041221370854
ENSG00000072163	Q7Z4I7-3	Q7Z4I7-3	56.38868412705779
ENSG00000072832	Q14194	Q14194	638.5950872330611
ENSG00000074370	Q93084-2,Q93084-4	Q93084-2,Q93084-4	342.6435645114035
ENSG00000075673	P54707	P54707	147.58775548839503
ENSG00000075886	Q13748	Q13748	58594.09268488189
ENSG00000077080	O94805	O94805	57.30780871509914
ENSG00000077522	P35609	P35609	2668.9237939975965
ENSG00000078814	A7E2Y1	A7E2Y1	5.911746935900399
ENSG00000084674	P04114	P04114	7.970534733229372
ENSG00000087302	Q9Y224	Q9Y224	633.8981296751681
ENSG00000091436	Q9NYL2,Q9NYL2-2	Q9NYL2,Q9NYL2-2	9.310650597944544
ENSG00000092621	O43175	O43175	10.630414533747189
ENSG00000094796	Q15323	Q15323	181.78707947457968
ENSG00000099256	Q9NRG1	Q9NRG1	172.45067279544728
ENSG00000099284	Q9P0M6	Q9P0M6	316.4551764721924
ENSG00000101162	Q9H4B7	Q9H4B7	17362.822590983527
ENSG00000101336	P08631-2	P08631-2	4.876699167309716
ENSG00000102879	P31146	P31146	124.40759277049395
ENSG00000103460	O15405-2	O15405-2	18.56581818580087
ENSG00000103723	Q13367	Q13367	10.29099086752562
ENSG00000104490	P61601	P61601	206.31393517795283
ENSG00000104833	P04350	P04350	129732.38491660953
ENSG00000104892	Q6P597	Q6P597	43.670823104011916
ENSG00000105341	Q9NW81	Q9NW81	3.737888737574191
ENSG00000105357	Q7Z406-6	Q7Z406-6	572.993721847062
ENSG00000105409	P13637	P13637	821.47188809138
ENSG00000105675	P20648	P20648	164.14303650143077
ENSG00000105679	O14556	O14556	4768.18101571669
ENSG00000106526	Q9C0K3	Q9C0K3	187.23419648227454
ENSG00000106829	Q04727	Q04727	12.394402766873345
ENSG00000107105	Q12926	Q12926	145.22374453090663
ENSG00000107295	Q99962	Q99962	130.53971770327735
ENSG00000108602	P30838	P30838	64.75220598525318
ENSG00000108825	Q9BTE6	Q9BTE6	75.78824714659082
ENSG00000109072	P04004	P04004	279.0239805096452
ENSG00000109511	Q9UJ72	Q9UJ72	116.62372991267479
ENSG00000111052	O14910	O14910	71.96401869659508
ENSG00000111275	P05091	P05091	279.5303472189938
ENSG00000112782	Q9NZA1-2	Q9NZA1-2	1322.8246984270095
ENSG00000114374	O00507	O00507	34.29159654977839
ENSG00000116039	P15313	P15313	144.40965862407083
ENSG00000117266	Q07002	Q07002	55.972574833574896
ENSG00000117899	Q14696	Q14696	192.52334841068034
ENSG00000123144	Q9BQ61	Q9BQ61	174.07064205952048
ENSG00000123561	P05543	P05543	52.93891227020123
ENSG00000124212	Q16647	Q16647	8.12173375166058
ENSG00000124610	Q02539	Q02539	4996.751521118722
ENSG00000125144	P13640,P13640-2	P13640,P13640-2	15685.49899511394
ENSG00000128422	Q04695	Q04695	722.0262956089986
ENSG00000128739	P63162	P63162	2791.366483309058
ENSG00000129354	Q9Y6Q5,Q9Y6Q5-2	Q9Y6Q5,Q9Y6Q5-2	26.524010110445147
ENSG00000129675	Q15052	Q15052	2.445285724614951
ENSG00000130755	O60234	O60234	464.2783176398256
ENSG00000130810	Q9NQ55-2	Q9NQ55-2	36.92040603592549
ENSG00000131738	Q14525	Q14525	173.5240304075533
ENSG00000132141	Q92526	Q92526	344.4036427751645
ENSG00000132698	P57735	P57735	34.88002062503617
ENSG00000133392	P35749-2,P35749-3,P35749-4	P35749-2,P35749-3,P35749-4	472.3838070739372
ENSG00000133433	P0CG30	P0CG30	39.164115712257555
ENSG00000133943	Q7Z3D6-2	Q7Z3D6-2	8.407012206684422
ENSG00000135636	O75923-9	O75923-9	31.47195367720738
ENSG00000136167	P13796	P13796	319.80174843884896
ENSG00000136573	P51451	P51451	4.420479595708675
ENSG00000136872	P05062	P05062	2010.093850301802
ENSG00000137285	Q9BVA1	Q9BVA1	119538.1755231036
ENSG00000137474	Q13402-5	Q13402-5	1.0077576467996754
ENSG00000137948	Q58F21-5	Q58F21-5	1.6957602308847617
ENSG00000139223	O95626	O95626	209.92505516892624
ENSG00000140986	Q92901	Q92901	346.02658926444377
ENSG00000142347	O00160	O00160	5.481032543210263
ENSG00000144712	O75155	O75155	22.25896778849603
ENSG00000148362	Q9BUH6	Q9BUH6	160.86950249998267
ENSG00000148798	Q16352	Q16352	2645.964627974966
ENSG00000150527	O15320-3	O15320-3	6.473942496576946
ENSG00000151224	Q00266	Q00266	220.49341871538195
ENSG00000152910	Q9C0A0-2	Q9C0A0-2	18.615432939944398
ENSG00000152932	Q96E17	Q96E17	509.4128039227821
ENSG00000153165	A6NKT7	A6NKT7	35.23912399315683
ENSG00000156049	O95837	O95837	97.17246236376715
ENSG00000156269	Q9BSU3	Q9BSU3	298.844148912691
ENSG00000156510	Q2TB90	Q2TB90	41.744090450642624
ENSG00000159212	Q96NY7-2	Q96NY7-2	1129.6325222684545
ENSG00000159217	Q9NZI8	Q9NZI8	25.009049874529673
ENSG00000160883	P52790	P52790	96.65497424934742
ENSG00000161634	P81605	P81605	24.112922970915573
ENSG00000162482	O95154	O95154	51.22071933571243
ENSG00000163114	P29803	P29803	109.6817451229299
ENSG00000163507	Q8TCG1	Q8TCG1	36.204068725283236
ENSG00000163554	P02549-2	P02549-2	0.2701900678179583
ENSG00000164430	Q8N884	Q8N884	53.03932869282329
ENSG00000164440	Q8N3L3	Q8N3L3	6.151699121390969
ENSG00000164708	P15259	P15259	5995.2242882592345
ENSG00000164944	Q69YN4	Q69YN4	0.6721325285269376
ENSG00000165059	P22612	P22612	36.15210321677995
ENSG00000165092	P00352	P00352	14.830777490126412
ENSG00000165140	P09467	P09467	46.52902020430463
ENSG00000165782	Q86T03	Q86T03	25.084923744930272
