EGFR HDAC3 MAPK1 MAPK6 PLK1 PRPF4 RELA ZBTB17 Npert
Perturb_5460 inhibited N N N N N N N 1
Perturb_0264 inhibited N N N N N inhibited N 2
Perturb_0893 inhibited N N N N N N inhibited 2
Perturb_0953 inhibited N N activated N N N N 2
Perturb_2311 inhibited inhibited N N N N N N 2
Perturb_2897 inhibited N N inhibited N N N N 2
Perturb_4452 inhibited N N N N N N activated 2
Perturb_4496 inhibited activated N N N N N N 2
Perturb_4875 inhibited N N N N N zero N 2
Perturb_5794 inhibited N inhibited N N N N N 2
Perturb_0498 inhibited N inhibited N N N N inhibited 3
Perturb_1243 inhibited activated N N N N inhibited N 3
Perturb_1297 inhibited N N N N N inhibited activated 3
Perturb_1363 inhibited N inhibited activated N N N N 3
Perturb_1367 inhibited inhibited N N N N N activated 3
Perturb_1387 inhibited activated inhibited N N N N N 3
Perturb_1388 inhibited activated N inhibited N N N N 3
Perturb_1567 inhibited N N activated N N zero N 3
Perturb_1751 inhibited inhibited N N N N zero N 3
Perturb_1934 inhibited N N inhibited N N N activated 3
Perturb_1936 inhibited N N activated N N N activated 3
Perturb_2323 inhibited N N inhibited N N zero N 3
Perturb_2453 inhibited inhibited inhibited N N N N N 3
Perturb_2522 inhibited activated N activated N N N N 3
Perturb_2575 inhibited N inhibited inhibited N N N N 3
Perturb_2882 inhibited N N inhibited N N inhibited N 3
Perturb_3449 inhibited N N activated N N N inhibited 3
Perturb_3451 inhibited N N inhibited N N N inhibited 3
Perturb_3462 inhibited inhibited N N N N inhibited N 3
Perturb_4004 inhibited inhibited N N N N N inhibited 3
Perturb_4055 inhibited N N N N N inhibited inhibited 3
Perturb_4312 inhibited inhibited N activated N N N N 3
Perturb_4808 inhibited N N activated N N inhibited N 3
Perturb_4855 inhibited N inhibited N N N N activated 3
Perturb_5142 inhibited activated N N N N zero N 3
Perturb_5266 inhibited N inhibited N N N zero N 3
Perturb_5502 inhibited activated N N N N N activated 3
Perturb_5817 inhibited N N N N N zero activated 3
Perturb_6076 inhibited inhibited N inhibited N N N N 3
Perturb_6095 inhibited N N N N N zero inhibited 3
Perturb_6424 inhibited activated N N N N N inhibited 3
Perturb_6484 inhibited N inhibited N N N inhibited N 3
Perturb_0015 inhibited inhibited N activated N N N inhibited 4
Perturb_0238 inhibited inhibited N inhibited N N N inhibited 4
Perturb_0542 inhibited N N activated N N zero activated 4
Perturb_0918 inhibited N inhibited N N N inhibited activated 4
Perturb_0934 inhibited inhibited N N N N inhibited inhibited 4
Perturb_1245 inhibited activated N N N N zero inhibited 4
Perturb_1439 inhibited inhibited N activated N N inhibited N 4
Perturb_1466 inhibited inhibited inhibited N N N N activated 4
Perturb_1533 inhibited activated N activated N N N activated 4
Perturb_1564 inhibited N N inhibited N N inhibited inhibited 4
Perturb_1566 inhibited N N activated N N inhibited inhibited 4
Perturb_1598 inhibited N inhibited inhibited N N N activated 4
Perturb_1866 inhibited inhibited inhibited N N N zero N 4
Perturb_1912 inhibited N inhibited activated N N zero N 4
Perturb_1918 inhibited activated N activated N N zero N 4
Perturb_1953 inhibited activated N inhibited N N zero N 4
Perturb_1954 inhibited activated inhibited N N N zero N 4
Perturb_1962 inhibited N inhibited inhibited N N zero N 4
Perturb_2170 inhibited N N inhibited N N zero inhibited 4
Perturb_2304 inhibited N inhibited activated N N N activated 4
Perturb_2337 inhibited activated N inhibited N N N activated 4
Perturb_2338 inhibited activated inhibited N N N N activated 4
Perturb_2687 inhibited inhibited N N N N zero activated 4
Perturb_2716 inhibited inhibited N N N N zero inhibited 4
Perturb_3094 inhibited activated N inhibited N N N inhibited 4
Perturb_3095 inhibited activated inhibited N N N N inhibited 4
