EGFR FOXM1 HDAC3 MAPK1 MAPK6 PRPF4 RELA ZBTB17 Npert
Perturb_0496 inhibited N activated inhibited activated N zero N 5
Perturb_0799 inhibited N inhibited inhibited N N inhibited inhibited 5
Perturb_0800 inhibited N inhibited N inhibited N inhibited inhibited 5
Perturb_0801 inhibited N N inhibited inhibited N inhibited inhibited 5
Perturb_0844 inhibited N inhibited inhibited inhibited N N inhibited 5
Perturb_0965 inhibited N N inhibited activated N zero activated 5
Perturb_0966 inhibited N inhibited N activated N zero activated 5
Perturb_1046 inhibited N activated N activated N zero activated 5
Perturb_1247 inhibited N inhibited inhibited activated N inhibited N 5
Perturb_1955 inhibited N inhibited N activated N inhibited inhibited 5
Perturb_1956 inhibited N N inhibited activated N inhibited inhibited 5
Perturb_2081 inhibited N activated inhibited inhibited N N inhibited 5
Perturb_2291 inhibited N activated inhibited N N zero inhibited 5
Perturb_2468 inhibited N activated N inhibited N zero activated 5
Perturb_2558 inhibited N inhibited inhibited N N zero activated 5
Perturb_2559 inhibited N inhibited N inhibited N zero activated 5
Perturb_2560 inhibited N N inhibited inhibited N zero activated 5
Perturb_2850 inhibited N inhibited inhibited N N zero inhibited 5
Perturb_2851 inhibited N N inhibited inhibited N zero inhibited 5
Perturb_2852 inhibited N inhibited N inhibited N zero inhibited 5
Perturb_2955 inhibited N activated N inhibited N zero inhibited 5
Perturb_3022 inhibited N activated inhibited inhibited N zero N 5
Perturb_3130 inhibited N activated inhibited N N zero activated 5
Perturb_3321 inhibited N activated inhibited inhibited N N activated 5
Perturb_3368 inhibited N activated inhibited inhibited N inhibited N 5
Perturb_3412 inhibited N activated N inhibited N inhibited inhibited 5
Perturb_3435 inhibited N N inhibited activated N inhibited activated 5
Perturb_3436 inhibited N inhibited N activated N inhibited activated 5
Perturb_4032 inhibited N activated inhibited N N inhibited inhibited 5
Perturb_4311 inhibited N activated N activated N zero inhibited 5
Perturb_4376 inhibited N N inhibited activated N zero inhibited 5
Perturb_4379 inhibited N inhibited N activated N zero inhibited 5
Perturb_4514 inhibited N inhibited inhibited inhibited N N activated 5
Perturb_4566 inhibited N inhibited inhibited N N inhibited activated 5
Perturb_4567 inhibited N inhibited N inhibited N inhibited activated 5
Perturb_4570 inhibited N N inhibited inhibited N inhibited activated 5
Perturb_4641 inhibited N activated inhibited activated N inhibited N 5
Perturb_4914 inhibited N inhibited inhibited inhibited N zero N 5
Perturb_5145 inhibited N inhibited inhibited activated N zero N 5
Perturb_5268 inhibited N activated inhibited activated N N inhibited 5
Perturb_5501 inhibited N inhibited inhibited activated N N activated 5
Perturb_5850 inhibited N activated N activated N inhibited inhibited 5
Perturb_6422 inhibited N inhibited inhibited activated N N inhibited 5
Perturb_0210 inhibited N inhibited inhibited activated N inhibited activated 6
Perturb_1231 inhibited N inhibited inhibited inhibited N inhibited activated 6
Perturb_1244 inhibited N inhibited inhibited activated N zero inhibited 6
Perturb_1506 inhibited N activated inhibited activated N zero activated 6
