BRAF, MAP2K1, activates, [12520011]
ARAF, MAP2K1, activates, [12520011]
MAP2K1, MAPK3, activates, [16291755, 12520011]
MAP2K1, MAPK1, activates, [16291755, 12520011]
MAP2K3, MAPK8, activates, [27432908, 26496610, 12520011, 9162092, 7839144]
MAP2K6, MAPK8, activates, [27432908, 21078955, 12520011, 10347227, 9707433]
MAP2K7, MAPK9, activates, [18222647]
MAP2K6, MAPK9, activates, []
MAP2K7, MAPK9, activates, []
MAP2K4, MAPK9, activates, [14699111]
MAP2K3, MAPK9, activates, []
RAC1, PAK1, activates, [26496610, 26344197, 25416956, 23885116, 21822311, 21988832, 19961560, 20595387, 20936779, 19109187, 18025083, 15611088, 12897143, 11101877, 9705280]
TAB1, MAP3K7, activates, [28514442, 27880917, 23646170, 20538596, 19578758, 19026643, 18021073, 18180283, 16737960, 14670075, 12589052, 12520011, 11809792, 11518704, 10921914, 10838074, 10094049, 8638164]
MAP3K7, CHUK, activates, [28514442, 26496610, 23229544, 22641218, 22069318, 22939629, 21135123, 20936779, 19820695, 18180283, 16893890, 15590691, 12520011, 11585904, 10094049]
MAP3K7, IKBKB, activates, [28514442, 26496610, 23229544, 22641218, 22069318, 21331078, 21135123, 20936779, 18180283, 18456659, 18037881, 16737960, 12520011, 11585904]
CUL2, ELOC, activates, [28514442, 26496610, 26344197, 24076655, 23455922, 22537386, 22863883, 19615732, 17353931, 12520011]
JAK3, STAT3, activates, [25814554, 21988832, 20974963, 16273093, 15385932, 12520011, 10448060]
MAP2K1, MAPK1, activates, [28514442, 25332398, 26344197, 23813956, 23241949, 23904266, 22946047, 22981863, 23162660, 20956560, 20936779, 19164283, 19563921, 18604200, 17881458, 17311928, 16357519, 15145978, 15078890, 14592976, 12520011, 11585897, 10921922]
DUSP1, MAPK14, inactivates, [28675297, 27432908, 25332398, 20936779, 19741200, 14592977, 12520011, 10391943, 9202001]
MAP3K1, MAP2K1, activates, [26496610, 12520011]
MAP2K3, MAPK11, activates, [28514442]
MAP2K3, MAPK12, activates, [28514442]
MAP2K6, MAPK11, activates, [28514442]
MAP2K6, MAPK12, activates, [28514442]
MTOR, RPS6KB1, activates, [19225151, 17599906, 12520011, 12150925]
MAP2K4, MAPK11, activates, []
MAP2K4, MAPK12, activates, []
DVL2, GSK3B, inactivates, [26496610, 25416956, 23455922]
MAPK6, FOS, activates, [28514442, 25416956, 20936779]
MAPK1, FOS, activates, [28514442, 23667255, 23846687, 23861392, 23893408, 24036113, 20936779, 19531493, 18445595, 18604200, 18322230, 17921324, 16822839, 16713974, 16055710, 10714766]
CSNK2A1:CSNK2A2:CSNK2B, CTNNB1, activates, []
DVL2, CTNNB1, activates, [28514442, 27852650, 26496610, 22575959, 22609948, 20412773]
DVL2, CTNNB1, activates, []
AKT1, RAF1, inactivates, [12520011]
MAPK6, MAPKAPK2, activates, [28514442, 21988832, 19293945, 12520011]
MAPK6, MAPKAPK2, activates, [12520011]
