ID	UniProt ID	Average Intensity	Gene symbol ID
ENSG00000001084	P48506	18.87131018040475	GCLC
ENSG00000001630	Q16850	24.683001989966016	CYP51A1
ENSG00000004455	P54819	1319.5525042816805	AK2
ENSG00000004478	Q02790	1395.2054514012461	FKBP4
ENSG00000006327	Q9NP84	26.603845194820167	TNFRSF12A
ENSG00000006534	P43353	80.77997974397923	ALDH3B1
ENSG00000008441	Q14938-5	4.473969787805444	NFIX
ENSG00000010256	P31930	971.7137142123868	UQCRC1
ENSG00000010810	P06241	9.407487644225931	FYN
ENSG00000011028	Q9UBG0	1.0599178497701187	MRC2
ENSG00000011198	Q8WTS1	3.091049565282445	ABHD5
ENSG00000011376	Q15031	12.774591040407238	LARS2
ENSG00000013588	Q8NFJ5	352.2933750819809	GPRC5A
ENSG00000014216	P07384	580.4306600310467	CAPN1
ENSG00000015475	P55957	96.3890441600036	BID
ENSG00000015568	Q99666	26.625771455413553	RGPD5
ENSG00000017260	P98194	14.561603775248814	ATP2C1
ENSG00000018408	Q9GZV5	8.085894657724229	WWTR1
ENSG00000021355	P30740	1591.9296508260559	SERPINB1
ENSG00000021574	Q9UBP0-3,Q9UBP0-4	2.018022072374082	SPAST
ENSG00000022840	Q8N5U6	2.722428391359516	RNF10
ENSG00000023287	Q8TDY2-2	0.16722431206047877	RB1CC1
ENSG00000023909	P48507	273.01285475046967	GCLM
ENSG00000024422	Q9NZN4	615.8464018042833	EHD2
ENSG00000027001	Q99797	1.9418229181581683	MIPEP
ENSG00000028116	Q86Y07	8.002839719431694	VRK2
ENSG00000029534	P16157-10	3.52455801455978	ANK1
ENSG00000029993	O15347	1039.5034700909357	HMGB3
ENSG00000030582	P28799	312.1049413782456	GRN
ENSG00000033011	Q9BT22	33.12405592929444	ALG1
ENSG00000034693	P56589	2.114383285917031	PEX3
ENSG00000035403	P18206-2	1989.8838738190348	VCL
ENSG00000038274	Q9NZL9,Q9NZL9-2	671.5053388943841	MAT2B
ENSG00000041353	O00194	4.367716425835118	RAB27B
