ID	Transpath ID
ABL1	MO000020628
ACBD7	MO000424204
AGT	MO000281768
AGTR1	MO000281768
AKT1	MO000017421,MO000034546,MO000054154,MO000058481
AKT2	MO000032766
ARAF	MO000008230,MO000130269,MO000148186
ARID3A	MO000331158
ARRB2	MO000281768
ATM	MO000031006
AURKA	MO000032481,MO000042624,MO000082438
AURKB	MO000032484,MO000083650
BRAF	MO000031935
C1QL4	MO000454959
CASP3	MO000020398,MO000059313
CBL	MO000019259
CBX4	MO000094750
CCNB1	MO000092591
CCND3	MO000329204
CCR1	MO000440084
CDC14A	MO000031202
CDC25A	MO000023445
CDK1	MO000021743,MO000021748,MO000043513,MO000092591
CDK2	MO000021736
CDK5	MO000088373
CDK6	MO000329204
CHEK1	MO000023536,MO000082710
CHEK2	MO000030895
CHUK	MO000019311
CLPB	MO000461949
COPS2	MO000031213
COPS5	MO000031213
CREBBP	MO000057745
CSK	MO000003497,MO000456260
CSNK1E	MO000030916
CSNK2A1	MO000018901,MO000018902
CSNK2A2	MO000018901
CSNK2B	MO000018901
CTBP1	MO000033257
CUL3	MO000108731,MO000109205
CYLD	MO000041170
CYP2S1	MO000472270
DKK1	MO000134048
DUSP1	MO000022222
DUSP22	MO000463769
EGF	MO000118076
EGFR	MO000016677,MO000118076
EP300	MO000019985,MO000056654
ERBB2	MO000018962,MO000118076
FGFR1	MO000019765
FKBP11	MO000429820
FLNA	MO000022013,MO000518114
FOXM1	MO000026496
FYN	MO000005412,MO000086652
GJB7	MO000432959
GPR141	MO000440730
GRK2	MO000032687
GSK3B	MO000016989
GSTK1	MO000467861
HDAC1	MO000023575
HGS	MO000036353
HIPK2	MO000031076
HOXB5	MO000433377
IGF1R	MO000007225
IKBKG	MO000019309
IL4R	MO000032682
JUN	MO000019469
KAT2B	MO000023409,MO000056491
KLHL12	MO000109205,MO000148186,MO000148190,MO000518114,MO000520287,MO000522347
KLHL20	MO000167739,MO000430924
LCK	MO000019253
MAP2K1	MO000009386,MO000021174,MO000058229,MO000058389,MO000102201,MO000152697,MO000187847,MO000281768,MO000316028
MAP2K2	MO000058229
MAP2K5	MO000058229
MAP2K7	MO000022227
MAPK1	MO000004677,MO000034342,MO000056630,MO000056897,MO000060354,MO000281768
MAPK11	MO000092896
MAPK12	MO000004689
MAPK13	MO000022210
MAPK14	MO000009339,MO000094436
MAPK3	MO000004672,MO000031003,MO000056630,MO000056883
MAPK6	MO000004681,MO000056630
MAPK7	MO000056630
MAPK8	MO000007821,MO000022229,MO000030998,MO000033485
MAPK9	MO000030859,MO000030860,MO000030999,MO000031000,MO000082393,MO000256146
MAPKAP1	MO000122429,MO000165201,MO000280531
MAPKAPK2	MO000009253
MARCKSL1	MO000127694,MO000429938
MDM2	MO000023311
MED21	MO000424972
MLST8	MO000165201,MO000280531
MTOR	MO000032379,MO000054152,MO000122429,MO000165201,MO000280531
MTUS2	MO000467199
NCOR1	MO000028508
NCSTN	MO000473697
NDC80	MO000042701,MO000086001,MO000148190
NEK10	MO000316028
NFKBIA	MO000019315
NMT1	MO000127687
NMT2	MO000429938,MO000448305
NR2F1	MO000059196,MO000272952
NTRK3	MO000473303
PAG1	MO000172355,MO000172362,MO000348826,MO000424204,MO000424351,MO000424972,MO000425143,MO000425680,MO000427481,MO000429820,MO000431763,MO000432959,MO000433377,MO000440084,MO000440730,MO000441062,MO000441674,MO000449399,MO000452539,MO000454959,MO000456260,MO000457272,MO000461949,MO000463769,MO000467199,MO000467861,MO000472270,MO000473303,MO000473697,MO000480318
PAK1	MO000019481,MO000057720,MO000087637
PAK2	MO000042946,MO000084423
PCDHGC3	MO000425143
PCK2	MO000452539
PDGFRB	MO000010971,MO000520287
PDPK1	MO000021819,MO000034388,MO000058803,MO000102384
PIAS1	MO000030911
PLK1	MO000022403,MO000096187
PMS1	MO000427481
PPM1A	MO000023473,MO000036590,MO000132762
PPM1D	MO000023642
PPP1CA	MO000044885
PPP2CA	MO000018003,MO000022425,MO000085311
PPP2R3A	MO000018003
PPP2R3B	MO000018003
PPP2R5A	MO000018003
PPP2R5B	MO000018003
PPP2R5C	MO000018003
PPP2R5D	MO000018003
PPP3CA	MO000035083,MO000083051,MO000083053,MO000271468
PPP3CB	MO000035080,MO000083054,MO000083056
PPP3CC	MO000035082,MO000083060
PRKACA	MO000033313
PRKCA	MO000022393,MO000057624
PRKCD	MO000031189,MO000059471,MO000059577
PRKD1	MO000150826
PRPF4	MO000087569
PRR5	MO000165201
PTEN	MO000034818
PTK2B	MO000060163
PTK6	MO000102190
PTPN1	MO000021383,MO000056756
PTPN11	MO000021373,MO000057419
PTPRA	MO000032705,MO000219259
RAF1	MO000021172,MO000281768,MO000316028
RB1	MO000017774
RICTOR	MO000054152,MO000054153,MO000090102,MO000122429,MO000165201,MO000280531
RPS27	MO000141917,MO000424351
RPS6KA1	MO000032335
RPS6KA2	MO000022265
RPS6KA3	MO000032352
RPS6KA5	MO000036634
RPS6KB1	MO000089506
S1PR2	MO000457272
SERHL2	MO000441062
SIRT1	MO000023365,MO000084718
SKIL	MO000028475
SKP2	MO000019867
SLC25A41	MO000431763
SMAD2	MO000057829
SMAD3	MO000057832,MO000339611
