name Mean SD "Mean + 3SD"
AKT1 11.039176125 0.06291907275916958 11.227933343277508
AURKA 10.5717355375 0.5259171369396337 12.149486948318902
CTNNB1 12.173607462500001 0.026141467507521488 12.252031865022566
FOXM1 10.456602807500001 0.5432568871327828 12.08637346889835
GSK3B 10.142396025 0.22154125826699891 10.807019799800997
HDAC3 9.91842003 0.10722629959801794 10.240098928794055
JUN 9.99992269 0.2192267798117947 10.657603029435384
MAPK1 10.9932041875 0.06492559660707738 11.187980977321232
PIAS1 9.476911955 0.0621992671404345 9.663509756421304
RELA 10.6509563175 0.0829489651855392 10.899803213056618
STAT3 11.039038989999998 0.14427797302346387 11.47187290907039
TCF3 10.3976373875 0.20659943703863626 11.017435698615909
