ID	Model cutoff	No density per 1000bp	P-value	Yes density per 1000bp	Yes-No ratio
V$AP1_01	0.9668	0.041908446163765316	0.002013967377824907	0.11233430689732644	2.68046938458082
V$AP1_02	0.9322	0.27724049000644746	0.027518394891074688	0.3744476896577548	1.3506241085097157
V$BATFJUN_01	0.8849	0.6286266924564797	3.014827759233453E-6	0.9777245229952486	1.5553340873493646
V$CFOSCJUN_Q5	0.9967	0.048355899419729204	0.03870081656180381	0.09153165747189562	1.8928746765188016
V$CMYC_Q3	0.9971	0.003223726627981947	0.0034971602403847373	0.037444768965775484	11.615367333183556
V$CMYC_Q6_01	1.0	0.025789813023855575	0.01227728629071347	0.0707290080464648	2.742517287001673
V$EBOX_Q6_01	0.8855	3.471953578336557	0.04953491545435312	3.744476896577548	1.0784927885964302
V$FOSJUN_02	0.9047	0.36750483558994196	0.009475874536627769	0.5034241160954259	1.3698435159017643
V$JUNFOSB_01	0.9209	0.3771760154738878	0.029702561374069732	0.4867819965550813	1.2905963703537284
V$JUNFRA1_01	0.9669	0.016118633139909737	0.03850365785229788	0.04576582873594781	2.839312014778202
V$JUNFRA2_01	0.914	0.3610573823339781	0.014108328262566912	0.4867819965550813	1.3482122797445197
V$JUN_04	0.8281	1.4377820760799485	3.2107798401065477E-4	1.8139910298975677	1.2616592320049898
V$JUN_06	0.9758	0.03546099290780142	0.023726224053618458	0.07905006781663712	2.2292119124291667
V$MYCMAX_B	0.7993	20.509348807221148	2.0623294777947843E-18	24.022899556487513	1.171314593276081
V$MYC_02	0.8091	5.635074145712443	0.007127981239378998	6.149263170157351	1.0912479607453147
V$MYC_06	0.832	1.7408123791102514	0.027832095644863733	1.9679306356457558	1.1304668206987285
V$MYC_07	0.9922	0.012894906511927788	0.019782593225449653	0.04576582873594781	3.549140018472753
V$P53DECAMER_Q2	0.9535	0.12250161186331399	0.011789112624674112	0.20386596436922205	1.6641900565087548
V$P53_01	0.6324	1.0219213410702774	0.0013542714694422286	1.3022458540319695	1.2743112426521037
V$P53_02	0.9829	0.006447453255963894	0.022347006189443394	0.033284239080689317	5.162385481414914
V$P53_03	0.7135	2.9110251450676983	0.016085391034909673	3.236892250597036	1.111942387746623
V$P53_04	0.7188	14.700193423597678	2.855074045535245E-17	17.58655982425922	1.1963488722555284
V$P53_Q3	0.9279	2.6660219213410703	0.00371669751476703	3.057989465538331	1.1470233763119593
V$P53_Q3_01	0.7879	25.238555770470665	3.847023536476835E-8	27.613436847316876	1.0940973444932551
V$STAT3STAT3_Q3	0.922	0.012894906511927788	0.057463933943081566	0.037444768965775484	2.903841833295889
V$STAT3_02	0.994	4.8678272082527405	2.43703638425421E-4	5.55430739659003	1.1410239433259781
V$STAT3_10	0.9886	0.02256608639587363	0.06963468368367412	0.04992635862103397	2.212450920606391
V$STAT3_11	0.8279	1.5119277885235334	0.0170647340147581	1.747422551736189	1.1557579436003533
V$STAT3_Q4	0.8974	1.5344938749194068	0.015331321385596973	1.7765462609317921	1.1577408616408444
V$STAT_01	0.8776	0.8188265635074146	0.03883768420904631	0.9652429333399902	1.1788124327640352
V$TP53_03	0.7069	3.5654416505480335	0.09363761173798879	3.78608219542841	1.0618830895315485
