MO000032335, MO000036655, inactivates
MO000022229, MO000036655, inactivates
MO000030860, MO000036655, inactivates
MO000007821, MO000032335, activates
MO000030998, MO000032335, activates
MO000030859, MO000032335, activates
MO000256146, MO000032335, activates
MO000083769, MO000004672, activates
MO000009339, MO000009253, inactivates
MO000022209, MO000009253, inactivates
MO000085589, MO000019507, activates
MO000004689, MO000009253, inactivates
MO000019507, MO000186472, activates
MO000022529, MO000019347, activates
MO000021174, MO000004677, inactivates
MO000035101, MO000020328, activates
MO000019469, MO000057832, inactivates
MO000058322, MO000057832, inactivates
MO000019469, MO000019780, inactivates
MO000058322, MO000019780, inactivates
MO000019347, MO000039099, activates
MO000019069, MO000019070, activates
MO000039099, MO000019352, inactivates
MO000018903, MO000018901, activates
MO000030861, MO000030859, inactivates
MO000022137, MO000020146, inactivates
MO000041170, MO000020146, inactivates
MO000019309, MO000041170, inactivates
MO000200698, MO000041170, inactivates
MO000084601, MO000041170, inactivates
MO000041170, MO000019352, activates
MO000030900, MO000022227, activates
MO000030900, MO000021423, inactivates
MO000180297, MO000019469, inactivates
MO000180299, MO000019469, inactivates
MO000180297, MO000058322, inactivates
MO000180299, MO000058322, inactivates
MO000186472, MO000033978, inactivates
MO000036416, MO000033978, inactivates
MO000007821, MO000021754, inactivates
MO000019548, MO000032587, activates
MO000033243, MO000056491, inactivates
MO000022208, MO000020397, inactivates
MO000009339, MO000020398, inactivates
MO000059863, MO000020398, inactivates
MO000036594, MO000009403, inactivates
MO000036594, MO000019344, inactivates
MO000009403, MO000022217, inactivates
MO000036592, MO000022217, inactivates
MO000042920, MO000019070, inactivates
MO000042938, MO000042940, activates
MO000020398, MO000042940, activates
MO000042938, MO000042940, inactivates
MO000021207, MO000042940, inactivates
MO000021207, MO000102071, inactivates
MO000020398, MO000102071, inactivates
MO000019070, MO000021207, inactivates
MO000020339, MO000021207, activates
MO000020073, MO000019070, inactivates
MO000019548, MO000032481, inactivates
MO000019548, MO000082438, inactivates
MO000056623, MO000082438, inactivates
MO000021748, MO000022403, activates
MO000180297, MO000044267, inactivates
MO000180299, MO000044267, inactivates
MO000044588, MO000032588, activates
MO000180297, MO000044588, activates
MO000180299, MO000044588, activates
MO000045001, MO000023365, inactivates
MO000045001, MO000019548, activates
MO000056625, MO000020073, activates
MO000030911, MO000019973, inactivates
MO000030911, MO000058322, inactivates
MO000079236, MO000019469, inactivates
MO000079236, MO000058322, inactivates
MO000019548, MO000020487, inactivates
MO000058368, MO000022093, inactivates
MO000021748, MO000022403, inactivates
MO000021748, MO000096187, inactivates
MO000045420, MO000022403, inactivates
MO000045420, MO000096187, inactivates
MO000021414, MO000019548, inactivates
MO000018901, MO000034818, inactivates
MO000023365, MO000020701, activates
MO000023365, MO000019985, activates
MO000084423, MO000020628, inactivates
MO000020628, MO000019469, inactivates
MO000021743, MO000019469, inactivates
MO000021743, MO000058322, inactivates
MO000016989, MO000019469, inactivates
MO000019469, MO000033404, inactivates
MO000019469, MO000017421, activates
MO000019469, MO000021743, activates
MO000019469, MO000020397, activates
MO000019469, MO000032000, activates
MO000056483, MO000007821, inactivates
MO000022400, MO000022399, inactivates
MO000021736, MO000022399, inactivates
MO000022408, MO000021743, inactivates
MO000021743, MO000018903, inactivates
MO000022448, MO000092591, activates
MO000004677, MO000034342, inactivates
MO000020436, MO000034342, inactivates
MO000034342, MO000004677, inactivates
MO000176198, MO000004677, inactivates
MO000176197, MO000004677, inactivates
MO000021148, MO000017421, inactivates
MO000021148, MO000007821, inactivates
MO000021148, MO000021743, activates
MO000021148, MO000009339, activates
MO000008180, MO000019315, inactivates
MO000094946, MO000019315, inactivates
MO000032335, MO000019315, inactivates
MO000032352, MO000019315, inactivates
MO000021478, MO000019315, inactivates
MO000019315, MO000007821, activates
MO000020924, MO000019315, activates
MO000033404, MO000007821, activates
MO000030861, MO000007821, activates
MO000126134, MO000007821, activates
MO000126134, MO000030998, activates
MO000030900, MO000030904, activates
MO000022211, MO000009415, inactivates
MO000009415, MO000022211, inactivates
MO000009403, MO000022208, inactivates
MO000078695, MO000009339, inactivates
MO000021423, MO000022208, inactivates
MO000041374, MO000009339, inactivates
MO000022227, MO000022208, inactivates
MO000083769, MO000009339, activates
MO000009403, MO000022210, inactivates
MO000022211, MO000022210, inactivates
MO000084423, MO000042946, inactivates
MO000094946, MO000008180, inactivates
MO000021743, MO000022403, inactivates
MO000021743, MO000096187, inactivates
MO000057832, MO000020397, activates
MO000020634, MO000007821, activates
MO000007821, MO000013123, inactivates
MO000020628, MO000019469, activates
MO000020628, MO000058322, activates
MO000057745, MO000033253, activates
MO000021743, MO000022403, activates
MO000021743, MO000096187, activates
MO000021736, MO000044885, activates
MO000016989, MO000019469, activates
MO000016989, MO000058322, activates
MO000060084, MO000019315, activates
MO000022227, MO000009339, activates
MO000084423, MO000020628, activates
MO000030911, MO000019469, activates
MO000020397, MO000042938, activates
MO000020397, MO000019070, activates
MO000032000, MO000042938, activates
MO000020436, MO000004677, activates
MO000032335, MO000019315, activates
MO000032352, MO000019315, activates
MO000019973, MO000033243, activates
MO000019973, MO000019315, activates
MO000025267, MO000056491, activates
MO000023578, MO000020634, activates
MO000056718, MO000020634, inactivates
MO000023577, MO000020634, inactivates
MO000056718, MO000020634, activates
MO000023575, MO000020634, activates
MO000019481, MO000021174, activates
MO000009386, MO000004677, inactivates
MO000021743, MO000021383, inactivates
MO000017421, MO000021383, inactivates
MO000092896, MO000058322, inactivates
MO000022210, MO000058322, inactivates
MO000004677, MO000044992, inactivates
MO000033978, MO000058322, inactivates
MO000137417, MO000034342, activates
MO000137417, MO000018962, inactivates
MO000079049, MO000018962, inactivates
MO000030900, MO000009386, inactivates
MO000119207, MO000019469, inactivates
MO000119207, MO000058322, inactivates
MO000009086, MO000030904, inactivates
MO000019481, MO000021172, inactivates
MO000030998, MO000030860, activates
MO000256146, MO000030860, activates
MO000256146, MO000153681, activates
MO000153681, MO000019469, inactivates
MO000030860, MO000058322, inactivates
MO000153681, MO000058322, inactivates
MO000007821, MO000022399, activates
MO000030998, MO000022400, inactivates
MO000022227, MO000030859, inactivates
MO000018137, MO000007830, activates
MO000060084, MO000020701, inactivates
MO000022231, MO000019311, inactivates
MO000084620, MO000019311, inactivates
MO000084620, MO000060084, inactivates
MO000009339, MO000019469, inactivates
MO000022231, MO000022097, inactivates
MO000084620, MO000022097, activates
MO000020628, MO000019315, inactivates
MO000020628, MO000042946, inactivates
MO000030859, MO000089506, inactivates
MO000256146, MO000089506, inactivates
MO000032335, MO000016989, inactivates
MO000089506, MO000016989, inactivates
MO000004677, MO000009253, inactivates
MO000038235, MO000007830, inactivates
MO000038235, MO000058921, inactivates
MO000082690, MO000007830, inactivates
MO000057832, MO000038235, activates
MO000017421, MO000016989, inactivates
MO000022227, MO000019469, inactivates
MO000023311, MO000056491, inactivates
MO000056625, MO000056491, inactivates
MO000082840, MO000019973, inactivates
MO000060747, MO000019973, inactivates
MO000082846, MO000019973, inactivates
MO000079236, MO000019973, inactivates
MO000019469, MO000016677, activates
MO000021736, MO000057832, inactivates
MO000004677, MO000019780, inactivates
MO000137417, MO000019780, inactivates
MO000079049, MO000019780, inactivates
MO000004677, MO000057832, inactivates
MO000137417, MO000057832, inactivates
MO000079049, MO000057832, inactivates
MO000004681, MO000019780, inactivates
MO000056625, MO000019230, inactivates
MO000023311, MO000056491, activates
MO000021287, MO000023445, activates
MO000085607, MO000085589, inactivates
MO000031000, MO000019469, inactivates
MO000256146, MO000019469, inactivates
MO000030859, MO000058322, inactivates
MO000256146, MO000058322, inactivates
MO000215353, MO000056483, inactivates
MO000215353, MO000019469, inactivates
MO000215353, MO000058322, inactivates
MO000215353, MO000022448, inactivates
MO000019975, MO000056654, inactivates
MO000007821, MO000007830, inactivates
MO000007821, MO000058921, inactivates
MO000256146, MO000007830, inactivates
MO000030859, MO000058921, inactivates
MO000033978, MO000058921, inactivates
MO000030998, MO000058921, inactivates
MO000256146, MO000058921, inactivates
MO000030859, MO000007830, inactivates
MO000033978, MO000007830, inactivates
MO000030998, MO000007830, inactivates
MO000023311, MO000023575, inactivates
MO000017421, MO000019469, inactivates
MO000017421, MO000058322, inactivates
MO000087569, MO000019469, inactivates
MO000087569, MO000058322, inactivates
MO000256946, MO000019469, inactivates
MO000256946, MO000058322, inactivates
MO000087569, MO000018137, inactivates
MO000087569, MO000256946, inactivates
MO000059566, MO000023578, activates
MO000020004, MO000023575, inactivates
MO000020628, MO000020362, inactivates
MO000004928, MO000020397, activates
MO000022448, MO000023615, activates
MO000093578, MO000084601, activates
MO000019975, MO000030911, inactivates
MO000082840, MO000019469, inactivates
MO000082840, MO000058322, inactivates
MO000060747, MO000019469, inactivates
MO000082846, MO000019469, inactivates
MO000060747, MO000058322, inactivates
MO000082846, MO000058322, inactivates
MO000085632, MO000019469, inactivates
MO000085632, MO000058322, inactivates
MO000085628, MO000019469, inactivates
MO000085628, MO000058322, inactivates
MO000019973, MO000030911, activates
