ID	UniProt ID	average_intensity
ENSG00000032389	Q53HC9	90.8
ENSG00000032444	Q8IY17-2	6.23
ENSG00000033011	Q9BT22	82.4
ENSG00000033030	Q6NZY4	24.3
ENSG00000033050	Q9UG63	230.0
ENSG00000033178	A0AVT1	216.0
ENSG00000033627	Q93050-1,Q93050-3	38.6
ENSG00000033800	O75925	8.52
ENSG00000034152	P46734	80.2
ENSG00000034510	P63313	3180.0
ENSG00000034693	P56589	59.6
ENSG00000034713	P60520	5.89
ENSG00000035141	Q96C01	192.0
ENSG00000035403	P18206-2	946.0
ENSG00000035681	Q92636	24.0
ENSG00000035687	P30520	1210.0
ENSG00000035928	P35251-2	13.8
ENSG00000036054	Q9NUY8,Q9NUY8-2	2.88
ENSG00000036257	Q13618	52.2
ENSG00000037241	Q9UNX3	4350.0
ENSG00000037280	P35916-1	470.0
ENSG00000037474	Q08J23	280.0
ENSG00000037637	Q6P3S6	21.0
ENSG00000037749	P55082-2	9.85
ENSG00000037757	Q9BV20	147.0
ENSG00000037897	Q9UBP6	108.0
ENSG00000038219	Q8NFC6	1.77
ENSG00000038274	Q9NZL9,Q9NZL9-2	1030.0
ENSG00000038358	Q6P2E9	150.0
ENSG00000038382	O75962	0.168
ENSG00000038427	P13611	12.8
ENSG00000039068	P12830	30.8
ENSG00000039123	P42285	140.0
ENSG00000039319	Q7Z3T8	7.32
ENSG00000039560	Q9P0K7	19.2
ENSG00000039650	Q96T60	72.5
ENSG00000041353	O00194	324.0
ENSG00000041357	P25789	1520.0
ENSG00000041802	Q9H089	20.9
ENSG00000041982	P24821-5	3.73
ENSG00000042088	Q9NUW8	14.3
ENSG00000042429	Q9NVC6	24.0
ENSG00000042493	P40121	3400.0
ENSG00000042753	P53680	158.0
ENSG00000043093	Q96GG9	184.0
ENSG00000044090	Q14999	6.16
ENSG00000044115	P35221	616.0
ENSG00000044446	P46019	4.97
ENSG00000044574	P11021	12400.0
ENSG00000046604	Q14126	656.0
ENSG00000047056	Q9Y2I8	101.0
ENSG00000047188	Q9H6S0	30.7
ENSG00000047230	Q9NRF8	85.8
ENSG00000047249	Q9UI12-2	117.0
ENSG00000047410	P12270	192.0
ENSG00000047579	Q96EV8	25.3
ENSG00000047644	Q9ULE0	15.5
ENSG00000047849	P27816,P27816-5	1130.0
ENSG00000047932	Q9HD26,Q9HD26-2	70.4
ENSG00000048028	Q96RU2-2	31.3
ENSG00000048162	Q9Y3C1	277.0
ENSG00000048392	Q7LG56	71.9
ENSG00000048405	Q2TB10	10.1
ENSG00000048544	P82664	149.0
ENSG00000048649	Q96T23	4.16
ENSG00000048707	Q5THJ4-2	2.37
ENSG00000048828	Q9NZB2	377.0
ENSG00000049239	O95479	6.18
ENSG00000049245	Q15836	741.0
ENSG00000049247	O95399	8.03
ENSG00000049283	Q9H201	23.2
ENSG00000049449	Q15293	916.0
ENSG00000049541	P35250	74.1
ENSG00000049656	Q96KA5-2	38.1
ENSG00000049759	Q96PU5-7	5.21
ENSG00000049860	P07686	250.0
ENSG00000050393	Q96AQ8	1.3
ENSG00000050405	Q9UHB6,Q9UHB6-4	113.0
ENSG00000050748	P45984-2	36.4
ENSG00000051009	Q8N612	11.5
ENSG00000051128	Q9NSC5	18.6
ENSG00000051382	P42338	73.4
ENSG00000051596	Q96J01	226.0
ENSG00000051620	Q9Y5Z4	1170.0
ENSG00000052126	Q9HAU0	11.5
ENSG00000052749	Q5JTH9	203.0
ENSG00000052802	Q15800	22.4
ENSG00000053371	O43488	461.0
