ID	UniProt ID	average_intensity
ENSG00000088367	Q9H4G0,Q9H4G0-2,Q9H4G0-4	720.0
ENSG00000088387	Q9BZ29-4	6.4
ENSG00000088448	Q9NXR5	0.39
ENSG00000088682	O75208	390.0
ENSG00000088808	Q96KQ4	9.84
ENSG00000088832	P62942	6620.0
ENSG00000088833	Q9UNZ2,Q9UNZ2-4,Q9UNZ2-5	678.0
ENSG00000088888	Q7Z434	512.0
ENSG00000088930	Q9H0D6	229.0
ENSG00000088986	P63167	2170.0
ENSG00000089006	Q9Y5X3	149.0
ENSG00000089009	Q02878	5830.0
ENSG00000089048	Q9H501	21.3
ENSG00000089050	O75884	131.0
ENSG00000089063	Q96A57	3.91
ENSG00000089127	P00973	10.1
ENSG00000089154	Q92616	392.0
ENSG00000089159	P49023-2	557.0
ENSG00000089177	Q96L93-6	3.45
ENSG00000089195	Q9UJA5	93.3
ENSG00000089220	P30086	7770.0
ENSG00000089248	P30040	1280.0
ENSG00000089280	P35637-2	1740.0
ENSG00000089289	P78318	53.5
ENSG00000089356	Q14802-2	10.7
ENSG00000089597	Q14697-2	2560.0
ENSG00000089639	Q9P107	15.4
ENSG00000089693	Q15773	14.7
ENSG00000089737	Q9GZR7	43.2
ENSG00000090013	P30043	1560.0
ENSG00000090054	O15269	131.0
ENSG00000090060	P51003	45.6
ENSG00000090097	P57723	18.6
ENSG00000090273	Q9Y266	1490.0
ENSG00000090316	Q7L5Y9	7.01
ENSG00000090372	Q9NRL3	26.9
ENSG00000090432	Q969V5	3.1
ENSG00000090447	Q01664	1.68
ENSG00000090487	Q9NZD8	90.9
ENSG00000090520	Q9UBS4	211.0
ENSG00000090530	Q8IVL5	38.7
ENSG00000090615	Q08378	27.7
ENSG00000090621	Q13310-3	1160.0
ENSG00000090686	Q86UV5	15.2
ENSG00000090857	Q8NCN5	26.3
ENSG00000090861	P49588	900.0
ENSG00000090863	Q92896	97.1
ENSG00000090889	O95239	14.6
ENSG00000090905	Q8NDV7-6	10.6
ENSG00000090989	Q9NV70	17.4
ENSG00000091009	Q9P2N5	41.3
ENSG00000091039	Q9BZF1	27.8
ENSG00000091127	Q96PZ0	68.2
ENSG00000091136	P07942	144.0
ENSG00000091140	P09622	2140.0
ENSG00000091164	O43396	919.0
ENSG00000091317	Q9NX76	3.43
ENSG00000091409	P23229-2	685.0
ENSG00000091436	Q9NYL2,Q9NYL2-2	7.45
ENSG00000091483	P07954-2	5420.0
ENSG00000091527	Q9UKY7,Q9UKY7-2	1040.0
ENSG00000091542	Q6P6C2	13.4
ENSG00000091583	P02749	0.278
ENSG00000091640	O75391	92.2
ENSG00000092010	Q06323	2130.0
ENSG00000092094	Q9NPF4	91.6
ENSG00000092098	Q96EP0	191.0
ENSG00000092108	Q8WVM8	255.0
ENSG00000092148	Q9ULT8	16.2
ENSG00000092199	P07910,P07910-2	11700.0
ENSG00000092201	Q9Y5B9	375.0
ENSG00000092531	O00161,O00161-2	151.0
ENSG00000092621	O43175	4490.0
ENSG00000092820	P15311	3010.0
ENSG00000092841	P60660	9910.0
ENSG00000092847	Q9UL18	22.4
ENSG00000092964	Q16555	3150.0
ENSG00000092978	Q9NW75,Q9NW75-2	14.7
ENSG00000093000	Q9UKX7	124.0
ENSG00000093010	P21964-2	1060.0
ENSG00000093144	Q9NTX5-2	9.09
ENSG00000093167	Q9Y608-2,Q9Y608-4	141.0
ENSG00000094631	Q9UBN7	11.0
ENSG00000094796	Q15323	3.5
ENSG00000094880	Q9UJX2	15.7
ENSG00000094914	Q9NRG9	63.6
ENSG00000094916	P45973	448.0
ENSG00000095002	P43246	64.7
ENSG00000095059	P49366	35.0
ENSG00000095066	Q96ED9-2	6.55
ENSG00000095139	P48444	788.0
ENSG00000095209	Q9NVV0	2.47
ENSG00000095261	Q16401	541.0
ENSG00000095319	Q5SRE5	27.3
ENSG00000095321	P43155	8.31
ENSG00000095380	Q9NR45	818.0
ENSG00000095485	Q69YN2	16.0
ENSG00000095564	O14981	6.14
ENSG00000095787	Q9BTA9	59.9
ENSG00000095906	Q9Y5Y2	153.0
ENSG00000096060	Q13451	124.0
ENSG00000096063	Q96SB4	240.0
ENSG00000096080	Q9NVS2	149.0
ENSG00000096384	P08238	17700.0
ENSG00000096401	Q99459	168.0
ENSG00000096433	Q14573	13.7
ENSG00000096696	P15924	833.0
ENSG00000096717	Q96EB6	2.02
ENSG00000096746	P31942	1040.0
ENSG00000096872	Q96LB3	59.6
ENSG00000097007	P00519-2	20.8
ENSG00000097021	O00154,O00154-4,O00154-5	1610.0
ENSG00000097033	Q9Y371	185.0
ENSG00000099194	O00767	429.0
ENSG00000099203	Q13445	75.4
ENSG00000099204	O14639-2	29.5
ENSG00000099219	Q7Z2K6	8.95
ENSG00000099246	Q9NP72	280.0
ENSG00000099256	Q9NRG1	113.0
ENSG00000099284	Q9P0M6	474.0
ENSG00000099290	Q641Q2	38.2
ENSG00000099331	Q13459	2.77
ENSG00000099341	P48556	404.0
ENSG00000099385	Q8WUZ0	1.48
ENSG00000099622	Q14011	272.0
ENSG00000099624	P30049	2130.0
ENSG00000099783	P52272	2850.0
ENSG00000099795	P17568	85.9
ENSG00000099797	Q9NZ01	663.0
ENSG00000099800	Q9Y5L4	739.0
ENSG00000099804	P49427	1060.0
ENSG00000099812	Q8IVT2	3.02
ENSG00000099814	Q9Y4F5-2	4.2
ENSG00000099817	P19388	203.0
ENSG00000099821	O00411	0.423
ENSG00000099899	Q8IZ69	16.6
ENSG00000099901	P43487	2130.0
ENSG00000099917	Q96RN5-3	9.2
ENSG00000099937	P05546	3.23
ENSG00000099940	O95721	68.5
ENSG00000099942	P46109	414.0
ENSG00000099956	Q12824,Q12824-2	28.2
ENSG00000099968	Q9BXK5	346.0
ENSG00000099977	P30046	7860.0
ENSG00000099992	Q9BXI6	14.4
ENSG00000099995	Q15459	413.0
ENSG00000100003	O76054	16.0
ENSG00000100023	Q13356	17.7
ENSG00000100029	O00541,O00541-2	154.0
ENSG00000100030	P28482	532.0
ENSG00000100034	P49593	33.5
ENSG00000100038	O95985	30.1
ENSG00000100056	Q96DF8	11.6
ENSG00000100075	P53007	523.0
ENSG00000100077	P35626	4.51
ENSG00000100083	Q9UJY5	15.0
ENSG00000100097	P09382	60200.0
ENSG00000100104	Q9UH36	2.28
ENSG00000100105	Q9HBE1-4	7.82
ENSG00000100106	Q9H2D6-5	25.0
ENSG00000100109	Q9UBB9	23.0
ENSG00000100116	O75600	7.4
ENSG00000100124	Q6NXT1	17.2
ENSG00000100129	Q9Y262	765.0
ENSG00000100139	Q8N3F8	82.4
ENSG00000100142	P61218	133.0
ENSG00000100147	Q9H6E4	7.08
ENSG00000100207	Q9UGU0	1.57
ENSG00000100209	Q8IWL3	4.98
ENSG00000100216	Q9NS69	1200.0
ENSG00000100220	Q9Y3I0	948.0
ENSG00000100225	Q9Y3I1	30.6
ENSG00000100226	O00178	51.1
ENSG00000100227	Q9BY77,Q9BY77-2	106.0
ENSG00000100234	P35625	52.8
ENSG00000100239	O75170-4	25.6
ENSG00000100241	O95248,O95248-4	18.4
ENSG00000100242	Q9UH99	33.4
ENSG00000100243	P00387-2	1840.0
ENSG00000100258	Q9BU23-2	63.5
ENSG00000100266	Q9UNF0,Q9UNF0-2	156.0
ENSG00000100280	Q10567-2,Q10567-3	802.0
ENSG00000100281	Q9UGU5	17.0
ENSG00000100284	O60784,O60784-2	14.9
ENSG00000100294	Q8IVS2	69.7
ENSG00000100296	Q13769	20.4
ENSG00000100297	P33992	254.0
ENSG00000100300	P30536	4870.0
ENSG00000100304	Q14166	858.0
ENSG00000100316	P39023	5440.0
ENSG00000100320	O43251-6	21.6
ENSG00000100324	Q15750	53.1
ENSG00000100325	Q9H1I8	31.9
ENSG00000100345	P35579	4190.0
ENSG00000100347	Q9Y512	294.0
ENSG00000100348	Q99757	283.0
ENSG00000100353	O15371	647.0
ENSG00000100354	Q9UPQ9-1	6.91
ENSG00000100360	Q9BW83	111.0
ENSG00000100364	Q6ICG6-3	3.29
ENSG00000100380	P50502	2300.0
ENSG00000100387	P62877	1.0
ENSG00000100393	Q09472	0.276
ENSG00000100401	P46060	516.0
ENSG00000100403	Q9UGR2-2	4.37
ENSG00000100410	Q7RTV0	439.0
ENSG00000100412	Q99798	2150.0
ENSG00000100416	O75648	16.2
ENSG00000100417	Q92871	466.0
ENSG00000100418	Q6ICB0	16.3
ENSG00000100425	O95696	933.0
ENSG00000100441	O15037	1.83
ENSG00000100442	Q00688	971.0
ENSG00000100462	O14744	504.0
ENSG00000100504	P06737	1190.0
ENSG00000100519	P62333	970.0
ENSG00000100522	Q96EK6	468.0
ENSG00000100528	O95406	61.5
ENSG00000100554	Q9Y5K8	50.1
ENSG00000100558	Q9NYT0	16.4
ENSG00000100567	P25788-2	1170.0
ENSG00000100568	Q9UEU0	10.3
ENSG00000100575	Q9Y5J7	569.0
ENSG00000100580	Q6PL24	13.4
ENSG00000100591	O95433	878.0
ENSG00000100596	O15270	23.7
ENSG00000100603	Q13573	96.6
ENSG00000100605	Q13572	49.6
ENSG00000100612	Q9Y394	306.0
ENSG00000100614	P35813	70.3
ENSG00000100632	P84090	1910.0
ENSG00000100650	Q13243	252.0
ENSG00000100664	P55010	332.0
ENSG00000100697	Q9UPY3	5.29
ENSG00000100714	P11586	1560.0
ENSG00000100722	Q6PJT7,Q6PJT7-2,Q6PJT7-3	73.7
ENSG00000100726	Q9Y4R8	8.01
ENSG00000100744	Q9P0R6	133.0
ENSG00000100749	Q99986	53.6
ENSG00000100764	P62191	926.0
ENSG00000100784	O75582	1.6
ENSG00000100796	Q6IN85	29.3
ENSG00000100804	P28074	1310.0
ENSG00000100811	P25490	123.0
ENSG00000100813	Q9UKV3-5	209.0
ENSG00000100815	Q15643	11.3
ENSG00000100823	P27695	1540.0
ENSG00000100836	Q86U42-2	371.0
ENSG00000100852	Q13017-2	2.48
ENSG00000100865	Q9BW66	1.38
ENSG00000100883	P61011	322.0
ENSG00000100888	Q9HCK8	3.35
ENSG00000100889	Q16822	717.0
ENSG00000100890	O15091	13.6
ENSG00000100897	Q8TEB1	3.95
ENSG00000100902	P60900	2310.0
ENSG00000100911	Q9UL46	971.0
ENSG00000100934	Q15436	355.0
ENSG00000100938	Q9P2T1	219.0
ENSG00000100941	Q9H307	119.0
ENSG00000100949	Q92696	341.0
ENSG00000100982	Q9H4Z3	5.79
ENSG00000100983	P48637	610.0
ENSG00000100994	P11216	5640.0
ENSG00000100997	Q8N2K0	7.28
ENSG00000101000	Q9UNN8	5.6
ENSG00000101040	Q9ULU4-12,Q9ULU4-13,Q9ULU4-7	5.43
ENSG00000101109	Q13043	53.4
ENSG00000101126	Q9H2P0	49.1
ENSG00000101132	Q9NQP4	394.0
ENSG00000101138	Q05048	204.0
ENSG00000101146	P78406	278.0
ENSG00000101150	O43399,O43399-5	1420.0
ENSG00000101152	Q9H3Z4,Q9H3Z4-2	107.0
ENSG00000101160	Q9UBR2	4170.0
ENSG00000101161	O94906	56.6
ENSG00000101162	Q9H4B7	13100.0
ENSG00000101181	Q9H4K7	48.3
ENSG00000101182	O14818	1980.0
ENSG00000101189	Q9NV56	30.6
ENSG00000101191	Q9BTC0	14.2
ENSG00000101193	Q9NWU2	45.3
ENSG00000101199	Q8N6T3	44.7
ENSG00000101216	Q9UKD1	2.29
ENSG00000101220	Q9GZN8	243.0
ENSG00000101246	Q13795	28.0
ENSG00000101294	Q8TCT9-2,Q8TCT9-5	305.0
ENSG00000101310	Q15437	238.0
ENSG00000101335	P24844	3200.0
ENSG00000101336	P08631-2	54.3
ENSG00000101337	Q92544	629.0
ENSG00000101343	Q9BZJ0-2	15.5
ENSG00000101346	Q9H488	251.0
ENSG00000101347	Q9Y3Z3	998.0
ENSG00000101350	O15066	3.24
ENSG00000101361	O00567	868.0
ENSG00000101365	O43837	563.0
ENSG00000101367	Q15691	1150.0
ENSG00000101391	Q96SZ6-3	36.2
ENSG00000101407	O43156	6.66
ENSG00000101413	Q9NQG5	191.0
ENSG00000101421	Q9H444	190.0
ENSG00000101439	P01034	4.61
ENSG00000101442	Q9H9F9	2.47
ENSG00000101444	P23526	5830.0
ENSG00000101457	Q9H147	1.58
ENSG00000101464	Q9H490-2	17.0
ENSG00000101473	O14734	63.8
ENSG00000101474	Q9HDC9	869.0
ENSG00000101557	P54578	943.0
ENSG00000101558	Q9P0L0,Q9P0L0-2	2130.0
ENSG00000101577	Q92539	1.75
ENSG00000101596	A6NHR9	29.3
ENSG00000101608	P19105	5220.0
ENSG00000101654	O43148	29.0
ENSG00000101811	P33240-2	88.1
ENSG00000101843	O75832	951.0
ENSG00000101849	O60907-2	65.7
ENSG00000101856	O00264	466.0
ENSG00000101868	P09884	38.6
ENSG00000101882	Q8N5F7	62.1
ENSG00000101911	P11908-2	632.0
ENSG00000101940	Q9H1Z4	7.91
ENSG00000101966	P98170	1.84
ENSG00000101972	Q8N3U4-2	27.0
ENSG00000101974	Q8NB49-2	0.661
ENSG00000101997	O60826	25.3
ENSG00000102007	Q04941	1010.0
ENSG00000102024	P13797	1580.0
ENSG00000102030	P41227	758.0
ENSG00000102048	Q96DX5-3	16.6
ENSG00000102054	Q16576,Q16576-2	1340.0
ENSG00000102081	Q06787-5,Q06787-6,Q06787-8	72.6
ENSG00000102098	Q9UQR0	5.56
ENSG00000102103	O60828	97.3
ENSG00000102119	P50402	546.0
ENSG00000102144	P00558	16500.0
ENSG00000102158	Q9H0U3	29.0
ENSG00000102172	P52788	424.0
ENSG00000102178	P11441	34.3
ENSG00000102181	Q8TCZ2	19.1
ENSG00000102189	Q15075	104.0
ENSG00000102218	O75695	14.2
ENSG00000102225	Q00536	24.5
ENSG00000102241	O43719	16.3
ENSG00000102290	Q9BZA7-7	1.6
ENSG00000102302	P98174	0.255
ENSG00000102309	Q9Y237,Q9Y237-2	123.0
ENSG00000102316	Q9UNF1	2.43
ENSG00000102317	P98179	307.0
ENSG00000102390	Q9BVG4	236.0
ENSG00000102393	P06280	206.0
ENSG00000102531	Q9Y2H6-2	15.0
ENSG00000102547	Q9H9S4	0.413
ENSG00000102580	Q13217	179.0
ENSG00000102595	Q9NYU1	5.82
ENSG00000102606	Q14155-1	91.0
ENSG00000102699	Q9UKK3	6.05
ENSG00000102738	Q92665	261.0
ENSG00000102753	O00505	676.0
ENSG00000102755	P17948	27.5
ENSG00000102763	A3KMH1-3	3.51
ENSG00000102781	Q9BW62	27.0
ENSG00000102786	Q9UL03	9.68
ENSG00000102804	Q15714,Q15714-2	124.0
ENSG00000102870	Q9UEG4	0.236
ENSG00000102879	P31146	42.2
ENSG00000102882	P27361	233.0
ENSG00000102893	Q93100-4	7.46
ENSG00000102898	P61970	4500.0
ENSG00000102900	Q8N1F7	270.0
ENSG00000102908	O94916	2.25
ENSG00000102910	Q86WA8	62.1
ENSG00000102921	O75113	12.3
ENSG00000102931	Q9Y2Y0-2	59.3
ENSG00000102967	Q02127	18.6
ENSG00000102974	P49711	21.7
ENSG00000102978	P19387	115.0
ENSG00000103018	O43169	636.0
ENSG00000103024	Q13232	23.7
ENSG00000103035	P51665	1070.0
ENSG00000103043	Q08AM6	17.5
ENSG00000103051	Q9H9E3	27.7
ENSG00000103064	Q92536	61.3
ENSG00000103121	Q9NRP2	222.0
ENSG00000103150	O95822	16.7
ENSG00000103160	Q3SXM5	321.0
ENSG00000103187	Q14019	2430.0
ENSG00000103194	Q14694	187.0
ENSG00000103197	P49815-4	7.87
ENSG00000103257	Q01650	2190.0
ENSG00000103266	Q9UNE7	190.0
ENSG00000103274	P53384-2	21.7
ENSG00000103275	P63279	902.0
ENSG00000103342	P15170-2	868.0
ENSG00000103356	Q5JPH6	25.3
ENSG00000103363	Q15370	1540.0
ENSG00000103365	Q9UJY4	0.835
ENSG00000103381	Q9BRF8	183.0
ENSG00000103415	P30519	282.0
ENSG00000103423	Q96EY1	133.0
ENSG00000103460	O15405-2	9.96
ENSG00000103495	P56270	9.96
ENSG00000103496	Q12846	44.8
ENSG00000103507	O14874	12.2
ENSG00000103510	Q9H7Z6	16.6
ENSG00000103512	Q15155	246.0
ENSG00000103544	Q7Z3J2	24.5
ENSG00000103549	O75150	13.1
ENSG00000103550	Q1ED39	12.7
ENSG00000103591	Q6PD74	42.1
ENSG00000103642	P83111	26.2
ENSG00000103653	P41240	103.0
ENSG00000103657	Q15751	27.4
ENSG00000103671	Q15650	14.1
ENSG00000103707	Q96DP5	1.24
ENSG00000103723	Q13367	15.7
ENSG00000103769	P62491	1630.0
ENSG00000103811	P09668	6.09
ENSG00000103876	P16930	500.0
ENSG00000103966	Q9H223	377.0
ENSG00000103978	Q8NBN3	10.6
ENSG00000103994	Q9H2Y7	16.7
ENSG00000104064	Q06547-2	36.7
ENSG00000104067	Q07157	83.6
ENSG00000104129	Q9NVM6	43.2
ENSG00000104131	O75822	515.0
ENSG00000104142	Q9P253	7.11
ENSG00000104164	Q9UL45	3.07
ENSG00000104205	Q96BR1	0.524
ENSG00000104231	Q8TCF1	7.6
ENSG00000104267	P00918	56.3
ENSG00000104299	Q9NV88-2	25.3
ENSG00000104312	O43353	0.353
ENSG00000104320	O60934	34.3
ENSG00000104327	P05937	3.3
ENSG00000104331	Q9NX62	105.0
ENSG00000104332	Q8N474	1.27
ENSG00000104356	Q99575	159.0
ENSG00000104365	O14920	58.9
ENSG00000104381	Q8TB36	31.7
ENSG00000104388	P61019	1430.0
ENSG00000104408	P60228	810.0
ENSG00000104412	Q15006	133.0
ENSG00000104413	Q6NXG1,Q6NXG1-4	8.94
ENSG00000104419	Q92597	1530.0
ENSG00000104427	Q96GY0	73.2
ENSG00000104442	Q9NVT9	88.6
ENSG00000104447	Q9UHF7	1920.0
ENSG00000104450	Q07617	11.0
ENSG00000104472	Q9NRG0	126.0
ENSG00000104490	P61601	98.1
ENSG00000104497	P57768-2	9.57
ENSG00000104517	O95071	15.9
ENSG00000104518	P57764	66.7
ENSG00000104522	Q13630	1250.0
ENSG00000104524	Q53H96	435.0
ENSG00000104529	P29692-2,P29692-3	5610.0
ENSG00000104549	Q14534	214.0
ENSG00000104611	Q9H788	28.0
ENSG00000104613	Q9NVR2	0.0928
ENSG00000104626	Q8IV48	56.4
ENSG00000104643	Q96QG7	7.41
ENSG00000104671	O00399	66.5
ENSG00000104679	Q9Y3T6	18.8
ENSG00000104687	P00390-2	584.0
ENSG00000104691	O00124	0.0749
ENSG00000104695	P62714	801.0
ENSG00000104714	Q86X53	14.7
ENSG00000104728	O15013-7	1.09
ENSG00000104774	O00754	11.2
ENSG00000104805	Q02818	318.0
ENSG00000104812	P13807	157.0
ENSG00000104823	Q13011	1230.0
ENSG00000104824	P14866	3190.0
ENSG00000104825	Q15653	46.8
ENSG00000104833	P04350	66600.0
ENSG00000104835	Q9NP81	125.0
ENSG00000104852	P08621	533.0
ENSG00000104853	O96005	82.8
ENSG00000104856	Q01201	0.115
ENSG00000104859	Q8N2M8	1170.0
ENSG00000104872	Q9NWS0	71.2
ENSG00000104881	Q8WUF5	91.8
ENSG00000104884	P18074	8.89
ENSG00000104889	O75792	20.1
ENSG00000104892	Q6P597	34.2
ENSG00000104897	Q15428	172.0
ENSG00000104907	Q9NXH9	49.0
ENSG00000104946	Q9HA65	3.22
ENSG00000104964	Q08117	30.9
ENSG00000104969	O43765	786.0
ENSG00000104973	Q71SY5-5	0.433
ENSG00000104979	Q9UNZ5	126.0
ENSG00000104980	O43615	310.0
ENSG00000105063	Q9UPN7	36.9
ENSG00000105127	O43823	15.1
ENSG00000105135	A1L0T0	246.0
ENSG00000105171	O95707	21.6
ENSG00000105176	O94763	38.7
ENSG00000105185	O14737	1110.0
ENSG00000105186	Q96NW4	57.2
ENSG00000105193	P62249	7350.0
ENSG00000105197	Q3ZCQ8	521.0
ENSG00000105202	P22087	2350.0
ENSG00000105204	Q9Y463-2	0.825
ENSG00000105220	P06744	8870.0
ENSG00000105221	P31751	19.3
ENSG00000105223	Q8IV08	139.0
ENSG00000105245	Q9Y6R0	30.1
ENSG00000105248	Q9BW85	8.22
ENSG00000105254	Q99426	319.0
ENSG00000105258	P36954	48.4
ENSG00000105281	Q15758	1060.0
ENSG00000105287	Q9BZL6	7.0
ENSG00000105298	Q8WUQ7	14.2
ENSG00000105321	Q9Y3X0	2.65
ENSG00000105323	Q9BUJ2-2	485.0
ENSG00000105329	P01137	1.69
ENSG00000105341	Q9NW81	59.9
ENSG00000105355	O60664	2760.0
ENSG00000105357	Q7Z406-6	310.0
ENSG00000105364	Q9BYD3	256.0
ENSG00000105372	P39019	5880.0
ENSG00000105373	Q9NZM5	7.68
ENSG00000105379	P38117	2790.0
ENSG00000105401	Q16543	485.0
ENSG00000105402	P54920	371.0
ENSG00000105404	Q9UI14	6.19
ENSG00000105409	P13637	716.0
ENSG00000105443	Q99418-2	5.29
ENSG00000105447	Q9BQ67	442.0
ENSG00000105486	P18858	7.12
ENSG00000105514	O95716	195.0
ENSG00000105552	O15382	1140.0
ENSG00000105568	P30153	2060.0
ENSG00000105576	O14787-2	161.0
ENSG00000105607	Q92947	222.0
ENSG00000105618	Q8WWY3	149.0
ENSG00000105639	P52333-2	31.3
ENSG00000105640	Q02543	2480.0
ENSG00000105647	O00459	5.88
ENSG00000105649	P20336	52.6
ENSG00000105656	P55199	392.0
ENSG00000105662	Q6UUV9	0.697
ENSG00000105669	O14579	988.0
ENSG00000105671	Q9Y6V7	4.39
ENSG00000105675	P20648	158.0
ENSG00000105676	Q6NXE6	39.4
ENSG00000105679	O14556	4480.0
ENSG00000105701	Q14318,Q14318-2	159.0
ENSG00000105705	Q8IWZ8	14.6
ENSG00000105723	P49840	89.4
ENSG00000105726	Q9HD20-2	50.4
ENSG00000105738	O60292	8.96
ENSG00000105755	O95571	1760.0
ENSG00000105771	Q9H0W8	42.8
ENSG00000105778	Q8NBF6	10.9
ENSG00000105793	A4D1E9	5.14
ENSG00000105810	Q00534	53.9
ENSG00000105819	O75439	517.0
ENSG00000105821	Q99543	30.9
ENSG00000105829	O15155	6.09
ENSG00000105835	P43490	1560.0
ENSG00000105849	Q3B726	21.0
ENSG00000105854	Q15165	740.0
ENSG00000105875	A4D1P6	0.411
ENSG00000105879	Q75N03	82.3
ENSG00000105887	P58546	2310.0
ENSG00000105926	Q9NZW5	17.5
ENSG00000105939	Q7Z2W4	105.0
ENSG00000105953	Q02218,Q02218-2	526.0
ENSG00000105971	P51636	200.0
ENSG00000105974	Q03135	8.86
ENSG00000105993	O75190,O75190-2	59.5
ENSG00000106004	P20719	10.1
ENSG00000106009	Q6PJG6	23.5
ENSG00000106028	Q04837	2760.0
ENSG00000106049	P31937	764.0
ENSG00000106077	Q8NFV4	146.0
ENSG00000106078	O75128-3	0.785
ENSG00000106105	P41250	1550.0
ENSG00000106153	Q9Y6H1	796.0
ENSG00000106211	P04792	8510.0
ENSG00000106244	Q13442	854.0
ENSG00000106245	P41223	125.0
ENSG00000106261	P17029	8.2
ENSG00000106263	P55884	868.0
ENSG00000106266	Q9Y5X2	3.76
ENSG00000106268	P36639-4	31.6
ENSG00000106290	P49848	1.15
ENSG00000106299	O00401	61.8
ENSG00000106305	Q13155	832.0
ENSG00000106344	Q9NW13	69.8
ENSG00000106351	O95081	0.0295
ENSG00000106355	Q9Y4Y9	52.9
ENSG00000106367	P61966	42.5
ENSG00000106397	O60568	389.0
ENSG00000106399	P35244	446.0
ENSG00000106443	O94880,O94880-2	18.4
ENSG00000106459	Q16656	15.3
ENSG00000106460	Q9NUM4	0.383
ENSG00000106462	Q15910	2.93
ENSG00000106477	Q9BYV8	1.08
ENSG00000106524	Q8IV38	5.27
ENSG00000106526	Q9C0K3	108.0
ENSG00000106537	O95857	8.66
ENSG00000106546	P35869	687.0
ENSG00000106554	Q9NX63	465.0
ENSG00000106571	P10071	0.682
ENSG00000106588	P25787	1950.0
ENSG00000106591	Q9BYC8	215.0
ENSG00000106605	P53004	1100.0
ENSG00000106608	Q8TCY9-2	7.54
ENSG00000106615	Q15382	1930.0
ENSG00000106617	Q9UGJ0-2	1.69
ENSG00000106628	P49005	57.6
ENSG00000106636	O15498	178.0
ENSG00000106638	Q9Y4P3	164.0
ENSG00000106665	Q9UDT6-2	13.2
ENSG00000106682	Q15056	1640.0
ENSG00000106723	Q9Y657	5.37
ENSG00000106733	Q9NWW6-2	14.3
ENSG00000106771	Q9H330-2	50.9
ENSG00000106789	Q92828	19.8
ENSG00000106803	P60468	1100.0
ENSG00000106829	Q04727	0.351
ENSG00000106853	Q14914	131.0
ENSG00000106976	Q05193,Q05193-3	58.7
ENSG00000106992	P00568	1060.0
ENSG00000107020	Q9HBL7	22.8
ENSG00000107105	Q12926	110.0
ENSG00000107130	P62166	2.2
ENSG00000107164	Q96I24	554.0
ENSG00000107223	O60869	413.0
ENSG00000107262	Q99933-4	94.9
ENSG00000107295	Q99962	56.2
ENSG00000107341	Q712K3	36.6
ENSG00000107371	Q9NQT5	122.0
ENSG00000107404	O14640	20.8
ENSG00000107438	O00151	959.0
ENSG00000107554	Q6XZF7	2.68
ENSG00000107560	Q7L804	2.78
ENSG00000107566	O75477	463.0
ENSG00000107581	Q14152	532.0
ENSG00000107625	Q9BQ39	166.0
ENSG00000107643	P45983-3	14.8
ENSG00000107651	Q9Y6Y8	199.0
ENSG00000107669	O95260-2	20.4
ENSG00000107679	Q9HB21	1.03
ENSG00000107758	P16298	106.0
ENSG00000107798	P38571-2	29.6
ENSG00000107819	Q9BWM7	271.0
ENSG00000107833	O75607	1410.0
ENSG00000107862	Q92538	79.1
ENSG00000107863	Q5T5U3	554.0
ENSG00000107874	Q9H467	765.0
ENSG00000107882	Q9UMX1	1.69
ENSG00000107897	Q5T8D3,Q5T8D3-2	41.7
ENSG00000107902	Q9H008	162.0
ENSG00000107929	Q92615	70.8
ENSG00000107937	Q9BZE4	291.0
ENSG00000107949	Q9P287,Q9P287-4	512.0
ENSG00000107951	Q9NVV4	69.8
ENSG00000107959	Q5JRX3	407.0
ENSG00000107984	O94907	0.46
ENSG00000108010	O76003	1210.0
ENSG00000108055	Q9UQE7	96.2
ENSG00000108061	Q9UQ13	4.95
ENSG00000108064	Q00059	366.0
ENSG00000108091	Q16204	88.9
ENSG00000108094	Q13617	67.4
ENSG00000108100	Q8ND76-3	123.0
ENSG00000108106	Q16763	1.2
ENSG00000108107	P46779	3180.0
ENSG00000108175	Q9ULJ6	8.83
ENSG00000108179	P30405	1150.0
ENSG00000108219	Q8NG11-2	22.2
ENSG00000108244	Q9C075	3.68
ENSG00000108256	Q7Z417	97.0
ENSG00000108262	Q9Y2X7-3	40.9
ENSG00000108298	P84098	2950.0
ENSG00000108312	P17480	65.4
ENSG00000108344	O43242	722.0
ENSG00000108349	O15234	4.99
ENSG00000108424	Q14974	2660.0
ENSG00000108433	O14653	10.5
ENSG00000108439	Q9NVS9	652.0
ENSG00000108465	Q96JB5	50.8
ENSG00000108468	P83916	523.0
ENSG00000108479	P51570	58.0
ENSG00000108518	P07737	58200.0
ENSG00000108528	Q02978	558.0
ENSG00000108557	Q7Z5J4	8.25
ENSG00000108559	Q99567	50.1
ENSG00000108561	Q07021	7340.0
ENSG00000108578	Q13867	256.0
ENSG00000108582	O75976	46.2
ENSG00000108588	Q96A33	377.0
ENSG00000108591	P55039	105.0
ENSG00000108592	Q8IY81	151.0
ENSG00000108599	O43572	0.49
ENSG00000108602	P30838	1210.0
ENSG00000108604	Q92925	56.0
ENSG00000108639	O43760	364.0
ENSG00000108651	Q9NYH9	33.8
ENSG00000108654	P17844	1930.0
ENSG00000108666	Q9HAS0	12.7
ENSG00000108671	O00231	1350.0
ENSG00000108679	Q08380	2290.0
ENSG00000108774	P51148	1210.0
ENSG00000108784	P54802	5.72
