Initial_state Attr label label2
is_009617 195 Apoptosis Apoptosis_136
is_009705 195 Apoptosis Apoptosis_137
is_009714 195 Apoptosis Apoptosis_138
is_009859 195 Apoptosis Apoptosis_139
is_009928 195 Apoptosis Apoptosis_140
is_010013 195 Apoptosis Apoptosis_141
is_010017 195 Apoptosis Apoptosis_142
is_010019 195 Apoptosis Apoptosis_143
is_010025 195 Apoptosis Apoptosis_144
is_010046 195 Apoptosis Apoptosis_145
is_010138 195 Apoptosis Apoptosis_146
is_010249 284 Leukemia2 Leukemia2_10
is_010273 195 Apoptosis Apoptosis_147
is_010383 195 Apoptosis Apoptosis_148
is_010531 195 Apoptosis Apoptosis_149
is_010533 195 Apoptosis Apoptosis_150
is_010601 195 Apoptosis Apoptosis_151
is_010608 195 Apoptosis Apoptosis_152
is_010628 195 Apoptosis Apoptosis_153
is_010634 195 Apoptosis Apoptosis_154
is_010640 195 Apoptosis Apoptosis_155
is_010681 195 Apoptosis Apoptosis_156
is_010787 195 Apoptosis Apoptosis_157
is_010840 195 Apoptosis Apoptosis_158
is_010917 195 Apoptosis Apoptosis_159
is_010953 195 Apoptosis Apoptosis_160
is_011004 195 Apoptosis Apoptosis_161
is_011042 195 Apoptosis Apoptosis_162
is_011049 195 Apoptosis Apoptosis_163
is_011053 195 Apoptosis Apoptosis_164
is_011084 195 Apoptosis Apoptosis_165
is_011115 195 Apoptosis Apoptosis_166
is_011249 195 Apoptosis Apoptosis_167
is_011300 195 Apoptosis Apoptosis_168
is_011307 195 Apoptosis Apoptosis_169
is_011384 195 Apoptosis Apoptosis_170
is_011394 195 Apoptosis Apoptosis_171
is_011546 195 Apoptosis Apoptosis_172
is_011760 195 Apoptosis Apoptosis_173
is_011771 195 Apoptosis Apoptosis_174
is_011824 195 Apoptosis Apoptosis_175
is_011836 195 Apoptosis Apoptosis_176
is_011860 195 Apoptosis Apoptosis_177
is_012215 195 Apoptosis Apoptosis_178
is_012349 195 Apoptosis Apoptosis_179
is_012367 195 Apoptosis Apoptosis_180
is_012472 195 Apoptosis Apoptosis_181
is_012507 195 Apoptosis Apoptosis_182
is_012590 195 Apoptosis Apoptosis_183
is_012626 195 Apoptosis Apoptosis_184
is_012728 195 Apoptosis Apoptosis_185
is_012782 195 Apoptosis Apoptosis_186
is_012825 195 Apoptosis Apoptosis_187
is_013052 195 Apoptosis Apoptosis_188
is_013153 195 Apoptosis Apoptosis_189
is_013176 195 Apoptosis Apoptosis_190
is_013250 195 Apoptosis Apoptosis_191
is_013396 195 Apoptosis Apoptosis_192
is_013399 195 Apoptosis Apoptosis_193
is_013495 195 Apoptosis Apoptosis_194
is_013608 195 Apoptosis Apoptosis_195
is_013647 195 Apoptosis Apoptosis_196
is_013673 195 Apoptosis Apoptosis_197
is_013722 195 Apoptosis Apoptosis_198
is_013813 195 Apoptosis Apoptosis_199
is_014213 195 Apoptosis Apoptosis_200
is_014256 195 Apoptosis Apoptosis_201
is_014365 195 Apoptosis Apoptosis_202
is_014397 195 Apoptosis Apoptosis_203
is_014498 195 Apoptosis Apoptosis_204
is_014647 195 Apoptosis Apoptosis_205
is_014674 195 Apoptosis Apoptosis_206
is_014870 195 Apoptosis Apoptosis_207
is_014922 195 Apoptosis Apoptosis_208
is_014924 195 Apoptosis Apoptosis_209
is_014949 195 Apoptosis Apoptosis_210
is_015165 195 Apoptosis Apoptosis_211
is_015206 195 Apoptosis Apoptosis_212
is_015308 195 Apoptosis Apoptosis_213
is_015479 195 Apoptosis Apoptosis_214
is_015494 284 Leukemia2 Leukemia2_11
is_015576 195 Apoptosis Apoptosis_215
is_015577 195 Apoptosis Apoptosis_216
is_015629 195 Apoptosis Apoptosis_217
is_015858 195 Apoptosis Apoptosis_218
is_015910 195 Apoptosis Apoptosis_219
is_015989 195 Apoptosis Apoptosis_220
is_016043 195 Apoptosis Apoptosis_221
is_016060 195 Apoptosis Apoptosis_222
is_016086 195 Apoptosis Apoptosis_223
is_016233 195 Apoptosis Apoptosis_224
is_016308 195 Apoptosis Apoptosis_225
is_016353 195 Apoptosis Apoptosis_226
is_016399 195 Apoptosis Apoptosis_227
is_016439 195 Apoptosis Apoptosis_228
is_016445 195 Apoptosis Apoptosis_229
is_016475 195 Apoptosis Apoptosis_230
is_016487 195 Apoptosis Apoptosis_231
is_016499 195 Apoptosis Apoptosis_232
is_016827 195 Apoptosis Apoptosis_233
is_016883 195 Apoptosis Apoptosis_234
is_016912 195 Apoptosis Apoptosis_235
is_016999 195 Apoptosis Apoptosis_236
is_017049 195 Apoptosis Apoptosis_237
is_017122 195 Apoptosis Apoptosis_238
is_017228 195 Apoptosis Apoptosis_239
is_017256 195 Apoptosis Apoptosis_240
is_017300 195 Apoptosis Apoptosis_241
is_017319 195 Apoptosis Apoptosis_242
is_017325 195 Apoptosis Apoptosis_243
is_017422 507 Leukemia1 Leukemia1_1
is_017577 195 Apoptosis Apoptosis_244
is_017921 195 Apoptosis Apoptosis_245
is_017927 195 Apoptosis Apoptosis_246
is_017999 195 Apoptosis Apoptosis_247
is_018100 284 Leukemia2 Leukemia2_12
is_018151 195 Apoptosis Apoptosis_248
is_018212 195 Apoptosis Apoptosis_249
is_018215 195 Apoptosis Apoptosis_250
is_018496 195 Apoptosis Apoptosis_251
is_018564 195 Apoptosis Apoptosis_252
is_018583 195 Apoptosis Apoptosis_253
is_018657 195 Apoptosis Apoptosis_254
is_018662 195 Apoptosis Apoptosis_255
is_018705 195 Apoptosis Apoptosis_256
is_018751 195 Apoptosis Apoptosis_257
is_018781 195 Apoptosis Apoptosis_258
is_018799 195 Apoptosis Apoptosis_259
is_018993 195 Apoptosis Apoptosis_260
is_019001 195 Apoptosis Apoptosis_261
is_019049 195 Apoptosis Apoptosis_262
is_019072 195 Apoptosis Apoptosis_263
is_019088 195 Apoptosis Apoptosis_264
is_019149 195 Apoptosis Apoptosis_265
is_019302 195 Apoptosis Apoptosis_266
is_019420 195 Apoptosis Apoptosis_267
is_019424 195 Apoptosis Apoptosis_268
is_019584 195 Apoptosis Apoptosis_269
is_019620 195 Apoptosis Apoptosis_270
is_019725 195 Apoptosis Apoptosis_271
is_019840 195 Apoptosis Apoptosis_272
is_019866 195 Apoptosis Apoptosis_273
is_020018 195 Apoptosis Apoptosis_274
is_020108 195 Apoptosis Apoptosis_275
is_020127 195 Apoptosis Apoptosis_276
is_020254 195 Apoptosis Apoptosis_277
is_020290 195 Apoptosis Apoptosis_278
is_020409 195 Apoptosis Apoptosis_279
is_020432 195 Apoptosis Apoptosis_280
is_020517 195 Apoptosis Apoptosis_281
is_020540 195 Apoptosis Apoptosis_282
is_020633 195 Apoptosis Apoptosis_283
is_020672 195 Apoptosis Apoptosis_284
is_020678 284 Leukemia2 Leukemia2_13
is_020714 195 Apoptosis Apoptosis_285
is_020752 195 Apoptosis Apoptosis_286
is_020802 195 Apoptosis Apoptosis_287
is_020830 195 Apoptosis Apoptosis_288
is_020885 195 Apoptosis Apoptosis_289
is_021062 284 Leukemia2 Leukemia2_14
is_021162 195 Apoptosis Apoptosis_290
is_021226 195 Apoptosis Apoptosis_291
is_021369 195 Apoptosis Apoptosis_292
is_021420 195 Apoptosis Apoptosis_293
is_021473 195 Apoptosis Apoptosis_294
is_021491 195 Apoptosis Apoptosis_295
is_021537 195 Apoptosis Apoptosis_296
is_021596 195 Apoptosis Apoptosis_297
is_021653 195 Apoptosis Apoptosis_298
is_021826 195 Apoptosis Apoptosis_299
is_021841 195 Apoptosis Apoptosis_300
is_021887 195 Apoptosis Apoptosis_301
is_022166 195 Apoptosis Apoptosis_302
is_022178 195 Apoptosis Apoptosis_303
is_022200 195 Apoptosis Apoptosis_304
is_022218 195 Apoptosis Apoptosis_305
is_022297 195 Apoptosis Apoptosis_306
is_022473 195 Apoptosis Apoptosis_307
is_022532 195 Apoptosis Apoptosis_308
is_022575 195 Apoptosis Apoptosis_309
is_022670 195 Apoptosis Apoptosis_310
is_022838 195 Apoptosis Apoptosis_311
is_022918 195 Apoptosis Apoptosis_312
is_022919 195 Apoptosis Apoptosis_313
is_023034 195 Apoptosis Apoptosis_314
is_023044 195 Apoptosis Apoptosis_315
is_023276 195 Apoptosis Apoptosis_316
is_023400 195 Apoptosis Apoptosis_317
is_023403 195 Apoptosis Apoptosis_318
is_023419 195 Apoptosis Apoptosis_319
is_023476 195 Apoptosis Apoptosis_320
is_023499 195 Apoptosis Apoptosis_321
is_023522 195 Apoptosis Apoptosis_322
is_023709 195 Apoptosis Apoptosis_323
is_023768 195 Apoptosis Apoptosis_324
is_023873 195 Apoptosis Apoptosis_325
is_023879 195 Apoptosis Apoptosis_326
is_023888 195 Apoptosis Apoptosis_327
is_023906 195 Apoptosis Apoptosis_328
is_024029 195 Apoptosis Apoptosis_329
is_024068 195 Apoptosis Apoptosis_330
is_024245 195 Apoptosis Apoptosis_331
is_024495 195 Apoptosis Apoptosis_332
