attr	F_hierarchical_10	F_km_2	F_km_3
attractor184	2	2	2
attractor185	2	2	3
attractor186	2	2	2
attractor187	2	2	2
attractor188	2	2	2
attractor189	1	1	1
attractor190	2	2	3
attractor191	2	2	2
attractor192	3	2	2
attractor193	3	2	2
attractor194	1	1	1
attractor195	1	1	1
attractor196	3	2	2
attractor197	1	2	3
attractor198	2	1	2
attractor199	2	2	3
attractor200	2	2	2
attractor201	1	1	1
attractor202	2	2	3
attractor203	2	2	2
attractor204	2	2	3
attractor205	2	2	3
attractor206	1	1	1
attractor207	2	2	2
attractor208	2	2	2
attractor209	2	2	3
attractor210	2	2	3
attractor211	1	1	1
attractor212	2	2	3
attractor213	1	1	1
attractor214	8	2	2
attractor215	1	1	1
attractor216	2	2	3
attractor217	1	1	1
attractor218	1	1	1
attractor219	2	2	3
attractor220	2	2	2
attractor221	2	2	3
attractor222	2	2	2
attractor223	2	2	2
attractor224	2	2	3
attractor225	2	2	2
attractor226	1	1	1
attractor227	1	1	1
attractor228	2	2	3
attractor229	2	2	3
attractor230	2	2	3
attractor231	2	2	3
attractor232	2	2	3
attractor233	2	2	2
attractor234	2	1	1
attractor235	2	2	2
attractor236	2	2	2
attractor237	2	2	2
attractor238	2	2	3
attractor239	2	2	3
attractor240	2	1	1
attractor241	2	2	3
attractor242	2	2	3
attractor243	2	2	2
attractor244	2	2	3
attractor245	1	1	1
attractor246	2	2	3
attractor247	1	1	1
attractor248	2	2	3
attractor249	2	2	3
attractor250	1	1	1
attractor251	2	2	3
attractor252	2	2	3
attractor253	2	2	3
attractor254	1	1	1
attractor255	2	2	2
attractor256	2	2	3
attractor257	2	2	3
attractor258	1	1	1
attractor259	5	2	2
attractor260	2	2	3
attractor261	1	1	1
attractor262	1	1	1
attractor263	2	2	3
attractor264	1	1	1
attractor265	1	1	1
attractor266	2	2	2
attractor267	1	1	1
attractor268	3	2	3
attractor269	1	1	1
attractor270	2	2	2
attractor271	4	2	3
attractor272	1	1	1
attractor273	1	2	2
attractor274	2	2	3
attractor275	2	1	1
attractor276	4	2	2
attractor277	1	1	1
attractor278	2	2	3
attractor279	2	2	2
attractor280	1	1	1
attractor281	2	1	1
attractor282	3	2	2
attractor283	1	1	1
attractor284	2	2	3
attractor285	1	1	1
attractor286	2	2	2
attractor287	9	2	3
attractor288	2	2	3
attractor289	2	2	3
attractor290	2	2	3
attractor291	2	2	3
attractor292	1	1	1
attractor293	2	2	3
attractor294	2	2	2
attractor295	2	2	3
attractor296	2	2	2
attractor297	1	1	1
attractor298	2	2	3
attractor299	2	2	3
attractor300	1	1	1
attractor301	2	2	2
attractor302	2	2	2
attractor303	2	1	2
attractor304	1	1	1
attractor305	2	2	3
attractor306	2	2	3
attractor307	2	2	2
attractor308	2	2	3
attractor309	2	2	2
attractor310	2	2	3
attractor311	2	1	2
attractor312	2	2	3
attractor313	3	2	3
attractor314	1	2	3
attractor315	1	1	1
attractor316	2	2	3
attractor317	1	1	1
attractor318	2	2	2
attractor319	2	2	2
attractor320	2	2	3
attractor321	2	2	3
attractor322	2	2	3
attractor323	1	1	1
attractor324	2	2	2
attractor325	2	2	2
attractor326	2	2	3
attractor327	2	1	2
attractor328	1	2	3
attractor329	2	2	3
attractor330	2	2	3
attractor331	2	2	2
attractor332	2	2	2
attractor333	3	2	3
attractor334	1	2	3
attractor335	3	2	2
attractor336	1	1	1
attractor337	2	2	3
attractor338	2	2	3
attractor339	2	2	3
attractor340	2	2	3
attractor341	2	2	3
attractor342	1	2	3
attractor343	2	2	2
attractor344	2	2	3
attractor345	2	2	2
attractor346	2	2	3
attractor347	2	2	3
attractor348	2	2	3
attractor349	2	2	3
attractor350	3	2	2
attractor351	2	2	3
attractor352	2	2	3
attractor353	1	1	1
attractor354	2	2	3
attractor355	1	1	1
attractor356	2	2	3
attractor357	1	1	1
attractor358	3	2	3
attractor359	2	2	2
attractor360	2	2	2
attractor361	2	2	2
attractor362	1	1	1
attractor363	2	2	3
attractor364	1	1	1
attractor365	2	2	3
attractor366	2	2	3
attractor367	3	2	3
attractor368	2	2	2
attractor369	2	2	2
attractor370	2	2	3
attractor371	2	2	3
attractor372	1	2	2
attractor373	2	2	2
attractor374	2	2	3
attractor375	2	2	2
attractor376	1	1	1
attractor377	2	2	2
attractor378	2	2	3
attractor379	1	1	1
attractor380	2	2	2
attractor381	2	2	2
attractor382	2	2	2
attractor383	2	2	3
attractor384	2	2	2
attractor385	1	1	1
attractor386	2	2	3
attractor387	2	2	3
attractor388	2	2	3
attractor389	2	2	3
attractor390	1	1	1
attractor391	10	2	3
attractor392	2	2	2
attractor393	2	2	3
attractor394	2	2	3
attractor395	1	1	1
attractor396	2	2	2
attractor397	2	2	3
attractor398	2	2	3
attractor399	1	1	1
attractor400	1	2	3
attractor401	2	2	2
attractor402	1	1	1
attractor403	1	1	1
attractor404	2	1	1
attractor405	2	2	2
attractor406	2	2	2
attractor407	2	2	2
attractor408	2	2	3
attractor409	2	2	3
attractor410	1	1	1
attractor411	2	2	3
attractor412	2	2	3
attractor413	1	1	1
attractor414	2	2	2
attractor415	1	1	1
attractor416	2	2	3
attractor417	1	1	1
attractor418	2	2	3
attractor419	2	2	3
attractor420	2	2	3
attractor421	2	2	3
attractor422	1	1	1
attractor423	2	2	2
attractor424	2	2	3
attractor425	2	2	3
attractor426	2	2	3
attractor427	1	1	1
attractor428	2	2	3
attractor429	1	1	1
attractor430	2	2	2
attractor431	2	2	3
attractor432	2	2	3
attractor433	2	2	3
attractor434	2	2	2
attractor435	2	2	3
attractor436	2	2	3
attractor437	2	2	3
attractor438	2	2	2
attractor439	1	1	1
attractor440	2	2	2
attractor441	1	1	1
attractor442	2	2	2
attractor443	2	2	3
attractor444	2	2	2
attractor445	5	2	2
attractor446	2	2	2
attractor447	2	2	3
attractor448	2	2	3
attractor449	2	2	3
attractor450	1	1	1
attractor451	2	2	2
attractor452	2	2	3
attractor453	2	2	3
attractor454	1	1	1
attractor455	1	1	1
attractor456	2	2	3
attractor457	2	2	2
attractor458	1	2	2
attractor459	3	1	1
attractor460	1	1	1
attractor461	1	1	1
attractor462	2	2	3
attractor463	1	1	1
attractor464	2	2	2
attractor465	2	2	3
attractor466	2	2	3
attractor467	1	1	1
attractor468	1	1	1
attractor469	3	1	1
attractor470	1	1	1
attractor471	2	2	3
attractor472	2	2	3
attractor473	1	1	1
attractor474	2	2	2
attractor475	2	2	3
attractor476	2	2	3
attractor477	2	2	3
attractor478	2	2	2
attractor479	2	2	3
attractor480	2	2	3
attractor481	2	2	3
attractor482	2	2	2
attractor483	1	1	1
attractor484	2	2	2
attractor485	1	1	1
attractor486	2	2	2
attractor487	2	2	3
attractor488	1	2	2
attractor489	2	2	2
attractor490	1	1	1
attractor491	2	2	3
attractor492	2	2	2
attractor493	1	1	1
attractor494	1	1	1
attractor495	2	2	3
attractor496	2	2	3
attractor497	2	2	3
attractor498	2	2	3
attractor499	2	2	2
attractor500	1	1	1
attractor501	2	2	3
attractor502	1	1	1
attractor503	2	2	2
attractor504	2	2	2
attractor505	2	2	2
attractor506	2	2	2
attractor507	2	2	3
attractor508	2	2	3
attractor509	1	1	1
attractor510	2	2	3
attractor511	2	2	3
attractor512	2	2	2
attractor513	1	1	1
attractor514	2	2	3
attractor515	2	2	3
attractor516	1	1	1
attractor517	2	2	3
attractor518	2	2	3
attractor519	2	2	3
attractor520	2	2	3
attractor521	2	2	3
attractor522	1	1	1
attractor523	1	1	1
attractor524	2	2	2
attractor525	2	2	3
attractor526	2	2	3
attractor527	2	2	3
attractor528	2	2	3
attractor529	2	2	2
attractor530	2	2	3
attractor531	2	2	3
attractor532	1	1	1
attractor533	2	2	2
attractor534	1	1	1
attractor535	1	1	1
attractor536	2	2	2
attractor537	2	2	3
attractor538	2	2	3
attractor539	2	2	3
attractor540	2	2	3
attractor541	1	1	1
attractor542	2	2	3
attractor543	2	2	3
attractor544	2	2	3
attractor545	2	2	3
attractor546	1	1	1
attractor547	1	1	1
attractor548	2	2	3
attractor549	1	1	1
attractor550	1	1	1
attractor551	2	2	3
attractor552	2	2	3
attractor553	2	2	2
attractor554	2	2	3
attractor555	2	1	1
attractor556	2	2	2
attractor557	2	2	2
attractor558	1	1	1
attractor559	2	2	2
attractor560	2	2	3
attractor561	2	2	2
attractor562	2	2	2
attractor563	2	2	3
attractor564	2	2	3
attractor565	2	2	2
attractor566	4	2	2
attractor567	2	2	3
attractor568	2	2	2
attractor569	2	2	3
attractor570	2	2	2
attractor571	2	2	3
attractor572	2	2	2
attractor573	2	2	3
attractor574	2	2	3
attractor575	1	1	1
attractor576	2	2	2
attractor577	2	2	3
attractor578	1	1	1
attractor579	2	2	3
attractor580	2	2	2
attractor581	4	2	2
attractor582	2	2	3
attractor583	2	2	2
attractor584	2	2	3
attractor585	1	1	1
attractor586	1	1	1
attractor587	2	2	3
attractor588	2	2	3
attractor589	1	1	1
attractor590	2	2	2
