attr	D_hierarchical_3	D_hierarchical_4	D_km_2	D_km_3
attractor85	2	2	2	1
attractor86	2	2	2	1
attractor87	2	2	2	2
attractor88	1	1	1	3
attractor89	1	1	1	3
attractor90	2	2	2	2
attractor91	2	2	2	2
attractor92	2	2	2	2
attractor93	1	1	1	3
attractor94	3	4	2	1
attractor95	2	2	2	2
attractor96	1	1	1	3
attractor97	2	2	2	1
attractor98	2	2	2	2
attractor99	2	2	2	1
attractor100	2	2	2	1
attractor101	2	2	2	2
attractor102	2	2	2	2
attractor103	1	1	1	3
attractor104	2	2	2	1
attractor105	2	2	2	1
attractor106	1	1	1	3
attractor107	2	2	2	1
attractor108	2	2	2	1
attractor109	2	2	2	1
attractor110	1	1	1	3
attractor111	2	3	2	1
attractor112	2	2	2	1
attractor113	2	2	2	2
attractor114	2	3	2	2
attractor115	2	3	2	1
attractor116	3	4	1	3
attractor117	2	2	2	1
attractor118	2	2	2	2
attractor119	1	1	1	3
attractor120	2	2	2	1
attractor121	1	1	1	3
attractor122	2	2	2	2
attractor123	2	2	2	1
attractor124	2	2	2	1
attractor125	2	2	2	2
attractor126	2	2	2	2
attractor127	2	2	1	2
attractor128	2	2	2	1
attractor129	1	1	1	3
attractor130	2	2	2	1
attractor131	2	2	2	1
attractor132	1	1	1	3
attractor133	2	2	2	1
attractor134	2	2	2	2
attractor135	2	2	2	2
attractor136	2	2	2	1
attractor137	3	4	2	1
attractor138	2	2	2	2
attractor139	1	1	1	3
attractor140	2	2	2	1
attractor141	2	2	2	2
attractor142	2	2	2	1
attractor143	2	2	2	1
attractor144	2	2	2	1
attractor145	2	2	2	1
attractor146	2	2	1	3
attractor147	2	2	2	2
attractor148	1	1	1	3
attractor149	2	2	2	2
attractor150	2	3	2	1
attractor151	2	2	2	2
attractor152	2	2	2	1
attractor153	2	2	2	1
attractor154	2	2	2	2
attractor155	2	2	2	1
attractor156	2	2	2	2
attractor157	1	1	1	3
attractor158	2	2	2	2
attractor159	1	1	1	3
attractor160	2	2	2	1
attractor161	2	2	2	1
attractor162	2	2	2	1
attractor163	1	1	1	3
attractor164	2	2	2	1
attractor165	1	1	1	3
attractor166	2	3	2	1
attractor167	2	2	1	3
attractor168	1	1	1	3
attractor169	2	2	2	1
attractor170	2	2	2	2
attractor171	2	2	2	1
attractor172	2	3	2	1
attractor173	2	2	2	1
attractor174	2	2	2	2
attractor175	1	1	1	3
attractor176	1	1	1	3
attractor177	1	1	1	3
attractor178	2	2	2	1
attractor179	2	2	1	3
attractor180	2	2	2	2
attractor181	2	2	2	1
attractor182	2	3	2	1
attractor183	2	2	2	1
attractor184	2	2	2	1
attractor185	2	2	2	1
attractor186	2	2	2	2
attractor187	2	2	2	2
attractor188	2	2	2	2
attractor189	1	1	1	3
attractor190	2	3	2	1
attractor191	2	2	2	2
attractor192	2	2	2	2
attractor193	2	2	2	2
attractor194	2	2	2	2
attractor195	1	1	1	3
attractor196	2	2	2	2
attractor197	3	4	2	1
attractor198	2	2	2	2
attractor199	2	3	2	1
attractor200	2	2	2	2
attractor201	1	1	1	3
attractor202	2	2	2	1
attractor203	2	2	2	2
attractor204	2	2	2	1
attractor205	2	2	2	1
attractor206	2	2	1	2
