B_KM_2	B_KM_3
attractor415	2	1
attractor416	1	3
attractor417	2	1
attractor418	1	3
attractor419	1	3
attractor420	1	3
attractor421	1	3
attractor422	2	1
attractor423	1	2
attractor424	1	3
attractor425	1	3
attractor426	1	3
attractor427	2	1
attractor428	1	3
attractor429	2	1
attractor430	1	2
attractor431	1	3
attractor432	1	3
attractor433	1	3
attractor434	1	2
attractor435	1	3
attractor436	1	3
attractor437	1	3
attractor438	1	2
attractor439	2	1
attractor440	1	2
attractor441	2	1
attractor442	1	2
attractor443	1	3
attractor444	1	2
attractor445	1	2
attractor446	1	2
attractor447	1	3
attractor448	1	3
attractor449	1	3
attractor450	2	1
attractor451	1	2
attractor452	1	3
attractor453	1	3
attractor454	2	1
attractor455	2	1
attractor456	1	3
attractor457	1	2
attractor458	1	2
attractor459	2	1
attractor460	2	1
attractor461	2	1
attractor462	1	3
attractor463	2	1
attractor464	1	2
attractor465	1	3
attractor466	1	3
attractor467	2	1
attractor468	2	1
attractor469	2	1
attractor470	2	1
attractor471	1	3
attractor472	1	3
attractor473	2	1
attractor474	1	2
attractor475	1	3
attractor476	1	3
attractor477	1	3
attractor478	1	2
attractor479	1	3
attractor480	1	3
attractor481	1	3
attractor482	1	2
attractor483	2	1
attractor484	1	2
attractor485	2	1
attractor486	1	2
attractor487	1	3
attractor488	1	2
attractor489	1	2
attractor490	2	1
attractor491	1	3
attractor492	1	2
attractor493	2	1
attractor494	2	1
attractor495	1	3
attractor496	1	3
attractor497	1	3
attractor498	1	3
attractor499	1	2
attractor500	2	1
attractor501	1	3
attractor502	2	1
attractor503	1	2
attractor504	1	2
attractor505	1	2
attractor506	1	2
attractor507	1	2
attractor508	1	3
attractor509	2	1
attractor510	1	3
attractor511	1	3
attractor512	1	2
attractor513	2	1
attractor514	1	3
attractor515	1	3
attractor516	2	1
attractor517	1	3
attractor518	1	3
attractor519	1	3
attractor520	1	3
attractor521	1	3
attractor522	2	1
attractor523	2	1
attractor524	1	2
attractor525	1	3
attractor526	1	3
attractor527	1	3
attractor528	1	3
attractor529	1	3
attractor530	1	3
attractor531	1	3
attractor532	2	1
attractor533	1	2
attractor534	2	1
attractor535	2	1
attractor536	1	2
attractor537	1	3
attractor538	1	3
attractor539	1	3
attractor540	1	3
attractor541	2	1
attractor542	1	3
attractor543	1	3
attractor544	1	3
attractor545	1	3
attractor546	2	1
attractor547	2	1
attractor548	1	3
attractor549	2	1
attractor550	2	1
attractor551	1	3
attractor552	1	3
attractor553	1	2
attractor554	1	3
attractor555	2	1
attractor556	1	2
attractor557	1	2
attractor558	2	1
attractor559	1	2
attractor560	1	2
attractor561	1	2
attractor562	1	2
attractor563	1	3
attractor564	1	3
attractor565	1	2
attractor566	1	2
attractor567	1	3
attractor568	1	2
attractor569	1	3
attractor570	1	2
attractor571	1	3
attractor572	1	2
attractor573	1	3
attractor574	1	3
attractor575	2	1
attractor576	1	2
attractor577	1	3
attractor578	2	1
attractor579	1	3
attractor580	1	2
attractor581	1	2
attractor582	1	3
attractor583	1	2
attractor584	1	3
attractor585	2	1
attractor586	2	1
attractor587	1	3
attractor588	1	3
attractor589	2	1
attractor590	1	2
attractor591	1	2
attractor592	1	3
attractor593	1	3
attractor594	2	1
attractor595	2	1
attractor596	2	1
attractor597	1	3
attractor598	1	2
attractor599	1	2
attractor600	1	3
attractor601	1	2
attractor602	1	3
attractor603	1	3
attractor604	1	2
attractor605	1	3
attractor606	2	1
attractor607	2	1
attractor608	1	2
attractor609	1	3
attractor610	1	3
attractor611	1	3
attractor612	1	3
attractor613	1	2
attractor614	1	3
attractor615	1	3
attractor616	1	3
attractor617	1	3
attractor618	1	3
attractor619	1	3
attractor620	1	3
attractor621	1	3
attractor622	2	1
attractor623	1	3
attractor624	1	3
attractor625	2	1
attractor626	1	3
attractor627	2	1
attractor628	1	2
attractor629	2	1
attractor630	1	3
attractor631	2	1
attractor632	1	2
attractor633	1	3
attractor634	1	3
attractor635	2	1
attractor636	1	3
attractor637	1	3
attractor638	2	1
attractor639	1	3
attractor640	1	3
attractor641	1	3
attractor642	1	3
attractor643	1	3
attractor644	1	3
attractor645	1	3
attractor646	2	1
attractor647	1	3
attractor648	1	3
attractor649	1	2
attractor650	1	3
attractor651	1	2
attractor652	2	1
attractor653	2	1
attractor654	1	3
attractor655	1	2
attractor656	1	2
attractor657	1	3
