[0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0],
0.0, 0.8535533905932737, 0.5711142625940433, -0.17914194824295168, 0.5, 0.2041241452319315, 0.7886751345948129, 0.7872133278819995, 0.75, 0.8535533905932737, 0.15811388300841894, 0.658113883008419, 0.5, 0.8622380282403505, 0.7886751345948129, 0.8770634822431314, 0.0, 0.67540992900701, 0.5, 0.15811388300841894, 0.6290994448735806, 0.2958758547680685, -0.24639963991337221, 0.397828184156213, 0.5, 0.12092251607073541, 0.5845509893628814, 0.6020620726159658, 0.6443375672974064, 0.36223802824035045, 0.5912870929175277, 0.43291766146903277, 0.7790569415042095, 0.2886751345948129, 0.7236067977499789, 0.7689340086403973, 0.4154490106371186, 0.6767766952966369, 0.5, 0.35355339059327373, 0.7041241452319316, 0.5, -0.22855339059327376, 0.5, 0.5845509893628814, -0.24999999999999994, 1.0, 0.5223290993692602, 0.0, 0.7886751345948129, 0.0, 0.5, 0.0, 0.8622380282403505, 0.14644660940672627, 0.5, 0.8332235901055121, 0.5374574785652648, -0.24999999999999994, -0.2886751345948129],
0.11592116341836795, 0.7783219411928954, 0.5799849057423347, -0.058432828625042774, 0.5, 0.09537772999578142, 0.5422754946814407, 0.7194066731792104, 0.7413629574728624, 0.8048471783828348, 0.174448776610044, 0.7133938753385703, 0.5467324209335946, 0.631772003700854, 0.8365197521180646, 0.8271044754325181, 0.11592116341836795, 0.6556638481444332, 0.4375, 0.03937871473359142, 0.6211710607315201, 0.46539043005438796, -0.12252229575758658, 0.3124094026104721, 0.5, 0.13571277635789264, 0.5676731069681598, 0.6606146619312836, 0.6899316233758379, 0.2706687365569655, 0.5439725723471929, 0.22575939885989033, 0.7313602659916233, 0.16874533553186086, 0.6574469453337534, 0.4589607123105591, 0.4086555501564805, 0.6394193839563013, 0.5, 0.13258252147247765, 0.6818209710481781, 0.6020284707521047, -0.14069230347228528, 0.6159211634183679, 0.5387449540760861, -0.18749999999999994, 0.75, 0.5131853370013929, 0.08838834764831843, 0.6706898811321429, 0.0, 0.5, 0.0, 0.7570277751510686, 0.2211612320873974, 0.6159211634183679, 0.6929641088874925, 0.552749430154621, -0.06249999999999997, -0.28248403173772385],
0.06919093073856242, 0.754348668517937, 0.5486007946988605, -0.09060671902124046, 0.5, 0.12624843907984282, 0.5638437484399841, 0.70188824719589, 0.7422755683976355, 0.7233651339903432, 0.18947435698726306, 0.6674658467730873, 0.5159515191029099, 0.6542321154405366, 0.8396308055552885, 0.7917404649548219, 0.06919093073856242, 0.6206728855365793, 0.453125, 0.0934627679822558, 0.6013832027684944, 0.43053645318976974, -0.08680565030551496, 0.27575835576574587, 0.5, 0.1041326501589226, 0.5896347165847339, 0.6232068797057362, 0.6651115954723374, 0.26531751609154053, 0.5825357823958617, 0.20849546580910813, 0.701637108899525, 0.15552227213019046, 0.6524598039748642, 0.4570585733911582, 0.42326133720562875, 0.6185623407554344, 0.5, 0.14363106492851746, 0.6334083532487973, 0.5332821786833979, -0.1422326560672948, 0.5691909307385624, 0.5479919737476382, -0.15409073936821557, 0.71875, 0.5036858338750514, 0.03314563036811941, 0.6570313555382126, 0.0, 0.5, 0.0, 0.7307345374343455, 0.3082766602197319, 0.5691909307385624, 0.7137470898785165, 0.5146957518851152, -0.07812499999999999, -0.2324252910971575],
0.06890417250698128, 0.7481549696136768, 0.5581220758383947, -0.08688840062435338, 0.5, 0.1225207170071879, 0.5889918063813705, 0.6954446995912195, 0.7371473530701506, 0.7313059826490118, 0.18627558719444304, 0.6551360808865343, 0.5233804067312658, 0.6680900867563634, 0.8071830092654639, 0.7830408595650535, 0.06890417250698128, 0.6202383861879772, 0.4614773151579461, 0.08563212699405603, 0.6089012165804331, 0.4367399393402709, -0.09245275777955367, 0.27013870571511156, 0.5, 0.10500185802721963, 0.5709074509687172, 0.6182016280762829, 0.6601211569279715, 0.25178517060616906, 0.5791006973940345, 0.22105666716402783, 0.6914258899342967, 0.15819165677847666, 0.6416344135380511, 0.44148119562856764, 0.4308537301030847, 0.6161478317383149, 0.5, 0.14953704361530834, 0.6372490182351958, 0.5487563169955639, -0.1365658934251192, 0.5689041725069812, 0.5463289901050425, -0.17385014209940886, 0.7265625, 0.5135587098060923, 0.035907766232129365, 0.66816359538942, 0.0, 0.5, 0.0, 0.734448893810675, 0.3006511309742227, 0.5689041725069812, 0.6979582789934852, 0.5244558354354534, -0.08984374999999997, -0.22847096408953993],
0.06655579444988406, 0.7458768315105964, 0.5596913637534633, -0.08890067656834967, 0.5, 0.1191110279941993, 0.5867905057000664, 0.6980291678657558, 0.7325284059135502, 0.7362055153944667, 0.17919612896461165, 0.6566871133340675, 0.5213157237284216, 0.6657444745010181, 0.803482340588898, 0.7795084718884722, 0.06655579444988406, 0.6205418425617651, 0.45653746447514776, 0.08191338187789146, 0.607890781404897, 0.43313586191718745, -0.09622339060510554, 0.2699501747939618, 0.5, 0.10283384109654312, 0.5733800847209027, 0.6180768091985293, 0.6563095436271966, 0.2498556589932051, 0.5733527521417753, 0.2214696707302464, 0.6914984001537761, 0.1577115947516214, 0.64249321233689, 0.44185345828121947, 0.43167448237350303, 0.6181157523104609, 0.5, 0.14604404169945265, 0.6379536025153594, 0.5478426961432573, -0.13432070559409764, 0.566555794449884, 0.5492862579748486, -0.1715915257675376, 0.730738657578973, 0.512891357285523, 0.037384260903827085, 0.6671719717641729, 0.0, 0.5, 0.0, 0.7343350013304165, 0.29175994982220943, 0.566555794449884, 0.6983955724322648, 0.5234461667692247, -0.08886718749999999, -0.22958281438477987],
0.06661191515635263, 0.7467905790319393, 0.5604873351901154, -0.08823461344251429, 0.5, 0.11883144176933201, 0.5842238427843022, 0.697615449713139, 0.7312039680133174, 0.7353762162285722, 0.17772073206999955, 0.6566287903332211, 0.5212043932388731, 0.6633269007687491, 0.8023921952916979, 0.7797967134476804, 0.06661191515635263, 0.6207643062545418, 0.4571021185581156, 0.0815548535233794, 0.6066932914890366, 0.4328552156950102, -0.09740006043805173, 0.26997739730867726, 0.5, 0.10291094397187435, 0.5726027783231267, 0.6177714533007642, 0.6555159915623179, 0.2501542541834857, 0.5726743469749689, 0.21958755445863987, 0.69192590795599, 0.15856528445197057, 0.6426507621715224, 0.4410703164200263, 0.4313552311245485, 0.6179404563630116, 0.5, 0.14644331243054387, 0.6379397709561556, 0.5462955285288663, -0.13514042353795402, 0.5666119151563527, 0.5482014899112533, -0.1699147692810159, 0.7282687322375738, 0.5121699164504505, 0.03651101042486316, 0.6655126828948335, 0.0, 0.5, 0.0, 0.73314369893666, 0.2925382271417998, 0.5666119151563527, 0.6980071732081142, 0.5242454040278642, -0.08813476562499999, -0.22899056571729662],
0.06649385207857089, 0.7466443075763318, 0.5599679639489809, -0.08820180095882735, 0.5, 0.11863348880033088, 0.584448512094287, 0.697561261290757, 0.7306350202185129, 0.7345214748385193, 0.17737031737517112, 0.6569284282597603, 0.5211488062962492, 0.6633602943630166, 0.802313789449877, 0.7796053422671567, 0.06649385207857089, 0.6206975613405019, 0.457521307679746, 0.08161248739378207, 0.6063305172899236, 0.4326092555029673, -0.09683830370179614, 0.2696805086756654, 0.5, 0.10286118264812016, 0.5726817092856623, 0.6175423517033451, 0.6556106011824544, 0.2499539876034765, 0.5725410157160465, 0.2194816921769691, 0.6918261462644965, 0.15825213888520803, 0.6426476693408609, 0.4410546208962649, 0.4311381568140086, 0.6176471327601473, 0.5, 0.14673972390104836, 0.6377889253627703, 0.5462764782006093, -0.13528585817004352, 0.566493852078571, 0.5476362665868888, -0.1698924004736326, 0.7285510592790578, 0.5120484363092566, 0.03661082810763597, 0.6653168441919958, 0.0, 0.5, 0.0, 0.7328168586145507, 0.29344567951817824, 0.566493852078571, 0.698016843152737, 0.5242874333369715, -0.08819580078124999, -0.22900296950271318],
0.06649148588933432, 0.7466251490758677, 0.5599227600553222, -0.08806527951916666, 0.5, 0.11878347367484028, 0.5847104710311765, 0.6974465979917426, 0.7306114644742108, 0.7345332812569967, 0.1772573033680966, 0.6567938638003773, 0.5212192378792546, 0.6635604863980933, 0.802242448833376, 0.7796296519109219, 0.06649148588933432, 0.620651383434884, 0.45752689988159184, 0.08161218769912931, 0.6063204378879881, 0.43271359856516717, -0.09692904279782835, 0.26961781059583184, 0.5, 0.10287878514139996, 0.5725940322303891, 0.6175155684739, 0.6555473597949729, 0.24996347294665797, 0.5726130237008755, 0.2196340389157302, 0.6918431596201985, 0.15808897296597096, 0.6426139392407694, 0.4410078016279444, 0.4311663691887224, 0.6176125130414485, 0.5, 0.1467436781848953, 0.637725948275023, 0.5463432853084138, -0.13520663245356448, 0.5664914858893343, 0.5476561559438745, -0.16971487264474597, 0.728760653839873, 0.5120316438383119, 0.03668493097526209, 0.6652783547728807, 0.0, 0.5, 0.0, 0.732737964492838, 0.29336624692187085, 0.5664914858893343, 0.6979732695455336, 0.5243384090523456, -0.08824157714843749, -0.22897719309096753],
0.06648442761906259, 0.7465846094777245, 0.5598626517210548, -0.08805170653646499, 0.5, 0.1187416587087758, 0.5846875408157461, 0.6974214149357496, 0.7305622465371717, 0.7346040598297678, 0.17723234493342327, 0.6567262183845175, 0.521246204386116, 0.6635342729459269, 0.8022416310490591, 0.7795984295323246, 0.06648442761906259, 0.6206456041920286, 0.4575712818388135, 0.08159074426599089, 0.606329153868052, 0.4327178348205488, -0.09698733834404721, 0.2695980754152777, 0.5, 0.10287580610047337, 0.5726061181714615, 0.6175094856592431, 0.6555520185671657, 0.2499235308354773, 0.5725892569297261, 0.21962359540085916, 0.6918369737126053, 0.15809471452877583, 0.6425998571358467, 0.4410244273751753, 0.43116041364866975, 0.6176057090091334, 0.5, 0.14677506096780907, 0.6377307071982478, 0.5463439094099813, -0.13519920371202654, 0.5664844276190626, 0.5476848063453099, -0.16968278438856854, 0.7287634499407959, 0.5120417245796436, 0.03668591954622383, 0.6652991416875931, 0.0, 0.5, 0.0, 0.7327401888052606, 0.2932736304515374, 0.5664844276190626, 0.6979646562421105, 0.5243212186056199, -0.08823776245117186, -0.2289464329381911]
