                                                       State                                                        Next state  Attr. basin  # trans. to attr.
110110000010111001010010000000011101110111000001101000100100 =>   110110000011111000010110000110011101011010001010101100100100           15                 10
100100000010111001011010000000011101110111000001101000100100 =>   100100000011111000010110000110011101011010001010101100100100           15                 10
100110000010110001010110000000011101110111000001101000100100 =>   110110100011111000010110000110011101011010001010101100100100           15                 10
100110000010111001010110000000011101110111000001101000100100 =>   110110100011111000010110000110011101011010001010101100100100           15                 10
110110000010111001010110000100011101110111000001101000100100 =>   110110100011111000010110001110011101011010001010101100100100           15                  8
100110000010111101110110000111111101110111000001101000100100 =>   110010101011111000010110001110011101011011001011101100100100           15                  8
110111101101111100110110001111000101001111000001101000100100 =>   110111001101110100110110001011010001011011000001101000100100           15                 12
111100001010111000111110010000001101001111000001101000100100 =>   100000100001111000010110000110010001011011000000101000100100           15                 10
100011001101110000010110110110010101011111000001101000100100 =>   110111000111110000011110001010011101010011000001101100100100           15                  9
100111001001110100110110000011010101011111000001101000100100 =>   110111001111111000010110000010011101011011000001101100100100           15                 17
100111001000110100111010001011010101011111000001101000100100 =>   110100001111111100110110000011111101011011000001101100100100           15                 11
100100001000111001111110001000010001111111000001101000100100 =>   000100000011100100110110000011011101011001001010100100100100           15                 11
100100001101111101110110000111010001111111000001101000100100 =>   000111001011100000010110001010011101011001001011100100100100           15                  8
110110001101111101110110001011010101111111000001101000100100 =>   110111001011110100110110000011011101011011001011101100100100           15                 11
110110001101111101110110001111010101111111000001101000100100 =>   110111001011110100110110001011011101011011001011101100100100           15                  5
100000000000111101110110000001000000100010100001101000100100 =>   000100001001100001010110000010000001111101011010100000100100           15                 13
100010111001110101001011011011000000100010100001101000100100 =>   011100001101100101110110110011000001111100011011100000100100           15                 20
110101000000111000011010000100011100010011100001101000100100 =>   100100000111111001010110001010011101110110000000101100100100           15                 15
110110100010111100110010000111011100010011100001101000100100 =>   110110001011111001010110001110011101111111000001101100100100           15                  6
100010000000111001010010000000011100110011100001101000100100 =>   110100000011111001011110000010011101111110011010101100100100           15                 11
110110000010111101110010000111011100110011100001101000100100 =>   110110001011111001010110001110011101111111001011101100100100           15                  8
110101001010111100111010001011001100001011100001101000100100 =>   100100001101111101110110000111010001111111000001101000100100           15                  9
110110001000111100110010000010101101001011100001101000100100 =>   110010001001111001010110000010010001111011000001101000100100           15                 18
100111101010111000010010000110011100011011100001101000100100 =>   110110000111111001010110001110011101110111010001101100100100           15                  9
100111101000111100110010000111011100011011100001101000100100 =>   110110001111111001010110001010011101111111010001101100100100           15                  8
101000001010111001001011000000011100111011100001101000100100 =>   101000000011111001011110010110011101111111011010101100100100           15                 10
110110001010111001010010000100011100111011100001101000100100 =>   110110000011111001010110001110011101111111001010101100100100           15                  8
110100101000111001000011000010011100111011100001101000100100 =>   100000000011111001010110010010011101111111001011101100100100           15                 11
100110001010111001010010000000011101111011100001101000100100 =>   110110000011111001010110000110011101111011011010101100100100           15                  8
100010101010111001010010000110011101111011100001101000100100 =>   110100000011111001011110001110011101111011011011101100100100           15                 10
101000000010111001011010000100011101110111100001101000100100 =>   100000000011111001011110001110011101111010011010101100100100           15                 10
100110000010111101110010000011111101110111100001101000100100 =>   110010001011111001010110000110011101111011011011101100100100           15                  8
110100001000111001010010000000011101111111100001101000100100 =>   100110000011111001010110000010011101111011001010101100100100           15                 11
110110000101111001010110001110010101110110010001101000100100 =>   110111000010110100110110001011001101011010001011101100100100           15                 14
110110000101111101110110001011010101110110010001101000100100 =>   110111001010110100110110000011001101011011001011101100100100           15                 11
110110000101111101110110001111010101110110010001101000100100 =>   110111001010110100110110001011001101011011001011101100100100           15                  7
100100001001111101111110001011000100101011010001101000100100 =>   100101001000111100110110000011010001011111001011101000100100           15                 18
100000001001111001011110000010010101111011010001101000100100 =>   100101000010111000011110000010011101011011001011101100100100           15                 17
100010001101111101110110001011010101111011010001101000100100 =>   110111001010110100111110000011011101011011001011101100100100           15                 11
100100000101111001011110001010010101110111010001101000100100 =>   100111000010110100110110000011011101011010001011101100100100           15                 11
110010011100110101111001010010000100100010001001101000100100 =>   110110001001110000011010110010000001011111001011101000100100           15                 17
101000011100111101101011000000010000110010001001101000100100 =>   000010001011100000010010010010001101011101001010100100100100           15                 17
110000100000111000010010001100010001011010001001101000100100 =>   000100000011100100110010001011001101000001000000100100100100           15                  7
100010000000110001011110001000010101110110001001101000100100 =>   110100000011111100111010000011101101011010001010101100100100           15                 14
110010001100110101110010000001001100100011001001101000100100 =>   110110001001110000011010000010010001011111001010101000100100           15                 17
110011011110110100111010001100011100011010101001101000100100 =>   110110001111110101111010001111001101101111000000101100100100           15                  7
000011000101101001011110011001001110000110000101101000100100 =>   110111000000110100111010000001000001000110001000101001100100           15                 26
001110010010011011111110110110010111001101011101101000100100 =>   110000100000111000010010001100010001011010001001101000100100           15                  8
110010001100110000101001010010010100011010000011101000100100 =>   110110000011110000011010110010001101001111100001101100100100           15                 10
110011100000110100111010000111011100011010000011101000100100 =>   110100001111111000011110001010001101001111000001101100100100           15                  7
110111000000111000110010001000001101011010000011101000100100 =>   110110000101111100110110000011101101001011000000101100100100           15                 25
100010101010110101111010001111011100111010000011101000100100 =>   110100001011111100111110001111101101011111101011101100100100           15                 12
110010011001110100100011011000010001011110100011101000100100 =>   011100001111100101110110110011001101101001100000100100100100           15                 12
100110000010110000101111110000001100011010001011101000100100 =>   110100100001111000010010010110001101001111100000101100100100           15                 13
110110001010111000010010000100011101011010001011101000100100 =>   110110000011111000010010001110001101000011100000101100100100           15                  9
100010001000110101100011110001000001111010001011101000100100 =>   011100001001100000010010010010001101011001101010100100100100           15                 13
100100001000111101111010111010000101111010001011101000100100 =>   100100001001111100110010000011101101011011101011101100100100           15                 18
100100001001111000001101110010000000011011001011101000100100 =>   000001000101100000010010010010011101010101100001100100100100           15                 16
100000001001111000010110001110010000011011001011101000100100 =>   000101000011100100110010001011011101010101100001100100100100           15                 10
110110001001111100110110001011010000011011001011101000100100 =>   010111001011100100110010000011011101011101100001100100100100           15                 10
110100001000111000011010001100000100011011001011101000100100 =>   100100000001111100110010001011111101010111100000101100100100           15                 12
110110001000110000011110001110000100011011001011101000100100 =>   110100000001111100110010001011111101010111100001101100100100           15                 12
110010001000110000111010010000010100011011001011101000100100 =>   110100000011111000011010000010011101011111100000101100100100           15                 10
100111000000110100110110000011010100011011001011101000100100 =>   110110001111111000010010000010011101011111000001101100100100           15                 17
110111001101110100110110001111010100011011001011101000100100 =>   110111001111110100110010001011011101011111000001101100100100           15                  5
100110001010110000110110001000011100011011001011101000100100 =>   110110100011111100110010000111111101011111100000101100100100           15                  7
110110001000111100110110000111010001011011001011101000100100 =>   010110001011100000010010001010011101011001100001100100100100           15                 10
110100001001111100111010000011010101011011001011101000100100 =>   100101001011111000010010000010011101011011100001101100100100           15                 10
110110001000110001011010001010000000111011001011101000100100 =>   010100000001100100110010000011011101011101101011100100100100           15                 10
110110001000111001010110000000010100111011001011101000100100 =>   110110000011111000010010000010011101011111101010101100100100           15                 10
100010101000110001010110000110010100111011001011101000100100 =>   110100000011111000011010001010011101011111101011101100100100           15                 10
110110001001110000011010110010000001011111001011101000100100 =>   010101000101100000010010000010011101010001100001100100100100           15                 16
100000001001111000010110110110000001011111001011101000100100 =>   000101000001100000010010001010011101010001100001100100100100           15                 12
100101001000111100110110000011010001011111001011101000100100 =>   000110001111100000010010000010011101011001000001100100100100           15                 17
110111001100110000010110010010010101011111001011101000100100 =>   110110000111110000010010000010011101010011000001101100100100           15                 23
111000001001111000011010001000011101011111001011101000100100 =>   100001000011111100111010000011111101010011100000101100100100           15                  9
100010011100110101111010001000010001111111001011101000100100 =>   010110001011100100110010000011011101011001101010100100100100           15                 10
100010101010110001111010001110001101111111001011101000100100 =>   110100000001111100111010001111111101011011101011101100100100           15                 12
110111001000110000011110000000001100011011101011101000100100 =>   110100000101111001010010000010011101110111000000101100100100           15                 18
111100001010111000101011010000001100011011101011101000100100 =>   100000000001111001010010110110011101111111100000101100100100           15                 11
110110001010110100101011010010001100011011101011101000100100 =>   110100001001111001010010110110011101111111100001101100100100           15                  9
100010000000110100101111010011011100011011101011101000100100 =>   111100001011111001011010110010011101111111110001101100100100           15                 17
110110001010111100110010001010101101011111101011101000100100 =>   110010001001111101110010000111111101111011100001101100100100           15                 11
110110000000110000110010010000011101011111101011101000100100 =>   110110000011111001010010000010011101111011100000101100100100           15                  9
110111001000110000011110010000011101011111101011101000100100 =>   110100000111111001010010000010011101110011000000101100100100           15                 11
110100000010111100111110010011111101011111101011101000100100 =>   100000101011111001010010000110011101111011100001101100100100           15                 11
000011000011101110101010110000101001100000101100011000100100 =>   010000011000100101000011000001000000111000000010000000100100           15                 14
110000000110110110001101100110001111000100100010011000100100 =>   100010111001110101001011011011000000100010100001101000100100           15                 21
000011101110011011000010000100010111010101011101011000100100 =>   110110010110110100001011001001011101010010001000001110100100           15                 33
111101100101011010001011001010111001111110000111011000100100 =>   000011010110100100100111010001001101011000000011100100100100           15                 17
000110001101000100100000100010001100001001000000000100100100 =>   110111001000110000000011000010010100011011000001101000100100           15                 24
000000000110100001000011001010001101111101000010000100100100 =>   100010000000110100101111010011011100011011101011101000100100           15                 18
100000010001100000010101111100101110111000010010000100100100 =>   100001000000111100101011011011001100011011100010001000100100           15                 19
110001111111101000110110001011000111111010000001000100100100 =>   100111100000110100111011000011001101011011000011101001100100           15                 19
000100000011100100110010001011001101000001000000100100100100 =>   100111001000111100110110000111010100011011000001101000100100           15                  6
010100000011100000010110001010011101010001000000100100100100 =>   100111100010111100110110000111011100010010000001101000100100           15                  8
000110001000101101110010010010001101100001100000100100100100 =>   110110001000111001010110000000010100111011001011101000100100           15                 11
011100001111100101110110110011001101101001100000100100100100 =>   100010101000110001010110000110010100111011001011101000100100           15                 11
000100001011000000010110000010011100011001100000100100100100 =>   100110100010111001010110000110011100110011000001101000100100           15                  9
010100001001000000010110001010011100011001100000100100100100 =>   100110000010111101110110000011011100110011000001101000100100           15                 11
001000001011100100110110110011001101001101100000100100100100 =>   100000101000111001011110000110010100111011000001101000100100           15                 11
000000110010101101110010001100001100100001101000100100100100 =>   100100001000111101111010001111010100111011001010101000100100           15                 16
001010110011011000111100011011110000001000001010100100100100 =>   010001100000101100110010000111000100001001100001100001100100           15                 13
010100001011000100110110001011001100011001001010100100100100 =>   100111101000111100110010000111011100011011100001101000100100           15                  9
000100000011100100110110000011011101011001001010100100100100 =>   100111101010111000010010000110011100011011100001101000100100           15                 10
000010001011100000010010010010001101011101001010100100100100 =>   110101000000111000011010000100011100010011100001101000100100           15                 16
010110001010000000010010001010011100011001101010100100100100 =>   110110000010111101110010000111011100110011100001101000100100           15                  9
011100001001100000010010010010001101011001101010100100100100 =>   100010000000111001010010000000011100110011100001101000100100           15                 12
010110001011100100110010000011011101011001101010100100100100 =>   110110001010111001010010000100011100111011100001101000100100           15                  9
010111000111100000010110000010011101010000000001100100100100 =>   110111100010110000010110000110001101000010000001101000100100           15                 28
010111000011100100110110001011011101010000000001100100100100 =>   110111101010111100110110000111101101001011000001101000100100           15                 10
010111000011101100110110001011011101010000000001100100100100 =>   110111101010111100110110000111101101001011000001101000100100           15                 10
000001000111100000010110010010011101010100000001100100100100 =>   100111100010110000011110000110001101000010000001101000100100           15                 28
000111000011100100110110000011011101010100000001100100100100 =>   110111101010111000010110000110001101001011000001101000100100           15                 13
000101000011001000010110001010011100010001000001100100100100 =>   100111100010111100110110000111111101010110000001101000100100           15                  8
010111000111100100110110000011011101010001000001100100100100 =>   110111101010110000010110000110011101011011000001101000100100           15                 10
010111000011100100110110001011011101010001000001100100100100 =>   110111101010111100110110000111111101011011000001101000100100           15                  7
000111000011101100110110001011011101010001000001100100100100 =>   110111101010111100110110000111111101011011000001101000100100           15                  7
000110001111100000010010000010011101011001000001100100100100 =>   110111000010110000010110000100011101010011000001101000100100           15                 16
010111001111100100110110000011011101011001000001100100100100 =>   110111101010110000010110000110011101011011000001101000100100           15                 10
000011000111100000010110010010011101010101000001100100100100 =>   110111100010110000011110000110011101010010000001101000100100           15                 22
000111000011100100110110000011011101010101000001100100100100 =>   110111101010111000010110000110011101011011000001101000100100           15                 10
010110001111100000010110010010001101001101000001100100100100 =>   110111100000110000010110000110010101010011000001101000100100           15                 16
010101000111000000010010000010011100010001100001100100100100 =>   100110000010110001010110000100011101110110000001101000100100           15                 15
000001000111000000000000100010011100010001100001100100100100 =>   100010000010110001011010000110011101110110000001101000100100           15                 15
010101000101100000010010000010011101010001100001100100100100 =>   100110000010110001010110000000011101110010000001101000100100           15                 15
000101000001100000010010001010011101010001100001100100100100 =>   100110000010111101110110000011111101110010000001101000100100           15                 11
000100001001000000010010000010001100001001100001100100100100 =>   100110000000111001010110000000010101110111000001101000100100           15                 18
010110001011100000010110110010001101001001100001100100100100 =>   110110100000111001010110000110010101110011000001101000100100           15                  9
010101001101000000010010000010011100011001100001100100100100 =>   100110000010110001010110000000011101110111000001101000100100           15                 11
000111001011000000010010000010011100011001100001100100100100 =>   110110000010111001010110000100011101110111000001101000100100           15                  9
010100001011000000010010001010011100011001100001100100100100 =>   100110000010111101110110000111111101110111000001101000100100           15                  9
010110001011100000010010001010011101011001100001100100100100 =>   110110000010111101110110000111111101110011000001101000100100           15                  9
000001000101100000010010010010011101010101100001100100100100 =>   100110000010110001011110000000011101110010000001101000100100           15                 15
000101000011100100110010001011011101010101100001100100100100 =>   100110001010111101110110000111111101111011000001101000100100           15                  9
010111001011100100110010000011011101011101100001100100100100 =>   110110001010111001010110000100011101111011000001101000100100           15                  9
010001001111000100100000001001001100001000001001100100100100 =>   100011001000110100111010000111000101001111000000101000100100           15                 13
000010101010100101110010000101001101100100001001100100100100 =>   110100001000111000011010001100000101011011001010101000100100           15                 13
010000110101100100110010001110001100001001001001100100100100 =>   100111001000110100111010001011010101011111000001101000100100           15                 12
101100000100011011111101111101111010001110000101100100100100 =>   000010000000100100110010011001000101001100001000100001100100           15                 26
001011001100011010000001010111100101111011001101100100100100 =>   110010000100110000011010111000011101011010000011101001100100           15                  8
000011010110100100100111010001001101011000000011100100100100 =>   110110101000110000011110110110001101001011000000101000100100           15                 16
010101000011100000010110000010011101011001001011100100100100 =>   100111100010111000010010000110011101010011000001101000100100           15                 16
000111001011100000010110001010011101011001001011100100100100 =>   110111100010111100110010000111111101010011000001101000100100           15                  7
000111000011100000010110001010011101011101001011100100100100 =>   110111100010111100110010000111111101010011000001101000100100           15                  7
000000001011000000000000000010011100011001101011100100100100 =>   101000000010111001011010000100011101110111100001101000100100           15                 11
000001001000000000010010000010011100011001101011100100100100 =>   100100000010111001011010000000011101110111000001101000100100           15                 11
000100000001000000010010001010011100011001101011100100100100 =>   100110000010111101110010000011111101110111100001101000100100           15                  9
010100000001100100110010000011011101011101101011100100100100 =>   100110001010111001010010000000011101111011100001101000100100           15                  9
110110001011110100100011010011001100000010000000001100100100 =>   110101001101111000000111110010000100001011000001101000100100           15                 31
110110000000110101100011111010011101111011000010001100100100 =>   110100001011111100100111010011011100011011101011101100100100           15                  9
111000000010111100101011001011111101011011100010001100100100 =>   101000001011111101101111010011011100111011100001101100100100           15                 11
110100010010111100101011000011101101011111001010001100100100 =>   100000001001111000000011010010011100011011100001101100100100           15                 12
111001111110101110101101101101011111001100000001001100100100 =>   100010101000110100111011011011000101001010000000001000100100           15                 26
110110100111111000010110001110011101010010000000101100100100 =>   110111100011110100110110001111001100000010000001101100100100           15                 14
100100000111111001010110001010011101110110000000101100100100 =>   100111100011110100110110000111001100011010001011101100100100           15                 14
110100000011111000010110001110011101010011000000101100100100 =>   100111100011111100110110001111011100010010000001101100100100           15                  8
110100000111111001010010000010011101110011000000101100100100 =>   100111000011110000010110000110011100011010001011101100100100           15                 10
100100000111111000010010001010001100001011000000101100100100 =>   100111000001110100110110000111010100010011000001101000100100           15                  6
110110000101111100110110000011101101001011000000101100100100 =>   110011001001110000010110000010010100011011000001101000100100           15                 24
110100000111111000011010000110011100011011000000101100100100 =>   100111000011110000010110001110011100010011000001101100100100           15                  9
110100100011111000011110001110011101010111000000101100100100 =>   100101100011111100110110001111011100010010000001101100100100           15                  8
110100000101111001010010000010011101110111000000101100100100 =>   100111000011110000010110000010011100011010001011101100100100           15                 17
110110001111110101111010001111001101101111000000101100100100 =>   110111001101110100110110001111010100011011001011101000100100           15                  6
111100001111111000011010010010011101011111000000101100100100 =>   100011000011110000010110000110011100010011000001101100100100           15                 16
110110000011110100111110000010001101000011100000101100100100 =>   110100101101111001010110000110010100111011000001101000100100           15                  6
110110000011111000010010001110001101000011100000101100100100 =>   110110000001111101110110001111010100110010000001101000100100           15                  8
110110100011111000010010000110011100010011100000101100100100 =>   110110000011111001010110001110011100110010000001101100100100           15                 15
100100000001111100110010001011011100010011100000101100100100 =>   100110001011111101110110000011011100111011010001101100100100           15                 11
100001000011111100111010000011111101010011100000101100100100 =>   100000001111111001011110000110011100111011010001101100100100           15                  8
110110000011111001010010000010011101111011100000101100100100 =>   110110000011111001010110000110011100111011001011101100100100           15                  8
100100000001111100110010001011111101010111100000101100100100 =>   100010001011111101110110000011011100111011010001101100100100           15                 11
110100100001111000010010010110001101001111100000101100100100 =>   100110000001111001010110001010010100110011000001101000100100           15                 12
110100000011111000011010000010011101011111100000101100100100 =>   100100000011111001010110000110011100110011000001101100100100           15                  9
110110100011111100110010000111111101011111100000101100100100 =>   110010001011111001010110001110011100111011000001101100100100           15                  6
100000000001111001010010110110011101111111100000101100100100 =>   100100000011111001011110001010011100111011011011101100100100           15                 10
110010000110110101110010110111001100100010010000101100100100 =>   110110001000110000011110001110000100011011001011101000100100           15                 13
100000000011111001011110001010011100110010010000101100100100 =>   100101100010111100111110000111001100011010001011101100100100           15                 14
110100001101111001010010001010001100101011010000101100100100 =>   100111000000110100110110000011010100011011001011101000100100           15                 18
110011000010110000110010011001000011011101110000101100100100 =>   010100000100100101110010000111011100111001000000100101100100           15                  9
001111011110011000011001011000010110010010111000101100100100 =>   110010000110110101110010110111001100100010010000101100100100           15                 14
110110100011111000010110001110011100011010001010101100100100 =>   110111100011111100110010001111001100000011100001101100100100           15                  7
110100100011111000010110000110001101011010001010101100100100 =>   100111100001111000010010001110001100000011100001101100100100           15                 13
110110100011111000010110000110001101011010001010101100100100 =>   110111100001111000010010001110001100000011100001101100100100           15                 13
110110100011111000010110001110001101011010001010101100100100 =>   110111100001111100110010001111001100000011100001101100100100           15                 13
110100000011111100111010000011101101011010001010101100100100 =>   100001001001111000010010000110001100001011100001101100100100           15                 13
100100000011111000010110000010011101011010001010101100100100 =>   100111100011111000010010000110001100000011100001101100100100           15                 16
110110000011111000010110000010011101011010001010101100100100 =>   110111100011111000010010000110001100000011100001101100100100           15                 16
100100000011111000010110000110011101011010001010101100100100 =>   100111100011111000010010001110001100000011100001101100100100           15                  9
110110000011111000010110000110011101011010001010101100100100 =>   110111100011111000010010001110001100000011100001101100100100           15                  9
110110100011111000010110000110011101011010001010101100100100 =>   110111100011111000010010001110001100000011100001101100100100           15                  9
110110100011111000010110001110011101011010001010101100100100 =>   110111100011111100110010001111001100000011100001101100100100           15                  7
110110100011111000010110001110011101011011001010101100100100 =>   110111100011111100110010001111011100010011100001101100100100           15                  7
100110000011111001010110000010011101111011001010101100100100 =>   110111100011111000010010000110011100011011101011101100100100           15                 10
101000001011111000011110110010001101011111001010101100100100 =>   100001100001111000011010000110011100010011100001101100100100           15                 16
100000000011111000010010110010011101011111001010101100100100 =>   100101000011111000011010000110011100010011100001101100100100           15                 16
110110000011111001010110001110011101111111001010101100100100 =>   110111100011111100110010001111011100011011101011101100100100           15                  7
110110000011111000010010000010011101011111101010101100100100 =>   110110000011111001010010000110011100110011100001101100100100           15                  9
111100000011111000011110010010011101011111101010101100100100 =>   100000100011111001010010000110011100110011100001101100100100           15                 11
110100001011111000011110001110011101011111101010101100100100 =>   100100100011111101110010001111011100110011100001101100100100           15                  9
110110001011110100111110000011011101011111101010101100100100 =>   110100101111111001010010000110011100111011100001101100100100           15                  8
100000000011111001011110001110011101111010011010101100100100 =>   100101100010111100111010001111001100011011101011101100100100           15                  9
110100000011111001011110000010011101111110011010101100100100 =>   100101100010111000010010000110001100011011101011101100100100           15                 10
110110000011111001010110000110011101111011011010101100100100 =>   110111100010111000010010001110011100011011101011101100100100           15                  7
110100001011111001011010001010001101111111011010101100100100 =>   100101000000111100110010000111011100011011101011101100100100           15                  9
101000000011111001011110010110011101111111011010101100100100 =>   100001100010111000011010001110011100011011101011101100100100           15                  9
110110100011111000010110001110001100000010000001101100100100 =>   110111100001111100110110001111000101000110000001101000100100           15                 20
110111100011110100110110001111001100000010000001101100100100 =>   110111101101111100110110001111000101001111000001101000100100           15                 13
110111100111110000010110001110001101000010000001101100100100 =>   110111100101110100110110001111000101000010000001101000100100           15                 20
110110100011111000010110001110001101000010000001101100100100 =>   110111100001111100110110001111000101000010000001101000100100           15                 20
110100100111111000010110001110001101000010000001101100100100 =>   100111100001110100110110001111000101000010000001101000100100           15                 20
110111100111111000010110001110001101000010000001101100100100 =>   110111100101110100110110001111000101000010000001101000100100           15                 20
110111000111110100110110001011001101000010000001101100100100 =>   110111101101110100110110000111000101001011000001101000100100           15                 13
110111100011110100110110000111001101000010000001101100100100 =>   110111101101111000010110001110000101001011000001101000100100           15                 13
110111100011110100110110001111001101000010000001101100100100 =>   110111101101111100110110001111000101001011000001101000100100           15                 13
100111100111110100110110001111001101000010000001101100100100 =>   110111101101110100110110001111000101001011000001101000100100           15                 13
110111100111110100110110001111001101000010000001101100100100 =>   110111101101110100110110001111000101001011000001101000100100           15                 13
110111100011111100110110001111101101000010000001101100100100 =>   110011101101111100110110001111000101001011000001101000100100           15                 13
110111100111111100110110001111101101000010000001101100100100 =>   110011101101110100110110001111000101001011000001101000100100           15                 13
100101100011111100110110001111011100010010000001101100100100 =>   100111101111111100110110001111101101001111000001101100100100           15                  7
100111100011111100110110001111011100010010000001101100100100 =>   110111101111111100110110001111101101001111000001101100100100           15                  7
110110000111111000010110001010011101010010000001101100100100 =>   110111100011110100110110000111001101000010000001101100100100           15                 14
100111100011110000010110000110011101010010000001101100100100 =>   110111100111111000010110001110001101000010000001101100100100           15                 21
110111000111110000010110000110011101010010000001101100100100 =>   110111100111110000010110001110001101000010000001101100100100           15                 21
100111100111110000010110000110011101010010000001101100100100 =>   110111100111110000010110001110001101000010000001101100100100           15                 21
100111000011110000010110001110011101010010000001101100100100 =>   110111100111111100110110001111101101000010000001101100100100           15                 14
110111000111110000010110001110011101010010000001101100100100 =>   110111100111110100110110001111001101000010000001101100100100           15                 14
110111100111110000010110001110011101010010000001101100100100 =>   110111100111110100110110001111001101000010000001101100100100           15                 14
110110100011111000010110001110011101010010000001101100100100 =>   110111100011111100110110001111101101000010000001101100100100           15                 14
110110000111111000010110001110011101010010000001101100100100 =>   110111100011110100110110001111001101000010000001101100100100           15                 14
110111100111111000010110001110011101010010000001101100100100 =>   110111100111110100110110001111001101000010000001101100100100           15                 14
110111000111110100110110001011011101010010000001101100100100 =>   110111101111110100110110000111001101001011000001101100100100           15                  7
110111100111110100110110000111011101010010000001101100100100 =>   110111101111110000010110001110001101001011000001101100100100           15                  7
100111000011110100110110001111011101010010000001101100100100 =>   110111101111111100110110001111101101001011000001101100100100           15                  7
110111000011110100110110001111011101010010000001101100100100 =>   110111101111111100110110001111101101001011000001101100100100           15                  7
110111100011110100110110001111011101010010000001101100100100 =>   110111101111111100110110001111101101001011000001101100100100           15                  7
100111000111110100110110001111011101010010000001101100100100 =>   110111101111110100110110001111001101001011000001101100100100           15                  7
100111100111110100110110001111011101010010000001101100100100 =>   110111101111110100110110001111001101001011000001101100100100           15                  7
110111100111110100110110001111011101010010000001101100100100 =>   110111101111110100110110001111001101001011000001101100100100           15                  7
100111000111111100110110001011111101010010000001101100100100 =>   110011101111110100110110000111001101001011000001101100100100           15                  7
110111000111111100110110001011111101010010000001101100100100 =>   110011101111110100110110000111001101001011000001101100100100           15                  7
110111100111111100110110000111111101010010000001101100100100 =>   110011101111110000010110001110001101001011000001101100100100           15                  7
110111100111111100110110001111111101010010000001101100100100 =>   110011101111110100110110001111001101001011000001101100100100           15                  7
110110000011111001010110001110011100110010000001101100100100 =>   110111100011111100110110001111101101011110001011101100100100           15                 14
100100000111111101110110001011111101110010000001101100100100 =>   100011101011110100110110000111001101011011001011101100100100           15                  7
110110000111111101110110001111111101110010000001101100100100 =>   110011101011110100110110001111001101011011001011101100100100           15                  7
110110100011111000010110001110001101000110000001101100100100 =>   110111100001111100110110001111000101000010000001101000100100           15                 20
110101100111111000011110001110011101010110000001101100100100 =>   100111100111110100110110001111001101000010000001101100100100           15                 14
110101100111111100111110000111111101010110000001101100100100 =>   100011101111110000010110001110001101001011000001101100100100           15                  7
110111100111111100110110001111111101010110000001101100100100 =>   110011101111110100110110001111001101001011000001101100100100           15                  7
110110000011111101110110001111111101110110000001101100100100 =>   110011101011111100110110001111101101011011001011101100100100           15                  7
111001001010111100101011010000001100000011000001101100100100 =>   101000001101111000011110110110010101011111000000101000100100           15                 10
110100001101111100111110001010001100000011000001101100100100 =>   100111001001110100110110000011010101011111000001101000100100           15                 18
110110100111110000010010001110001101000011000001101100100100 =>   110111000101110100110110001111010101010010000001101000100100           15                  8
110100100111111000011010001110001101000011000001101100100100 =>   100111000001110100110110001111010101010010000001101000100100           15                  8
110111100111111100110010000111101101000011000001101100100100 =>   110011001101110000010110001110010101011011000001101000100100           15                  6
110110100111111100110010001111101101000011000001101100100100 =>   110011001001110100110110001111010101011011000001101000100100           15                  6
110111100111111100110010001111101101000011000001101100100100 =>   110011001101110100110110001111010101011011000001101000100100           15                  6
100011000011110000011110001010011100010011000001101100100100 =>   110101100111111100111110000111111101010110000001101100100100           15                  8
100011000011110000010110000110011100010011000001101100100100 =>   110101100111111000011110001110011101010110000001101100100100           15                 15
100111000011110000010110001110011100010011000001101100100100 =>   110111100111111100110110001111111101010110000001101100100100           15                  8
110110000111110000010010000010011101010011000001101100100100 =>   110111000111110000010110000110011101010010000001101100100100           15                 22
110111000011110000010110001010011101010011000001101100100100 =>   110111100111111100110110000111111101010010000001101100100100           15                  8
110111000111110000010110001010011101010011000001101100100100 =>   110111100111110100110110000111011101010010000001101100100100           15                  8
110111000111110000011110001010011101010011000001101100100100 =>   110111100111110100110110000111011101010010000001101100100100           15                  8
100100100111111000010010000110011101010011000001101100100100 =>   100111000011110000010110001110011101010010000001101100100100           15                 15
110110100111110000011010000110011101010011000001101100100100 =>   110111000111110000010110001110011101010010000001101100100100           15                 15
110111000011110000010110000110011101010011000001101100100100 =>   110111100111111000010110001110011101010010000001101100100100           15                 15
110111100111110000010110000110011101010011000001101100100100 =>   110111100111110000010110001110011101010010000001101100100100           15                 15
110111100111111000010110000110011101010011000001101100100100 =>   110111100111110000010110001110011101010010000001101100100100           15                 15
100100100111111000010010001110011101010011000001101100100100 =>   100111000011110100110110001111011101010010000001101100100100           15                  8
110110100111111000010010001110011101010011000001101100100100 =>   110111000011110100110110001111011101010010000001101100100100           15                  8
100101100111111000011010001110011101010011000001101100100100 =>   100111000111110100110110001111011101010010000001101100100100           15                  8
100111000011110000010110001110011101010011000001101100100100 =>   110111100111111100110110001111111101010010000001101100100100           15                  8
110111000111110000010110001110011101010011000001101100100100 =>   110111100111110100110110001111011101010010000001101100100100           15                  8
110111100111110000010110001110011101010011000001101100100100 =>   110111100111110100110110001111011101010010000001101100100100           15                  8
110110100111111000010110001110011101010011000001101100100100 =>   110111100011110100110110001111011101010010000001101100100100           15                  8
110111100111110000011110001110011101010011000001101100100100 =>   110111100111110100110110001111011101010010000001101100100100           15                  8
110101100111111000011110001110011101010011000001101100100100 =>   100111100111110100110110001111011101010010000001101100100100           15                  8
