                                                       State                                                        Next state  Attr. basin  # trans. to attr.
000100001001100001010110000010000001111101011010100000100100 =>   000111000000000000010010000010011100011001101011100000100100           15                 12
010100001000010010011110111010101100001110100110100000100100 =>   100000000000111101110110000001000000100010100001101000100100           15                 14
000111000001100100110110001011000001000000000001100000100100 =>   010111001000100100110110000011000001001001000001100000100100           15                 25
010111000001100100110110001011000001000000000001100000100100 =>   010111001000100100110110000011000001001001000001100000100100           15                 25
010111000001101100110110001011000001000000000001100000100100 =>   010111001000100100110110000011000001001001000001100000100100           15                 25
000111000010000000010110000010011100010000000001100000100100 =>   110110100010111000010110000110001101000110000001101000100100           15                 28
000101000010100100110110000011011101010000000001100000100100 =>   100110101010111000010110000110001101001011000001101000100100           15                 13
010111000010100000010110000010011101010100000001100000100100 =>   110110100010111000010110000110001101000010000001101000100100           15                 28
000111000001000000010110000010010000010001000001100000100100 =>   010111000010100000010110000010011101010100000001100000100100           15                 29
000001000001100000010110001010010001010001000001100000100100 =>   000101000010100100110110000011011101010000000001100000100100           15                 14
000111000010100000010110000000011101010001000001100000100100 =>   110110100010111000010110000110011101010010000000101000100100           15                 22
010110000010100000010110000010011101010001000001100000100100 =>   110110100010111000010110000110011101010010000001101000100100           15                 22
000111000010100000010110000010011101010001000001100000100100 =>   110110100010111000010110000110011101010010000001101000100100           15                 22
010111000010100000010110000010011101010001000001100000100100 =>   110110100010111000010110000110011101010010000001101000100100           15                 22
010111001000100100110110000011000001001001000001100000100100 =>   010110001000100000010110000010010001011001000001100000100100           15                 24
000010111110100101110011001000001101101001000001100000100100 =>   110110001000110100111110010111010001011011001010101000100100           15                 11
010110001010100101110010001011001101101001000001100000100100 =>   110110001000111100110110000111010001011011001011101000100100           15                 11
000111000000000000010110000000010000011001000001100000100100 =>   010110000010100000010110000010011101010101000000100000100100           15                 23
000100001001000000010110000010010000011001000001100000100100 =>   000111000010100000010110000010011101010101000001100000100100           15                 23
000111001010000000010110000010011100011001000001100000100100 =>   110110100010111000010110000110011101010111000001101000100100           15                 16
010110001000100000010110000010010001011001000001100000100100 =>   010110000010100000010110000010011101010001000001100000100100           15                 23
010111001101100100110110000011010001011001000001100000100100 =>   010111001010100000010110000010011101011001000001100000100100           15                 17
010111001010100000010110000010011101011001000001100000100100 =>   110110100010111000010110000110011101010011000001101000100100           15                 16
010100001010000001010110000000011100111001000001100000100100 =>   100110100010111000010110000110011101011111001010101000100100           15                 10
000111000010100000010110000010011101010101000001100000100100 =>   110110100010111000010110000110011101010010000001101000100100           15                 22
100010000000111101101000000110101100110101000001100000100100 =>   111000001001111000011010001000011101011111001011101000100100           15                 10
000101001001100000010110000010010001011101000001100000100100 =>   000111000010100000010110000010011101010001000001100000100100           15                 23
000001001101100000010010010010010001011101000001100000100100 =>   000111000010100000010110000000011101010001000001100000100100           15                 23
010111001101100000010110010010010001011101000001100000100100 =>   010111000010100000010110000010011101010001000001100000100100           15                 23
010110001010000000010010000000011100011001100001100000100100 =>   110110000010111001010110000100011101110111000000101000100100           15                  9
010101001000000000010010000010011100011001100001100000100100 =>   100110000010111001010110000000011101110111000001101000100100           15                 11
000111001010000000010010000010011100011001100001100000100100 =>   110110000010111001010110000100011101110111000001101000100100           15                  9
010011001100100000010011000000010001011101100001100000100100 =>   010110000010100001010110010000011101110001000000100000100100           15                 11
010110001000100000010010000010011101011101100001100000100100 =>   110110000010111001010110000000011101110011000001101000100100           15                 11
010101001000100000010010000010011101011101100001100000100100 =>   100110000010111001010110000000011101110011000001101000100100           15                 11
010110000010100100110110000011011101011101100001100000100100 =>   110110101010111001010110000110011101111011000001101000100100           15                  9
000100000100001001010010000000010100111001010001100000100100 =>   100110000010110000010110000000011101011111001010101000100100           15                 17
010010000100100101110010001001000001100001001001100000100100 =>   010110001000100100110010000011010001011001001010100000100100           15                 11
011100000010101100110011000011001101001001001001100000100100 =>   100010001000111000010010010100010001011011000001101000100100           15                 10
000011011000100100010010001111010100011001001001100000100100 =>   110100001010111100111010001011111101010111000001101000100100           15                  7
000011111110100100100011000010011101011001001001100000100100 =>   110110001010110000011010010100011101011011000001101000100100           15                 10
000110011010100101010010010011011101110101001001100000100100 =>   110110001010111000010010000100011101011010001011101000100100           15                 10
001000000010100101110010110000001101100100101001100000100100 =>   100000001000111001011010000110000001111011001010101000100100           15                 11
000011001101100100110110011111010001010100101001100000100100 =>   010110001010100101110010001011001101101001000001100000100100           15                 12
010010001101010001011000001110100001001010110101100000100100 =>   010010000100100101110010001001000001100001001001100000100100           15                 12
000010111110100101110110101101001100111000000011100000100100 =>   110110101000110100111110001111001101011111101010101000100100           15                 13
000010001100100000110110001010010000011001000011100000100100 =>   010110000010100100110110000011011101011101100001100000100100           15                 10
000010101000100001110011001010010100111001000011100000100100 =>   110100000010111100111110010011111101011111101011101000100100           15                 12
010110001000000100110110000011000000011001001011100000100100 =>   010110001000100000010010000010011101011101100001100000100100           15                 12
010110000001000100100000100011000000011001001011100000100100 =>   010101001000100000010010000010011101011101100001100000100100           15                 12
000000001010000000000000000000001100011001001011100000100100 =>   101000000000111000011010000100011101010111100000101000100100           15                 16
010110001000000100100000000011001100011001101011100000100100 =>   110100001000111001010010000000011101111111100001101000100100           15                 12
000111000000000000010010000010011100011001101011100000100100 =>   110110000010111001010010000000011101110111000001101000100100           15                 11
000011001000100000010010000010001101011001101011100000100100 =>   110100000000111001011010000000011101110011000001101000100100           15                 18
010110001010100000110110010000011101011001101011100000100100 =>   110110100010111001010010000110011101111011100000101000100100           15                  9
011100001010100100110110110010011101011001101011100000100100 =>   100010101010111001010010000110011101111011100001101000100100           15                 11
011100001101100101110110110011000001111100011011100000100100 =>   000011001000100000010010000010001101011001101011100000100100           15                 19
101011101101000000000011111011101010110111001010010000100100 =>   010011010000100100100011000011011100011000000011100001100100           15                 12
010001110111110110110111011111110001110000110100110000100100 =>   000010111110100101110110101101001100111000000011100000100100           15                 14
