"","TF","symbol","gene"
"1","V.AP1_01","JUNB","BCR"
"2","V.AP1_01","JUNB","BCAR1"
"3","V.AP1_01","JUNB","PDGFRB"
"4","V.AP1_01","JUNB","ACTB"
"5","V.AP1_01","JUNB","SET"
"6","V.AP1_01","JUNB","SRPK1"
"7","V.AP1_01","JUNB","PPL"
"8","V.AP1_01","JUNB","DLG4"
"9","V.AP1_01","JUNB","PTTG1"
"10","V.AP1_01","JUNB","ITGB1"
"11","V.AP1_01","JUNB","IL7R"
"12","V.AP1_01","JUNB","MED28"
"13","V.AP1_01","JUNB","PSMC2"
"14","V.AP1_01","JUNB","PTPN1"
"15","V.AP1_01","JUNB","SNRPA"
"16","V.AP1_01","JUNB","KRT8"
"17","V.AP1_01","JUNB","DAXX"
"18","V.AP1_01","JUNB","LTBP3"
"19","V.AP1_01","JUNB","ANAPC10"
"20","V.AP1_01","JUNB","STAT5B"
"21","V.AP1_01","JUNB","MAPK13"
"22","V.AP1_01","JUNB","SOCS5"
"23","V.AP1_01","JUNB","BCL3"
"24","V.AP1_01","JUNB","CRKL"
"25","V.AP1_01","JUNB","ITGB4"
"26","V.AP1_01","JUN","BCR"
"27","V.AP1_01","JUN","BCAR1"
"28","V.AP1_01","JUN","PDGFRB"
"29","V.AP1_01","JUN","ACTB"
"30","V.AP1_01","JUN","SET"
"31","V.AP1_01","JUN","SRPK1"
"32","V.AP1_01","JUN","PPL"
"33","V.AP1_01","JUN","DLG4"
"34","V.AP1_01","JUN","PTTG1"
"35","V.AP1_01","JUN","ITGB1"
"36","V.AP1_01","JUN","IL7R"
"37","V.AP1_01","JUN","MED28"
"38","V.AP1_01","JUN","PSMC2"
"39","V.AP1_01","JUN","PTPN1"
"40","V.AP1_01","JUN","SNRPA"
"41","V.AP1_01","JUN","KRT8"
"42","V.AP1_01","JUN","DAXX"
"43","V.AP1_01","JUN","LTBP3"
"44","V.AP1_01","JUN","ANAPC10"
"45","V.AP1_01","JUN","STAT5B"
"46","V.AP1_01","JUN","MAPK13"
"47","V.AP1_01","JUN","SOCS5"
"48","V.AP1_01","JUN","BCL3"
"49","V.AP1_01","JUN","CRKL"
"50","V.AP1_01","JUN","ITGB4"
"51","V.AP1_02","JUN","SET"
"52","V.AP1_02","JUN","DAXX"
"53","V.AP1_02","JUN","PTTG1"
"54","V.AP1_02","JUN","SOCS5"
"55","V.AP1_02","JUN","ANAPC10"
"56","V.AP1_02","JUN","CRKL"
"57","V.AP1_02","JUN","CDC27"
"58","V.AP1_02","JUN","ACTN4"
"59","V.AP1_02","JUN","PSEN1"
"60","V.AP1_02","JUN","SNRPA"
"61","V.AP1_02","JUN","S100A2"
"62","V.AP1_02","JUN","YWHAG"
"63","V.AP1_02","JUN","FAS"
"64","V.AP1_02","JUN","GRB2"
"65","V.AP1_02","JUN","IL7R"
"66","V.AP1_02","JUN","ICAM1"
"67","V.AP1_02","JUN","DLG4"
"68","V.AP1_02","JUN","PSMC2"
"69","V.AP1_02","JUN","STAT5B"
"70","V.AP1_02","JUN","KLHL12"
"71","V.AP1_02","JUN","TRIOBP"
"72","V.AP1_02","JUN","MAPK13"
"73","V.AP1_02","JUN","PDGFRB"
"74","V.AP1_02","JUN","MED28"
"75","V.AP1_02","JUN","CD82"
"76","V.AP1_02","JUN","KRT8"
"77","V.AP1_02","JUN","BCAR1"
"78","V.AP1_02","JUN","PPL"
"79","V.AP1_02","JUN","TGFA"
"80","V.AP1_02","JUN","ITGB4"
"81","V.AP1_02","JUN","BCL3"
"82","V.AP1_02","JUN","BCR"
"83","V.AP1_02","JUN","TPR"
"84","V.AP1_02","JUN","PTPN1"
"85","V.AP1_02","JUN","MSH2"
"86","V.AP1_02","JUN","LTBP3"
"87","V.AP1_02","JUN","CTGF"
"88","V.AP1_02","JUN","SRPK1"
"89","V.AP1_02","JUN","WWOX"
"90","V.AP1_02","JUN","HIPK3"
"91","V.AP1_02","JUN","MAD2L1"
"92","V.AP1_02","JUN","ACTB"
"93","V.AP1_02","JUN","ERBB2"
"94","V.AP1_02","JUN","ITGB1"
"95","V.AP1_Q4_01","JUNB","PSMC2"
"96","V.AP1_Q4_01","JUNB","BCL3"
"97","V.AP1_Q4_01","JUNB","KRT8"
"98","V.AP1_Q4_01","JUNB","PTTG1"
"99","V.AP1_Q4_01","JUNB","ITGB1"
"100","V.AP1_Q4_01","JUNB","SOCS5"
"101","V.AP1_Q4_01","JUNB","BCR"
"102","V.AP1_Q4_01","JUNB","LTBP3"
"103","V.AP1_Q4_01","JUNB","DLG4"
"104","V.AP1_Q4_01","JUNB","ITGB4"
"105","V.AP1_Q4_01","JUNB","CRKL"
"106","V.AP1_Q4_01","JUNB","BCAR1"
"107","V.AP1_Q4_01","JUNB","MED28"
"108","V.AP1_Q4_01","JUNB","DAXX"
"109","V.AP1_Q4_01","JUNB","ACTB"
"110","V.AP1_Q4_01","JUNB","IL7R"
"111","V.AP1_Q4_01","JUNB","SNRPA"
"112","V.AP1_Q4_01","JUNB","SRPK1"
"113","V.AP1_Q4_01","JUNB","ANAPC10"
"114","V.AP1_Q4_01","JUN","PSMC2"
"115","V.AP1_Q4_01","JUN","BCL3"
"116","V.AP1_Q4_01","JUN","KRT8"
"117","V.AP1_Q4_01","JUN","PTTG1"
"118","V.AP1_Q4_01","JUN","ITGB1"
"119","V.AP1_Q4_01","JUN","SOCS5"
"120","V.AP1_Q4_01","JUN","BCR"
"121","V.AP1_Q4_01","JUN","LTBP3"
"122","V.AP1_Q4_01","JUN","DLG4"
"123","V.AP1_Q4_01","JUN","ITGB4"
"124","V.AP1_Q4_01","JUN","CRKL"
"125","V.AP1_Q4_01","JUN","BCAR1"
"126","V.AP1_Q4_01","JUN","MED28"
"127","V.AP1_Q4_01","JUN","DAXX"
"128","V.AP1_Q4_01","JUN","ACTB"
"129","V.AP1_Q4_01","JUN","IL7R"
"130","V.AP1_Q4_01","JUN","SNRPA"
"131","V.AP1_Q4_01","JUN","SRPK1"
"132","V.AP1_Q4_01","JUN","ANAPC10"
"133","V.AP1_Q6_01","JUN","BCR"
"134","V.AP1_Q6_01","JUN","BCL3"
"135","V.AP1_Q6_01","JUN","SRPK1"
"136","V.AP1_Q6_01","JUN","DLG4"
"137","V.AP1_Q6_01","JUN","ANAPC10"
"138","V.AP1_Q6_01","JUN","PTTG1"
"139","V.AP1_Q6_01","JUN","PSMC2"
"140","V.AP1_Q6_01","JUN","BCAR1"
"141","V.AP1_Q6_01","JUN","SET"
"142","V.AP1_Q6_01","JUN","MED28"
"143","V.AP1_Q6_01","JUN","PTPN1"
"144","V.AP1_Q6_01","JUN","CRKL"
"145","V.AP1_Q6_01","JUN","SNRPA"
"146","V.AP1_Q6_01","JUN","PDGFRB"
"147","V.AP1_Q6_01","JUN","IL7R"
"148","V.AP1_Q6_01","JUN","ACTB"
"149","V.AP1_Q6_01","JUN","SOCS5"
"150","V.AP1_Q6_01","JUN","ITGB1"
"151","V.AP1_Q6_01","JUN","KRT8"
"152","V.AP1_Q6_01","JUN","MAPK13"
"153","V.AP1_Q6_01","JUN","STAT5B"
"154","V.AP1_Q6_01","JUNB","BCR"
"155","V.AP1_Q6_01","JUNB","BCL3"
"156","V.AP1_Q6_01","JUNB","SRPK1"
"157","V.AP1_Q6_01","JUNB","DLG4"
"158","V.AP1_Q6_01","JUNB","ANAPC10"
"159","V.AP1_Q6_01","JUNB","PTTG1"
"160","V.AP1_Q6_01","JUNB","PSMC2"
"161","V.AP1_Q6_01","JUNB","BCAR1"
"162","V.AP1_Q6_01","JUNB","SET"
"163","V.AP1_Q6_01","JUNB","MED28"
"164","V.AP1_Q6_01","JUNB","PTPN1"
"165","V.AP1_Q6_01","JUNB","CRKL"
"166","V.AP1_Q6_01","JUNB","SNRPA"
"167","V.AP1_Q6_01","JUNB","PDGFRB"
"168","V.AP1_Q6_01","JUNB","IL7R"
"169","V.AP1_Q6_01","JUNB","ACTB"
"170","V.AP1_Q6_01","JUNB","SOCS5"
"171","V.AP1_Q6_01","JUNB","ITGB1"
"172","V.AP1_Q6_01","JUNB","KRT8"
"173","V.AP1_Q6_01","JUNB","MAPK13"
"174","V.AP1_Q6_01","JUNB","STAT5B"
"175","V.BATFJUN_01","JUN","ACTB"
"176","V.BATFJUN_01","JUN","PSEN1"
"177","V.BATFJUN_01","JUN","ITGA6"
"178","V.BATFJUN_01","JUN","CD44"
"179","V.BATFJUN_01","JUN","SOCS5"
"180","V.BATFJUN_01","JUN","PLD2"
"181","V.BATFJUN_01","JUN","UBC"
"182","V.BATFJUN_01","JUN","ANAPC10"
"183","V.BATFJUN_01","JUN","GSN"
"184","V.BATFJUN_01","JUN","YWHAG"
"185","V.BATFJUN_01","JUN","TBL1X"
"186","V.BATFJUN_01","JUN","RHOD"
"187","V.BATFJUN_01","JUN","CASP1"
"188","V.BATFJUN_01","JUN","CTNNB1"
"189","V.BATFJUN_01","JUN","BCR"
"190","V.BATFJUN_01","JUN","AURKB"
"191","V.BATFJUN_01","JUN","LTBP3"
"192","V.BATFJUN_01","JUN","DLG4"
"193","V.BATFJUN_01","JUN","HIPK3"
"194","V.BATFJUN_01","JUN","ITGA5"
"195","V.BATFJUN_01","JUN","TPR"
"196","V.BATFJUN_01","JUN","STAT5B"
"197","V.BATFJUN_01","JUN","KRT8"
"198","V.BATFJUN_01","JUN","BCAR1"
"199","V.BATFJUN_01","JUN","COPS5"
"200","V.BATFJUN_01","JUN","NCOR1"
"201","V.BATFJUN_01","JUN","S100A2"
"202","V.BATFJUN_01","JUN","ITGB4"
"203","V.BATFJUN_01","JUN","PBK"
"204","V.BATFJUN_01","JUN","RB1"
"205","V.BATFJUN_01","JUN","KLHL12"
"206","V.BATFJUN_01","JUN","UBE2I"
"207","V.BATFJUN_01","JUN","PTTG1"
"208","V.BATFJUN_01","JUN","SRPK1"
"209","V.BATFJUN_01","JUN","CD82"
"210","V.BATFJUN_01","JUN","SNRPA"
"211","V.BATFJUN_01","JUN","GRB2"
"212","V.BATFJUN_01","JUN","PPL"
"213","V.BATFJUN_01","JUN","CALM1"
"214","V.BATFJUN_01","JUN","LIMK2"
"215","V.BATFJUN_01","JUN","TSG101"
"216","V.BATFJUN_01","JUN","FBLN1"
"217","V.BATFJUN_01","JUN","PRKACA"
"218","V.BATFJUN_01","JUN","MAPK13"
"219","V.BATFJUN_01","JUN","TGFA"
"220","V.BATFJUN_01","JUN","SMAD4"
"221","V.BATFJUN_01","JUN","ACTN4"
"222","V.BATFJUN_01","JUN","CBLB"
"223","V.BATFJUN_01","JUN","ITGB3"
"224","V.BATFJUN_01","JUN","JAK2"
"225","V.BATFJUN_01","JUN","ERBB2"
"226","V.BATFJUN_01","JUN","HBEGF"
"227","V.BATFJUN_01","JUN","PDGFRB"
"228","V.BATFJUN_01","JUN","CSK"
"229","V.BATFJUN_01","JUN","PSMC2"
"230","V.BATFJUN_01","JUN","FAS"
"231","V.BATFJUN_01","JUN","DCN"
"232","V.BATFJUN_01","JUN","ICAM1"
"233","V.BATFJUN_01","JUN","IL7R"
"234","V.BATFJUN_01","JUN","HTT"
"235","V.BATFJUN_01","JUN","MSN"
"236","V.BATFJUN_01","JUN","CDC27"
"237","V.BATFJUN_01","JUN","TACC1"
"238","V.BATFJUN_01","JUN","TAF1B"
"239","V.BATFJUN_01","JUN","CRKL"
"240","V.BATFJUN_01","JUN","MDM2"
"241","V.BATFJUN_01","JUN","TOM1L1"
"242","V.BATFJUN_01","JUN","BCL3"
"243","V.BATFJUN_01","JUN","DAXX"
"244","V.BATFJUN_01","JUN","TP53"
"245","V.BATFJUN_01","JUN","KAT2B"
"246","V.BATFJUN_01","JUN","AP2B1"
"247","V.BATFJUN_01","JUN","TRIOBP"
"248","V.BATFJUN_01","JUN","DNAJB2"
"249","V.BATFJUN_01","JUN","CTGF"
"250","V.BATFJUN_01","JUN","MAD2L1"
"251","V.BATFJUN_01","JUN","MSH2"
"252","V.BATFJUN_01","JUN","PTPN1"
"253","V.BATFJUN_01","JUN","IGF1R"
"254","V.BATFJUN_01","JUN","MED28"
"255","V.BATFJUN_01","JUN","WWOX"
"256","V.BATFJUN_01","JUN","SET"
"257","V.BATFJUN_01","JUN","VTN"
"258","V.BATFJUN_01","JUN","NR3C1"
"259","V.BATFJUN_01","JUN","MYC"
"260","V.BATFJUN_01","JUN","ITGB1"
"261","V.BATFJUN_01","JUN","CASP8"
"262","V.BATFJUN_01","JUN","NUF2"
"263","V.CFOSCJUN_Q5","JUN","DAXX"
"264","V.CFOSCJUN_Q5","JUN","ACTB"
"265","V.CFOSCJUN_Q5","JUN","PSMC2"
"266","V.CFOSCJUN_Q5","JUN","LTBP3"
"267","V.CFOSCJUN_Q5","JUN","SOCS5"
"268","V.CFOSCJUN_Q5","JUN","BCL3"
"269","V.CFOSCJUN_Q5","JUN","STAT5B"
"270","V.CFOSCJUN_Q5","JUN","SET"
"271","V.CFOSCJUN_Q5","JUN","ITGB1"
"272","V.CFOSCJUN_Q5","JUN","BCAR1"
"273","V.CFOSCJUN_Q5","JUN","BCR"
"274","V.CFOSCJUN_Q5","JUN","IL7R"
"275","V.CFOSCJUN_Q5","JUN","PDGFRB"
"276","V.CFOSCJUN_Q5","JUN","MAPK13"
"277","V.CFOSCJUN_Q5","JUN","SNRPA"
"278","V.CFOSCJUN_Q5","JUN","ITGB4"
"279","V.CFOSCJUN_Q5","JUN","PTTG1"
"280","V.CFOSCJUN_Q5","JUN","ANAPC10"
"281","V.CFOSCJUN_Q5","JUN","KRT8"
"282","V.CFOSCJUN_Q5","JUN","CRKL"
"283","V.CFOSCJUN_Q5","JUN","SRPK1"
"284","V.CFOSCJUN_Q5","JUN","PPL"
"285","V.CFOSCJUN_Q5","JUN","PTPN1"
"286","V.CFOSCJUN_Q5","JUN","MED28"
"287","V.CFOSCJUN_Q5","JUN","DLG4"
"288","V.CJUN_Q6","JUN","CD55"
"289","V.CJUN_Q6","JUN","MAD2L1"
"290","V.CJUN_Q6","JUN","SOCS5"
"291","V.CJUN_Q6","JUN","CDC16"
"292","V.CJUN_Q6","JUN","CRKL"
"293","V.CJUN_Q6","JUN","SNRPA"
"294","V.CJUN_Q6","JUN","CRK"
"295","V.CJUN_Q6","JUN","STAT3"
"296","V.CJUN_Q6","JUN","IL7R"
"297","V.CJUN_Q6","JUN","SRPK1"
"298","V.CJUN_Q6","JUN","RASGRF1"
"299","V.CJUN_Q6","JUN","CDK5"
"300","V.CJUN_Q6","JUN","NFKB1"
"301","V.CJUN_Q6","JUN","BCL3"
"302","V.CJUN_Q6","JUN","KRT8"
"303","V.CJUN_Q6","JUN","ITGB1"
"304","V.CJUN_Q6","JUN","CBLB"
"305","V.CJUN_Q6","JUN","KAT2A"
"306","V.CJUN_Q6","JUN","VTN"
"307","V.CJUN_Q6","JUN","FAS"
"308","V.CJUN_Q6","JUN","PDGFRB"
"309","V.CJUN_Q6","JUN","MYC"
"310","V.CJUN_Q6","JUN","CALM1"
"311","V.CJUN_Q6","JUN","PPL"
"312","V.CJUN_Q6","JUN","SETDB1"
"313","V.CJUN_Q6","JUN","LTBP3"
