"SUID","interaction","name","selected","shared interaction","shared name","Strength"
"38962","neg_interaction","MYC_interaction_JUN","false","neg_interaction","MYC_interaction_JUN","-0.9950002993845943"
"38964","neg_interaction","TFAP4_interaction_JUN","false","neg_interaction","TFAP4_interaction_JUN","-0.8999749060309202"
"38965","pos_interaction","TFAP4_interaction_MYC","false","pos_interaction","TFAP4_interaction_MYC","0.9176697271023497"
"38968","pos_interaction","RELA_interaction_SCAMP1","false","pos_interaction","RELA_interaction_SCAMP1","0.7024253888993904"
"38969","pos_interaction","RELA_interaction_TFAP4","false","pos_interaction","RELA_interaction_TFAP4","0.8236496745268065"
"38971","neg_interaction","RELA_interaction_NFYC","false","neg_interaction","RELA_interaction_NFYC","-0.9745509827923374"
"38974","pos_interaction","TCF7L2_interaction_IL4R","false","pos_interaction","TCF7L2_interaction_IL4R","0.7420485250582499"
"38975","neg_interaction","TCF7L2_interaction_JUN","false","neg_interaction","TCF7L2_interaction_JUN","-0.9666700500058261"
"38976","pos_interaction","TCF7L2_interaction_MYC","false","pos_interaction","TCF7L2_interaction_MYC","0.9873416610266202"
"38977","pos_interaction","TCF7L2_interaction_TFAP4","false","pos_interaction","TCF7L2_interaction_TFAP4","0.9198835742616447"
"38979","neg_interaction","GTF2I_interaction_JUN","false","neg_interaction","GTF2I_interaction_JUN","-0.9886686946077217"
"38980","pos_interaction","GTF2I_interaction_MYC","false","pos_interaction","GTF2I_interaction_MYC","0.9944426252020017"
"38981","pos_interaction","GTF2I_interaction_TFAP4","false","pos_interaction","GTF2I_interaction_TFAP4","0.8742539834136954"
"38982","pos_interaction","GTF2I_interaction_TCF7L2","false","pos_interaction","GTF2I_interaction_TCF7L2","0.9850361905664242"
