"SUID","interaction","name","selected","shared interaction","shared name","Strength"
"38064","neg_interaction","GTF2I_interaction_CDC20","false","neg_interaction","GTF2I_interaction_CDC20","-0.9965709849103503"
"38065","pos_interaction","GTF2I_interaction_LRP1","false","pos_interaction","GTF2I_interaction_LRP1","0.9970048001161903"
"38066","neg_interaction","GTF2I_interaction_SNRPD2","false","neg_interaction","GTF2I_interaction_SNRPD2","-0.9915819477339072"
"38067","neg_interaction","GTF2I_interaction_CDC16","false","neg_interaction","GTF2I_interaction_CDC16","-0.9585029841510107"
"38068","neg_interaction","GTF2I_interaction_TOP2A","false","neg_interaction","GTF2I_interaction_TOP2A","-0.9974661797751851"
"38069","pos_interaction","GTF2I_interaction_SKIL","false","pos_interaction","GTF2I_interaction_SKIL","0.9527973191387863"
"38070","neg_interaction","GTF2I_interaction_HMGA2","false","neg_interaction","GTF2I_interaction_HMGA2","-0.9965287602291438"
"38071","neg_interaction","GTF2I_interaction_HMGB2","false","neg_interaction","GTF2I_interaction_HMGB2","-0.9955238297016511"
"38072","neg_interaction","GTF2I_interaction_MAD2L1","false","neg_interaction","GTF2I_interaction_MAD2L1","-0.9981522463983155"
"38073","neg_interaction","GTF2I_interaction_PTTG1","false","neg_interaction","GTF2I_interaction_PTTG1","-0.9983463643173002"
"38074","neg_interaction","GTF2I_interaction_BUB1","false","neg_interaction","GTF2I_interaction_BUB1","-0.9928529012049061"
"38075","pos_interaction","GTF2I_interaction_SOCS5","false","pos_interaction","GTF2I_interaction_SOCS5","0.9939747458573697"
"38076","neg_interaction","GTF2I_interaction_PRPF40A","false","neg_interaction","GTF2I_interaction_PRPF40A","-0.9896381947571998"
"38077","neg_interaction","GTF2I_interaction_COL13A1","false","neg_interaction","GTF2I_interaction_COL13A1","-0.967582168373881"
"38078","neg_interaction","GTF2I_interaction_JUN","false","neg_interaction","GTF2I_interaction_JUN","-0.9886686946077217"
"38079","pos_interaction","GTF2I_interaction_MYC","false","pos_interaction","GTF2I_interaction_MYC","0.9944426252020017"
"38080","pos_interaction","GTF2I_interaction_TCF7L2","false","pos_interaction","GTF2I_interaction_TCF7L2","0.9850361905664242"
