A_hierarchical_2 A_hierarchical_3 A_KM_2 B_KM_2 B_KM_3 C_km_2 C_km_3 D_hierarchical_3 D_hierarchical_4 D_km_2 E_hierarchical_2 E_hierarchical_3 E_km_2 F_hierarchical_10 F_km_2 F_km_3
attractor353 2 2 1 2 2 1 3 1 1 1 2 2 1 1 1 1
attractor354 1 1 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor355 1 1 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor356 1 1 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor357 1 1 2 2 2 2 1 2 2 2 1 1 2 1 1 1
attractor358 1 1 2 1 3 2 3 2 2 2 1 1 2 3 2 2
attractor359 1 1 2 1 1 2 3 2 2 2 2 2 2 2 2 3
attractor360 2 2 1 1 1 1 3 2 2 2 2 2 1 2 2 3
attractor361 1 3 2 1 1 2 3 2 2 2 2 2 2 2 2 3
attractor362 2 2 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor363 1 3 2 1 3 2 1 2 2 2 2 2 2 2 2 2
attractor364 1 1 2 2 2 2 2 2 2 1 1 1 2 1 1 1
attractor365 1 1 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor366 1 1 2 1 3 2 1 2 2 2 1 1 2 2 2 2
attractor367 2 2 1 1 3 1 3 2 2 2 2 2 1 3 2 2
attractor368 1 3 2 1 1 2 2 2 2 1 1 1 2 2 2 3
attractor369 1 1 1 1 1 1 1 2 2 2 1 3 1 2 2 3
attractor370 1 3 2 1 3 2 2 2 2 2 1 3 2 2 2 2
attractor371 1 3 2 1 3 2 3 2 2 2 1 1 2 2 2 2
attractor372 1 1 1 2 2 1 3 2 2 2 1 1 1 1 2 3
attractor373 1 1 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor374 2 2 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor375 1 1 2 1 1 2 2 2 3 2 1 1 2 2 2 3
attractor376 1 1 1 2 2 1 1 1 1 1 2 2 1 1 1 1
attractor377 1 1 1 1 1 1 1 1 1 2 1 1 1 2 2 3
attractor378 1 3 1 1 3 1 1 2 2 2 1 3 1 2 2 2
attractor379 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor380 1 1 1 1 1 1 1 2 2 2 2 2 1 2 2 3
attractor381 2 2 2 1 1 2 3 2 2 2 2 2 2 2 2 3
attractor382 1 3 2 1 3 2 2 2 2 2 2 2 2 2 2 3
attractor383 1 1 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor384 1 1 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor385 2 2 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor386 2 2 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor387 1 1 2 1 3 2 2 2 2 2 1 3 2 2 2 2
attractor388 2 2 1 1 3 1 1 2 3 2 1 1 1 2 2 2
attractor389 1 3 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor390 1 1 2 2 2 2 2 1 1 1 2 2 2 1 1 1
attractor391 1 1 1 1 1 1 1 2 2 2 1 1 1 10 2 2
attractor392 1 3 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor393 1 1 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor394 1 1 1 1 3 1 1 2 3 2 2 2 1 2 2 2
attractor395 1 1 1 2 2 1 3 1 1 1 2 2 1 1 1 1
attractor396 1 1 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor397 1 1 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor398 1 3 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor399 2 2 1 2 2 1 1 1 1 1 1 3 1 1 1 1
attractor400 1 1 1 1 1 1 3 2 2 2 1 1 1 1 2 2
attractor401 1 1 2 1 3 2 2 2 2 2 2 2 2 2 2 3
attractor402 1 3 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor403 1 1 1 2 2 1 1 2 2 2 1 1 1 1 1 1
attractor404 1 1 2 2 2 2 2 1 1 1 1 1 2 2 1 1
attractor405 2 2 2 1 1 2 3 2 2 2 2 2 2 2 2 3
attractor406 1 1 1 1 1 1 1 2 2 2 2 2 1 2 2 3
attractor407 2 2 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor408 1 3 2 1 1 2 2 2 2 2 1 1 2 2 2 2
attractor409 2 2 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor410 2 2 2 2 2 2 2 1 1 1 2 2 2 1 1 1
attractor411 1 1 1 1 3 1 1 2 2 2 2 2 1 2 2 2
attractor412 2 2 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor413 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor414 1 1 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor415 2 2 2 2 2 2 1 1 1 1 2 2 2 1 1 1
attractor416 2 2 2 1 3 2 3 2 2 2 1 3 2 2 2 2
attractor417 2 2 2 2 2 2 3 1 1 1 1 1 2 1 1 1
attractor418 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor419 1 1 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor420 1 1 2 1 3 2 1 2 2 2 1 1 2 2 2 2
attractor421 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor422 1 1 2 2 2 2 2 2 2 1 1 3 2 1 1 1
attractor423 1 1 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor424 2 2 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor425 1 1 1 1 3 1 3 2 3 2 1 1 1 2 2 2
attractor426 1 3 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor427 1 1 1 2 2 1 1 1 1 1 2 2 1 1 1 1
attractor428 1 1 2 1 3 2 2 2 2 2 1 3 2 2 2 2
attractor429 1 1 1 2 2 1 1 1 1 1 2 2 1 1 1 1
attractor430 1 1 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor431 2 2 2 1 3 2 2 2 3 2 1 1 2 2 2 2
attractor432 2 2 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor433 1 1 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor434 1 3 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor435 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor436 2 2 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor437 1 1 1 1 3 1 1 2 2 2 2 2 1 2 2 2
attractor438 1 3 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor439 1 1 2 2 2 2 2 2 2 1 1 1 2 1 1 1
attractor440 1 3 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor441 2 2 2 2 2 2 2 3 4 1 1 1 2 1 1 1
attractor442 1 1 1 1 1 1 1 2 2 2 2 2 1 2 2 3
attractor443 2 2 2 1 3 2 1 2 2 2 1 1 2 2 2 2
attractor444 2 2 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor445 1 1 2 1 1 2 2 2 2 2 2 2 2 5 2 3
attractor446 1 1 1 1 1 1 1 2 2 2 1 1 1 2 2 3
attractor447 1 1 2 1 3 2 3 2 2 2 2 2 2 2 2 2
attractor448 2 2 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor449 1 1 1 1 3 1 3 2 3 2 1 1 1 2 2 2
attractor450 1 1 1 2 2 1 1 3 4 1 2 2 1 1 1 1
attractor451 2 2 2 1 1 2 3 2 2 2 2 2 2 2 2 3
attractor452 1 3 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor453 1 1 1 1 3 1 1 2 2 2 2 2 1 2 2 2
attractor454 1 1 2 2 2 2 1 1 1 1 2 2 2 1 1 1
attractor455 1 1 1 2 2 1 1 1 1 1 2 2 1 1 1 1
attractor456 2 2 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor457 1 1 1 1 1 1 1 2 2 2 1 3 1 2 2 3
attractor458 1 1 1 1 1 1 1 3 4 2 1 1 1 1 2 3
attractor459 2 2 1 2 2 1 1 1 1 1 1 1 1 3 1 1
attractor460 1 1 2 2 2 2 2 1 1 1 2 2 2 1 1 1
attractor461 2 2 2 2 2 2 2 2 2 2 1 1 2 1 1 1
attractor462 2 2 1 1 3 1 3 2 2 2 1 3 1 2 2 2
attractor463 1 3 1 2 2 1 3 1 1 1 2 2 1 1 1 1
attractor464 2 2 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor465 1 3 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor466 2 2 2 1 3 2 3 2 2 2 2 2 2 2 2 2
attractor467 1 1 2 2 2 2 1 1 1 1 2 2 2 1 1 1
attractor468 1 1 1 2 2 1 1 3 4 1 2 2 1 1 1 1
attractor469 2 2 1 2 2 1 1 1 1 1 2 2 1 3 1 1
attractor470 1 3 2 2 2 2 3 1 1 1 1 1 2 1 1 1
attractor471 1 3 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor472 1 1 2 1 3 2 3 2 2 2 1 1 2 2 2 2
attractor473 1 3 1 2 2 1 1 2 2 2 2 2 1 1 1 1
attractor474 2 2 1 1 1 1 3 2 2 2 1 1 1 2 2 3
attractor475 1 1 1 1 3 1 3 2 2 2 1 3 1 2 2 2
attractor476 1 3 2 1 3 2 2 2 2 2 1 3 2 2 2 2
attractor477 1 3 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor478 2 2 1 1 1 1 1 2 2 2 2 2 1 2 2 3
attractor479 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor480 1 1 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor481 1 1 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor482 2 2 1 1 1 1 1 2 2 2 1 1 1 2 2 3
attractor483 1 1 2 2 2 2 3 1 1 1 1 3 2 1 1 1
attractor484 1 1 1 1 1 1 1 2 2 2 1 1 1 2 2 3
attractor485 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor486 2 2 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor487 2 2 2 1 3 2 2 2 2 2 1 3 2 2 2 2
attractor488 1 1 2 1 1 2 1 2 2 2 2 2 2 1 2 3
attractor489 1 3 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor490 1 3 1 2 2 1 1 1 1 1 2 2 1 1 1 1
attractor491 1 3 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor492 1 1 1 1 1 1 3 2 2 2 2 2 1 2 2 3
attractor493 1 3 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor494 1 1 2 2 2 2 2 2 3 2 1 1 2 1 1 1
attractor495 2 2 2 1 3 2 3 2 3 2 2 2 2 2 2 2
attractor496 1 1 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor497 2 2 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor498 1 1 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor499 2 2 2 1 1 2 2 2 2 2 1 3 2 2 2 3
attractor500 1 1 2 2 2 2 1 3 4 1 2 2 2 1 1 1
attractor501 1 1 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor502 1 1 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor503 1 1 1 1 1 1 3 2 2 2 1 3 1 2 2 3
attractor504 1 1 1 1 1 1 1 2 2 2 1 1 1 2 2 3
attractor505 1 1 1 1 1 1 1 2 2 2 1 1 1 2 2 3
attractor506 2 2 2 1 1 2 1 2 2 1 1 1 2 2 2 3
attractor507 1 3 2 1 1 2 2 2 2 2 1 1 2 2 2 2
attractor508 1 1 1 1 3 1 1 2 2 2 1 3 1 2 2 2
attractor509 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor510 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor511 2 2 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor512 1 1 2 1 1 2 2 2 2 2 1 3 2 2 2 3
attractor513 2 2 2 2 2 2 3 1 1 1 2 2 2 1 1 1
attractor514 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor515 1 3 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor516 1 1 1 2 2 1 3 1 1 1 1 1 1 1 1 1
attractor517 1 1 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor518 1 1 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor519 1 1 2 1 3 2 2 2 2 2 1 3 2 2 2 2
attractor520 1 1 2 1 3 2 3 2 2 2 1 1 2 2 2 2
attractor521 2 2 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor522 1 1 2 2 2 2 2 2 2 1 1 3 2 1 1 1
attractor523 1 1 2 2 2 2 1 1 1 1 1 3 2 1 1 1
attractor524 2 2 2 1 1 2 2 2 3 2 1 1 2 2 2 3
attractor525 1 1 2 1 3 2 2 2 2 2 1 3 2 2 2 2
attractor526 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor527 1 1 2 1 3 2 3 2 2 2 1 1 2 2 2 2
attractor528 2 2 2 1 3 2 3 2 2 2 1 3 2 2 2 2
attractor529 1 1 1 1 3 1 3 2 2 2 1 1 1 2 2 3
attractor530 1 1 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor531 1 1 1 1 3 1 1 2 3 2 1 1 1 2 2 2
attractor532 1 1 2 2 2 2 2 1 1 1 2 2 2 1 1 1
attractor533 1 3 1 1 1 1 3 2 2 2 1 1 1 2 2 3
attractor534 2 2 2 2 2 2 3 1 1 1 2 2 2 1 1 1
attractor535 1 3 2 2 2 2 1 1 1 1 1 1 2 1 1 1
attractor536 1 1 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor537 2 2 1 1 3 1 1 3 4 2 1 1 1 2 2 2
attractor538 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor539 1 1 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor540 1 1 2 1 3 2 2 2 2 2 1 3 2 2 2 2
attractor541 1 1 2 2 2 2 2 2 2 2 1 3 2 1 1 1
attractor542 2 2 1 1 3 1 3 2 2 2 1 3 1 2 2 2
attractor543 2 2 1 1 3 1 2 2 2 2 1 1 1 2 2 2
attractor544 1 1 2 1 3 2 3 2 2 2 2 2 2 2 2 2
attractor545 1 3 2 1 3 2 2 2 3 2 1 1 2 2 2 2
attractor546 1 1 1 2 2 1 1 1 1 1 2 2 1 1 1 1
attractor547 1 1 2 2 2 2 2 2 2 2 2 2 2 1 1 1
attractor548 1 3 1 1 3 1 1 2 2 2 2 2 1 2 2 2
attractor549 1 1 1 2 2 1 3 1 1 1 2 2 1 1 1 1
attractor550 1 1 2 2 2 2 1 1 1 1 2 2 2 1 1 1
attractor551 2 2 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor552 1 1 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor553 1 1 2 1 1 2 3 2 2 2 1 1 2 2 2 3
attractor554 1 1 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor555 1 1 1 2 2 1 1 1 1 1 1 3 1 2 1 1
attractor556 1 1 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor557 1 1 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor558 1 3 2 2 2 2 1 3 4 1 2 2 2 1 1 1
attractor559 1 1 1 1 1 1 1 2 2 2 1 1 1 2 2 3
attractor560 2 2 1 1 1 1 1 2 2 2 1 1 1 2 2 2
attractor561 1 1 1 1 1 1 3 2 2 2 2 2 1 2 2 3
attractor562 1 3 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor563 1 1 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor564 1 3 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor565 2 2 1 1 1 1 1 2 2 2 1 1 1 2 2 3
attractor566 1 1 1 1 1 1 3 2 2 2 2 2 1 4 2 3
attractor567 1 1 2 1 3 2 1 2 2 2 1 1 2 2 2 2
attractor568 1 3 1 1 1 1 1 2 2 2 2 2 1 2 2 3
attractor569 1 3 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor570 1 1 2 1 1 2 2 2 2 2 1 3 2 2 2 3
attractor571 1 1 2 1 3 2 2 2 3 2 2 2 2 2 2 2
attractor572 1 1 1 1 1 1 3 2 2 2 1 1 1 2 2 3
attractor573 1 1 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor574 1 1 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor575 1 3 2 2 2 2 2 1 1 1 2 2 2 1 1 1
attractor576 2 2 1 1 1 1 3 2 3 2 1 1 1 2 2 3
attractor577 2 2 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor578 1 1 1 2 2 1 3 1 1 1 1 1 1 1 1 1
attractor579 1 3 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor580 2 2 1 1 1 1 1 2 2 2 1 3 1 2 2 3
attractor581 2 2 1 1 1 1 1 2 2 2 1 1 1 4 2 3
attractor582 1 1 1 1 3 1 1 2 2 2 1 3 1 2 2 2
attractor583 2 2 1 1 1 1 3 2 2 2 1 1 1 2 2 3
attractor584 2 2 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor585 2 2 2 2 2 2 2 1 1 1 2 2 2 1 1 1
attractor586 2 2 1 2 2 1 3 1 1 1 1 1 1 1 1 1
attractor587 1 1 2 1 3 2 3 2 2 2 2 2 2 2 2 2
attractor588 1 1 1 1 3 1 1 2 2 2 2 2 1 2 2 2
attractor589 1 1 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor590 2 2 1 1 1 1 3 2 2 2 1 1 1 2 2 3
attractor591 2 2 2 1 1 2 3 2 2 2 2 2 2 3 2 3
attractor592 1 1 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor593 2 2 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor594 1 1 2 2 2 2 3 1 1 1 2 2 2 1 1 1
attractor595 2 2 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor596 1 1 2 2 2 2 3 1 1 1 1 1 2 1 1 1
attractor597 1 3 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor598 1 1 1 1 1 1 3 2 2 2 2 2 1 2 2 3
attractor599 2 2 2 1 1 2 2 2 2 2 1 3 2 2 2 3
attractor600 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor601 1 1 2 1 1 2 2 2 2 2 1 1 2 2 2 2
attractor602 1 1 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor603 1 3 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor604 2 2 2 1 1 2 3 2 2 2 1 1 2 2 2 3
attractor605 2 2 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor606 1 1 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor607 2 2 2 2 2 2 3 1 1 1 1 1 2 1 1 1
attractor608 1 1 1 1 1 1 3 2 2 2 1 3 1 2 2 2
attractor609 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor610 1 1 1 1 3 1 3 2 2 2 1 3 1 2 2 3
attractor611 2 2 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor612 2 2 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor613 2 2 2 1 1 2 3 2 2 2 2 2 2 2 2 3
attractor614 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor615 1 1 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor616 1 1 2 1 3 2 2 2 2 2 1 3 2 2 2 2
attractor617 1 1 1 1 3 1 1 2 2 2 2 2 1 2 2 3
attractor618 2 2 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor619 2 2 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor620 1 1 2 1 3 2 1 2 2 2 1 1 2 2 2 2
attractor621 1 3 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor622 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor623 2 2 2 1 3 2 1 2 2 2 2 2 2 2 2 3
attractor624 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor625 1 1 2 2 2 2 2 1 1 1 2 2 2 1 1 1
attractor626 2 2 2 1 3 2 2 2 3 2 2 2 2 2 2 2
attractor627 2 2 1 2 2 1 3 1 1 1 1 1 1 1 1 1
attractor628 1 1 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor629 1 1 1 2 2 1 3 2 2 1 1 3 1 1 1 1
attractor630 1 3 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor631 2 2 1 2 2 1 3 1 1 1 2 2 1 1 1 1
attractor632 1 1 2 1 1 2 2 2 2 2 1 3 2 2 2 3
attractor633 1 1 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor634 2 2 2 1 3 2 2 2 2 2 1 3 2 2 2 2
attractor635 2 2 2 2 2 2 1 1 1 1 1 1 2 1 1 1
attractor636 1 1 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor637 1 1 2 1 3 2 2 2 3 2 2 2 2 2 2 2
attractor638 2 2 1 2 2 1 3 2 2 2 1 1 1 1 1 1
attractor639 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor640 2 2 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor641 2 2 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor642 2 2 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor643 1 3 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor644 1 1 1 1 3 1 1 2 2 2 2 2 1 2 2 2
attractor645 1 1 1 1 3 1 3 2 3 2 1 3 1 2 2 2
attractor646 2 2 1 2 2 1 3 2 2 2 2 2 1 1 1 1
attractor647 1 3 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor648 1 1 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor649 1 1 1 1 1 1 3 2 2 2 1 1 1 2 2 3
attractor650 1 1 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor651 1 1 1 1 1 1 3 2 2 2 1 1 1 2 2 3
attractor652 1 1 2 2 2 2 1 1 1 1 2 2 2 1 1 1
attractor653 1 1 1 2 2 1 3 1 1 1 2 2 1 2 1 1
attractor654 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor655 2 2 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor656 1 1 1 1 1 1 1 2 2 2 1 3 1 2 2 3
attractor657 2 2 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor658 2 2 2 2 2 2 1 1 1 1 1 1 2 1 1 1
attractor659 2 2 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor660 1 1 1 1 3 1 1 2 2 2 1 3 1 2 2 2
attractor661 1 1 2 2 2 2 2 2 2 1 1 3 2 1 1 1
attractor662 2 2 2 1 3 2 2 2 2 2 1 3 2 2 2 2
attractor663 1 1 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor664 1 1 2 1 1 2 2 2 3 2 1 3 2 2 2 3
attractor665 2 2 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor666 1 1 2 1 3 2 2 2 2 2 1 3 2 2 2 2
attractor667 1 1 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor668 1 1 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor669 1 1 1 1 3 1 1 2 3 2 1 1 1 2 2 2
attractor670 1 1 2 2 2 2 2 1 1 1 2 2 2 1 1 1
attractor671 1 1 2 2 2 2 2 1 1 1 2 2 2 1 1 1
attractor672 1 1 1 1 3 1 3 2 2 2 1 3 1 2 2 2
attractor673 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor674 1 3 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor675 1 1 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor676 1 3 2 1 3 2 3 2 2 2 1 1 2 2 2 2
attractor677 2 2 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor678 1 3 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor679 1 1 2 2 2 2 2 3 4 1 1 1 2 1 1 1
attractor680 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor681 2 2 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor682 2 2 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor683 1 3 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor684 2 2 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor685 1 3 2 2 2 2 2 2 2 2 1 1 2 1 1 1
attractor686 1 3 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor687 1 1 2 1 3 2 2 2 2 2 1 3 2 2 2 2
attractor688 1 1 2 1 3 2 2 2 2 2 1 3 2 2 2 2
attractor689 2 2 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor690 1 1 2 1 1 2 2 2 2 2 1 1 2 2 2 2
attractor691 1 1 1 1 1 1 1 2 2 2 1 1 1 2 2 3
attractor692 1 1 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor693 2 2 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor694 1 1 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor695 2 2 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor696 1 1 1 1 1 1 1 2 2 2 2 2 1 2 2 3
attractor697 1 1 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor698 1 3 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor699 1 1 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor700 1 3 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor701 1 1 2 2 2 2 2 1 1 1 2 2 2 1 1 1
attractor702 2 2 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor703 1 1 2 1 1 2 2 3 4 2 2 2 2 1 2 3
attractor704 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor705 1 1 1 2 2 1 3 1 1 1 2 2 1 1 1 1
attractor706 2 2 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor707 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor708 1 1 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor709 1 3 1 2 2 1 3 1 1 1 2 2 1 1 1 1
attractor710 2 2 2 2 2 2 2 3 4 1 1 1 2 1 1 1
attractor711 1 1 1 1 1 1 3 2 2 2 2 2 1 2 2 3
attractor712 2 2 2 1 3 2 2 2 3 2 1 1 2 2 2 2
attractor713 1 1 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor714 1 1 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor715 1 3 1 1 1 1 3 2 2 2 1 1 1 2 2 3
attractor716 1 1 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor717 1 1 1 1 1 1 1 2 2 2 1 1 1 2 2 3
attractor718 1 1 2 1 1 2 2 2 2 2 2 2 2 4 2 3
attractor719 1 1 1 2 2 1 1 1 1 1 1 3 1 1 1 1
attractor720 1 1 2 2 2 2 3 1 1 1 1 1 2 1 1 1
attractor721 2 2 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor722 2 2 1 1 3 1 3 2 3 2 2 2 1 10 2 2
attractor723 1 1 2 1 3 2 1 2 2 2 2 2 2 2 2 2
attractor724 1 1 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor725 2 2 1 1 1 1 3 3 4 2 2 2 1 1 2 3
attractor726 2 2 2 1 3 2 2 2 2 2 1 1 2 2 2 2
