A_hierarchical_2 A_hierarchical_3 A_KM_2 B_KM_2 B_KM_3 C_km_2 C_km_3 D_hierarchical_3 D_hierarchical_4 D_km_2 E_hierarchical_2 E_hierarchical_3 E_km_2 F_hierarchical_10 F_km_2 F_km_3
attractor23 2 2 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor24 1 3 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor25 1 1 2 1 1 2 1 2 2 2 1 1 2 2 2 3
attractor26 1 1 2 1 3 2 2 2 2 2 1 3 2 2 2 2
attractor27 2 2 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor28 1 1 1 2 2 1 1 3 4 1 1 3 1 1 1 1
attractor29 1 3 1 1 3 1 1 2 2 2 2 2 1 2 2 2
attractor30 1 1 2 1 3 2 2 3 4 2 1 1 2 2 2 2
attractor31 1 3 2 1 1 2 2 2 2 2 2 2 2 2 2 2
attractor32 2 2 1 1 1 1 3 2 2 1 1 1 1 2 2 3
attractor33 1 1 1 1 1 1 3 2 2 2 2 2 1 4 2 3
attractor34 1 1 2 2 2 2 2 2 2 2 2 2 2 1 1 1
attractor35 1 1 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor36 2 2 1 1 3 1 1 2 2 2 1 3 1 2 2 2
attractor37 2 2 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor38 1 1 1 1 3 1 3 2 2 2 1 3 1 2 2 2
attractor39 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor40 1 1 1 1 3 1 3 2 2 2 1 3 1 2 2 2
attractor41 1 1 2 1 1 2 2 3 4 2 1 3 2 1 2 2
attractor42 1 3 1 2 2 1 3 1 1 1 2 2 1 1 1 1
attractor43 1 3 1 2 2 1 3 1 1 1 1 1 1 1 1 1
attractor44 2 2 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor45 2 2 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor46 1 1 1 1 1 1 1 2 2 2 1 1 1 2 2 3
attractor47 1 1 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor48 1 1 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor49 1 3 2 1 3 2 1 2 2 2 1 1 2 2 2 2
attractor50 1 1 2 2 2 2 2 1 1 1 2 2 2 1 1 1
attractor51 1 1 2 1 1 2 2 2 2 2 1 3 2 2 2 3
attractor52 1 1 1 1 3 1 1 2 3 2 1 1 1 2 2 2
attractor53 2 2 2 1 3 2 2 2 2 2 1 1 2 2 2 2
