ID	Transpath ID
ABL1	MO000020628,MO000078217
AKT1	MO000017421,MO000034546,MO000058481,MO000077678
AKT2	MO000100964
ARAF	MO000130269
AXIN1	MO000017512
BTK	MO000001936
BTRC	MO000018298
CBL	MO000019259
CCNB1	MO000022448,MO000092591
CDC25A	MO000023445
CDC25B	MO000023447
CDC25C	MO000022399,MO000022400
CDC34	MO000019454
CDC37	MO000084635
CDC42	MO000016582
CDH1	MO000016977
CDK1	MO000021743,MO000021748,MO000092591
CDK2	MO000021740
CDK6	MO000023341,MO000094063
CHEK1	MO000023536,MO000082710
CHEK2	MO000030895
CHUK	MO000022081,MO000060084
COMMD1	MO000058234,MO000059898
CREBBP	MO000019107,MO000057745
CSNK1G1	MO000103308
CSNK2A1	MO000018901,MO000018902,MO000033264,MO000157536
CSNK2A2	MO000018901,MO000033264,MO000157536
CSNK2B	MO000018901,MO000018903,MO000033264,MO000082901,MO000157536
CTGF	MO000064865
CUL1	MO000019438,MO000020071,MO000020104,MO000093695
CUL2	MO000034271
CUL4A	MO000041838
CUX1	MO000024708
DCUN1D1	MO000083173
DDB1	MO000041838
DET1	MO000041838
DKK1	MO000134048
DUSP3	MO000033404
DUSP4	MO000032652
DVL2	MO000042756
EGFR	MO000016677
ELOC	MO000019876
EP300	MO000019985,MO000056654
FBXW11	MO000020104
FGFR3	MO000019766
FMR1	MO000166164
GSK3B	MO000016989,MO000057456,MO000080970
GTF2I	MO000019622,MO000083183,MO000083184,MO000083186,MO000083187
HDAC1	MO000056714
HDAC3	MO000023578
HIF1A	MO000025800
HRAS	MO000020360
HSPA1A	MO000021128
HTT	MO000084581
HUWE1	MO000083451
IKBKB	MO000019310,MO000022081,MO000060068
IKBKG	MO000019309,MO000084601
IL6	MO000019424
JAK2	MO000059825
JUN	MO000019469,MO000058322,MO000167543,MO000483237
KAT2A	MO000057783
KAT2B	MO000023409,MO000056491
KAT5	MO000037844
KSR1	MO000032436
MAP2K1	MO000009386,MO000256191
MAP2K4	MO000021423
MAP2K6	MO000019344,MO000022211
MAP2K7	MO000022227
MAP3K1	MO000009086
MAP3K2	MO000030900
MAP3K5	MO000020270
MAP3K7	MO000016584,MO000016585,MO000016587,MO000021242
MAPK1	MO000004677,MO000034342
MAPK10	MO000033978,MO000153681
MAPK12	MO000004689
MAPK14	MO000009339,MO000022208
MAPK3	MO000004672,MO000031003
MAPK6	MO000004681
MAPK8	MO000007821,MO000030998,MO000033485,MO000112402
MAPK9	MO000030860,MO000031000,MO000256146
MAPKAPK2	MO000009253
MDM2	MO000023311,MO000056625
MYC	MO000019613,MO000027279,MO000056483,MO000332988
NEDD8	MO000019455
NEK7	MO000133606
NF2	MO000109174,MO000109175,MO000109176
NFIC	MO000009772,MO000024750,MO000024751,MO000024752
NFKBIA	MO000019315
NFYC	MO000079072
NLK	MO000168983
OGT	MO000068035,MO000281930
PAK1	MO000019481
PAK2	MO000042946
PIAS1	MO000030911,MO000079236
PIAS2	MO000060747,MO000082840,MO000082846
PKM	MO000086947
PKMYT1	MO000022408
PKN1	MO000034393
PLCG1	MO000020868
PLK1	MO000022403,MO000096187
PLK3	MO000031101
PPM1D	MO000023642
PRKCA	MO000022393
PRKDC	MO000080193
PRKN	MO000044267
PRMT5	MO000082834
PSMA7	MO000020249
PSMC2	MO000020249
PSMC3	MO000020249
PSMC5	MO000020249
PSMD4	MO000020249
PSMD5	MO000020249
PSMF1	MO000019434
PTEN	MO000034818
RAC1	MO000019507
RAD23A	MO000035206
RAF1	MO000021172,MO000057036,MO000178581
RB1	MO000017774
RBX1	MO000019440,MO000020071,MO000020104,MO000041838,MO000093695
RELA	MO000019363,MO000025736,MO000033264,MO000079319,MO000079350,MO000129437,MO000257758,MO000332055
RFWD2	MO000041838
RICTOR	MO000090102
RIPK2	MO000020436
RNF4	MO000170234
ROMO1	MO000220202
RPS6KA3	MO000032352
RPS6KA5	MO000036634,MO000057454
RPS6KB1	MO000089506
SAE1	MO000019986,MO000020004,MO000085628,MO000085634
SIRT1	MO000023365,MO000084718
SIRT2	MO000121628,MO000121629,MO000121630
SKP1	MO000019439,MO000020071,MO000020104,MO000059278,MO000093158,MO000093695
SKP2	MO000019867
SNCA	MO000044264
SNCAIP	MO000044295
SRC	MO000021478
STAU1	MO000065171
STK11	MO000117253
SUMO1	MO000019973
SYK	MO000019262
TAB1	MO000081858
TARDBP	MO000145171
TCF7L2	MO000026882,MO000125399,MO000125401
TFAP4	MO000024660,MO000116288
TP53	MO000019548
TRAF6	MO000019352
UBA1	MO000019948,MO000089081,MO000103581,MO000119161
UBA2	MO000019987,MO000020004,MO000085632,MO000085634
UBE2D1	MO000020073
UBE2D2	MO000032587
UBE2H	MO000119207
UBE2I	MO000019975,MO000079234,MO000481046
UBE2K	MO000119185
UBE2N	MO000022137,MO000022140,MO000087811,MO000087837
UBE2V1	MO000022140,MO000087837
UCHL1	MO000044611
USP4	MO000193607
USP7	MO000102365
VHL	MO000034177
ZC3HC1	MO000093158,MO000093695
