ID	average_intensity
B2RDM2	1380.0
B2WTI3	11.8
B3KMK8	0.188
B3KN96	32.0
B3KNT8	997.0
B3KP41	3.3
B3KQ59	1620.0
B3KQC5	12.2
B3KR06	36.7
B3KR28	82.7
B3KR41	14.2
B3KR49	310.0
B3KR64	128.0
B3KRB7	15.3
B3KRF7	126.0
B3KRS5	356.0
B3KSA0	148.0
B3KSB1	3.66
B3KSC2	2.41
B3KSI3	364.0
B3KSI9	47.0
B3KT28	51.9
B3KT61	367.0
B3KT86	6.81
B3KUK2	4090.0
B3KUU4	80.1
B3KV55	7090.0
B3KV61	4.56
B3KVE1	0.256
B3KVK7	1230.0
B3KW71	485.0
B3KWE1	815.0
B3KXE0	12.5
B3KXH8	68.7
B3KXS2	22.5
B3KY17	282.0
B3KY21	194.0
B3KY83	1.72
B3KYA7	42.1
B3V0L1	71.6
B4DDF4	1450.0
B4DDF9	1250.0
B4DDG7	262.0
B4DDJ7	661.0
B4DDS3	81.7
B4DDT0	7.71
B4DDT2	78.5
B4DDT7	10.1
B4DDV3	1.05
B4DDX8	1010.0
B4DDY8	365.0
B4DE11	6.45
B4DE16	106.0
B4DE92	11.6
B4DE93	565.0
B4DEH8	394.0
B4DEJ6	66.1
B4DEK4	222.0
B4DEM7	5770.0
B4DET9	1.42
B4DEX5	183.0
B4DF47	2.59
B4DF77	4.53
B4DFA2	86.0
B4DFC9	131.0
B4DFG2	0.438
B4DFK6	173.0
B4DFL2	229.0
B4DFN6	250.0
B4DFR2	623.0
B4DG44	29.7
B4DGJ5	46.3
B4DGL8	3.97
B4DGN5	7020.0
B4DGU0	2.87
B4DGU4	723.0
B4DGW0	0.296
B4DGX2	19.8
B4DGZ6	6.75
B4DH06	1.18
B4DH21	2.83
B4DH53	75.4
B4DHA4	6.8
B4DHD4	18.4
B4DHG0	2090.0
B4DIH5	266.0
B4DII8	14.4
B4DIL8	21.2
B4DIR9	43.5
B4DIZ1	26.1
B4DJE7	782.0
B4DJJ3	1.75
B4DJK0	429.0
B4DJN5	9.25
B4DJP7	2180.0
B4DJV2	2560.0
B4DJV5	134.0
B4DK44	57.6
B4DK80	2.51
B4DK85	262.0
