ID	UniProt ID	Average Intensity
MO000000394	P01891,P04439,P30443	3044.8691470768126
MO000001105	P15514	5.04718390936799
MO000001471	P18846	93.18041430340506
MO000001760	P51451	4.420479595708675
MO000002316	P07858	1525.2980137020068
MO000002361	P25208	6.82791351644977
MO000002558	P16070-4	3747.004446580857
MO000003223	P50281	61.61675411455429
MO000003497	P41240	37.13299949101882
MO000004672	P27361	115.8390833947533
MO000004677	P28482	477.72726263684467
MO000004681	Q16659	19.093763527640075
MO000004888	Q05397-5	75.03996596021061
MO000005412	P06241	9.407487644225931
MO000005460	Q06547-2	2.3242342883340408
MO000005463	Q06547-2	2.3242342883340408
MO000005612	Q03113	64.23158380742171
MO000006707	P17096,P17096-2	7540.4307910267835
MO000006710	P17096,P17096-2	7540.4307910267835
MO000007258	P01344	12.42460074989855
MO000007331	Q14116	65.95523202916087
MO000007821	P45983-3	24.878764667950193
MO000007834	P17535	321.681039178161
MO000007897	Q00653,Q00653-4	21.958348474858134
MO000007919	P19784	119.2247462523495
MO000008180	P19525	176.43568744078314
MO000008230	P10398	18.346819428833804
MO000008400	Q14739	314.8058871314711
MO000009253	P49137	70.90071932355602
MO000009339	Q16539,Q16539-2	388.1837785177519
MO000009386	Q02750	620.141968580609
MO000009396	P36507	605.7402042930701
MO000009403	P46734	168.70007706867136
MO000009415	P52564	15.325587029775981
MO000009440	P11717	70.1707900600904
MO000009772	P08651-2,P08651-4	40.458042413153244
MO000011144	Q01970	1743.3788051005465
MO000011505	P04156-2	341.2210523180741
MO000011878	P28749	0.23172931459783305
MO000013121	P52630	3.1133469799445965
MO000013123	P40763,P40763-2	167.9039331818393
MO000013132	P51692	4.539939937229947
MO000013248	P52655	42.482881997207954
MO000013252	P52657	95.58591480173035
MO000013292	P29083	1.2725296441111986
MO000013295	P29084	1.253537127844955
MO000013300	P35269	91.30892915321557
MO000013458	Q14186	6.413812399564506
MO000013669	P25116	3.0196322314523467
MO000013691	P35625	2243.181867202556
MO000014018	P07996	279.25574014539933
MO000016582	P60953,P60953-1	4564.005834817055
MO000016584	O43318	9.80472830566038
MO000016585	O43318	9.80472830566038
MO000016587	O43318	9.80472830566038
MO000016677	P00533	258.9332697492885
MO000016975	P35221	251.44904694218832
MO000016989	P49841	33.167216033505284
MO000017421	P31749	65.69992907502574
MO000017447	P36897-3	8.472859760362425
MO000017650	P49840	68.08457347353482
MO000017774	P06400	14.648864583670104
MO000018136	P14921	1.0164860807212401
MO000018201	P63218	586.5882511573918
MO000018459	P46940	1319.0515200363002
MO000018481	P07550	1.5489331709760097
MO000018683	P55085	19.67664306263574
MO000018780	P62158	23444.230325932152
MO000018848	P61077	1453.818563825086
MO000018875	P14923	69.02919528858862
MO000018880	O60716-11,O60716-3	148.91287057714408
MO000018890	O60716-11,O60716-3	148.91287057714408
MO000018892	O60716-11,O60716-3	148.91287057714408
MO000018898	O60716-11,O60716-3	148.91287057714408
MO000018903	P67870	1135.2709338086268
MO000018962	P04626-4	23.687306720390275
MO000018993	P48436	7.353028004401891
MO000019070	P98170	9.310844517234326
MO000019071	Q15750	18.032206194217252
MO000019107	Q92793	2.526479531347272
MO000019160	Q15628	7.9678550491752755
MO000019174	P29317	395.21539888893017
MO000019245	Q13546	68.67880442852857
MO000019253	P06239	6.69872677195853
MO000019259	P22681	34.89653254627652
MO000019310	O14920	12.373726233721133
MO000019311	O15111	5.218629932884591
MO000019316	Q15653	29.006581067938292
MO000019318	O00221	19.43678799901217
MO000019319	Q96HA7	2.9919473698481567
MO000019321	O95163	50.581890801833154
MO000019333	Q9UHD2	9.990953891606608
MO000019341	P52564	15.325587029775981
MO000019345	P51617-2	10.966904492917475
MO000019348	Q99836	53.98246437810562
MO000019356	P19838	37.44628244619395
MO000019359	P19838	37.44628244619395
MO000019362	Q14116	65.95523202916087
MO000019365	Q00653,Q00653-4	21.958348474858134
MO000019381	P17676	7.9560164215610705
MO000019401	P23458	4.913624012847647
MO000019428	P55036	1218.4595340768547
MO000019434	Q92530	392.0941784767997
MO000019436	P40189	25.08179543085707
MO000019437	P62826	10696.01408743921
MO000019438	Q13616	68.05117173261286
MO000019439	P63208	1027.713377032425
MO000019440	P62877	61.25803473865143
MO000019441	Q13564	92.78402932261926
MO000019442	Q8TBC4	191.99744364924754
MO000019453	P61081	1032.2335263399882
MO000019454	P49427	52.24528539839161
MO000019455	Q15843	2044.0619558427443
MO000019469	P05412	44.46251991891073
MO000019480	P16220	84.7909078556718
MO000019481	Q13153	308.8924104418735
MO000019482	P16333	7.79719005435511
MO000019505	P42224	150.39617030060302
MO000019506	P42224	150.39617030060302
MO000019507	P63000,P63000-2	4930.566613686957
MO000019521	P42224	150.39617030060302
MO000019548	P04637	204.22253568233248
MO000019558	P61244-2	44.6888128849475
MO000019559	P61244-2	44.6888128849475
MO000019609	Q15797	56.89095010855051
MO000019614	P04150	47.34567717900376
MO000019619	P19793	8.112546510434683
MO000019622	P78347-2,P78347-4	155.17835633175878
MO000019676	O00459	4.100674960467992
MO000019696	Q9HCE7-2	1.0606383661357583
MO000019721	P48059,P48059-3	107.00830383448154
MO000019759	O95429	1.2650493238426592
MO000019765	P11362-4	3.97641315230415
MO000019766	P22607-3	4.81124022295364
MO000019768	P21802-8	3.583680989113617
MO000019779	Q15796-2	174.31321561585594
MO000019780	P84022	194.30466370574482
MO000019789	P17480	30.93170333994172
MO000019792	O14727-4	1.3584079912634195
MO000019874	Q15370	1713.9167466838799
MO000019876	Q15369	3107.273060182379
MO000019879	Q14241	5.030214326345993
MO000019948	P22314	3616.8892954825697
MO000019949	P61086	497.85711437719505
