ID	Gene symbol	Gene symbol ID	Average Intensity	FDR	Hit names	Hits	Master molecule name	Maximal radius	Ranks sum	Reachable total	Reached from set	Score	Transpath ID	UniProt ID	Z-Score
ENSG00000068078			4.81124022295364	0.04	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TCF-4-isoform10(h)","TCF-4-isoform8(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000116288","MO000125399","MO000125401","MO000129437","MO000257758"]	FGFR-3(h)	9.501116	199	84360	21	0.39859924	MO000019766	P22607-3	1.6340073
ENSG00000068903			2.2117595381114756	0.043	["RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TFII-I(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000025736","MO000026882","MO000056483","MO000058322","MO000079319","MO000079350","MO000129437","MO000257758"]	SIRT2(h),SIRT2-isoform1(h),SIRT2-isoform2(h)	9.961035	312	30868	12	0.30726373	MO000121628,MO000121629,MO000121630	Q8IXJ6-2	1.921112
ENSG00000072062		PRKACA	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000075643		MOCOS	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000077238		IL4R	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000077312		SNRPA	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000078043			5.386041647715712	0.048	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TCF-4-isoform10(h)","TCF-4-isoform8(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000125399","MO000125401","MO000129437","MO000257758"]	PIAS2(h),PIAS2-alpha(h),PIAS2-beta(h)	9.679636	252	78429	20	0.42119154	MO000060747,MO000082840,MO000082846	O75928-3	2.025035
ENSG00000080986		NDC80	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000082701			33.167216033505284	0.007	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000129437","MO000257758"]	GSK3beta-isoform1(h),GSK3beta-isoform2(h)	9.312987	70	75611	18	0.4123768	MO000057456,MO000080970	P49841	2.447315
ENSG00000085365		SCAMP1	NaN	NaN	[]	[]		NaN				NaN			NaN
