ID	Gene symbol	Gene symbol ID	Average Intensity	FDR	Hit names	Hits	Master molecule name	Maximal radius	Ranks sum	Reachable total	Reached from set	Score	Transpath ID	UniProt ID	Z-Score
ENSG00000125995			327.237564551736	0.007	["RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000129437","MO000257758"]	ROMO1(h)	9.98102	229	44191	17	0.25522608	MO000220202	P60602	2.1372304
ENSG00000126261			151.46253980376412	0.011	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TCF-4-isoform10(h)","TCF-4-isoform8(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000116288","MO000125399","MO000125401","MO000129437","MO000257758"]	SAE2(h),SAE2-isoform1(h)	9.329223	147	90770	21	0.56023884	MO000019987,MO000085632	Q9UBT2	2.142821
ENSG00000130177		CDC16	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000131747		TOP2A	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000131788		PIAS3	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000132155			11.984172105543447	0.026	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000116288","MO000129437","MO000257758"]	Raf-1-isoform1(h),Raf-1-isoform2(h)	9.6832695	177	79229	19	0.38069612	MO000057036,MO000178581	P04049	1.8105198
ENSG00000135046		ANXA1	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000135341			9.80472830566038	0.01	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TCF-4-isoform10(h)","TCF-4-isoform8(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000125399","MO000125401","MO000129437","MO000257758"]	TAK1(h),TAK1a(h),TAK1b(h),TAK1d(h)	9.594858	264	76129	20	0.4455038	MO000016584,MO000016585,MO000016587,MO000021242	O43318	2.4426556
ENSG00000135605		TEC	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000136603		SKIL	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000136997	MYC		NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000137801		THBS1	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000139687		RB1	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000140464		PML	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000141510		TP53	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000141905	NFIC		NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000142230			183.06259786382122	0.007	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TCF-4-isoform10(h)","TCF-4-isoform8(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000116288","MO000125399","MO000125401","MO000129437","MO000257758"]	Aos1(h),Aos1-isoform1(h)	9.329223	130	90874	21	0.5604412	MO000019986,MO000085628	Q9UBE0	2.1464043
ENSG00000145386		CCNA2	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000146648		EGFR	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000147162			49.94573113995892	0.016	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000116288","MO000129437","MO000257758"]	OGT(h)	9.083012	140	57627	19	0.3430858	MO000068035	O15294	2.2192411
ENSG00000148737	TCF7L2		NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000149948		HMGA2	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000151414			222.0444360560357	0.032	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000129437","MO000257758"]	NIMA(h)	9.329146	223	67191	18	0.33663732	MO000133606	Q8TDX7	1.7622691
ENSG00000152465		NMT2	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000154229		PRKCA	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000160691		SHC1	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000161057		PSMC2	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000161638		ITGA5	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000163235		TGFA	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000164104		HMGB2	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000164109		MAD2L1	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000164162		ANAPC10	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000164611		PTTG1	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000168610		STAT3	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000169032			620.141968580609	0.024	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000116288","MO000129437","MO000257758"]	MEK1-isoform2(h)	8.892039	170	85648	19	0.43320647	MO000256191	Q02750	1.6698883
ENSG00000169118			43.79429322327532	0.001	["RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000129437","MO000257758"]	CKI-gamma1-Isoform1L(h)	9.387759	58	63354	17	0.39818677	MO000103308	Q9HCP0-2	3.032063
ENSG00000169679		BUB1	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000169967			1.2990773985240511	0.031	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000116288","MO000129437","MO000257758"]	MEKK2(h)	9.528746	168	84942	19	0.41795808	MO000030900	Q9Y2U5	1.688215
ENSG00000170027		YWHAG	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000170312		CDK1	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000170836		PPM1D	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000171150		SOCS5	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000173039	RELA		NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000173163			18.658441252784154	0.015	["RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TFII-I(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000025736","MO000056483","MO000058322","MO000079319","MO000079350","MO000129437","MO000257758"]	Murr1(h)	9.026674	264	18188	11	0.23531601	MO000058234	Q8N668	2.1050875
ENSG00000175216		CKAP5	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000175387		SMAD2	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000177479		ARIH2	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000177606	JUN		44.46251991891073	0.024	["AP-4(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000257758"]	c-Jun(h)	9.831163	231	56556	17	0.33914766	MO000019469,MO000058322	P05412	2.9202287
ENSG00000177885		GRB2	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000179262			573.7783738390737	0.048	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000129437","MO000257758"]	Rad23A(h)	9.812973	246	77864	18	0.36888593	MO000035206	P54725	1.5640165
ENSG00000179295		PTPN11	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000180370			1410.573328308495	0.03	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TCF-4-isoform10(h)","TCF-4-isoform8(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000116288","MO000125399","MO000125401","MO000129437","MO000257758"]	pak2(h)	9.549544	120	91844	21	0.5104231	MO000042946	Q13177	1.7885023
ENSG00000186575			813.6503046101998	0.025	["RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000129437","MO000257758"]	Merlin-isoform1(h),Merlin-isoform2(h),Merlin-isoform3(h)	9.90599	391	45650	17	0.23887737	MO000109174,MO000109175,MO000109176	P35240,P35240-6	1.5335472
ENSG00000186591			94.34502628353427	0.027	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TCF-4-isoform10(h)","TCF-4-isoform8(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000125399","MO000125401","MO000129437","MO000257758"]	ube2h(h)	9.861625	129	64756	20	0.36921924	MO000119207	P62256	2.137064
ENSG00000196504		PRPF40A	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000197386		HTT	1.9732336818458427	0.037	["RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000129437","MO000257758"]	huntingtin(h)	9.995998	333	43633	17	0.2236878	MO000084581	P42858	1.7173052
ENSG00000197467		COL13A1	NaN	NaN	[]	[]		NaN				NaN			NaN
ENSG00000204435			1135.2709338086268	0.015	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TCF-4-isoform10(h)","TCF-4-isoform8(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000116288","MO000125399","MO000125401","MO000129437","MO000257758"]	CKII-beta(h)	9.921612	108	72799	21	0.38387054	MO000082901	P67870	2.2447422
ENSG00000213341		CHUK	5.218629932884591	0.01	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TCF-4-isoform10(h)","TCF-4-isoform8(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000125399","MO000125401","MO000129437","MO000257758"]	IKK-alpha(h)	9.298236	82	74074	20	0.40336174	MO000060084	O15111	2.296747
ENSG00000253729		PRKDC	437.216668420702	0.048	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TCF-4-isoform10(h)","TCF-4-isoform8(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000125399","MO000125401","MO000129437","MO000257758"]	DNA-PKcs-isoform1(h)	9.602731	223	82610	20	0.38629356	MO000080193	P78527	1.6120896
ENSG00000257923			6.261700812747712	0.037	["RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000129437","MO000257758"]	CDP(h)	9.533873	297	54002	17	0.28594238	MO000024708	P39880-3,Q13948	1.6352366
ENSG00000263001			NaN	NaN	[]	[]		NaN				NaN			NaN
