ID	Entrez ID
IGF1	3479
IGFALS	3483
IGFBP1	3484
IGFBP7	3490
IGFBPL1	347252
IGHMBP2	3508
IKBKB	3551
IKBKE	9641
IL10	3586
IL11	3589
IL11RA	3590
IL1R1	3554
IL2RA	3559
IL4	3565
IL6	3569
INHBA	3624
INHBB	3625
INS	3630
INSL4	3641
INSR	3643
IRF1	3659
ITGA2	3673
JAG1	182
KAT2A	2648
KCNJ3	3760
KDM5B	10765
KDSR	2531
KIAA0100	9703
KLF10	7071
KLF4	9314
KLF5	688
KLF8	11279
KLK2	3817
KLK4	9622
KPNA2	3838
KRT17	3872
KRT18	3875
KRT5	3852
KRT8	3856
LAMA3	3909
LATS1	9113
LATS2	26524
LCK	3932
LEP	3952
LEPR	3953
LGALS9	3965
LHCGR	3973
LIMD1	8994
LIMK1	3984
LPAR2	9170
LRRC32	2615
LSM1	27257
LTA	4049
LTF	4057
LYNX1	66004
MAGEC1	9947
MAGED1	9500
MAOA	4128
MAPKAPK2	9261
MAZ	4150
MBD2	8932
MBL2	4153
MED14	9282
MEST	4232
MIER1	57708
MIF	4282
MIR10B	406903
MIR206	406989
MLANA	2315
MLLT11	10962
MMP13	4322
MMP3	4314
MMP8	4317
MPO	4353
MRE11	4361
MST1	4485
MT-ND3	4537
MTOR	2475
MTRR	4552
MUS81	80198
MYBBP1A	10514
NCL	4691
NCOA2	10499
NCOR1	9611
NCOR2	9612
NEDD8	4738
NEK3	4752
NELFB	25920
NEUROD1	4760
NFATC1	4772
NFATC2	4773
NFATC4	4776
NIPSNAP2	2631
NMI	9111
NOD2	64127
NOL3	8996
NR3C2	4306
NR5A1	2516
NR5A2	2494
NR6A1	2649
NRG2	9542
NRG3	10718
NTN4	59277
OPN1MW	2652
OSGIN1	29948
PAK1	5058
PAK2	5062
PALB2	79728
PARP1	142
PARVB	29780
PBOV1	59351
PCBP1	5093
PDCD4	27250
PEMT	10400
PER2	8864
PHLDA1	22822
PIN1	5300
PINK1	65018
PIP	5304
PLAC1	10761
PLCD1	5333
PLD1	5337
PLXNA1	5361
PML	5371
POLB	5423
POLI	11201
PPARGC1A	10891
PRC1	9055
PRDM14	63978
PRDX6	9588
PRKN	5071
PRMT1	3276
PRSS50	29122
PTK6	5753
PTN	5764
PTPN1	5770
PTPN13	5783
PTPRB	5787
PTPRJ	5795
PTPRZ1	5803
RAB27A	5873
RACGAP1	29127
RAD17	5884
RAD23B	5887
RAD50	10111
RAD52	5893
RARA	5914
RB1CC1	9821
RBBP7	5931
RBBP8	5932
RBL1	5933
RBM3	5935
RBMX	27316
REL	5966
RGS2	5997
RHEB	6009
RHOU	58480
RNASEL	6041
RNF11	26994
RNF5	6048
ROCK1	6093
RPL7A	6130
RPS6KA6	27330
RRAD	6236
RRAS	6237
RSPO1	284654
S100A7	6278
S100A8	6279
S100A9	6280
SCD	6319
SCGB1D2	10647
SCGB2A1	4246
SCN5A	6331
SDC4	6385
SELE	6401
SEMA3C	10512
SERPINA5	5104
SERPINE1	5054
SGK1	6446
SH2D3A	10045
SH2D3C	10044
SH3GL2	6456
SHBG	6462
SHC1	6464
SIGMAR1	10280
SIPA1	6494
SIX1	6495
SLC12A6	9990
SLC12A7	10723
SLC16A1	6566
SLC19A3	80704
SLC22A18	5002
SLC25A5	292
SLC26A1	10861
SLC2A3	6515
SLC37A4	2542
SLC6A3	6531
SLC9A1	6548
SLC9A3R1	9368
SLCO1B3	28234
SMARCE1	6605
SMPD1	6609
SOCS2	8835
SOCS3	9021
SOD1	6647
SQSTM1	8878
SRA1	10011
SRCIN1	80725
ST18	9705
STS	412
TAB1	10454
TADA3	10474
TCIM	56892
TIAL1	7073
TIMP1	7076
TIMP4	7079
TLK1	9874
TMEM158	25907
TMPRSS3	64699
TNC	3371
TNF	7124
TNFRSF10B	8795
TNFSF18	8995
TNN	63923
TOPBP1	11073
TPM1	7168
TRPS1	7227
TSC2	7249
TUBA1B	10376
TUBA4A	7277
TUBB	203068
TXNIP	10628
UBE2B	7320
UBE3A	7337
USP28	57646
VCAN	1462
VEGFD	2277
VIM	7431
VIP	7432
VTN	7448
VWF	7450
WASF2	10163
WASL	8976
WFS1	7466
WISP2	8839
WISP3	8838
WNT9A	7483
WWP1	11059
WWTR1	25937
XBP1	7494
XDH	7498
XRCC2	7516
XRCC4	7518
XRCC6	2547
ZFHX3	463
ZFHX4	79776
