ID	Transpath peptides ID	Ensembl ID	Gene symbol ID
MO000002558	MO000002558	ENSG00000026508	CD44
MO000003223	MO000003223	ENSG00000157227	MMP14
MO000003497	MO000003497	ENSG00000103653	CSK
MO000004888	MO000004888	ENSG00000169398	PTK2
MO000004928	MO000004928	ENSG00000026103	FAS
MO000005078	MO000005078	ENSG00000129682	FGF13
MO000005412	MO000005412	ENSG00000010810	FYN
MO000007225	MO000007225	ENSG00000140443	IGF1R
MO000007821	MO000007821	ENSG00000107643	MAPK8
MO000009386	MO000009386	ENSG00000169032	MAP2K1
MO000010971	MO000010971	ENSG00000113721	PDGFRB
MO000012556	MO000012556	ENSG00000110876	SELPLG
MO000013123	MO000013123	ENSG00000168610	STAT3
MO000013125	MO000013125	ENSG00000126561	STAT5A
MO000013132	MO000013132	ENSG00000173757	STAT5B
MO000013458	MO000013458	ENSG00000198176	TFDP1
MO000013471	MO000013471	ENSG00000135605	TEC
MO000014018	MO000014018	ENSG00000137801	THBS1
MO000016582	MO000016582	ENSG00000070831	CDC42
MO000016677	MO000016677	ENSG00000146648	EGFR
MO000016977	MO000016977	ENSG00000039068	CDH1
MO000016989	MO000016989	ENSG00000082701	GSK3B
MO000017006	MO000017006	ENSG00000185338	SOCS1
MO000017049	MO000017049	ENSG00000168036	CTNNB1
MO000017447	MO000017447	ENSG00000106799	TGFBR1
MO000017774	MO000017774	ENSG00000139687	RB1
MO000018780	MO000018780	ENSG00000198668	CALM1
MO000018902	MO000018902	ENSG00000101266	CSNK2A1
MO000018962	MO000018962	ENSG00000141736	ERBB2
MO000019078	MO000019078	ENSG00000080815	PSEN1
MO000019107	MO000019107	ENSG00000005339	CREBBP
MO000019148	MO000019148	ENSG00000186868	MAPT
MO000019229	MO000019229	ENSG00000150991	UBC
MO000019253	MO000019253	ENSG00000182866	LCK
MO000019259	MO000019259	ENSG00000110395	CBL
MO000019311	MO000019311	ENSG00000213341	CHUK
MO000019320	MO000019320	ENSG00000069399	BCL3
MO000019356	MO000019356	ENSG00000109320	NFKB1
MO000019359	MO000019359	ENSG00000109320	NFKB1
MO000019381	MO000019381	ENSG00000172216	CEBPB
MO000019401	MO000019401	ENSG00000162434	JAK1
MO000019469	MO000019469	ENSG00000177606	JUN
MO000019481	MO000019481	ENSG00000149269	PAK1
MO000019482	MO000019482	ENSG00000158092	NCK1
MO000019505	MO000019505	ENSG00000115415	STAT1
MO000019506	MO000019506	ENSG00000115415	STAT1
MO000019521	MO000019521	ENSG00000115415	STAT1
MO000019548	MO000019548	ENSG00000141510	TP53
MO000019613	MO000019613	ENSG00000136997	MYC
MO000019614	MO000019614	ENSG00000113580	NR3C1
MO000019673	MO000019673	ENSG00000145675	PIK3R1
MO000019676	MO000019676	ENSG00000105647	PIK3R2
MO000019779	MO000019779	ENSG00000175387	SMAD2
MO000019780	MO000019780	ENSG00000166949	SMAD3
MO000019975	MO000019975	ENSG00000103275	UBE2I
MO000019985	MO000019985	ENSG00000100393	EP300
MO000020139	MO000020139	ENSG00000120899	PTK2B
MO000020150	MO000020150	ENSG00000120899	PTK2B
MO000020163	MO000020163	ENSG00000142949	PTPRF
MO000020220	MO000020220	ENSG00000064012	CASP8
MO000020223	MO000020223	ENSG00000064012	CASP8
MO000020269	MO000020269	ENSG00000204209	DAXX
MO000020324	MO000020324	ENSG00000105329	TGFB1
MO000020360	MO000020360	ENSG00000174775	HRAS
MO000020362	MO000020362	ENSG00000132906	CASP9
MO000020397	MO000020397	ENSG00000164305	CASP3
MO000020402	MO000020402	ENSG00000141646	SMAD4
MO000020414	MO000020414	ENSG00000108854	SMURF2
MO000020561	MO000020561	ENSG00000124762	CDKN1A
MO000020613	MO000020613	ENSG00000164305	CASP3
MO000020615	MO000020615	ENSG00000164305	CASP3
MO000020628	MO000020628	ENSG00000097007	ABL1
MO000020635	MO000020635	ENSG00000113658	SMAD5
MO000020731	MO000020731	ENSG00000070087	PFN2
MO000020808	MO000020808	ENSG00000177885	GRB2
MO000020868	MO000020868	ENSG00000124181	PLCG1
MO000020951	MO000020951	ENSG00000160691	SHC1
MO000020953	MO000020953	ENSG00000160691	SHC1
MO000020954	MO000020954	ENSG00000160691	SHC1
MO000020975	MO000020975	ENSG00000088986	DYNLL1
MO000021036	MO000021036	ENSG00000064012	CASP8
MO000021041	MO000021041	ENSG00000089159	PXN
MO000021052	MO000021052	ENSG00000259207	ITGB3
MO000021128	MO000021128	ENSG00000204389	HSPA1A
MO000021178	MO000021178	ENSG00000132906	CASP9
MO000021179	MO000021179	ENSG00000132906	CASP9
MO000021185	MO000021185	ENSG00000120693	SMAD9
MO000021274	MO000021274	ENSG00000105974	CAV1
MO000021287	MO000021287	ENSG00000105329	TGFB1
MO000021311	MO000021311	ENSG00000137752	CASP1
MO000021343	MO000021343	ENSG00000096968	JAK2
MO000021373	MO000021373	ENSG00000179295	PTPN11
MO000021383	MO000021383	ENSG00000196396	PTPN1
MO000021454	MO000021454	ENSG00000169083	AR
MO000021478	MO000021478	ENSG00000197122	SRC
MO000021531	MO000021531	ENSG00000101849	TBL1X
MO000021739	MO000021739	ENSG00000145386	CCNA2
MO000021743	MO000021743	ENSG00000170312	CDK1
MO000021858	MO000021858	ENSG00000080815	PSEN1
MO000021896	MO000021896	ENSG00000112592	TBP
MO000021981	MO000021981	ENSG00000012048	BRCA1
MO000021982	MO000021982	ENSG00000138376	BARD1
MO000022057	MO000022057	ENSG00000254087	LYN
MO000022058	MO000022058	ENSG00000254087	LYN
MO000022059	MO000022059	ENSG00000254087	LYN
MO000022078	MO000022078	ENSG00000161638	ITGA5
MO000022086	MO000022086	ENSG00000150093	ITGB1
MO000022087	MO000022087	ENSG00000150093	ITGB1
MO000022088	MO000022088	ENSG00000150093	ITGB1
MO000022093	MO000022093	ENSG00000121022	COPS5
MO000022204	MO000022204	ENSG00000067606	PRKCZ
MO000022210	MO000022210	ENSG00000156711	MAPK13
MO000022269	MO000022269	ENSG00000125730	C3
MO000022270	MO000022270	ENSG00000125730	C3
MO000022324	MO000022324	ENSG00000196961	AP2A1
MO000022370	MO000022370	ENSG00000127445	PIN1
MO000022383	MO000022383	ENSG00000067560	RHOA
MO000022393	MO000022393	ENSG00000154229	PRKCA
MO000022403	MO000022403	ENSG00000166851	PLK1
MO000022425	MO000022425	ENSG00000113575	PPP2CA
MO000023076	MO000023076	ENSG00000109062	SLC9A3R1
MO000023098	MO000023098	ENSG00000092820	EZR
MO000023100	MO000023100	ENSG00000147065	MSN
MO000023311	MO000023311	ENSG00000135679	MDM2
MO000023389	MO000023389	ENSG00000119335	SET
MO000023409	MO000023409	ENSG00000114166	KAT2B
MO000023445	MO000023445	ENSG00000164045	CDC25A
MO000023533	MO000023533	ENSG00000160691	SHC1
MO000023536	MO000023536	ENSG00000149554	CHEK1
MO000023575	MO000023575	ENSG00000116478	HDAC1
MO000023577	MO000023577	ENSG00000196591	HDAC2
MO000023578	MO000023578	ENSG00000171720	HDAC3
MO000023603	MO000023603	ENSG00000205250	E2F4
MO000023642	MO000023642	ENSG00000170836	PPM1D
MO000025574	MO000025574	ENSG00000162772	ATF3
MO000025870	MO000025870	ENSG00000108773	KAT2A
MO000026033	MO000026033	ENSG00000113580	NR3C1
MO000026173	MO000026173	ENSG00000273841	TAF9
MO000026176	MO000026176	ENSG00000120656	TAF12
MO000026185	MO000026185	ENSG00000115750	TAF1B
MO000026822	MO000026822	ENSG00000165119	HNRNPK
MO000027279	MO000027279	ENSG00000136997	MYC
MO000028213	MO000028213	ENSG00000165156	ZHX1
MO000028292	MO000028292	ENSG00000175387	SMAD2
MO000028475	MO000028475	ENSG00000136603	SKIL
MO000028508	MO000028508	ENSG00000141027	NCOR1
MO000028665	MO000028665	ENSG00000116017	ARID3A
MO000028706	MO000028706	ENSG00000163565	IFI16
MO000028717	MO000028717	ENSG00000122779	TRIM24
MO000028718	MO000028718	ENSG00000197323	TRIM33
MO000030835	MO000030835	ENSG00000166913	YWHAB
MO000030911	MO000030911	ENSG00000033800	PIAS1
MO000030927	MO000030927	ENSG00000253729	PRKDC
MO000030935	MO000030935	ENSG00000051180	RAD51
MO000030998	MO000030998	ENSG00000107643	MAPK8
MO000031039	MO000031039	ENSG00000196498	NCOR2
MO000031061	MO000031061	ENSG00000115053	NCL
MO000031070	MO000031070	ENSG00000140464	PML
MO000031144	MO000031144	ENSG00000186318	BACE1
MO000031151	MO000031151	ENSG00000141551	CSNK1D
MO000031189	MO000031189	ENSG00000163932	PRKCD
MO000031191	MO000031191	ENSG00000163932	PRKCD
MO000031199	MO000031199	ENSG00000253729	PRKDC
MO000031200	MO000031200	ENSG00000253729	PRKDC
MO000031266	MO000031266	ENSG00000113580	NR3C1
MO000031934	MO000031934	ENSG00000064012	CASP8
MO000031997	MO000031997	ENSG00000164305	CASP3
MO000031998	MO000031998	ENSG00000164305	CASP3
MO000032000	MO000032000	ENSG00000165806	CASP7
