ID	Transpath peptides ID	Ensembl ID	Gene symbol ID
MO000032001	MO000032001	ENSG00000165806	CASP7
MO000032002	MO000032002	ENSG00000165806	CASP7
MO000032135	MO000032135	ENSG00000138794	CASP6
MO000032197	MO000032197	ENSG00000138794	CASP6
MO000032198	MO000032198	ENSG00000138794	CASP6
MO000032199	MO000032199	ENSG00000138794	CASP6
MO000032200	MO000032200	ENSG00000138794	CASP6
MO000032219	MO000032219	ENSG00000145715	RASA1
MO000032247	MO000032247	ENSG00000050820	BCAR1
MO000032279	MO000032279	ENSG00000099942	CRKL
MO000032417	MO000032417	ENSG00000197694	SPTAN1
MO000032419	MO000032419	ENSG00000148180	GSN
MO000032420	MO000032420	ENSG00000077312	SNRPA
MO000032428	MO000032428	ENSG00000026025	VIM
MO000032450	MO000032450	ENSG00000167193	CRK
MO000032481	MO000032481	ENSG00000087586	AURKA
MO000032484	MO000032484	ENSG00000178999	AURKB
MO000032544	MO000032544	ENSG00000186716	BCR
MO000032562	MO000032562	ENSG00000169047	IRS1
MO000032568	MO000032568	ENSG00000133818	RRAS2
MO000032638	MO000032638	ENSG00000113070	HBEGF
MO000032648	MO000032648	ENSG00000185950	IRS2
MO000032670	MO000032670	ENSG00000131788	PIAS3
MO000032682	MO000032682	ENSG00000077238	IL4R
MO000032699	MO000032699	ENSG00000184557	SOCS3
MO000032701	MO000032701	ENSG00000168615	ADAM9
MO000032705	MO000032705	ENSG00000132670	PTPRA
MO000032714	MO000032714	ENSG00000004897	CDC27
MO000032715	MO000032715	ENSG00000104067	TJP1
MO000032747	MO000032747	ENSG00000123159	GIPC1
MO000032948	MO000032948	ENSG00000127824	TUBA4A
MO000033238	MO000033238	ENSG00000090339	ICAM1
MO000033243	MO000033243	ENSG00000197386	HTT
MO000033308	MO000033308	ENSG00000185591	SP1
MO000033313	MO000033313	ENSG00000072062	PRKACA
MO000033360	MO000033360	ENSG00000067900	ROCK1
MO000033435	MO000033435	ENSG00000170027	YWHAG
MO000033485	MO000033485	ENSG00000107643	MAPK8
MO000034171	MO000034171	ENSG00000164109	MAD2L1
MO000034274	MO000034274	ENSG00000123384	LRP1
MO000034393	MO000034393	ENSG00000123143	PKN1
MO000034483	MO000034483	ENSG00000115904	SOS1
MO000034809	MO000034809	ENSG00000075624	ACTB
MO000034946	MO000034946	ENSG00000106070	GRB10
MO000034981	MO000034981	ENSG00000115414	FN1
MO000035011	MO000035011	ENSG00000096063	SRPK1
MO000035129	MO000035129	ENSG00000171150	SOCS5
MO000035617	MO000035617	ENSG00000138448	ITGAV
MO000035645	MO000035645	ENSG00000082781	ITGB5
MO000036044	MO000036044	ENSG00000164885	CDK5
MO000036449	MO000036449	ENSG00000089159	PXN
MO000036617	MO000036617	ENSG00000204389	HSPA1A
MO000036747	MO000036747	ENSG00000089022	MAPKAPK5
MO000036814	MO000036814	ENSG00000047932	GOPC
MO000037533	MO000037533	ENSG00000080815	PSEN1
MO000037844	MO000037844	ENSG00000172977	KAT5
MO000037906	MO000037906	ENSG00000166313	APBB1
MO000038019	MO000038019	ENSG00000026508	CD44
MO000038027	MO000038027	ENSG00000026508	CD44
MO000038028	MO000038028	ENSG00000026508	CD44
MO000038031	MO000038031	ENSG00000039068	CDH1
MO000038032	MO000038032	ENSG00000039068	CDH1
MO000038059	MO000038059	ENSG00000109072	VTN
MO000038175	MO000038175	ENSG00000125753	VASP
MO000038372	MO000038372	ENSG00000197971	MBP
MO000038602	MO000038602	ENSG00000005884	ITGA3
MO000038606	MO000038606	ENSG00000169439	SDC2
MO000041118	MO000041118	ENSG00000114423	CBLB
MO000041349	MO000041349	ENSG00000132535	DLG4
MO000041646	MO000041646	ENSG00000186153	WWOX
MO000041728	MO000041728	ENSG00000143207	RFWD2
MO000041770	MO000041770	ENSG00000197386	HTT
MO000041771	MO000041771	ENSG00000197386	HTT
MO000041773	MO000041773	ENSG00000197386	HTT
MO000041783	MO000041783	ENSG00000169083	AR
MO000041784	MO000041784	ENSG00000169083	AR
MO000041785	MO000041785	ENSG00000169083	AR
MO000041786	MO000041786	ENSG00000169083	AR
MO000041798	MO000041798	ENSG00000198959	TGM2
MO000041952	MO000041952	ENSG00000014216	CAPN1
MO000041953	MO000041953	ENSG00000197386	HTT
MO000041954	MO000041954	ENSG00000197386	HTT
MO000041955	MO000041955	ENSG00000197386	HTT
MO000041956	MO000041956	ENSG00000197386	HTT
MO000042043	MO000042043	ENSG00000064012	CASP8
MO000042044	MO000042044	ENSG00000064012	CASP8
MO000042045	MO000042045	ENSG00000064012	CASP8
MO000042046	MO000042046	ENSG00000064012	CASP8
MO000042047	MO000042047	ENSG00000064012	CASP8
MO000042154	MO000042154	ENSG00000066027	PPP2R5A
MO000042334	MO000042334	ENSG00000170004	CHD3
MO000042337	MO000042337	ENSG00000110422	HIPK3
MO000042534	MO000042534	ENSG00000129219	PLD2
MO000042605	MO000042605	ENSG00000177479	ARIH2
MO000042656	MO000042656	ENSG00000088325	TPX2
MO000042689	MO000042689	ENSG00000147526	TACC1
MO000042692	MO000042692	ENSG00000013810	TACC3
MO000042701	MO000042701	ENSG00000080986	NDC80
MO000042705	MO000042705	ENSG00000143228	NUF2
MO000042717	MO000042717	ENSG00000117399	CDC20
MO000042733	MO000042733	ENSG00000151694	ADAM17
MO000042777	MO000042777	ENSG00000163235	TGFA
MO000042806	MO000042806	ENSG00000132470	ITGB4
MO000042844	MO000042844	ENSG00000096696	DSP
MO000042946	MO000042946	ENSG00000180370	PAK2
MO000042948	MO000042948	ENSG00000169047	IRS1
MO000042957	MO000042957	ENSG00000123143	PKN1
MO000042958	MO000042958	ENSG00000123143	PKN1
MO000042959	MO000042959	ENSG00000123143	PKN1
MO000042985	MO000042985	ENSG00000115760	BIRC6
MO000043148	MO000043148	ENSG00000170421	KRT8
MO000043194	MO000043194	ENSG00000115317	HTRA2
MO000043404	MO000043404	ENSG00000130177	CDC16
MO000043409	MO000043409	ENSG00000164162	ANAPC10
MO000043473	MO000043473	ENSG00000097007	ABL1
MO000043474	MO000043474	ENSG00000097007	ABL1
MO000043475	MO000043475	ENSG00000097007	ABL1
MO000043476	MO000043476	ENSG00000097007	ABL1
MO000043490	MO000043490	ENSG00000105325	FZR1
MO000043618	MO000043618	ENSG00000116670	MAD2L2
MO000043667	MO000043667	ENSG00000068028	RASSF1
MO000043677	MO000043677	ENSG00000068028	RASSF1
MO000043755	MO000043755	ENSG00000161057	PSMC2
MO000043778	MO000043778	ENSG00000123384	LRP1
MO000043848	MO000043848	ENSG00000164104	HMGB2
MO000044016	MO000044016	ENSG00000061938	TNK2
MO000044054	MO000044054	ENSG00000006125	AP2B1
MO000044513	MO000044513	ENSG00000103266	STUB1
MO000044992	MO000044992	ENSG00000164611	PTTG1
MO000045014	MO000045014	ENSG00000140464	PML
MO000045062	MO000045062	ENSG00000149679	CABLES2
MO000045166	MO000045166	ENSG00000074319	TSG101
MO000045473	MO000045473	ENSG00000114745	GORASP1
MO000045487	MO000045487	ENSG00000139618	BRCA2
MO000046076	MO000046076	ENSG00000102974	CTCF
MO000054454	MO000054454	ENSG00000172216	CEBPB
MO000054455	MO000054455	ENSG00000172216	CEBPB
MO000056100	MO000056100	ENSG00000131747	TOP2A
MO000056241	MO000056241	ENSG00000169679	BUB1
MO000056483	MO000056483	ENSG00000136997	MYC
MO000056491	MO000056491	ENSG00000114166	KAT2B
MO000056623	MO000056623	ENSG00000141510	TP53
MO000056625	MO000056625	ENSG00000135679	MDM2
MO000056626	MO000056626	ENSG00000124762	CDKN1A
MO000056627	MO000056627	ENSG00000170312	CDK1
MO000056654	MO000056654	ENSG00000100393	EP300
MO000056714	MO000056714	ENSG00000116478	HDAC1
MO000056756	MO000056756	ENSG00000196396	PTPN1
MO000056761	MO000056761	ENSG00000050820	BCAR1
MO000056773	MO000056773	ENSG00000014216	CAPN1
MO000056780	MO000056780	ENSG00000196396	PTPN1
MO000056914	MO000056914	ENSG00000099942	CRKL
MO000056974	MO000056974	ENSG00000067560	RHOA
MO000057028	MO000057028	ENSG00000174775	HRAS
MO000057244	MO000057244	ENSG00000064012	CASP8
MO000057248	MO000057248	ENSG00000198668	CALM1
MO000057270	MO000057270	ENSG00000141510	TP53
MO000057303	MO000057303	ENSG00000115053	NCL
MO000057309	MO000057309	ENSG00000102189	EEA1
MO000057311	MO000057311	ENSG00000102189	EEA1
MO000057316	MO000057316	ENSG00000011422	PLAUR
MO000057339	MO000057339	ENSG00000169047	IRS1
MO000057348	MO000057348	ENSG00000197122	SRC
MO000057390	MO000057390	ENSG00000103653	CSK
MO000057416	MO000057416	ENSG00000067606	PRKCZ
MO000057419	MO000057419	ENSG00000179295	PTPN11
MO000057440	MO000057440	ENSG00000177885	GRB2
MO000057444	MO000057444	ENSG00000162434	JAK1
MO000057456	MO000057456	ENSG00000082701	GSK3B
MO000057483	MO000057483	ENSG00000010810	FYN
MO000057545	MO000057545	ENSG00000166313	APBB1
MO000057556	MO000057556	ENSG00000141510	TP53
MO000057624	MO000057624	ENSG00000154229	PRKCA
MO000057630	MO000057630	ENSG00000110395	CBL
MO000057654	MO000057654	ENSG00000026103	FAS
MO000057698	MO000057698	ENSG00000140443	IGF1R
MO000057720	MO000057720	ENSG00000149269	PAK1
MO000057722	MO000057722	ENSG00000124181	PLCG1
MO000057733	MO000057733	ENSG00000127445	PIN1
MO000057743	MO000057743	ENSG00000108773	KAT2A
MO000057745	MO000057745	ENSG00000005339	CREBBP
MO000057776	MO000057776	ENSG00000182866	LCK
MO000057783	MO000057783	ENSG00000108773	KAT2A
MO000057829	MO000057829	ENSG00000175387	SMAD2
MO000057832	MO000057832	ENSG00000166949	SMAD3
MO000057855	MO000057855	ENSG00000132906	CASP9
MO000057856	MO000057856	ENSG00000132906	CASP9
MO000057974	MO000057974	ENSG00000011422	PLAUR
MO000057976	MO000057976	ENSG00000011422	PLAUR
MO000057978	MO000057978	ENSG00000011422	PLAUR
MO000058271	MO000058271	ENSG00000138592	USP8
MO000058274	MO000058274	ENSG00000138592	USP8
MO000058322	MO000058322	ENSG00000177606	JUN
MO000058328	MO000058328	ENSG00000113070	HBEGF
MO000058389	MO000058389	ENSG00000169032	MAP2K1
MO000058468	MO000058468	ENSG00000204209	DAXX
MO000058538	MO000058538	ENSG00000168036	CTNNB1
MO000058641	MO000058641	ENSG00000091409	ITGA6
MO000058770	MO000058770	ENSG00000185591	SP1
MO000058789	MO000058789	ENSG00000123384	LRP1
MO000058849	MO000058849	ENSG00000169083	AR
MO000058923	MO000058923	ENSG00000196591	HDAC2
MO000058954	MO000058954	ENSG00000119335	SET
MO000058962	MO000058962	ENSG00000119335	SET
MO000058981	MO000058981	ENSG00000167193	CRK
MO000059007	MO000059007	ENSG00000106070	GRB10
MO000059009	MO000059009	ENSG00000106070	GRB10
MO000059062	MO000059062	ENSG00000138448	ITGAV
MO000059100	MO000059100	ENSG00000146674	IGFBP3
MO000059101	MO000059101	ENSG00000146674	IGFBP3
MO000059216	MO000059216	ENSG00000135046	ANXA1
MO000059217	MO000059217	ENSG00000135046	ANXA1
MO000059235	MO000059235	ENSG00000132535	DLG4
MO000059270	MO000059270	ENSG00000139687	RB1
MO000059313	MO000059313	ENSG00000164305	CASP3
MO000059471	MO000059471	ENSG00000163932	PRKCD
MO000059555	MO000059555	ENSG00000112592	TBP
MO000059577	MO000059577	ENSG00000163932	PRKCD
MO000059666	MO000059666	ENSG00000090339	ICAM1
MO000059675	MO000059675	ENSG00000184557	SOCS3
MO000059746	MO000059746	ENSG00000108654	DDX5
MO000059747	MO000059747	ENSG00000108654	DDX5
MO000059788	MO000059788	ENSG00000104852	SNRNP70
MO000059789	MO000059789	ENSG00000104852	SNRNP70
MO000059825	MO000059825	ENSG00000096968	JAK2
MO000059936	MO000059936	ENSG00000185338	SOCS1
MO000060084	MO000060084	ENSG00000213341	CHUK
MO000060163	MO000060163	ENSG00000120899	PTK2B
MO000060210	MO000060210	ENSG00000141736	ERBB2
MO000060534	MO000060534	ENSG00000110876	SELPLG
MO000061587	MO000061587	ENSG00000108821	COL1A1
MO000062412	MO000062412	ENSG00000130402	ACTN4
MO000064381	MO000064381	ENSG00000197249	SERPINA1
MO000064865	MO000064865	ENSG00000118523	CTGF
MO000065318	MO000065318	ENSG00000196754	S100A2
MO000066145	MO000066145	ENSG00000118898	PPL
MO000066175	MO000066175	ENSG00000130340	SNX9
MO000066303	MO000066303	ENSG00000197321	SVIL
MO000068455	MO000068455	ENSG00000168090	COPS6
MO000071109	MO000071109	ENSG00000070831	CDC42
MO000071111	MO000071111	ENSG00000070831	CDC42
MO000071150	MO000071150	ENSG00000121022	COPS5
MO000072666	MO000072666	ENSG00000103266	STUB1
MO000078217	MO000078217	ENSG00000097007	ABL1
MO000078223	MO000078223	ENSG00000135679	MDM2
MO000078224	MO000078224	ENSG00000135679	MDM2
MO000078237	MO000078237	ENSG00000168610	STAT3
MO000078241	MO000078241	ENSG00000168610	STAT3
MO000078613	MO000078613	ENSG00000115904	SOS1
MO000078959	MO000078959	ENSG00000124788	ATXN1
MO000079040	MO000079040	ENSG00000140464	PML
MO000079041	MO000079041	ENSG00000140464	PML
MO000079042	MO000079042	ENSG00000140464	PML
MO000079043	MO000079043	ENSG00000140464	PML
MO000079234	MO000079234	ENSG00000103275	UBE2I
MO000079236	MO000079236	ENSG00000033800	PIAS1
MO000079379	MO000079379	ENSG00000171720	HDAC3
MO000079380	MO000079380	ENSG00000171720	HDAC3
MO000080193	MO000080193	ENSG00000253729	PRKDC
MO000080275	MO000080275	ENSG00000163235	TGFA
MO000080423	MO000080423	ENSG00000175216	CKAP5
MO000080458	MO000080458	ENSG00000196498	NCOR2
MO000080460	MO000080460	ENSG00000196498	NCOR2
MO000080492	MO000080492	ENSG00000143379	SETDB1
MO000080571	MO000080571	ENSG00000141027	NCOR1
MO000080639	MO000080639	ENSG00000102974	CTCF
MO000080833	MO000080833	ENSG00000140443	IGF1R
MO000080834	MO000080834	ENSG00000140443	IGF1R
MO000080970	MO000080970	ENSG00000082701	GSK3B
MO000080974	MO000080974	ENSG00000095002	MSH2
MO000080976	MO000080976	ENSG00000095002	MSH2
MO000080982	MO000080982	ENSG00000012048	BRCA1
MO000080990	MO000080990	ENSG00000097007	ABL1
MO000081055	MO000081055	ENSG00000182866	LCK
MO000081123	MO000081123	ENSG00000120656	TAF12
MO000081154	MO000081154	ENSG00000140443	IGF1R
MO000081249	MO000081249	ENSG00000165119	HNRNPK
MO000081305	MO000081305	ENSG00000069399	BCL3
MO000081388	MO000081388	ENSG00000137801	THBS1
MO000081506	MO000081506	ENSG00000109320	NFKB1
MO000081584	MO000081584	ENSG00000273841	TAF9
MO000081587	MO000081587	ENSG00000138160	KIF11
MO000081703	MO000081703	ENSG00000104067	TJP1
MO000081716	MO000081716	ENSG00000039068	CDH1
MO000081825	MO000081825	ENSG00000067900	ROCK1
MO000081907	MO000081907	ENSG00000166913	YWHAB
MO000081940	MO000081940	ENSG00000089159	PXN
MO000082277	MO000082277	ENSG00000146648	EGFR
MO000082285	MO000082285	ENSG00000122779	TRIM24
MO000082309	MO000082309	ENSG00000122779	TRIM24
MO000082345	MO000082345	ENSG00000096696	DSP
MO000082438	MO000082438	ENSG00000087586	AURKA
MO000082510	MO000082510	ENSG00000172977	KAT5
MO000082511	MO000082511	ENSG00000172977	KAT5
MO000082552	MO000082552	ENSG00000131747	TOP2A
MO000082710	MO000082710	ENSG00000149554	CHEK1
MO000082898	MO000082898	ENSG00000101266	CSNK2A1
MO000082902	MO000082902	ENSG00000026025	VIM
MO000083016	MO000083016	ENSG00000080824	HSP90AA1
MO000083031	MO000083031	ENSG00000197694	SPTAN1
MO000083032	MO000083032	ENSG00000197694	SPTAN1
MO000083312	MO000083312	ENSG00000075624	ACTB
MO000083451	MO000083451	ENSG00000086758	HUWE1
MO000083452	MO000083452	ENSG00000086758	HUWE1
MO000083456	MO000083456	ENSG00000086758	HUWE1
MO000083564	MO000083564	ENSG00000164611	PTTG1
MO000083650	MO000083650	ENSG00000178999	AURKB
MO000083716	MO000083716	ENSG00000205250	E2F4
MO000083732	MO000083732	ENSG00000106799	TGFBR1
MO000083872	MO000083872	ENSG00000091409	ITGA6
MO000083915	MO000083915	ENSG00000136603	SKIL
MO000083939	MO000083939	ENSG00000004897	CDC27
MO000084186	MO000084186	ENSG00000105974	CAV1
MO000084423	MO000084423	ENSG00000180370	PAK2
MO000084523	MO000084523	ENSG00000126561	STAT5A
MO000084581	MO000084581	ENSG00000197386	HTT
MO000084622	MO000084622	ENSG00000196504	PRPF40A
MO000084644	MO000084644	ENSG00000105229	PIAS4
MO000084645	MO000084645	ENSG00000105229	PIAS4
MO000084650	MO000084650	ENSG00000070087	PFN2
MO000084686	MO000084686	ENSG00000138376	BARD1
MO000084705	MO000084705	ENSG00000165156	ZHX1
MO000084788	MO000084788	ENSG00000170004	CHD3
MO000084971	MO000084971	ENSG00000168090	COPS6
MO000085311	MO000085311	ENSG00000113575	PPP2CA
MO000085335	MO000085335	ENSG00000130956	HABP4
MO000085336	MO000085336	ENSG00000130956	HABP4
MO000085337	MO000085337	ENSG00000164045	CDC25A
MO000085339	MO000085339	ENSG00000164045	CDC25A
MO000085403	MO000085403	ENSG00000156711	MAPK13
MO000085701	MO000085701	ENSG00000167193	CRK
MO000085991	MO000085991	ENSG00000143228	NUF2
MO000086001	MO000086001	ENSG00000080986	NDC80
MO000086278	MO000086278	ENSG00000172216	CEBPB
MO000086426	MO000086426	ENSG00000141646	SMAD4
MO000086558	MO000086558	ENSG00000186716	BCR
MO000086991	MO000086991	ENSG00000173757	STAT5B
MO000087123	MO000087123	ENSG00000117399	CDC20
MO000087198	MO000087198	ENSG00000011465	DCN
MO000087200	MO000087200	ENSG00000011465	DCN
MO000087350	MO000087350	ENSG00000109062	SLC9A3R1
MO000087373	MO000087373	ENSG00000067900	ROCK1
MO000087384	MO000087384	ENSG00000067900	ROCK1
MO000087590	MO000087590	ENSG00000074319	TSG101
MO000087637	MO000087637	ENSG00000149269	PAK1
MO000088373	MO000088373	ENSG00000164885	CDK5
MO000088471	MO000088471	ENSG00000177885	GRB2
MO000088616	MO000088616	ENSG00000198176	TFDP1
MO000088764	MO000088764	ENSG00000051180	RAD51
MO000089145	MO000089145	ENSG00000092820	EZR
MO000089418	MO000089418	ENSG00000131747	TOP2A
MO000089437	MO000089437	ENSG00000131747	TOP2A
MO000089445	MO000089445	ENSG00000131747	TOP2A
MO000089711	MO000089711	ENSG00000080824	HSP90AA1
MO000089793	MO000089793	ENSG00000186868	MAPT
MO000089794	MO000089794	ENSG00000186868	MAPT
MO000089797	MO000089797	ENSG00000186868	MAPT
MO000089798	MO000089798	ENSG00000186868	MAPT
MO000089800	MO000089800	ENSG00000186868	MAPT
MO000089935	MO000089935	ENSG00000086758	HUWE1
