Gene_Symbol	MCF10A_1_FPKM	MCF10A_2_FPKM	MCF10A_3_FPKM	MCF10A_4_FPKM	MDA_MB-231_1_FPKM	MDA_MB-231_2_FPKM	MDA_MB-231_3_FPKM	MDA_MB-231_4_FPKM	MDA_MB-231/MCF10A.fc	MDA_MB-231/MCF10A.baseMean	MDA_MB-231/MCF10A.lfcSE	MDA_MB-231/MCF10A.stat	MDA_MB-231/MCF10A.raw.pval	MDA_MB-231/MCF10A.bh.pval	MCF10A.mean	MDA_MB-231.mean	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB-231_1	N_MDA_MB-231_2	N_MDA_MB-231_3	N_MDA_MB-231_4	MCF10A_1_Read_Count	MCF10A_2_Read_Count	MCF10A_3_Read_Count	MCF10A_4_Read_Count	MDA_MB-231_1_Read_Count	MDA_MB-231_2_Read_Count	MDA_MB-231_3_Read_Count	MDA_MB-231_4_Read_Count
NAT1	2.635359	2.600779	2.461812	3.065892	2.313486	3.539952	2.38126	3.238684	-1.100399382	86.7293802	0.224217441	-0.615595439	0.538161562	0.623849325	6.506226971	6.367328945	6.39103763	6.48659838	6.34868492	6.6231488	6.2446887	6.54617562	6.26737357	6.48400056	68	108	83	101	58	84	79	125
SERPINA3	5.363592	17.748426	5.089502	16.719389	78.254478	4.513924	75.703712	5.022682	3.025420255	541.8026571	0.890962748	1.792595215	0.073037672	0.117911987	8.07228387	9.669686033	7.56395255	8.60093432	7.52385254	8.54295847	9.81955216	7.38489491	9.78556395	7.44917394	96	510	117	376	1344	73	1712	132
AAMP	27.597835	25.978671	26.019436	23.38652	38.449948	47.442304	34.617149	46.128638	1.379450004	812.8500013	0.135281053	3.430585133	0.000602281	0.001684287	9.415931736	9.880517272	9.51382072	9.58040436	9.46563604	9.49090391	9.73187319	9.88535095	9.64139145	9.86264341	565	860	687	607	762	885	903	1389
AARS	37.955364	37.549786	38.317211	38.466721	112.963196	29.206982	117.129021	29.189306	1.629629241	2427.363184	0.490098878	1.437554347	0.150560542	0.21806065	10.85029104	11.55487325	10.87812632	10.98702098	10.88603248	11.00361568	11.78721709	10.58745854	11.8209791	10.58895768	1416	2266	1845	1819	4081	993	5570	1604
ABAT	1.854136	2.096603	1.775372	1.68092	0.440664	0.04975	0.333239	0.06347	-9.191704899	80.09519126	0.582365248	-5.49540429	3.89816E-08	2.35625E-07	7.173727611	3.982795692	6.55089763	6.66300089	6.51237725	6.58619233	5.36845469	4.53273414	5.19289218	4.51369792	116	183	143	133	27	3	27	6
ABCA1	0.171822	0.046046	0.134737	0.039614	14.686676	6.122362	15.941232	6.553019	96.060088	714.7848702	0.512436077	12.85207174	8.37372E-38	4.47867E-36	3.892358004	10.46630091	6.5011752	6.15774625	6.3958059	6.15178561	9.92995144	8.99340485	10.01696604	9.06503067	21	9	21	6	1667	654	2381	1131
ABCA2	10.864308	9.8166	9.937037	9.613284	9.822588	3.690018	9.612156	3.453242	-1.758825639	930.8313975	0.386815845	-2.105943895	0.035209226	0.062474506	10.21285023	9.398469555	10.03452384	10.07146792	9.95593056	10.04862411	9.88300713	9.07933078	9.86293678	9.03373588	988	1445	1167	1109	866	306	1115	463
ABCA3	0.751241	0.851555	0.973861	0.498122	3.277019	0.230195	2.987787	0.310915	1.923309286	107.5614125	0.768388516	1.2280126	0.219442238	0.299976281	6.200627944	7.145413799	6.204545	6.40558783	6.39903303	6.00610828	7.40712995	5.43925668	7.3206138	5.55748224	56	102	93	47	235	16	282	34
ABCB7	18.692193	7.198329	17.256446	8.316434	15.356974	13.464871	16.059258	15.30464	1.026026544	444.5055103	0.29269374	0.126644508	0.899221768	0.931334139	8.777985304	8.813906096	9.05249623	8.38523336	8.98327877	8.49413891	8.82088749	8.68583031	8.85836645	8.79146549	503	316	600	286	401	332	552	607
ABCF1	19.203432	23.881613	18.697582	22.563564	55.850006	76.987038	54.213238	74.955957	2.615780574	1929.503647	0.202050508	6.865815565	6.61124E-12	6.47242E-11	10.0594834	11.44703389	10.23390467	10.51411803	10.2143027	10.46543734	11.05857687	11.3225747	11.03120472	11.29449801	742	1493	933	1106	2090	2710	2671	4237
