k inertia
2 1434399.3514203862
5 1296178.0551014426
3 1355901.563234962
4 1303434.6403796598
7 1214188.2957266977
6 1236376.3424968417
8 1184014.5997061245
11 1144803.3726498
9 1190938.8860724256
13 1149475.6670418005
10 1143651.6708028573
14 1109735.0237723454
15 1088185.6009518637
12 1122332.9730144124
