ID	UniProt ID
ENSG00000009307	O75534,O75534-2
ENSG00000009335	Q15386
ENSG00000009844	Q9NP79
ENSG00000009954	Q9UIG0
ENSG00000010017	Q96S59
ENSG00000010165	Q8N6R0
ENSG00000010244	O43670,O43670-2
ENSG00000010256	P31930
ENSG00000010292	Q15021
ENSG00000010322	Q9Y2I1,Q9Y2I1-4
ENSG00000010810	P06241
ENSG00000011007	Q14241
ENSG00000011009	O95372
ENSG00000011243	Q9ULX6
ENSG00000011260	Q9Y5J1
ENSG00000011304	P26599
ENSG00000011376	Q15031
ENSG00000011405	O00443
ENSG00000011426	Q9NQW6
ENSG00000011454	Q9Y3P9
ENSG00000011485	P53041
ENSG00000011566	Q8IVH8-3
ENSG00000012963	Q8N806
ENSG00000013016	Q9NZN3
ENSG00000013275	P43686
ENSG00000013364	Q14764
ENSG00000013375	O95394
ENSG00000013561	Q9UBS8
ENSG00000013583	Q9NRV9
ENSG00000013588	Q8NFJ5
ENSG00000013810	Q9Y6A5
ENSG00000014123	O94874
ENSG00000014138	Q14181
ENSG00000014216	P07384
ENSG00000014641	P40925
ENSG00000015171	Q15326-3
ENSG00000015475	P55957
ENSG00000015568	Q99666
ENSG00000015676	Q8IVD9
ENSG00000016864	Q68CQ7
ENSG00000017260	P98194
ENSG00000018408	Q9GZV5
ENSG00000018510	O00116
ENSG00000018699	Q6P3X3
ENSG00000019144	Q86UU1-2
ENSG00000020129	Q9UBB6
ENSG00000020426	P51948
ENSG00000020922	P49959
ENSG00000021355	P30740
ENSG00000021574	Q9UBP0-3,Q9UBP0-4
ENSG00000021776	O60306
ENSG00000021826	P31327
ENSG00000023191	P13489
ENSG00000023228	P28331
ENSG00000023318	Q9BS26
ENSG00000023516	Q9UKA4
ENSG00000023697	Q9Y315
ENSG00000023734	Q9Y3F4
ENSG00000023909	P48507
ENSG00000024048	Q8IWV8,Q8IWV8,Q8IWV8-3
ENSG00000024422	Q9NZN4
ENSG00000025772	Q15785
ENSG00000025796	Q9UGP8
ENSG00000026508	P16070-4
ENSG00000027001	Q99797
ENSG00000028116	Q86Y07
ENSG00000028203	Q9HBM0
ENSG00000028310	Q9H8M2-3
ENSG00000028528	Q13596
ENSG00000028839	P62380
ENSG00000029363	Q9NYF8-2,Q9NYF8-3,Q9NYF8-4
ENSG00000029534	P16157-10
ENSG00000029725	Q15276
ENSG00000029993	O15347
ENSG00000030066	Q12769
ENSG00000030110	Q16611
ENSG00000030582	P28799
ENSG00000031698	P49591
ENSG00000031823	Q9H6Z4-3
ENSG00000032389	Q53HC9
ENSG00000032444	Q8IY17-2
ENSG00000033011	Q9BT22
ENSG00000033030	Q6NZY4
ENSG00000033050	Q9UG63
ENSG00000033178	A0AVT1
ENSG00000033627	Q93050-1,Q93050-3
ENSG00000033800	O75925
ENSG00000034152	P46734
ENSG00000034510	P63313
ENSG00000034693	P56589
ENSG00000034713	P60520
ENSG00000035141	Q96C01
ENSG00000035403	P18206-2
ENSG00000035687	P30520
ENSG00000035928	P35251-2
ENSG00000036054	Q9NUY8,Q9NUY8-2
ENSG00000036257	Q13618
ENSG00000037241	Q9UNX3
ENSG00000037474	Q08J23
ENSG00000037757	Q9BV20
ENSG00000038219	Q8NFC6
ENSG00000038274	Q9NZL9,Q9NZL9-2
ENSG00000038358	Q6P2E9
ENSG00000038382	O75962
ENSG00000039123	P42285
ENSG00000039319	Q7Z3T8
ENSG00000039560	Q9P0K7
ENSG00000039650	Q96T60
ENSG00000041353	O00194
ENSG00000041357	P25789
ENSG00000041802	Q9H089
ENSG00000041982	P24821,P24821-5,P24821-5
ENSG00000042088	Q9NUW8
ENSG00000042429	Q9NVC6
ENSG00000042493	P40121
ENSG00000042753	P53680
ENSG00000043093	Q96GG9
ENSG00000044090	Q14999
ENSG00000044115	P35221
ENSG00000044574	P11021
ENSG00000046604	Q14126
ENSG00000047188	Q9H6S0
ENSG00000047230	Q9NRF8
ENSG00000047249	Q9UI12-2
ENSG00000047410	P12270
ENSG00000047579	Q96EV8
ENSG00000047644	Q9ULE0
ENSG00000047849	P27816,P27816-5
ENSG00000047932	Q9HD26,Q9HD26-2
ENSG00000048162	Q9Y3C1
ENSG00000048544	P82664
ENSG00000048649	Q96T23
ENSG00000048828	Q9NZB2
ENSG00000049239	O95479
ENSG00000049245	Q15836
ENSG00000049283	Q9H201
ENSG00000049449	Q15293
ENSG00000049541	P35250
ENSG00000049656	Q96KA5-2
ENSG00000049759	Q96PU5-7
ENSG00000049860	P07686
ENSG00000050405	Q9UHB6,Q9UHB6-4
ENSG00000050748	P45984-2
ENSG00000051128	Q9NSC5
ENSG00000051382	P42338
ENSG00000051596	Q96J01
ENSG00000051620	Q9Y5Z4
ENSG00000052126	Q9HAU0
ENSG00000052749	Q5JTH9
ENSG00000053371	O43488
ENSG00000053372	Q9UKD2
ENSG00000053501	Q9NZ43
ENSG00000054116	O43617
ENSG00000054118	Q9Y2W1
ENSG00000054148	Q9NRX4
ENSG00000054267	Q4LE39-3
ENSG00000054523	O60333,O60333-2,O60333-3
ENSG00000054611	Q8WUA7
ENSG00000054654	Q8WXH0
ENSG00000055044	Q9Y2X3
ENSG00000055070	Q7Z422-2
ENSG00000055130	Q13616
ENSG00000055147	Q9NRY5
ENSG00000055332	P19525
ENSG00000055483	Q9P275
ENSG00000055917	Q8TB72-3
ENSG00000055950	Q8N983-4
ENSG00000056050	Q9NWY4
ENSG00000056097	Q96KR1
ENSG00000056277	Q8ND82
ENSG00000057019	Q96PD2
ENSG00000057149	P29508
ENSG00000057252	P35610
ENSG00000057294	Q99959-2
ENSG00000057608	P50395
ENSG00000057663	Q9H1Y0
ENSG00000057757	Q9GZP4
ENSG00000057935	Q9BTC8-2
ENSG00000058056	Q92995
ENSG00000058091	O94921-3
ENSG00000058262	P61619
ENSG00000058272	O14974
ENSG00000058404	Q13554-4
ENSG00000058668	P23634-7,P23634-8
ENSG00000058673	O75152
ENSG00000058729	Q9BVS4
ENSG00000058804	Q9BTX1-2
ENSG00000059378	Q9H0J9
ENSG00000059573	P54886,P54886-2
ENSG00000059758	Q00537
ENSG00000060138	P16989,P16989-2
ENSG00000060339	Q8IX12-2
ENSG00000060491	Q9NZT2-2
ENSG00000060688	Q96DI7
ENSG00000060749	Q2KHR3
ENSG00000060971	P09110
ENSG00000061676	Q9Y2A7
ENSG00000061794	P82673
ENSG00000061936	Q12872
ENSG00000062582	Q96EL2
ENSG00000062650	Q7Z5K2
ENSG00000062822	P28340
ENSG00000063046	P23588
ENSG00000063241	Q96AB3
ENSG00000063244	P26368-2
ENSG00000063245	Q9Y6I3
ENSG00000063322	Q9NX70
ENSG00000063601	Q13613
ENSG00000063660	P35052
ENSG00000063854	Q16775
ENSG00000064012	Q14790
ENSG00000064102	Q9NVM9
ENSG00000064313	Q6P1X5
ENSG00000064419	Q9Y5L0
ENSG00000064601	P10619
ENSG00000064607	Q8IX01
ENSG00000064651	P55011
ENSG00000064666	Q99439
ENSG00000064703	Q9UHI6
ENSG00000064932	Q9Y2G9-3
ENSG00000064999	Q92625
ENSG00000065000	O14617,O14617-5
ENSG00000065029	P36508-2
ENSG00000065054	Q15599
ENSG00000065060	Q6BDS2
ENSG00000065135	P08754
ENSG00000065150	O00410
ENSG00000065154	P04181
ENSG00000065183	Q9UNX4
ENSG00000065243	Q16513
ENSG00000065268	Q9BV38
ENSG00000065427	Q15046,Q15046-2
ENSG00000065485	Q14554
ENSG00000065518	O95168
ENSG00000065526	Q96T58
ENSG00000065548	Q8WU90
ENSG00000065559	P45985
ENSG00000065613	Q9H2G2,Q9H2G2-2
ENSG00000065809	Q9H098
ENSG00000065833	P48163
ENSG00000065883	Q14004
ENSG00000065911	P13995
ENSG00000065978	P67809
ENSG00000066027	Q15172
ENSG00000066032	P26232-2
ENSG00000066044	Q15717
ENSG00000066084	Q9P265
ENSG00000066117	Q96GM5
ENSG00000066136	Q13952,Q13952,Q13952-3
ENSG00000066322	Q9BW60
ENSG00000066379	Q9P1U0
ENSG00000066455	Q8TBA6-2
ENSG00000066557	Q9H9A6
ENSG00000066583	Q96CN7
ENSG00000066654	Q9NXG2
ENSG00000066777	Q9Y6D6
ENSG00000066926	P22830
ENSG00000067057	Q01813
ENSG00000067064	Q13907
ENSG00000067066	P23497-4
ENSG00000067177	P46020-2
ENSG00000067225	P14618,P14618-2
ENSG00000067248	Q7Z478
ENSG00000067334	Q5QJE6
ENSG00000067369	Q12888
ENSG00000067533	Q9Y3B9
ENSG00000067560	P61586
ENSG00000067596	Q14562
ENSG00000067704	Q9NSE4
ENSG00000067829	P51553
ENSG00000067842	Q16720-8
ENSG00000067900	Q13464
ENSG00000067955	Q13951-2
ENSG00000068079	P80217
ENSG00000068120	Q13057
ENSG00000068323	P19532
ENSG00000068354	Q3MII6
ENSG00000068366	O60488-2
ENSG00000068394	Q92917
ENSG00000068400	Q4V328,Q4V328-2
ENSG00000068654	O95602
ENSG00000068784	Q8N5C6
ENSG00000068796	O00139-1,O00139-2
ENSG00000068878	Q14997
ENSG00000068903	Q8IXJ6-2
ENSG00000068912	Q96DZ1
ENSG00000068971	Q15173
ENSG00000068976	P11217
ENSG00000069020	O15021-2
ENSG00000069248	Q8WUM0
ENSG00000069275	Q9H1E3
ENSG00000069329	Q96QK1
ENSG00000069345	O60884
ENSG00000069849	P54709
ENSG00000069869	P46934-4
ENSG00000069956	Q16659
ENSG00000069974	P51159
ENSG00000069998	Q9BXW7-2
ENSG00000070010	Q92890
ENSG00000070061	O95163
ENSG00000070087	P35080-2
ENSG00000070182	P11277-3
ENSG00000070214	Q8WWI5-3
ENSG00000070367	O00471
ENSG00000070423	Q9BV68-2
ENSG00000070495	Q6NYC1
ENSG00000070501	P06746
ENSG00000070669	P08243
ENSG00000070718	P53677
ENSG00000070756	P11940
ENSG00000070761	Q9Y6A4
ENSG00000070770	P19784
ENSG00000070785	Q9NR50
ENSG00000070814	Q13428-3,Q13428-4
ENSG00000070831	P60953,P60953-1
ENSG00000070882	Q9H4L5,Q9H4L5-2
ENSG00000070950	Q9NS91
ENSG00000070961	P20020-6
ENSG00000071051	O43639
ENSG00000071054	O95819-2
ENSG00000071082	P62899
ENSG00000071127	O75083
ENSG00000071537	Q9UBV2
ENSG00000071539	Q15645
ENSG00000071553	Q15904
ENSG00000071626	Q96EP5
ENSG00000071655	O95983-2
ENSG00000071794	Q14527
ENSG00000071859	Q14320
ENSG00000071894	Q10570
ENSG00000071994	Q16342-3
ENSG00000072042	Q8TC12
ENSG00000072062	P17612
ENSG00000072110	P12814,P12814-2
ENSG00000072163	Q7Z4I7-3
ENSG00000072210	P51648
ENSG00000072274	P02786
ENSG00000072364	Q9UHB7
ENSG00000072401	P51668
ENSG00000072415	Q8N3R9
ENSG00000072501	Q14683
ENSG00000072506	Q99714
ENSG00000072518	Q7KZI7-8
ENSG00000072682	O15460,O15460-2
ENSG00000072786	O94804
ENSG00000072832	Q14194
ENSG00000072849	Q9GZP9
ENSG00000072864	Q9NXR1,Q9NXR1-2
ENSG00000073008	P15151-3
ENSG00000073050	P18887
ENSG00000073111	P49736
ENSG00000073536	Q9NVX2
ENSG00000073578	P31040
ENSG00000073584	Q969G3
ENSG00000073712	Q96AC1
ENSG00000073792	Q9Y6M1-1
ENSG00000073921	Q13492-2
ENSG00000074071	P82930
ENSG00000074201	P54105
ENSG00000074266	O75530-3
ENSG00000074319	Q99816
ENSG00000074356	Q53F19
ENSG00000074370	Q93084-2,Q93084-4
ENSG00000074582	Q9Y276
ENSG00000074695	P49257
ENSG00000074696	Q9P035
ENSG00000074842	Q969H8
ENSG00000075151	O43432
ENSG00000075188	Q8NFH4
ENSG00000075218	Q9NYZ3
ENSG00000075223	Q99985
ENSG00000075234	Q5R3I4
ENSG00000075239	P24752
ENSG00000075292	Q14966
ENSG00000075303	Q8TBP6
ENSG00000075413	P27448-3
ENSG00000075415	Q00325-2
ENSG00000075420	Q53EP0
ENSG00000075426	P15408-3
ENSG00000075568	Q92545
ENSG00000075618	Q16658
ENSG00000075643	Q96EN8
ENSG00000075673	P54707
ENSG00000075711	Q12959-4,Q12959-5
ENSG00000075785	P51149
ENSG00000075856	Q15020
ENSG00000075886	Q13748
ENSG00000075914	Q15024
ENSG00000076003	Q14566
ENSG00000076053	Q9Y580
ENSG00000076067	Q15434
ENSG00000076201	Q9H3S7
ENSG00000076242	P40692
ENSG00000076248	P13051
ENSG00000076554	P55327-2,P55327-4
ENSG00000076555	O00763
ENSG00000076685	P49902
ENSG00000076928	Q92888,Q92888-3
ENSG00000076944	Q15833
ENSG00000076984	O14733
ENSG00000077080	O94805
ENSG00000077097	Q02880
ENSG00000077147	Q9HD45
ENSG00000077150	Q00653,Q00653-4
ENSG00000077152	Q9NPD8
ENSG00000077232	Q8IXB1
ENSG00000077235	Q12789-3
ENSG00000077312	P09012
ENSG00000077348	Q9NQT4
ENSG00000077380	Q13409-2,Q13409-3
ENSG00000077454	O75427
ENSG00000077514	Q15054
ENSG00000077522	P35609
ENSG00000077549	P47756
ENSG00000077721	P49459
ENSG00000077782	P11362-4
ENSG00000078043	O75928-3
ENSG00000078061	P10398
ENSG00000078114	O76041-2
ENSG00000078140	P61086
ENSG00000078237	Q9NQ88
ENSG00000078269	O15056
ENSG00000078304	Q13362,Q13362-4
ENSG00000078369	P62873
ENSG00000078618	O43847
ENSG00000078668	Q9Y277
ENSG00000078674	Q15154
ENSG00000078747	Q96J02-2
ENSG00000078808	Q9BRK5
ENSG00000078814	A7E2Y1
ENSG00000078902	Q9H0E2
ENSG00000079134	Q96FV9
ENSG00000079246	P13010
ENSG00000079257	Q9BS40
ENSG00000079332	Q9NR31
ENSG00000079462	Q15102
ENSG00000079616	Q14807
ENSG00000079739	P36871
ENSG00000079785	Q92499
ENSG00000079805	P50570,P50570-2
ENSG00000079819	O43491
ENSG00000079950	O15400
ENSG00000079999	Q14145
ENSG00000080345	Q5UIP0
ENSG00000080371	Q9UL25
ENSG00000080503	P51531-2
ENSG00000080603	Q6ZRS2-2
ENSG00000080608	Q15397
ENSG00000080802	O95628-8
ENSG00000080819	P36551
ENSG00000080824	P07900,P07900-2
ENSG00000080845	Q9Y2H0-3
ENSG00000080986	O14777
ENSG00000081154	Q8WW12
ENSG00000081307	Q9GZZ9
ENSG00000081721	Q9UNI6
ENSG00000081760	Q86V21
ENSG00000082014	Q6STE5-2
ENSG00000082068	Q9NW82
ENSG00000082153	Q7L1Q6,Q7L1Q6-2
ENSG00000082212	P23368
ENSG00000082213	Q49AR2
ENSG00000082458	Q92796-2
ENSG00000082516	Q8TEQ6
ENSG00000082701	P49841
ENSG00000082781	P18084
ENSG00000082805	Q8IUD2
ENSG00000082898	O14980
ENSG00000083168	Q92794
ENSG00000083223	Q5VYS8
ENSG00000083312	Q92973-2
ENSG00000083444	Q02809
ENSG00000083520	Q9Y2L1
ENSG00000083642	Q9NTI5
ENSG00000083720	P55809
ENSG00000083750	Q5VZM2-2
ENSG00000083845	P46782
ENSG00000083857	Q14517
ENSG00000083937	Q9UQN3
ENSG00000084070	Q8WU79
ENSG00000084072	Q9UNP9
ENSG00000084073	O75844
ENSG00000084207	P09211
ENSG00000084234	Q06481
ENSG00000084623	Q13347
ENSG00000084652	P40222
ENSG00000084674	P04114
ENSG00000084733	P61026
ENSG00000084754	P40939
ENSG00000084764	Q9UPY8,Q9UPY8-2
ENSG00000084774	P27708
ENSG00000085224	P46100
ENSG00000085231	Q9Y3D8
ENSG00000085365	O15126
ENSG00000085377	P48147
ENSG00000085415	Q96EE3
ENSG00000085449	Q8IWB7
ENSG00000085491	Q6NUK1
ENSG00000085662	P15121
ENSG00000085719	O75131
ENSG00000085733	Q14247,Q14247-3
ENSG00000085760	P46199
ENSG00000085832	P42566
ENSG00000085872	Q8IWX8
ENSG00000085978	Q676U5
ENSG00000086015	Q6P0Q8
ENSG00000086061	P31689
ENSG00000086065	Q9NZZ3
ENSG00000086102	Q12986
ENSG00000086189	Q9UNQ2
ENSG00000086200	Q9UI26
ENSG00000086475	P49903
ENSG00000086504	Q13084
ENSG00000086589	Q9NW64
ENSG00000086598	Q15363
ENSG00000086619	Q86YB8
ENSG00000086666	Q6FIF0-2
ENSG00000086712	Q9NUQ3
ENSG00000086758	Q7Z6Z7
ENSG00000086827	O43264
ENSG00000087008	O15254
ENSG00000087077	Q15654
ENSG00000087086	P02792
ENSG00000087087	Q9BXP5-4
ENSG00000087088	Q07812-8
ENSG00000087111	Q96S52
ENSG00000087206	Q96RL1
ENSG00000087253	Q7L5N7
ENSG00000087258	P09471-2
ENSG00000087263	Q8N543
ENSG00000087269	P78316
ENSG00000087302	Q9Y224
ENSG00000087365	Q13435
ENSG00000087460	P63092,P63092-2,P63092-3,Q5JWF2
ENSG00000087470	O00429,O00429-3,O00429-4
ENSG00000087502	Q96RQ1
ENSG00000087586	O14965
ENSG00000087842	O00625
ENSG00000087995	Q96IZ6
ENSG00000088038	O75175
ENSG00000088205	Q9NVP1
ENSG00000088247	Q92945
ENSG00000088256	P29992
ENSG00000088325	Q9ULW0
ENSG00000088356	Q9NUG6
ENSG00000088367	Q9H4G0,Q9H4G0-2,Q9H4G0-4
ENSG00000088387	Q9BZ29-4
ENSG00000088832	P62942
ENSG00000088833	Q9UNZ2,Q9UNZ2-4,Q9UNZ2-5
ENSG00000088888	Q7Z434
ENSG00000088930	Q9H0D6
ENSG00000088986	P63167
ENSG00000089006	Q9Y5X3
ENSG00000089009	Q02878
ENSG00000089048	Q9H501
ENSG00000089050	O75884
ENSG00000089063	Q96A57
ENSG00000089154	Q92616
ENSG00000089159	P49023-2
ENSG00000089195	Q9UJA5
ENSG00000089220	P30086
ENSG00000089248	P30040
ENSG00000089280	P35637-2
ENSG00000089289	P78318
ENSG00000089597	Q14697-2
ENSG00000089693	Q15773
ENSG00000089737	Q9GZR7
ENSG00000090013	P30043
ENSG00000090054	O15269
ENSG00000090060	P51003
ENSG00000090097	P57723
ENSG00000090273	Q9Y266
ENSG00000090372	Q9NRL3
ENSG00000090520	Q9UBS4
ENSG00000090530	Q8IVL5
ENSG00000090615	Q08378
ENSG00000090621	Q13310-3
ENSG00000090686	Q86UV5
ENSG00000090857	Q8NCN5
ENSG00000090861	P49588
ENSG00000090863	Q92896
ENSG00000090889	O95239
ENSG00000090989	Q9NV70
ENSG00000091009	Q9P2N5
ENSG00000091039	Q9BZF1
ENSG00000091127	Q96PZ0
ENSG00000091136	P07942
ENSG00000091140	P09622
ENSG00000091164	O43396
ENSG00000091409	P23229-2
ENSG00000091436	Q9NYL2,Q9NYL2-2
ENSG00000091483	P07954-2
ENSG00000091527	Q9UKY7,Q9UKY7-2
ENSG00000091542	Q6P6C2
ENSG00000091640	O75391
ENSG00000092010	Q06323
ENSG00000092094	Q9NPF4
ENSG00000092108	Q8WVM8
ENSG00000092148	Q9ULT8
ENSG00000092199	P07910,P07910-2
ENSG00000092201	Q9Y5B9
ENSG00000092531	O00161,O00161-2
ENSG00000092621	O43175
ENSG00000092820	P15311
ENSG00000092841	P60660
ENSG00000092847	Q9UL18
ENSG00000092964	Q16555
ENSG00000093000	Q9UKX7
ENSG00000093010	P21964-2
ENSG00000093144	Q9NTX5-2
ENSG00000093167	Q9Y608-2,Q9Y608-4
ENSG00000094631	Q9UBN7
ENSG00000094796	Q15323
ENSG00000094880	Q9UJX2
ENSG00000094914	Q9NRG9
ENSG00000094916	P45973
ENSG00000095002	P43246
ENSG00000095059	P49366
ENSG00000095139	P48444
ENSG00000095261	Q16401
ENSG00000095319	Q5SRE5
ENSG00000095321	P43155
ENSG00000095380	Q9NR45
ENSG00000095485	Q69YN2
ENSG00000095564	O14981
ENSG00000095787	Q9BTA9
ENSG00000095906	Q9Y5Y2
ENSG00000096060	Q13451
ENSG00000096063	Q96SB4
ENSG00000096080	Q9NVS2
ENSG00000096384	P08238
ENSG00000096401	Q99459
ENSG00000096433	Q14573
ENSG00000096696	P15924
ENSG00000096717	Q96EB6
ENSG00000096746	P31942
ENSG00000096872	Q96LB3
ENSG00000097021	O00154,O00154-4,O00154-5
ENSG00000097033	Q9Y371
ENSG00000099194	O00767
ENSG00000099203	Q13445
ENSG00000099204	O14639-2
ENSG00000099246	Q9NP72
ENSG00000099256	Q9NRG1
ENSG00000099284	Q9P0M6
ENSG00000099290	Q641Q2
ENSG00000099331	Q13459
ENSG00000099341	P48556
ENSG00000099622	Q14011
ENSG00000099624	P30049
ENSG00000099783	P52272
ENSG00000099795	P17568
ENSG00000099797	Q9NZ01
ENSG00000099800	Q9Y5L4
ENSG00000099804	P49427
ENSG00000099817	P19388
ENSG00000099821	O00411
ENSG00000099899	Q8IZ69
ENSG00000099901	P43487
ENSG00000099917	Q96RN5-3
ENSG00000099940	O95721
ENSG00000099942	P46109
ENSG00000099956	Q12824,Q12824-2
ENSG00000099968	Q9BXK5
ENSG00000099977	P30046
ENSG00000099995	Q15459
ENSG00000100029	O00541,O00541-2
ENSG00000100030	P28482
ENSG00000100034	P49593
ENSG00000100075	P53007
ENSG00000100083	Q9UJY5
ENSG00000100097	P09382
ENSG00000100106	Q9H2D6-5
ENSG00000100109	Q9UBB9
ENSG00000100129	Q9Y262
ENSG00000100142	P61218
ENSG00000100207	Q9UGU0
ENSG00000100216	Q9NS69
ENSG00000100220	Q9Y3I0
ENSG00000100225	Q9Y3I1
ENSG00000100226	O00178
ENSG00000100227	Q9BY77,Q9BY77-2
ENSG00000100234	P35625
ENSG00000100241	O95248,O95248-4
ENSG00000100242	Q9UH99
ENSG00000100243	P00387-2
ENSG00000100258	Q9BU23-2
ENSG00000100266	Q9UNF0,Q9UNF0-2
ENSG00000100280	Q10567-2,Q10567-3
ENSG00000100284	O60784,O60784-2
ENSG00000100294	Q8IVS2
ENSG00000100296	Q13769
ENSG00000100297	P33992
ENSG00000100300	P30536
ENSG00000100304	Q14166
ENSG00000100316	P39023
ENSG00000100320	O43251-6
ENSG00000100324	Q15750
ENSG00000100325	Q9H1I8
ENSG00000100345	P35579
ENSG00000100347	Q9Y512
ENSG00000100348	Q99757
ENSG00000100353	O15371
ENSG00000100354	Q9UPQ9-1
ENSG00000100360	Q9BW83
ENSG00000100380	P50502
ENSG00000100387	P62877
ENSG00000100393	Q09472
ENSG00000100401	P46060
ENSG00000100410	Q7RTV0
ENSG00000100412	Q99798
ENSG00000100417	Q92871
ENSG00000100418	Q6ICB0
ENSG00000100442	Q00688
ENSG00000100462	O14744
ENSG00000100504	P06737
ENSG00000100519	P62333
ENSG00000100522	Q96EK6
ENSG00000100554	Q9Y5K8
ENSG00000100567	P25788-2
ENSG00000100568	Q9UEU0
ENSG00000100575	Q9Y5J7
ENSG00000100580	Q6PL24
ENSG00000100591	O95433
ENSG00000100596	O15270
ENSG00000100603	Q13573
ENSG00000100605	Q13572
ENSG00000100612	Q9Y394
ENSG00000100614	P35813
ENSG00000100632	P84090
ENSG00000100650	Q13243
ENSG00000100664	P55010
ENSG00000100697	Q9UPY3
ENSG00000100714	P11586
ENSG00000100722	Q6PJT7,Q6PJT7-2,Q6PJT7-3
ENSG00000100726	Q9Y4R8
ENSG00000100749	Q99986
ENSG00000100764	P62191
ENSG00000100784	O75582
ENSG00000100796	Q6IN85
ENSG00000100804	P28074
ENSG00000100811	P25490
ENSG00000100813	Q9UKV3-5
ENSG00000100815	Q15643
ENSG00000100823	P27695
ENSG00000100836	Q86U42-2
ENSG00000100852	Q13017-2
ENSG00000100865	Q9BW66
ENSG00000100883	P61011
ENSG00000100888	Q9HCK8
ENSG00000100889	Q16822
ENSG00000100890	O15091
ENSG00000100897	Q8TEB1
ENSG00000100902	P60900
ENSG00000100911	Q9UL46
ENSG00000100934	Q15436
ENSG00000100938	Q9P2T1
ENSG00000100941	Q9H307
ENSG00000100949	Q92696
ENSG00000100983	P48637
ENSG00000100994	P11216
ENSG00000100997	Q8N2K0
ENSG00000101040	Q9ULU4-12,Q9ULU4-13,Q9ULU4-7
ENSG00000101109	Q13043
ENSG00000101126	Q9H2P0
ENSG00000101132	Q9NQP4
ENSG00000101138	Q05048
ENSG00000101146	P78406
ENSG00000101150	O43399,O43399-5
ENSG00000101160	Q9UBR2
ENSG00000101161	O94906
ENSG00000101162	Q9H4B7
ENSG00000101182	O14818
ENSG00000101189	Q9NV56
ENSG00000101191	Q9BTC0
ENSG00000101193	Q9NWU2
ENSG00000101199	Q8N6T3
ENSG00000101220	Q9GZN8
ENSG00000101246	Q13795
ENSG00000101294	Q8TCT9-2,Q8TCT9-5
ENSG00000101310	Q15437
ENSG00000101335	P24844
ENSG00000101336	P08631-2
ENSG00000101337	Q92544
ENSG00000101343	Q9BZJ0-2
ENSG00000101346	Q9H488
ENSG00000101347	Q9Y3Z3
ENSG00000101350	O15066
ENSG00000101361	O00567
ENSG00000101365	O43837
ENSG00000101367	Q15691
ENSG00000101407	O43156
ENSG00000101413	Q9NQG5
ENSG00000101421	Q9H444
ENSG00000101439	P01034
ENSG00000101444	P23526
ENSG00000101457	Q9H147
ENSG00000101464	Q9H490-2
ENSG00000101473	O14734
ENSG00000101474	Q9HDC9
ENSG00000101557	P54578
ENSG00000101558	Q9P0L0,Q9P0L0-2
ENSG00000101596	A6NHR9
ENSG00000101608	P19105
ENSG00000101654	O43148
ENSG00000101811	P33240-2
ENSG00000101843	O75832
ENSG00000101849	O60907-2
ENSG00000101856	O00264
ENSG00000101868	P09884
ENSG00000101882	Q8N5F7
ENSG00000101911	P11908-2
ENSG00000101940	Q9H1Z4
ENSG00000101966	P98170
ENSG00000101972	Q8N3U4-2
ENSG00000101997	O60826
ENSG00000102007	Q04941
ENSG00000102024	P13797
ENSG00000102030	P41227
ENSG00000102054	Q16576,Q16576-2
ENSG00000102081	Q06787-5,Q06787-6,Q06787-8
