ID	UniProt ID
ENSG00000000003	O43657
ENSG00000000419	O60762
ENSG00000001036	Q9BTY2
ENSG00000001084	P48506
ENSG00000001167	P23511-2
ENSG00000001497	Q9Y4W2-2
ENSG00000001629	Q9P2G1
ENSG00000001630	Q16850
ENSG00000002549	P28838-2
ENSG00000002586	P14209
ENSG00000002822	Q9Y6D9
ENSG00000002834	Q14847
ENSG00000003056	P20645
ENSG00000003756	P52756
ENSG00000004059	P84085
ENSG00000004142	Q9Y2S7
ENSG00000004455	P54819
ENSG00000004478	Q02790
ENSG00000004487	O60341
ENSG00000004700	P46063
ENSG00000004766	Q96JG6
ENSG00000004779	O14561
ENSG00000004864	Q9UJS0
ENSG00000004897	P30260
ENSG00000004961	P53701
ENSG00000004975	O14641
ENSG00000005007	Q92900,Q92900-2
ENSG00000005022	P05141
ENSG00000005075	P52435
ENSG00000005156	P49916
ENSG00000005175	Q9H6T3
ENSG00000005194	Q6FI81
ENSG00000005249	P31323
ENSG00000005339	Q92793
ENSG00000005486	Q6NTF9
ENSG00000005810	O75592-2
ENSG00000005884	P26006
ENSG00000006047	Q9Y2T7
ENSG00000006125	P63010
ENSG00000006327	Q9NP84
ENSG00000006451	P11233
ENSG00000006453	Q9UHR4
ENSG00000006530	Q53H12
ENSG00000006534	P43353
ENSG00000006625	O75223
ENSG00000006652	O00458
ENSG00000006712	Q8N7H5
ENSG00000006744	Q9BQ52
ENSG00000007080	Q96CT7
ENSG00000007168	P43034
ENSG00000007392	Q9NQ29
ENSG00000007520	Q9UJK0
ENSG00000007866	Q99594
ENSG00000007923	Q9NVH1
ENSG00000008018	P20618
ENSG00000008128	Q9UQ88,Q9UQ88-8
ENSG00000008130	O95544
ENSG00000008282	Q16563-2
ENSG00000008294	O60271,O60271-2,O60271-9
ENSG00000008311	Q9UDR5
ENSG00000008394	P10620
ENSG00000008441	Q14938-5
ENSG00000008838	O75448-2
ENSG00000008869	Q9P2D3
ENSG00000008952	Q99442
ENSG00000008988	P60866
