k	intertia
2	5092.502134398087
3	3902.3227613752133
4	3324.3391519256484
6	2640.28595785972
7	2365.617383310884
5	2896.4850723038617
8	2173.6389454795535
9	2042.614245139805
13	1679.4000965071962
10	1889.5032564397054
12	1767.8347620878617
11	1838.7593446184153
15	1513.9569392581445
14	1623.619471385815
