name PC1 PC2
MCF10A_1 -5.55164815587398 -3.88278360951385
MCF10A_2 -4.16889464337366 -6.20887404045224
MCF10A_3 -5.34134804677711 -3.57740940593253
MCF10A_4 -4.47701958633314 -6.47437455499473
MDAMB231_1 -1.71946254632031 11.8461149313267
MDAMB231_2 12.3563484059927 -1.71371075515771
MDAMB231_3 -3.38074562355348 11.2971568324607
MDAMB231_4 12.282770196239 -1.28611939773639
