ID	Transpath ID	FDR	Hit names	Hits	Master molecule name	Maximal radius	Ranks sum	Reachable total	Reached from set	Score	Z-Score	Average Intensity	Ensembl ID	Gene symbol ID	MDA_MB-231_MCF10A.baseMean	MDA_MB-231_MCF10A.bh.pval	MDA_MB-231_MCF10A.fc	MDA_MB-231_MCF10A.lfcSE	MDA_MB-231_MCF10A.raw.pval	MDA_MB-231_MCF10A.stat	UniProt ID
O94804	MO000155972	0.048	["B-Raf(h)","Calmbp1(h)","MAP7D3(h)","MAP7D3-isoform3(h)","PITPNM2(h)","PITPNM2-isoform2(h)","SRm300(h)","SRm300-isoform1(h)","TF3C-alpha(h)","TF3C-alpha-isoform2(h)","TRIO(h)","TRIO-isoform3(h)","TRIO-isoform4(h)","mki67(h)","mki67-isoform1(h)","mki67-isoform2(h)","p53(h)","p53-isoform1(h)","p53-isoform2(h)","p53-isoform4(h)","talin1(h)","zo-1(h)","zo-1-long(h)","zo-1-short(h)"]	["MO000019548","MO000031935","MO000032715","MO000038101","MO000056623","MO000057270","MO000057322","MO000057360","MO000057556","MO000079128","MO000081703","MO000094091","MO000094092","MO000101724","MO000153599","MO000153667","MO000153668","MO000153669","MO000190221","MO000190223","MO000190224","MO000199335","MO000199336","MO000214720","MO000214722","MO000218441","MO000218442","MO000257752"]	LOK(h)	9.450484	271.0	79253.0	28.0	0.33711222	1.5313752	83.2470069440279	ENSG00000072786	STK10	1767.63350154001	6.15211115076889E-5	2.16119277710524	0.257569856597197	1.58446116404262E-5	4.31660668745148	O94804
O95997	MO000044992	0.027	["B-Raf(h)","Calmbp1(h)","MAP7D3(h)","MAP7D3-isoform3(h)","PITPNM2(h)","PITPNM2-isoform2(h)","SRm300(h)","SRm300-isoform1(h)","TF3C-alpha(h)","TRIO(h)","mki67(h)","p53(h)","p53-isoform1(h)","p53-isoform2(h)","p53-isoform4(h)","talin1(h)","wnk1(h)","zo-1(h)"]	["MO000019548","MO000031935","MO000032715","MO000038101","MO000056623","MO000057270","MO000057360","MO000057556","MO000079128","MO000094091","MO000094092","MO000101724","MO000153599","MO000153669","MO000158775","MO000190221","MO000214720","MO000214722","MO000218441","MO000218442"]	securin(h)	9.986764	320.0	65104.0	20.0	0.25272107	1.6906322	3.762422121026722	ENSG00000164611	PTTG1	740.553798617034	1.93991596145726E-5	3.50121652638967	0.394146027662098	4.50160992432048E-6	4.58676774217041	O95997
P01111	MO000138647	0.025	["B-Raf(h)","Calmbp1(h)","MAP7D3(h)","MAP7D3-isoform3(h)","PITPNM2(h)","PITPNM2-isoform2(h)","SRm300(h)","SRm300-isoform1(h)","TF3C-alpha(h)","TRIO(h)","TRIO-isoform3(h)","TRIO-isoform4(h)","mki67(h)","mki67-isoform1(h)","mki67-isoform2(h)","p53(h)","p53-isoform1(h)","p53-isoform2(h)","p53-isoform4(h)","talin1(h)","zo-1(h)","zo-1-long(h)","zo-1-short(h)"]	["MO000019548","MO000031935","MO000032715","MO000038101","MO000056623","MO000057270","MO000057360","MO000057556","MO000079128","MO000081703","MO000094091","MO000094092","MO000101724","MO000153599","MO000153667","MO000153668","MO000153669","MO000190221","MO000190223","MO000190224","MO000199335","MO000199336","MO000214720","MO000214722","MO000218441","MO000218442"]	N-Ras(h)	9.126661	285.0	74550.0	26.0	0.25630552	1.8405647	283.32582319850843	ENSG00000213281	NRAS	2327.14852634008	0.0848946779538609	1.48352717777629	0.290469644184699	0.0501122530406724	1.95900455760586	P01111
P01112	MO000057028	0.025	["B-Raf(h)","Calmbp1(h)","MAP7D3(h)","MAP7D3-isoform3(h)","PITPNM2(h)","PITPNM2-isoform2(h)","SRm300(h)","SRm300-isoform1(h)","TF3C-alpha(h)","TRIO(h)","TRIO-isoform3(h)","TRIO-isoform4(h)","mki67(h)","mki67-isoform1(h)","mki67-isoform2(h)","p53(h)","p53-isoform1(h)","p53-isoform2(h)","p53-isoform4(h)","talin1(h)","zo-1(h)","zo-1-long(h)","zo-1-short(h)"]	["MO000019548","MO000031935","MO000032715","MO000038101","MO000056623","MO000057270","MO000057360","MO000057556","MO000079128","MO000081703","MO000094091","MO000094092","MO000101724","MO000153599","MO000153667","MO000153668","MO000153669","MO000190221","MO000190223","MO000190224","MO000199335","MO000199336","MO000214720","MO000214722","MO000218441","MO000218442"]	H-Ras(h)	9.969865	242.0	74895.0	26.0	0.26464027	2.0118895	298.9472738609477	ENSG00000174775	HRAS	384.73863210165	0.0193778508133534	1.79495660384383	0.32429384035915	0.00925682521249793	2.60242058223158	P01112
P01116	MO000032542,MO000032569,MO000257041	0.026333333333333334	["B-Raf(h)","Calmbp1(h)","MAP7D3(h)","MAP7D3-isoform3(h)","PITPNM2(h)","PITPNM2-isoform2(h)","SRm300(h)","SRm300-isoform1(h)","TF3C-alpha(h)","TRIO(h)","TRIO-isoform3(h)","TRIO-isoform4(h)","mki67(h)","mki67-isoform1(h)","mki67-isoform2(h)","p53(h)","p53-isoform1(h)","p53-isoform2(h)","p53-isoform4(h)","talin1(h)","zo-1(h)","zo-1-long(h)","zo-1-short(h)"]	["MO000019548","MO000031935","MO000032715","MO000038101","MO000056623","MO000057270","MO000057360","MO000057556","MO000079128","MO000081703","MO000094091","MO000094092","MO000101724","MO000153599","MO000153667","MO000153668","MO000153669","MO000190221","MO000190223","MO000190224","MO000199335","MO000199336","MO000214720","MO000214722","MO000218441","MO000218442"]	K-Ras A(h),K-Ras-2B(h),K-Ras2 B(h)	9.976599	295.3333333333333	73250.0	26.0	0.24835799333333333	1.8508426333333332	194.389901361462	ENSG00000133703	KRAS	948.685773893686	2.18744967061814E-4	-1.64308809800185	0.179067860705416	6.31359411203909E-5	-4.0007728522592	P01116-2
P04637	MO000019548,MO000056623,MO000057270,MO000057556	0.004	["B-Raf(h)","Calmbp1(h)","MAP7D3(h)","MAP7D3-isoform3(h)","PITPNM2(h)","PITPNM2-isoform2(h)","SRm300(h)","SRm300-isoform1(h)","TF3C-alpha(h)","TF3C-alpha-isoform2(h)","TRIO(h)","TRIO-isoform3(h)","TRIO-isoform4(h)","mki67(h)","mki67-isoform1(h)","mki67-isoform2(h)","p53(h)","p53-isoform1(h)","p53-isoform2(h)","p53-isoform4(h)","talin1(h)","wnk1(h)","wnk1-isoform2(h)","zo-1(h)","zo-1-long(h)","zo-1-short(h)"]	["MO000019548","MO000031935","MO000032715","MO000038101","MO000056623","MO000057270","MO000057322","MO000057360","MO000057556","MO000079128","MO000081703","MO000094091","MO000094092","MO000101724","MO000153599","MO000153667","MO000153668","MO000153669","MO000158775","MO000158776","MO000190221","MO000190223","MO000190224","MO000199335","MO000199336","MO000214720","MO000214722","MO000218441","MO000218442","MO000257752"]	p53(h),p53-isoform1(h),p53-isoform2(h),p53-isoform4(h)	9.60212325	90.5	73411.5	28.5	0.354047975	2.9991376499999998	204.22253568233248	ENSG00000141510	TP53	1237.74066869003	0.00156423807645559	1.81612598838553	0.249350004696297	5.55554567340117E-4	3.45243341729068	P04637
P05067	MO000037770	0.029	["B-Raf(h)","Calmbp1(h)","MAP7D3(h)","MAP7D3-isoform3(h)","PITPNM2(h)","PITPNM2-isoform2(h)","SRm300(h)","SRm300-isoform1(h)","TRIO(h)","mki67(h)","p53(h)","p53-isoform1(h)","p53-isoform2(h)","p53-isoform4(h)","talin1(h)","wnk1(h)","zo-1(h)"]	["MO000019548","MO000031935","MO000032715","MO000038101","MO000056623","MO000057270","MO000057556","MO000079128","MO000094091","MO000094092","MO000101724","MO000153599","MO000153669","MO000158775","MO000190221","MO000214720","MO000214722","MO000218441","MO000218442"]	APP695(h)	9.98487	371.0	48911.0	19.0	0.20001468	1.797747	46.849521504288965	ENSG00000142192	APP	9397.53271806045	0.0714633621228867	-1.43588430203708	0.25554724385551	0.0411080626958604	-2.04243841265398	P05067
P12830	MO000016977,MO000081716	0.028	["B-Raf(h)","Calmbp1(h)","MAP7D3(h)","MAP7D3-isoform3(h)","PITPNM2(h)","PITPNM2-isoform2(h)","SRm300(h)","SRm300-isoform1(h)","TF3C-alpha(h)","TF3C-alpha-isoform2(h)","TRIO(h)","TRIO-isoform3(h)","TRIO-isoform4(h)","mki67(h)","mki67-isoform1(h)","mki67-isoform2(h)","p53(h)","p53-isoform1(h)","p53-isoform2(h)","p53-isoform4(h)","talin1(h)","wnk1(h)","wnk1-isoform2(h)","zo-1(h)","zo-1-long(h)","zo-1-short(h)"]	["MO000019548","MO000031935","MO000032715","MO000038101","MO000056623","MO000057270","MO000057322","MO000057360","MO000057556","MO000079128","MO000081703","MO000094091","MO000094092","MO000101724","MO000153599","MO000153667","MO000153668","MO000153669","MO000158775","MO000158776","MO000190221","MO000190223","MO000190224","MO000199335","MO000199336","MO000214720","MO000214722","MO000218441","MO000218442","MO000257752"]	E-cadherin(h)	9.711697000000001	239.5	68217.5	26.0	0.31233516	1.8363999999999998	NaN	ENSG00000039068	CDH1	53.3653756989742	1.76236079947477E-4	13.2631589011354	0.919408344886492	4.98663219836159E-5	4.05625263275958	
P13010	MO000031220	0.036	["B-Raf(h)","Calmbp1(h)","MAP7D3(h)","MAP7D3-isoform3(h)","PITPNM2(h)","PITPNM2-isoform2(h)","SRm300(h)","SRm300-isoform1(h)","TF3C-alpha(h)","TRIO(h)","TRIO-isoform3(h)","TRIO-isoform4(h)","mki67(h)","mki67-isoform1(h)","mki67-isoform2(h)","p53(h)","p53-isoform1(h)","p53-isoform2(h)","p53-isoform4(h)","talin1(h)","wnk1(h)","zo-1(h)"]	["MO000019548","MO000031935","MO000032715","MO000038101","MO000056623","MO000057270","MO000057360","MO000057556","MO000079128","MO000094091","MO000094092","MO000101724","MO000153599","MO000153667","MO000153668","MO000153669","MO000158775","MO000190221","MO000190223","MO000190224","MO000214720","MO000214722","MO000218441","MO000218442"]	Ku80(h)	9.721378	242.0	67343.0	24.0	0.27326593	1.957791	1698.1082080243405	ENSG00000079246	XRCC5	6867.575359545	0.741846627463201	1.07623951478699	0.246049905922674	0.666611190457018	0.430803588013211	P13010
P15056	MO000031935,MO000079128	5.0E-4	["B-Raf(h)","Calmbp1(h)","MAP7D3(h)","MAP7D3-isoform3(h)","PITPNM2(h)","PITPNM2-isoform2(h)","SRm300(h)","SRm300-isoform1(h)","TBP-1(h)","TF3C-alpha(h)","TF3C-alpha-isoform2(h)","TRIO(h)","TRIO-isoform3(h)","TRIO-isoform4(h)","mki67(h)","mki67-isoform1(h)","mki67-isoform2(h)","p53(h)","p53-isoform1(h)","p53-isoform2(h)","p53-isoform4(h)","talin1(h)","zo-1(h)","zo-1-long(h)","zo-1-short(h)"]	["MO000019548","MO000031935","MO000032715","MO000038101","MO000044636","MO000056623","MO000057270","MO000057322","MO000057360","MO000057556","MO000079128","MO000081703","MO000094091","MO000094092","MO000101724","MO000153599","MO000153667","MO000153668","MO000153669","MO000190221","MO000190223","MO000190224","MO000199335","MO000199336","MO000214720","MO000214722","MO000218441","MO000218442","MO000257752"]	B-Raf(h)	9.103985000000002	27.0	81822.5	27.5	0.45103196	4.2050084000000005	9.7570357868696	ENSG00000157764	BRAF	183.884292786363	0.0636278902504767	1.3466642707092	0.204730366399811	0.0359630395071753	2.09734507389203	P15056
