TF,symbol,gene
V.NFKB_Q6_01,RELA,SMAD2
V.NFKB_Q6_01,RELA,SRPK1
V.NFKB_Q6_01,RELA,FN1
V.NFKB_Q6_01,RELA,CCNA2
V.NFKB_Q6_01,RELA,SNRPD2
V.NFKB_Q6_01,RELA,PPM1D
V.NFKB_Q6_01,RELA,CHUK
V.NFKB_Q6_01,RELA,SCAMP1
V.NFKB_Q6_01,RELA,SHC1
V.NFKB_Q6_01,RELA,CDC20
V.NFKB_Q6_01,RELA,TPX2
V.NFKB_Q6_01,RELA,PIAS3
V.NFKB_Q6_01,RELA,PIAS4
V.NFKB_Q6_01,RELA,TEC
V.NFKB_Q6_01,RELA,HMGA2
V.NFKB_Q6_01,RELA,HUWE1
V.NFKB_Q6_01,RELA,PRKACA
V.NFKB_Q6_01,RELA,RRM2B
V.NFKB_Q6_01,RELA,MAPK8
V.NFKB_Q6_01,RELA,HMGB2
V.NFKB_Q6_01,RELA,CAV1
V.NFKB_Q6_01,RELA,PRPF40A
V.NFKB_Q6_01,RELA,PML
V.NFKB_Q6_01,RELA,PTPN11
V.NFKB_Q6_01,RELA,CDK2
V.NFKB_Q6_01,RELA,CDK1
V.NFKB_Q6_01,RELA,ANXA1
V.NFKB_Q6_01,RELA,LRP1
V.NFKB_Q6_01,RELA,ITGA5
V.NFKB_Q6_01,RELA,PIAS1
V.NFKB1_Q4,RELA,CREBBP
V.NFKB1_Q4,RELA,GRB2
V.NFKB1_Q4,RELA,CSNK2A1
V.NFKB1_Q4,RELA,TOP2A
V.NFKB1_Q4,RELA,THBS1
V.NFKB1_Q4,RELA,FZR1
V.NFKB1_Q4,RELA,PTTG1
V.NFKB1_Q4,RELA,EGFR
V.NFKB1_Q4,RELA,TBP
V.NFKB1_Q4,RELA,PIAS1
V.NFKB1_Q4,RELA,PRKDC
V.NFKB1_Q4,RELA,SNRPA
V.NFKB1_Q4,RELA,BUB1
V.NFKB1_Q4,RELA,CDC27
V.NFKB1_Q4,RELA,PIAS3
V.NFKB1_Q4,RELA,HTT
V.NFKB1_Q4,RELA,SNRPD2
V.NFKB1_Q4,RELA,LRP1
V.NFKB1_Q4,RELA,ANAPC10
V.NFKB1_Q4,RELA,SNRNP70
V.NFKB1_Q4,RELA,NDC80
V.NFKB1_Q4,RELA,BRCA1
V.NFKB1_Q4,RELA,PRKCA
V.NFKB1_Q4,RELA,CBL
V.NFKB1_Q4,RELA,CDC16
V.NFKB1_Q4,RELA,RB1
V.NFKB1_Q4,RELA,DDX5
V.NFKB1_Q4,RELA,ARIH2
V.NFKB1_Q4,RELA,TP53
V.NFKB1_Q4,RELA,YWHAG
V.NFKB1_Q4,RELA,MOCOS
V.NFKB1_Q4,RELA,SKIL
V.NFKB1_Q4,RELA,STAT3
V.NFKB1_Q4,RELA,JAK2
V.NFKB1_Q4,RELA,PPM1D
V.NFKB1_Q4,RELA,CHUK
V.NFKB1_Q4,RELA,HUWE1
V.NFKB1_Q4,RELA,TGFA
V.NFKB1_Q4,RELA,PSMC2
V.NFKB1_Q4,RELA,CDC20
V.NFKB1_Q4,RELA,ICAM1
V.NFKB1_Q4,RELA,PIAS4
V.NFKB1_Q4,RELA,EP300
V.NFKB1_Q4,RELA,RRM2B
V.NFKB1_Q4,RELA,COL13A1
V.NFKB1_Q4,RELA,NMT2
V.NFKB1_Q4,RELA,HMGA2
V.NFKB1_Q4,RELA,MAD2L1
V.NFKB1_Q4,RELA,SHC1
V.NFKB1_Q4,RELA,SCAMP1
V.NFKB1_Q4,RELA,SMAD2
V.NFKB1_Q4,RELA,PML
V.NFKB1_Q4,RELA,NFKB1
V.NFKB1_Q4,RELA,CAV1
V.NFKB1_Q4,RELA,ARID3A
V.NFKB1_Q4,RELA,FN1
V.NFKB1_Q4,RELA,PRPF40A
V.NFKB1_Q4,RELA,TPX2
V.NFKB1_Q4,RELA,PRKACA
V.NFKB1_Q4,RELA,TEC
V.NFKB1_Q4,RELA,CDK2
V.NFKB1_Q4,RELA,PTPN11
V.NFKB1_Q4,RELA,HMGB2
V.NFKB1_Q4,RELA,AURKA
V.NFKB1_Q4,RELA,ITGA5
V.NFKB1_Q4,RELA,MAPK8
V.NFKB1_Q4,RELA,TAF1B
V.NFKB1_Q4,RELA,SOCS5
V.NFY_01,NFYC,CSNK2A1
V.NFY_01,NFYC,CREBBP
V.NFY_01,NFYC,SRPK1
V.NFY_01,NFYC,CDC16
V.NFY_01,NFYC,TGFA
V.NFY_01,NFYC,CBL
V.NFY_01,NFYC,RRM2B
V.NFY_01,NFYC,SHC1
V.NFY_01,NFYC,TPX2
V.NFY_01,NFYC,IL4R
V.NFY_01,NFYC,PPM1D
V.NFY_01,NFYC,TAF1B
V.NFY_01,NFYC,COL13A1
V.NFY_01,NFYC,CCNA2
V.NFY_01,NFYC,TEC
V.NFY_01,NFYC,SCAMP1
V.NFY_01,NFYC,CDK2
V.NFY_01,NFYC,SKIL
V.NFY_01,NFYC,SNRNP70
V.NFY_01,NFYC,PIAS3
V.NFY_01,NFYC,NFKB1
V.NFY_01,NFYC,HTT
V.NFY_01,NFYC,PTTG1
V.NFY_01,NFYC,FZR1
V.NFY_01,NFYC,MAPK8
V.NFY_01,NFYC,MOCOS
V.NFY_01,NFYC,PRKACA
V.NFY_01,NFYC,SMAD2
V.NFY_01,NFYC,BUB1
V.NFY_01,NFYC,ANAPC10
V.NFY_01,NFYC,NDC80
V.NFY_01,NFYC,HUWE1
V.NFY_01,NFYC,GRB2
V.NFY_01,NFYC,EP300
V.NFY_01,NFYC,NMT2
V.NFY_01,NFYC,JAK2
V.NFY_01,NFYC,CDK1
V.NFY_01,NFYC,SNRPD2
V.NFY_01,NFYC,SNRPA
V.NFY_01,NFYC,PIAS4
V.NFY_01,NFYC,TP53
V.NFY_01,NFYC,AURKA
V.NFY_01,NFYC,PIAS1
V.NFY_01,NFYC,BRCA1
V.NFY_01,NFYC,DDX5
V.NFY_01,NFYC,HMGB2
V.NFY_01,NFYC,CHUK
V.NFY_01,NFYC,CDC27
V.NFY_01,NFYC,PTPN11
V.NFY_01,NFYC,CDC20
V.NFY_01,NFYC,LRP1
V.NFY_01,NFYC,SOCS5
V.NFY_01,NFYC,FN1
V.NFY_01,NFYC,PRKDC
V.NFY_01,NFYC,PRPF40A
V.NFY_01,NFYC,PML
V.NFY_01,NFYC,PSMC2
V.NFY_01,NFYC,MAD2L1
V.NFY_01,NFYC,THBS1
V.NFY_01,NFYC,YWHAG
V.NFY_01,NFYC,ANXA1
V.NFY_01,NFYC,CKAP5
V.NFY_01,NFYC,CAV1
V.NFY_01,NFYC,STAT3
V.NFY_01,NFYC,HDAC1
V.NFY_01,NFYC,RB1
V.NFY_01,NFYC,EGFR
V.NFY_01,NFYC,TBP
V.NFY_01,NFYC,ITGA5
V.NFY_01,NFYC,ARIH2
V.NFY_01,NFYC,ICAM1
V.NFY_01,NFYC,TOP2A
V.NFY_C,NFYC,BRCA1
V.NFY_C,NFYC,SMAD2
V.NFY_C,NFYC,FN1
V.NFY_C,NFYC,TAF1B
V.NFY_C,NFYC,COL13A1
V.NFY_C,NFYC,PRKCA
V.NFY_C,NFYC,PIAS3
V.NFY_C,NFYC,SCAMP1
V.NFY_C,NFYC,CSNK2A1
V.NFY_C,NFYC,CDC16
V.NFY_C,NFYC,CAV1
V.NFY_C,NFYC,CCNA2
V.NFY_C,NFYC,SHC1
V.NFY_C,NFYC,NFKB1
V.NFY_C,NFYC,SKIL
V.NFY_C,NFYC,ARID3A
V.NFY_C,NFYC,TP53
V.NFY_C,NFYC,FZR1
