TF,symbol,gene
V.ETS_Q6,TCF7L2,CAV1
V.ETS_Q6,TCF7L2,PIAS3
V.ETS_Q6,TCF7L2,PPM1D
V.ETS_Q6,TCF7L2,PRPF40A
V.ETS_Q6,TCF7L2,CDK2
V.ETS_Q6,TCF7L2,SNRPD2
V.ETS_Q6,TCF7L2,SMAD2
V.ETS_Q6,TCF7L2,CCNA2
V.ETS_Q6,TCF7L2,NMT2
V.ETS_Q6,TCF7L2,TGFA
V.ETS_Q6,TCF7L2,ANAPC10
V.ETS_Q6,TCF7L2,AURKA
V.ETS_Q6,TCF7L2,STAT3
V.ETS_Q6,TCF7L2,MOCOS
V.ETS_Q6,TCF7L2,SRPK1
V.ETS_Q6,TCF7L2,PRKCA
V.ETS_Q6,TCF7L2,NFKB1
V.ETS_Q6,TCF7L2,HMGB2
V.ETS_Q6,TCF7L2,CDK1
V.ETS_Q6,TCF7L2,PIAS1
V.ETS_Q6,TCF7L2,NDC80
V.ETS_Q6,TCF7L2,CSNK2A1
V.ETS_Q6,TCF7L2,TP53
V.ETS_Q6,TCF7L2,TPX2
V.ETS_Q6,TCF7L2,ICAM1
V.ETS_Q6,TCF7L2,PSMC2
V.ETS_Q6,TCF7L2,IL4R
V.ETS_Q6,TCF7L2,ITGA5
V.ETS_Q6,TCF7L2,CDC20
V.ETS_Q6,TCF7L2,MAD2L1
V.ETS_Q6,TCF7L2,THBS1
V.ETS_Q6,TCF7L2,HMGA2
V.ETS_Q6,TCF7L2,TEC
V.ETS_Q6,TCF7L2,SHC1
V.ETS_Q6,TCF7L2,TAF1B
V.ETS_Q6,TCF7L2,MAPK8
V.ETS_Q6,TCF7L2,YWHAG
V.ETS_Q6,TCF7L2,GRB2
V.ETS_Q6,TCF7L2,RB1
V.ETS_Q6,TCF7L2,TOP2A
V.ETS_Q6,TCF7L2,TBP
V.ETS_Q6,TCF7L2,PRKACA
V.ETS_Q6,TCF7L2,HDAC1
V.ETS_Q6,TCF7L2,SNRPA
V.ETS_Q6,TCF7L2,ANXA1
V.ETS_Q6,TCF7L2,CREBBP
V.ETS_Q6,TCF7L2,BUB1
V.ETS_Q6,TCF7L2,FN1
V.ETS_Q6,TCF7L2,EGFR
V.ETS_Q6,TCF7L2,LRP1
V.ETS_Q6,TCF7L2,ARIH2
V.ETS_Q6,TCF7L2,EP300
V.ETS_Q6,TCF7L2,FZR1
V.ETS_Q6,TCF7L2,CDC16
V.ETS_Q6,TCF7L2,RRM2B
V.ETS_Q6,TCF7L2,PIAS4
V.ETS_Q6,TCF7L2,COL13A1
V.ETS_Q6,TCF7L2,CKAP5
V.ETS_Q6,TCF7L2,PTTG1
V.ETS_Q6,TCF7L2,JAK2
V.ETS_Q6,TCF7L2,CDC27
V.ETS_Q6,TCF7L2,HTT
V.ETS_Q6,TCF7L2,PRKDC
V.FOSJUN_02,JUN,PSMC2
V.FOSJUN_02,JUN,LRP1
V.FOSJUN_02,JUN,JAK2
V.FOSJUN_02,JUN,PTPN11
V.FOSJUN_02,JUN,SOCS5
V.FOSJUN_02,JUN,SRPK1
V.FOSJUN_02,JUN,SNRPA
V.FOSJUN_02,JUN,MAD2L1
V.FOSJUN_02,JUN,PTTG1
V.FOSJUN_02,JUN,CHUK
V.FOSJUN_02,JUN,ANAPC10
V.JUNBJUN_01,JUN,PTTG1
V.JUNBJUN_01,JUN,SOCS5
V.JUNBJUN_01,JUN,ANAPC10
V.JUNBJUN_01,JUN,PTPN11
V.JUNBJUN_01,JUN,CHUK
V.JUNFOSB_01,JUN,PTTG1
V.JUNFOSB_01,JUN,ANAPC10
V.JUNFOSB_01,JUN,CHUK
V.JUNFOSB_01,JUN,SOCS5
V.JUNFOSB_01,JUN,PTPN11
V.JUNFRA1_01,JUN,PSMC2
V.JUNFRA1_01,JUN,PTTG1
V.JUNFRA1_01,JUN,LRP1
V.JUNFRA1_01,JUN,CHUK
V.JUNFRA1_01,JUN,SOCS5
V.JUNFRA1_01,JUN,PTPN11
V.JUNFRA1_01,JUN,ANAPC10
V.JUNFRA2_01,JUN,LRP1
V.JUNFRA2_01,JUN,SOCS5
V.JUNFRA2_01,JUN,CHUK
V.JUNFRA2_01,JUN,ANAPC10
V.JUNFRA2_01,JUN,PTTG1
V.JUNFRA2_01,JUN,PTPN11
V.MYCMAX_B,MYC,SKIL
V.MYCMAX_B,MYC,SCAMP1
V.MYCMAX_B,MYC,MAPK8
V.MYCMAX_B,MYC,SNRPD2
V.MYCMAX_B,MYC,CBL
V.MYCMAX_B,MYC,MOCOS
V.MYCMAX_B,MYC,TP53
V.MYCMAX_B,MYC,CREBBP
V.MYCMAX_B,MYC,SNRPA
V.MYCMAX_B,MYC,CDC16
V.MYCMAX_B,MYC,NMT2
V.MYCMAX_B,MYC,HTT
V.MYCMAX_B,MYC,FZR1
V.MYCMAX_B,MYC,SOCS5
V.MYCMAX_B,MYC,CSNK2A1
V.MYCMAX_B,MYC,PIAS4
V.MYCMAX_B,MYC,PSMC2
V.MYCMAX_B,MYC,CKAP5
V.MYCMAX_B,MYC,LRP1
V.MYCMAX_B,MYC,STAT3
V.MYCMAX_B,MYC,ICAM1
V.MYCMAX_B,MYC,ANAPC10
V.MYCMAX_B,MYC,ARID3A
V.MYCMAX_B,MYC,IL4R
V.MYCMAX_B,MYC,THBS1
V.MYCMAX_B,MYC,PRKCA
V.MYCMAX_B,MYC,EGFR
V.MYOGNF1_01,NFIC,CBL
V.MYOGNF1_01,NFIC,CDK1
V.MYOGNF1_01,NFIC,PRKACA
V.MYOGNF1_01,NFIC,TP53
