k inertia
2 1988081.405471888
5 1849630.777887993
6 1815193.8009923017
8 1768862.3032047218
3 1922347.8374278233
7 1789845.1457712846
4 1856569.3679253682
12 1699975.9569904334
15 1638901.3873791702
10 1758418.7202477518
9 1778111.313456623
13 1734964.5016793916
14 1676085.570684325
11 1746890.081352618
