ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value
V$ASCL1_02	0.10227272727272727	0.0032819166393173614	31.162499999999998	0.9989	1.1375555351788616E-5
V$CPHX_01	0.07954545454545454	0.0032819166393173614	24.2375	0.9629	1.8249714890193757E-4
V$ASCL2_07	0.13636363636363638	0.006563833278634723	20.775000000000002	0.9949	9.183050377483685E-7
V$ASCL2_09	0.125	0.006563833278634723	19.04375	0.9955	3.525471564150735E-6
V$ETV5HOXA2_01	0.056818181818181816	0.0032819166393173614	17.3125	0.9019	0.0027573303633136783
V$GATA5_10	0.056818181818181816	0.0032819166393173614	17.3125	0.914	0.0027573303633136783
V$ZFP710_02	0.056818181818181816	0.0032819166393173614	17.3125	0.8231	0.0027573303633136783
V$ZNF710_02	0.056818181818181816	0.0032819166393173614	17.3125	0.8231	0.0027573303633136783
V$ATOH1_07	0.04545454545454545	0.0032819166393173614	13.849999999999998	0.9844	0.01034800198649155
V$EVX2_05	0.04545454545454545	0.0032819166393173614	13.849999999999998	0.9937	0.01034800198649155
V$HOXB2ELF1_01	0.04545454545454545	0.0032819166393173614	13.849999999999998	0.9491	0.01034800198649155
V$RARA_17	0.0909090909090909	0.006563833278634723	13.849999999999998	0.9479	1.8364561692094927E-4
V$RARB_05	0.0909090909090909	0.006563833278634723	13.849999999999998	0.8907	1.8364561692094927E-4
V$TCF21_01	0.04545454545454545	0.0032819166393173614	13.849999999999998	0.9929	0.01034800198649155
V$ZNF615_03	0.04545454545454545	0.0032819166393173614	13.849999999999998	0.7892	0.01034800198649155
V$ZNF718_03	0.04545454545454545	0.0032819166393173614	13.849999999999998	0.9447	0.01034800198649155
V$RARG_08	0.07954545454545454	0.006563833278634723	12.11875	0.8936	6.608336832290459E-4
V$NHLH1_05	0.11363636363636363	0.009845749917952083	11.541666666666668	0.8761	4.6185233558407524E-5
V$CTIP2_03	0.034090909090909095	0.0032819166393173614	10.387500000000001	0.8307	0.03744669949447811
V$FOXJ3_10	0.034090909090909095	0.0032819166393173614	10.387500000000001	0.9059	0.03744669949447811
V$HB24_01	0.06818181818181819	0.006563833278634723	10.387500000000001	0.9163	0.0023170739186256133
V$HNF1B_08	0.034090909090909095	0.0032819166393173614	10.387500000000001	0.868	0.03744669949447811
V$MAX_Q6	0.034090909090909095	0.0032819166393173614	10.387500000000001	0.9896	0.03744669949447811
V$P300_01	0.06818181818181819	0.006563833278634723	10.387500000000001	0.9933	0.0023170739186256133
V$POU4F2_02	0.034090909090909095	0.0032819166393173614	10.387500000000001	0.9909	0.03744669949447811
V$POU4F3_05	0.034090909090909095	0.0032819166393173614	10.387500000000001	0.9412	0.03744669949447811
V$PRDM16_02	0.034090909090909095	0.0032819166393173614	10.387500000000001	0.9753	0.03744669949447811
V$PRDM9_01	0.034090909090909095	0.0032819166393173614	10.387500000000001	0.9888	0.03744669949447811
V$PREP1_Q3	0.034090909090909095	0.0032819166393173614	10.387500000000001	0.9887	0.03744669949447811
