ID	#Yes sites per 1K	#No sites per 1K	Adj. site FE	Site P-value	Site FDR	Site cutoff	%Yes seq	%No seq	Adj. seq FE	Seq P-value	Seq FDR	Seq cutoff
V$POU4F2_01	0.4055299539170507	0.22298201278430207	1.0726610530719796	1.41882490952992E-4	7.058148983857976E-4	0.7392392392392393	100.0	99.53917050691244	0.6197391984576991	0.008605662612682878	0.06962635037981367	0.5255255255255256
V$POU4F3_02	0.7741935483870968	0.4289749198326573	1.1502338448502458	2.8220838352521744E-7	5.0701697546305275E-6	0.7973986993496749	100.0	98.15668202764977	0.6281700475279637	0.007198687823843912	0.06703049326619165	0.6508254127063532
V$POU6F1_07	0.562175374274366	0.26610685668667394	1.292014920467922	8.327913435760467E-8	1.7822347099103557E-6	0.85	100.0	100.0	0.6169790090731271	0.007554029132901859	0.06703049326619165	0.537
V$POU6F2_02	0.4827375496486404	0.26610685668667394	1.0974614701477594	3.615449943044081E-5	2.388823395965902E-4	0.8561438561438561	100.0	99.07834101382488	0.6225242093028966	0.030858864405467933	0.11677038964798225	0.6503496503496503
V$POU6F2_03	0.6782768102658112	0.4076081217502228	1.051076963294315	1.9967246220692842E-5	1.5293334243506978E-4	0.8622754491017964	100.0	99.53917050691244	0.6197391984576991	0.016717021787286738	0.09085880842557992	0.6701596806387226
V$PROP1_02	0.9102091020910209	0.45062662608192905	1.3002133128498274	1.2813985574257506E-10	6.0642447177034915E-9	0.7948974487243622	98.66666666666667	98.61751152073732	0.616306952792122	0.0037125411329092255	0.05723098642618418	0.6528264132066033
V$PRRX1_02	0.609942055504727	0.3773489444770028	1.0112616048562526	1.1161051708950728E-4	5.878476776490318E-4	0.96	100.0	100.0	0.6169790090731271	0.05216589508856373	0.1497325815140678	0.74
V$PSX1_01	0.7564575645756457	0.37197952624687536	1.286765703378211	3.2510532081256777E-9	1.0241225581627288E-7	0.8289276807980049	66.66666666666667	42.3963133640553	0.8954653158232212	2.2389516277362037E-4	0.04358951407940118	0.8249376558603492
V$RAX2_01	0.609942055504727	0.3752408498151201	1.0167035564363096	9.558801333798438E-5	5.195311163775976E-4	0.9650174912543729	100.0	100.0	0.6169790090731271	0.04598640589104899	0.1422284735521095	0.7496251874062968
V$RAX_01	0.4612546125461255	0.23806689679800025	1.1594393066677287	1.1298982052965741E-5	9.817120211664913E-5	0.8736263736263736	100.0	99.53917050691244	0.6197391984576991	0.0051211497611238915	0.06216144405485488	0.6783216783216783
