k	inertia
4	3499.686336415953
2	5058.096853968084
8	2338.209787703112
3	3985.02436255057
11	1852.663472932204
7	2617.2527549277524
15	1564.6900600269853
5	3199.137023968297
10	2025.5366554275104
6	2869.751828576764
9	2143.2474697046046
13	1693.5838293735499
14	1629.6970455315532
12	1792.7405371674095
