ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value
V$ZNF562_01	8.032700421940929	6.359807460890494	1.2630414476126606	0.7674	2.496493414895112E-9
V$SP5_02	13.723628691983121	10.866425992779783	1.2629385872688785	0.8018	9.919911994386188E-15
V$PLAG1_02	12.035864978902953	9.530685920577618	1.2628540148318628	0.7504	3.98345298139464E-13
V$ZIC1_04	5.622362869198312	4.452466907340554	1.2627523092712964	0.7495	5.299547725160061E-7
V$ZNF57_02	2.7426160337552745	2.1720818291215402	1.2626669939338688	0.7719	3.5004263588560893E-4
V$EBF1_03	4.588607594936709	3.6341756919374246	1.26262679185179	0.7561	5.363011176392802E-6
V$PEBP2B_Q6	0.8280590717299579	0.6558363417569193	1.2626001625827432	0.9314	0.034572002111867964
V$HIC1_02	4.261603375527426	3.375451263537906	1.2625284866535798	0.9402	1.1231081351212255E-5
V$SP1_Q2_01	26.434599156118143	20.938628158844764	1.2624799941801252	0.8019	1.2758303756192247E-26
V$ZNF419_04	4.572784810126582	3.6221419975932614	1.2624532150216576	0.6687	5.619404369753826E-6
V$HNF4_Q6_03	1.139240506329114	0.9025270758122744	1.2622784810126582	1.0	0.01577772967006062
V$ZNF647_03	9.272151898734176	7.346570397111913	1.2621061798276987	0.6654	1.8462616260884837E-10
V$AIOLOS_03	3.270042194092827	2.593261131167268	1.2609768275132898	0.9636	1.1339732821566088E-4
V$ZNF454_06	7.389240506329114	5.860409145607702	1.2608745093962	0.7216	1.2907803133408396E-8
V$ZNF778_02	3.8765822784810124	3.074608904933815	1.2608375238425522	0.7595	2.9320997233612606E-5
V$FXR_02	4.4831223628691985	3.555956678700361	1.260735933517531	0.747	7.660820915951664E-6
V$FXR_03	4.4831223628691985	3.555956678700361	1.260735933517531	0.747	7.660820915951664E-6
V$SP2_11	13.887130801687764	11.01684717208183	1.2605358488479008	0.6994	1.1022084915893282E-14
V$ZNF19_01	1.4029535864978904	1.1131167268351385	1.2603831679781046	0.8005	0.008599420488776292
V$EVI1_02	0.6065400843881857	0.4813477737665463	1.260087025316456	0.8162	0.06392529819418356
V$SPIB_03	0.8491561181434599	0.6738868832731648	1.2600870253164558	0.977	0.03386416125344484
V$ZNF642_01	0.7278481012658228	0.5776173285198556	1.2600870253164558	0.777	0.04632584203943159
V$EBF1_09	4.003164556962025	3.176895306859206	1.2600870253164556	0.8167	2.3076769272137084E-5
V$ZBTB8B_01	3.7974683544303796	3.0144404332129966	1.2597589630864852	0.7996	3.708837179787006E-5
V$ZNF675_02	8.275316455696203	6.5703971119133575	1.2594849770482681	0.7512	2.205359628490191E-9
V$ZNF260_02	0.9546413502109705	0.7581227436823105	1.259217400040185	0.6701	0.026267663176255018
V$ZFP786_01	0.8333333333333334	0.6618531889290012	1.259090909090909	0.801	0.035732451973552015
V$SPI1_08	0.7120253164556962	0.5655836341756919	1.2589213573929439	0.8505	0.04894231222416786
V$TRPS1_Q3	0.590717299578059	0.4693140794223826	1.2586822460240181	0.8346	0.06764837558925778
V$SP1_09	24.261603375527425	19.27797833935018	1.2585138829627522	0.7904	5.1583012291214805E-24
V$ZNF580_01	14.425105485232066	11.462093862815884	1.2585052659556795	0.7862	5.205989966302524E-15
V$ZNF580_02	14.425105485232066	11.462093862815884	1.2585052659556795	0.7862	5.205989966302524E-15
V$MTF1_Q4	4.050632911392405	3.2190132370637783	1.258346149296108	0.7661	2.2957699731086466E-5
V$MYF5_Q6	1.1656118143459915	0.9265944645006017	1.257952490547427	0.8613	0.015972411077051333
V$ZNF596_01	2.505274261603376	1.9915764139590855	1.257935293892692	0.7506	7.192183690682705E-4
