Gene_Symbol	MCF10A.mean	MDA_MB-231.mean	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB-231_1	N_MDA_MB-231_2	N_MDA_MB-231_3	N_MDA_MB-231_4
ADM	8.347078542	8.608297796	8.34731602	8.45116657	8.28950574	8.49185435	8.38598415	8.65488492	8.4045021	8.71279464
ADORA1	4.029164263	2.962729955	3.67485462	3.73137703	3.42374186	3.90178866	3.31225199	3.48596443	3.2135483	3.3631661
ADORA2B	5.374509134	9.806304218	6.71136648	6.78124948	6.66368412	6.79143436	9.08295872	9.25702332	8.97956797	9.19681052
PARP1	12.11496443	11.58207075	11.88498278	12.11492955	11.88128187	12.07615896	11.32437704	11.93966888	11.34699825	11.92481887
PARP4	11.17237001	11.70066371	11.42463019	11.09854383	11.43224036	11.10176836	11.69660925	11.4815164	11.67188412	11.49677833
ADRA1B	6.385974139	6.977182853	6.6112655	6.37695818	6.55850976	6.51560699	7.00644038	6.68708275	6.99313917	6.62177258
ADRB1	2.341957251	1.518436098	2.07795148	2.03226037	2.00216127	1.98226555	1.92608557	1.76632941	2.03947916	1.77446385
ADRB2	8.582618066	7.904075911	8.21577776	8.64251586	8.1784834	8.58159399	7.82132986	8.35867112	7.62912827	8.15969688
GRK2	8.694868136	9.323172181	8.85064191	8.88483363	8.77038489	8.81463949	9.19622055	9.23961652	9.11384735	9.23733947
GRK3	6.712238465	6.953055708	6.56743832	6.9111224	6.78224528	6.75431987	6.66908078	7.04699752	6.85555282	6.96370005
ADSL	9.673400137	10.75848969	9.77038187	10.01126282	9.76263917	10.05485366	10.44314546	10.6278116	10.44226966	10.6606806
ADSS	11.31395848	10.65816562	11.23066391	11.10157001	11.27388902	11.12564964	10.73063763	10.82044834	10.76716202	10.86480105
AP2A1	10.82305528	10.99355512	10.89504359	10.84493585	10.85085561	10.83971721	11.01794368	10.921852	10.97507343	10.91691861
AP2A2	10.30070097	10.04207009	10.34621472	10.20073066	10.2912104	10.13474908	10.15158921	10.05157477	10.16970054	9.99415187
AP1B1	10.39045322	10.06265823	10.18083453	10.46611365	10.14478829	10.44098305	10.05625519	10.21199685	9.9860204	10.23099893
AP2B1	12.37589247	12.82814421	12.40891643	12.54208357	12.40109205	12.51962614	12.72866696	12.7276129	12.74719049	12.75105895
AP1G1	9.880526265	10.33882449	9.98021955	9.95149606	9.98815919	9.98951606	10.17217852	10.34831383	10.21733934	10.23975121
AES	12.0432559	10.78675645	11.91675225	11.71455193	11.90759986	11.65282589	11.18913069	10.91986865	11.17920265	10.92259935
AFG3L1P	6.272466166	6.470802384	6.41186369	6.19329751	6.28481661	6.29190073	6.1042878	6.71134424	6.02316729	6.60554503
AGA	7.824935715	8.056033099	7.95996734	7.74585287	7.99153493	7.70459726	8.20952293	7.62358289	8.24627086	7.73975998
AGL	9.086488137	8.986239299	9.11952746	8.97451103	9.1419616	9.00054161	9.13075795	8.85139896	9.13079465	8.86261063
JAG1	9.243119409	10.95692806	9.35518538	9.8603589	9.23596947	9.85033543	10.82644575	10.35715259	10.83861503	10.3818586
AHCY	11.95451257	12.03448804	12.19857686	11.63454946	12.20165581	11.64512182	11.98763755	12.01897577	11.97930921	12.0350156
AHR	10.13236687	11.50259051	10.53075889	10.3251424	10.50971723	10.32358011	11.4579333	10.94094305	11.47545708	10.94223854
CRYBG1	11.60714437	10.39724953	11.57104463	11.078359	11.58895352	11.13069372	10.78843848	10.51160342	10.76820873	10.5073691
AK1	8.241719915	8.816877864	8.22014113	8.54601822	8.16726287	8.46615357	8.77601581	8.71386655	8.6386321	8.65140673
AK2	10.76489897	11.4541091	10.71292007	11.16834081	10.29137353	11.14785394	11.24233357	11.36256813	11.27885259	11.3153882
AK4	9.747202364	10.43781625	8.82082839	10.28753462	8.77904028	10.30580879	10.23968929	10.14899485	10.28521962	10.20617934
AKT1	10.9813999	11.05951588	10.87854288	11.12959373	10.84834298	11.09126581	11.00299793	11.10279088	10.97003065	11.08088504
AKT2	10.1921049	10.18151805	10.26406313	10.27476987	9.91247431	10.22886086	10.28572051	10.39585486	9.94184629	10.00309398
ALAD	9.606532837	8.161658498	9.32622235	9.31365179	9.3904508	9.31076534	8.54964235	8.51075956	8.45654439	8.46563834
ALAS1	8.416853266	9.824837874	8.8943675	8.57291948	8.87147133	8.55305711	9.56741065	9.56816279	9.51493224	9.57770132
ALCAM	12.90153051	12.42463349	12.77611124	12.82619046	12.7577395	12.85278538	12.35174695	12.66947802	12.34961534	12.66191076
ABCD1	7.662868818	8.039448978	7.8472433	7.66316158	7.84378995	7.53973062	8.11856582	7.72440486	8.20097222	7.63120684
ALDH1B1	9.337780978	10.22087823	8.75100108	9.9271297	8.6184416	9.86791293	9.915867	10.09961842	9.85122574	10.08505261
ALDH1A3	6.6610365	6.165718956	5.78127248	6.83302484	5.84568777	6.92063627	5.75610027	6.53668639	5.98397099	6.36813398
ALDH3B1	10.10494961	9.181477268	9.94069158	9.66107825	10.32114653	9.36007406	9.70521093	8.82398535	9.62144182	8.83154706
ALDH9A1	10.09265064	10.28492019	10.1563826	10.06677669	10.23566372	10.05670214	10.22111958	10.18910687	10.30720541	10.25807647
