Gene_Symbol	MCF10A.mean	MDA_MB-231.mean	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB-231_1	N_MDA_MB-231_2	N_MDA_MB-231_3	N_MDA_MB-231_4
ATP2A2	12.17890436	12.80909506	12.15651618	12.46013958	12.12080524	12.44315305	12.75790487	12.6144616	12.74732472	12.59809063
ATP2B1	11.50296345	12.27557181	11.54518422	11.68802008	11.6904711	11.72258158	12.3536117	11.95763634	12.11491697	12.01917172
ATP2B4	10.20965232	11.65516539	10.55980596	10.33358498	10.43885062	10.66697947	11.62515638	10.82850724	11.72037452	11.0222724
ATP5A1	12.34629729	12.5194004	12.43674042	12.30759814	12.44399646	12.32646074	12.41355957	12.54473706	12.41685523	12.54939089
ALDH7A1	10.51388621	9.915863913	10.49627673	10.21236628	10.52758736	10.30561522	10.07450987	10.05944589	10.04118259	9.98432204
ATP5B	12.00380446	12.83806698	12.1034735	12.24634905	12.10933635	12.258637	12.62517297	12.70334687	12.63956194	12.73686669
ATP5C1	11.05190054	11.48284248	11.1118692	11.15407803	11.11502224	11.17935678	11.28048887	11.47795838	11.30157846	11.50495799
ATP5D	8.943128327	9.415879737	9.11387918	9.01403401	9.07420346	8.9668027	9.37439257	9.28576286	9.3315073	9.28815148
ATP5E	10.57092154	11.2257966	10.67958643	10.73843506	10.68070484	10.74131528	11.11706356	11.03003559	11.15906921	11.08174608
ATP5F1	10.77488096	11.33343924	10.91457825	10.85856982	10.91496239	10.87363315	11.08567666	11.34122744	11.10233699	11.3303401
ATP5G1	8.875568164	10.12658506	8.77041132	9.36084641	8.73908331	9.41831735	9.51534099	10.10726505	9.51359655	10.13691509
ATP5G2	10.9796706	10.42180317	11.00126378	10.74667976	10.92274355	10.77269452	10.59540763	10.47610456	10.59412383	10.48483438
ATP5G3	10.22680439	10.80714794	10.01312675	10.55624791	10.10087431	10.54980635	10.56177137	10.63938417	10.55107205	10.92159633
ATP5I	9.057813288	8.797006728	8.96206388	9.05056974	8.88580982	9.09951361	8.80097527	8.88340661	8.81046517	8.90499507
ATP5J	10.0702044	10.13406805	9.99418907	10.11567021	10.03226992	10.17448786	10.02617037	10.1730474	10.05929808	10.20719177
ATP6V1A	10.30121873	9.526567159	10.28068191	9.9975064	10.25336664	10.024615	9.77322541	9.59130225	9.77225318	9.61028237
ATP6V1B2	9.760292014	10.41891505	10.01737211	9.73522012	10.0494957	9.73376782	10.39250164	10.17559512	10.40817971	10.13007889
ATP6V0C	10.77796316	10.93571281	10.73828219	10.92884952	10.70925009	10.84579426	10.93572701	10.8995292	10.88406728	10.89016846
ATP6V1C1	10.09826808	10.07844498	10.09747857	10.11274932	10.04722552	10.11372491	10.14768046	9.98239107	10.15597004	10.02893195
ATP6V1E1	9.859611363	9.833334648	9.69233659	9.97610647	9.77248182	9.937766	9.91196038	9.79001444	9.8790848	9.75395916
ATP6V0B	8.596307205	9.51118135	8.6990062	8.88163694	8.69233471	8.89865625	9.38717376	9.31926911	9.28904159	9.32950669
ATP6V0A1	8.856866207	9.462233408	9.10671847	8.77104175	9.14285301	8.73811116	9.63913198	8.84311329	9.6105594	8.88987693
ATP6AP1	10.06666823	10.62362885	10.25615043	10.11987148	10.20625881	10.09304757	10.76083323	10.19445946	10.72565421	10.17438003
ATP7A	8.765251585	8.190766663	8.73537186	8.52001751	8.76797451	8.5018396	8.44421591	7.98756176	8.55372621	8.12981958
ATP5O	10.19569661	10.3593193	10.20220923	10.25347887	10.22155261	10.23897781	10.34612405	10.2794025	10.38303994	10.2912645
ATP7B	5.575988197	5.651775628	5.36891735	5.86533698	5.37653499	5.61628816	5.72230061	5.3159858	5.76980966	5.59623249
ATR	8.995072117	9.389344844	8.85457826	9.156025	8.97052108	9.21934445	8.92331734	9.52561838	8.99152257	9.56346274
ATRX	10.89469736	10.56702957	11.02312138	10.61535421	10.90669007	10.6827828	10.7264964	10.50800927	10.78487725	10.4565757
AUH	7.243810538	7.002358999	7.4389313	6.63199012	7.51900365	6.71941865	7.16520475	6.89086861	7.18952966	6.7686875
