ID	Gene symbol ID	MDA_MB-231_MCF10A.fc	MDA_MB-231_MCF10A.baseMean	MDA_MB-231_MCF10A.lfcSE	MDA_MB-231_MCF10A.stat	MDA_MB-231_MCF10A.raw.pval	MDA_MB-231_MCF10A.bh.pval
ENSG00000268895	A1BG-AS1	-3.29845092842246	49.8027877261391	0.261005918088317	-6.5967417692352	4.2029187186081E-11	3.71172700274504E-10
ENSG00000128274	A4GALT	-1.32088334040351	185.616799370844	0.348471772794825	-1.15218243090611	0.249246115695058	0.333019980470687
ENSG00000094914	AAAS	1.10089831327467	476.740586030544	0.0970247161400639	1.42933907043388	0.152906801530666	0.220670895095359
ENSG00000081760	AACS	-1.11730140121784	437.091092083287	0.156832865591437	-1.02031176016935	0.307580627659191	0.396421406931104
ENSG00000109576	AADAT	-3.96877832952872	105.601234779001	0.456013697579498	-4.36104221312526	1.29444387808357E-5	5.10627525980923E-5
ENSG00000158122	AAED1	1.90321887752315	233.256913790767	0.186137684102509	4.98792864611303	6.10300998084961E-7	3.0639044418284E-6
ENSG00000103591	AAGAB	1.05582215185146	548.461657167025	0.198757922295612	0.394282850392867	0.693372223330518	0.765422964550443
ENSG00000115977	AAK1	-1.06462854725554	766.503339494057	0.100853489417533	-0.895855535148589	0.370329924805582	0.461791100219314
ENSG00000087884	AAMDC	-1.460401833017	95.9526609601521	0.220215940296707	-2.4810437606961	0.0130998289561937	0.0262641201340916
ENSG00000127837	AAMP	1.37945000404991	812.85000131768	0.135281053079772	3.43058513301318	6.02280949942446E-4	0.0016842872649477
ENSG00000131043	AAR2	1.00001867471984	688.449934075785	0.130864614088445	2.05874401836687E-4	0.99983573599447	0.99983573599447
ENSG00000090861	AARS	1.62962924116956	2427.36318426194	0.490098878137138	1.43755434668996	0.150560542261587	0.218060649640764
ENSG00000124608	AARS2	-1.01607373328032	178.613458896355	0.294470289307493	-0.0781236633819893	0.937729684060741	0.961305198022773
ENSG00000157426	AASDH	1.17077564917395	220.582072666199	0.247806346099674	0.91791291185951	0.358664461282436	0.449194061748048
ENSG00000149313	AASDHPPT	1.39191371808359	887.671102983637	0.105008471366576	4.54315521406833	5.54184149843617E-6	2.35237297243395E-5
ENSG00000008311	AASS	1.16806962721053	622.556808778595	0.38013770928151	0.589592320378687	0.55546400155331	0.640122911966341
ENSG00000275700	AATF	2.2875307177528	1478.56529525504	0.147137129111482	8.11345935416276	4.91986565191301E-16	7.27092585279728E-15
ENSG00000183044	ABAT	-9.19170489872628	80.0951912628849	0.582365247778865	-5.49540428959324	3.89816319042916E-8	2.35625275037927E-7
ENSG00000165029	ABCA1	96.0600879964907	714.784870220249	0.512436077179183	12.8520717380149	8.37371831144512E-38	4.47867055142444E-36
ENSG00000251595	ABCA11P	1.72799343117578	64.858911417963	0.26873312471622	2.93636199132177	0.00332086549640954	0.00775454417088261
ENSG00000107331	ABCA2	-1.75882563895112	930.831397461804	0.386815845488785	-2.10594389535338	0.0352092261218707	0.0624745064965837
ENSG00000167972	ABCA3	1.92330928604751	107.561412492584	0.768388516475366	1.22801260026917	0.219442237969039	0.299976281046533
