ID	Entrez ID
ENSG00000000938	2268
ENSG00000001036	2519
ENSG00000002016	5893
ENSG00000004478	2288
ENSG00000005022	292
ENSG00000005381	4353
ENSG00000006468	2115
ENSG00000006831	79602
ENSG00000007202	9703
ENSG00000007908	6401
ENSG00000007933	2328
ENSG00000010610	920
ENSG00000010810	2534
ENSG00000010932	2326
ENSG00000011677	2556
ENSG00000012223	4057
ENSG00000017427	3479
ENSG00000018408	25937
ENSG00000020922	4361
ENSG00000022267	2273
ENSG00000022355	2554
ENSG00000023287	9821
ENSG00000026025	7431
ENSG00000029559	3381
ENSG00000030110	578
ENSG00000032219	5926
ENSG00000033170	2530
ENSG00000033327	9846
ENSG00000037280	2324
ENSG00000038427	1462
ENSG00000041982	3371
ENSG00000042980	10863
ENSG00000048028	57646
ENSG00000048740	10659
ENSG00000053747	3909
ENSG00000054598	2296
ENSG00000054983	2581
ENSG00000057593	2155
ENSG00000059804	6515
ENSG00000064205	8839
ENSG00000064547	9170
ENSG00000066468	2263
ENSG00000066926	2235
ENSG00000067900	6093
ENSG00000068024	9759
ENSG00000068078	2261
ENSG00000069974	5873
ENSG00000070193	2255
ENSG00000070501	5423
ENSG00000072133	27330
ENSG00000073584	6605
ENSG00000074527	59277
ENSG00000075223	10512
ENSG00000075388	2249
ENSG00000075426	2355
ENSG00000075651	5337
ENSG00000076258	2329
ENSG00000076716	2239
ENSG00000077782	2260
ENSG00000077942	2192
ENSG00000078401	1906
ENSG00000079459	2222
ENSG00000080839	5933
ENSG00000082074	2533
ENSG00000083093	79728
ENSG00000084734	2646
ENSG00000085185	63035
ENSG00000086205	2346
ENSG00000086696	3294
ENSG00000087086	2512
ENSG00000088256	2767
ENSG00000088832	2280
ENSG00000089280	2521
ENSG00000090020	6548
ENSG00000090339	3383
ENSG00000090554	2323
ENSG00000091483	2271
ENSG00000091656	79776
ENSG00000092853	63967
ENSG00000094631	10013
ENSG00000094755	2568
ENSG00000094963	2327
ENSG00000095370	10044
ENSG00000095752	3589
ENSG00000096060	2289
ENSG00000099194	6319
ENSG00000099769	3483
ENSG00000100219	7494
ENSG00000100290	638
ENSG00000100324	10454
ENSG00000100393	2033
ENSG00000100442	2287
ENSG00000100968	4776
ENSG00000101096	4773
ENSG00000101213	5753
ENSG00000101266	1457
ENSG00000101384	182
ENSG00000101439	1471
ENSG00000101751	11201
ENSG00000101773	5932
ENSG00000101846	412
ENSG00000102010	660
ENSG00000102054	5931
ENSG00000102081	2332
ENSG00000102145	2623
ENSG00000102265	7076
ENSG00000102287	2564
ENSG00000102302	2245
ENSG00000102317	5935
ENSG00000102349	11279
ENSG00000102384	2491
ENSG00000102466	2259
ENSG00000102554	688
ENSG00000102575	54
ENSG00000102678	2254
ENSG00000102755	2321
ENSG00000102974	10664
ENSG00000103197	7249
ENSG00000103241	2294
ENSG00000103264	79791
ENSG00000103423	9093
ENSG00000103495	4150
ENSG00000103653	1445
ENSG00000104064	2553
ENSG00000104365	3551
ENSG00000104447	7227
ENSG00000104529	1936
ENSG00000104755	2515
ENSG00000104760	2267
ENSG00000104827	1082
ENSG00000105376	7087
ENSG00000105607	2639
ENSG00000105894	5764
ENSG00000105991	3198
ENSG00000105993	10049
ENSG00000105996	3199
ENSG00000106004	3202
ENSG00000106069	1124
ENSG00000106105	2617
ENSG00000106144	835
ENSG00000106278	5803
ENSG00000106299	8976
ENSG00000106366	5054
ENSG00000106484	4232
ENSG00000106546	196
ENSG00000106615	6009
ENSG00000106633	2645
