ID	expression
MO000021736	1
MO000021739	1
MO000021743	1
MO000021754	1
MO000021758	1
MO000021769	1
MO000021799	1
MO000021819	1
MO000021820	1
MO000021858	1
MO000021866	1
MO000021869	1
MO000021870	1
MO000021884	1
MO000021887	1
MO000021889	1
MO000021896	1
MO000021901	1
MO000021947	1
MO000021962	1
MO000021966	1
MO000021981	1
MO000021982	1
MO000021988	1
MO000021990	1
MO000022013	1
MO000022045	1
MO000022050	1
MO000022057	1
MO000022058	1
MO000022059	1
MO000022070	1
MO000022078	1
MO000022086	1
MO000022087	1
MO000022088	1
MO000022092	1
MO000022093	1
MO000022115	1
MO000022126	1
MO000022137	1
MO000022138	1
MO000022168	1
MO000022171	1
MO000022181	1
MO000022188	1
MO000022204	1
MO000022205	1
MO000022209	1
MO000022210	1
MO000022211	1
MO000022222	1
MO000022227	1
MO000022231	1
MO000022232	1
MO000022234	1
MO000022242	1
MO000022253	1
MO000022265	1
MO000022266	1
MO000022269	1
MO000022270	1
MO000022272	1
MO000022279	1
MO000022288	1
MO000022289	1
MO000022315	1
MO000022324	1
MO000022337	1
MO000022351	1
MO000022356	1
MO000022364	1
MO000022365	1
MO000022370	1
MO000022377	1
MO000022383	1
MO000022387	1
MO000022388	1
MO000022391	1
MO000022393	1
MO000022400	1
MO000022403	1
MO000022408	1
MO000022411	1
MO000022414	1
MO000022415	1
MO000022419	1
MO000022423	1
MO000022425	1
MO000022428	1
MO000022438	1
MO000022448	1
MO000022454	1
MO000022466	1
MO000022529	1
MO000022536	1
MO000022540	1
MO000022544	1
MO000022555	1
MO000022565	1
MO000022578	1
MO000022580	1
MO000022591	1
MO000022592	1
MO000022601	1
MO000022604	1
MO000022610	1
MO000023076	1
MO000023098	1
MO000023100	1
MO000023109	1
MO000023116	1
MO000023130	1
MO000023151	1
MO000023153	1
MO000023154	1
MO000023155	1
MO000023161	1
MO000023169	1
MO000023177	1
MO000023187	1
MO000023189	1
MO000023220	1
MO000023226	1
MO000023236	1
MO000023276	1
MO000023277	1
MO000023284	1
MO000023285	1
MO000023292	1
MO000023311	1
MO000023337	1
MO000023341	1
MO000023365	1
MO000023386	1
MO000023389	1
MO000023409	1
MO000023445	1
MO000023447	1
MO000023462	1
MO000023473	1
MO000023474	1
MO000023476	1
MO000023479	1
MO000023480	1
MO000023481	1
MO000023485	1
MO000023508	1
MO000023525	1
MO000023526	1
MO000023529	1
MO000023533	1
MO000023536	1
MO000023575	1
MO000023577	1
MO000023578	1
MO000023595	1
MO000023603	1
MO000023613	1
MO000023628	1
MO000023642	1
MO000024592	1
MO000024644	1
MO000024660	1
MO000024664	1
MO000024666	1
MO000024669	1
MO000024698	1
MO000024708	1
MO000024719	1
MO000024736	1
MO000024738	1
MO000024746	1
MO000024750	1
MO000024751	1
MO000024752	1
MO000024757	1
MO000024764	1
MO000024771	1
MO000024773	1
MO000024783	1
MO000024920	1
MO000024926	1
MO000024966	1
MO000024981	1
MO000025003	1
MO000025063	1
MO000025097	1
MO000025119	1
MO000025129	1
MO000025130	1
MO000025167	1
MO000025168	1
MO000025169	1
MO000025170	1
MO000025182	1
MO000025187	1
MO000025188	1
MO000025206	1
MO000025208	1
MO000025228	1
MO000025239	1
MO000025243	1
MO000025262	1
MO000025267	1
MO000025278	1
MO000025284	1
MO000025333	1
MO000025334	1
MO000025336	1
MO000025338	1
MO000025339	1
MO000025375	1
MO000025410	1
MO000025417	1
MO000025446	1
MO000025447	1
MO000025501	1
MO000025538	1
MO000025546	1
MO000025570	1
MO000025574	1
MO000025589	1
MO000025593	1
MO000025604	1
MO000025651	1
MO000025656	1
MO000025661	1
MO000025667	1
MO000025668	1
MO000025684	1
MO000025690	1
MO000025703	1
MO000025717	1
MO000025736	1
MO000025739	1
MO000025758	1
MO000025761	1
MO000025763	1
MO000025765	1
MO000025769	1
MO000025770	1
MO000025771	1
MO000025789	1
MO000025792	1
MO000025800	1
MO000025850	1
MO000025852	1
MO000025855	1
MO000025857	1
MO000025858	1
MO000025865	1
MO000025866	1
MO000025868	1
MO000025870	1
MO000025871	1
MO000025876	1
MO000025911	1
MO000025932	1
MO000025939	1
MO000025943	1
MO000026033	1
MO000026044	1
MO000026067	1
MO000026074	1
MO000026122	1
MO000026141	1
MO000026145	1
MO000026153	1
MO000026157	1
MO000026167	1
MO000026173	1
MO000026174	1
MO000026176	1
MO000026177	1
MO000026178	1
MO000026184	1
MO000026185	1
MO000026186	1
MO000026187	1
MO000026208	1
MO000026212	1
MO000026213	1
MO000026226	1
MO000026229	1
MO000026238	1
MO000026253	1
MO000026266	1
MO000026283	1
MO000026285	1
MO000026289	1
MO000026318	1
MO000026319	1
MO000026320	1
MO000026333	1
MO000026339	1
MO000026345	1
MO000026355	1
MO000026357	1
MO000026358	1
MO000026367	1
MO000026438	1
MO000026446	1
MO000026449	1
MO000026452	1
MO000026454	1
MO000026459	1
MO000026464	1
MO000026466	1
MO000026479	1
MO000026489	1
MO000026492	1
MO000026496	1
MO000026504	1
MO000026665	1
MO000026694	1
MO000026696	1
MO000026701	1
MO000026702	1
MO000026703	1
MO000026704	1
MO000026705	1
MO000026710	1
MO000026711	1
MO000026715	1
MO000026717	1
MO000026720	1
MO000026721	1
MO000026726	1
MO000026737	1
MO000026738	1
MO000026740	1
MO000026821	1
MO000026822	1
MO000026823	1
MO000026866	1
MO000026882	1
MO000026899	1
MO000026937	1
MO000026948	1
MO000027184	1
MO000027185	1
MO000027193	1
MO000027205	1
MO000027206	1
MO000027230	1
MO000027263	1
MO000027264	1
MO000027279	1
MO000027281	1
MO000027350	1
MO000027370	1
MO000027413	1
MO000027425	1
MO000027893	1
MO000027894	1
MO000027902	1
MO000028018	1
MO000028025	1
MO000028026	1
MO000028031	1
MO000028034	1
MO000028047	1
MO000028048	1
MO000028049	1
MO000028051	1
MO000028060	1
MO000028064	1
MO000028068	1
MO000028072	1
MO000028090	1
MO000028098	1
MO000028099	1
MO000028103	1
MO000028116	1
MO000028121	1
MO000028151	1
MO000028213	1
MO000028292	1
MO000028300	1
MO000028303	1
MO000028320	1
MO000028342	1
MO000028386	1
MO000028387	1
MO000028431	1
MO000028465	1
MO000028473	1
MO000028475	1
MO000028476	1
MO000028497	1
MO000028505	1
MO000028507	1
MO000028508	1
MO000028540	1
MO000028546	1
MO000028553	1
MO000028601	1
MO000028605	1
MO000028607	1
MO000028608	1
MO000028665	1
MO000028666	1
MO000028667	1
MO000028668	1
MO000028670	1
MO000028671	1
MO000028674	1
MO000028675	1
MO000028677	1
MO000028678	1
MO000028681	1
MO000028692	1
MO000028704	1
MO000028706	1
MO000028707	1
MO000028708	1
MO000028709	1
MO000028711	1
MO000028714	1
MO000028715	1
MO000028716	1
MO000028717	1
MO000028718	1
MO000028723	1
MO000028724	1
MO000028725	1
MO000028726	1
MO000028727	1
MO000028728	1
MO000028730	1
MO000028732	1
MO000028733	1
MO000028735	1
MO000028736	1
MO000028737	1
MO000028740	1
MO000028741	1
MO000028742	1
MO000028745	1
MO000028747	1
MO000028748	1
MO000028749	1
MO000028751	1
MO000028752	1
MO000028753	1
MO000028754	1
MO000028755	1
MO000028757	1
MO000028758	1
MO000028759	1
MO000028767	1
MO000028776	1
MO000028778	1
MO000028779	1
MO000028789	1
MO000028791	1
MO000028794	1
MO000028800	1
MO000028801	1
MO000028802	1
MO000028803	1
MO000028808	1
MO000028809	1
MO000028810	1
MO000030714	1
MO000030835	1
MO000030840	1
MO000030859	1
MO000030861	1
MO000030874	1
MO000030879	1
MO000030895	1
MO000030900	1
MO000030911	1
MO000030916	1
MO000030923	1
MO000030927	1
MO000030929	1
MO000030935	1
MO000030959	1
MO000030960	1
MO000030962	1
MO000030964	1
MO000030972	1
MO000030976	1
MO000030983	1
MO000030984	1
MO000030985	1
MO000030998	1
MO000031000	1
MO000031006	1
MO000031009	1
MO000031022	1
MO000031035	1
MO000031039	1
MO000031054	1
MO000031061	1
MO000031070	1
MO000031076	1
MO000031084	1
MO000031088	1
MO000031091	1
MO000031092	1
MO000031101	1
MO000031104	1
MO000031105	1
MO000031118	1
MO000031136	1
MO000031144	1
MO000031151	1
MO000031163	1
MO000031189	1
MO000031191	1
MO000031198	1
MO000031199	1
MO000031200	1
MO000031202	1
MO000031205	1
MO000031220	1
MO000031225	1
MO000031229	1
MO000031250	1
MO000031252	1
MO000031260	1
MO000031266	1
MO000031274	1
MO000031282	1
MO000031305	1
MO000031307	1
MO000031324	1
MO000031326	1
MO000031336	1
MO000031364	1
MO000031369	1
MO000031387	1
MO000031926	1
MO000031927	1
MO000031934	1
MO000031935	1
MO000031956	1
MO000031961	1
MO000031963	1
MO000031972	1
MO000031977	1
MO000031983	1
MO000031991	1
MO000031997	1
MO000031998	1
MO000032000	1
MO000032001	1
MO000032002	1
MO000032015	1
MO000032020	1
MO000032056	1
MO000032071	1
MO000032073	1
MO000032078	1
MO000032094	1
MO000032109	1
MO000032132	1
MO000032133	1
MO000032135	1
MO000032141	1
MO000032172	1
MO000032197	1
MO000032198	1
MO000032199	1
MO000032200	1
MO000032206	1
MO000032210	1
MO000032215	1
MO000032219	1
MO000032223	1
MO000032230	1
MO000032247	1
MO000032249	1
MO000032262	1
MO000032279	1
MO000032310	1
MO000032335	1
MO000032339	1
MO000032352	1
MO000032374	1
MO000032379	1
MO000032396	1
MO000032398	1
MO000032407	1
MO000032415	1
MO000032417	1
MO000032419	1
MO000032420	1
MO000032422	1
MO000032424	1
MO000032428	1
MO000032435	1
MO000032450	1
MO000032472	1
MO000032481	1
MO000032484	1
MO000032492	1
MO000032523	1
MO000032525	1
MO000032542	1
MO000032543	1
MO000032544	1
MO000032546	1
MO000032547	1
MO000032552	1
MO000032553	1
MO000032555	1
MO000032557	1
MO000032559	1
MO000032560	1
MO000032561	1
MO000032562	1
MO000032563	1
MO000032564	1
MO000032565	1
MO000032566	1
MO000032567	1
MO000032568	1
MO000032569	1
MO000032570	1
MO000032571	1
MO000032573	1
MO000032574	1
MO000032577	1
MO000032578	1
MO000032579	1
MO000032580	1
MO000032583	1
MO000032584	1
MO000032585	1
MO000032587	1
MO000032588	1
MO000032592	1
MO000032594	1
MO000032597	1
MO000032600	1
MO000032606	1
MO000032610	1
MO000032614	1
MO000032625	1
MO000032626	1
MO000032628	1
MO000032629	1
MO000032631	1
MO000032632	1
MO000032637	1
MO000032638	1
MO000032639	1
MO000032647	1
MO000032648	1
MO000032650	1
MO000032651	1
MO000032652	1
MO000032653	1
MO000032654	1
MO000032655	1
MO000032658	1
MO000032659	1
MO000032660	1
MO000032661	1
MO000032664	1
MO000032665	1
MO000032666	1
MO000032667	1
MO000032668	1
MO000032669	1
MO000032670	1
MO000032671	1
MO000032682	1
MO000032685	1
MO000032687	1
MO000032688	1
MO000032689	1
MO000032694	1
MO000032695	1
MO000032696	1
MO000032698	1
MO000032699	1
MO000032701	1
MO000032702	1
MO000032705	1
MO000032708	1
MO000032709	1
MO000032711	1
MO000032713	1
MO000032714	1
MO000032715	1
MO000032718	1
MO000032722	1
MO000032724	1
MO000032725	1
MO000032732	1
MO000032733	1
MO000032735	1
MO000032736	1
MO000032737	1
MO000032739	1
MO000032740	1
MO000032741	1
MO000032742	1
MO000032743	1
MO000032746	1
MO000032747	1
MO000032749	1
MO000032750	1
MO000032751	1
MO000032757	1
MO000032759	1
MO000032763	1
MO000032764	1
MO000032765	1
MO000032766	1
MO000032767	1
MO000032768	1
MO000032770	1
MO000032771	1
MO000032772	1
MO000032944	1
MO000032945	1
MO000032948	1
MO000032956	1
MO000032966	1
MO000032973	1
MO000033237	1
MO000033238	1
MO000033243	1
MO000033253	1
MO000033257	1
MO000033272	1
MO000033292	1
MO000033299	1
MO000033308	1
MO000033313	1
MO000033321	1
MO000033360	1
MO000033375	1
MO000033378	1
MO000033389	1
MO000033396	1
MO000033404	1
MO000033416	1
MO000033435	1
MO000033461	1
MO000033466	1
MO000033485	1
MO000033529	1
MO000033565	1
MO000033578	1
MO000033617	1
MO000033619	1
MO000033674	1
MO000033686	1
MO000033692	1
MO000033696	1
MO000033697	1
MO000033699	1
MO000033700	1
MO000033701	1
MO000033702	1
MO000033735	1
MO000033749	1
MO000033775	1
MO000033776	1
MO000033783	1
MO000033800	1
MO000033903	1
MO000033904	1
MO000034049	1
MO000034057	1
MO000034101	1
MO000034171	1
MO000034175	1
MO000034177	1
MO000034187	1
MO000034203	1
MO000034213	1
MO000034271	1
MO000034274	1
MO000034299	1
MO000034306	1
MO000034371	1
MO000034393	1
MO000034405	1
MO000034406	1
MO000034454	1
MO000034483	1
MO000034532	1
MO000034614	1
MO000034631	1
MO000034650	1
MO000034669	1
MO000034767	1
MO000034778	1
MO000034779	1
MO000034781	1
MO000034788	1
MO000034794	1
MO000034800	1
MO000034809	1
MO000034810	1
MO000034818	1
MO000034846	1
MO000034847	1
MO000034850	1
MO000034887	1
MO000034898	1
MO000034900	1
MO000034911	1
MO000034913	1
MO000034914	1
MO000034946	1
MO000034981	1
MO000035009	1
MO000035011	1
MO000035017	1
MO000035038	1
MO000035064	1
MO000035067	1
MO000035080	1
MO000035082	1
MO000035083	1
MO000035086	1
MO000035093	1
MO000035098	1
MO000035119	1
MO000035129	1
MO000035150	1
MO000035151	1
MO000035154	1
MO000035159	1
MO000035161	1
MO000035169	1
MO000035175	1
MO000035189	1
MO000035191	1
MO000035206	1
MO000035215	1
MO000035220	1
MO000035227	1
MO000035273	1
MO000035289	1
MO000035317	1
MO000035319	1
MO000035336	1
MO000035342	1
MO000035359	1
MO000035381	1
MO000035388	1
MO000035431	1
MO000035438	1
MO000035542	1
MO000035550	1
MO000035564	1
MO000035572	1
MO000035608	1
MO000035617	1
MO000035645	1
MO000035653	1
MO000035672	1
MO000035694	1
MO000035713	1
MO000035987	1
MO000035990	1
MO000035991	1
MO000035992	1
MO000036039	1
MO000036044	1
MO000036082	1
MO000036085	1
MO000036091	1
MO000036094	1
MO000036096	1
MO000036098	1
MO000036101	1
MO000036112	1
MO000036135	1
MO000036137	1
MO000036138	1
MO000036139	1
MO000036140	1
MO000036145	1
MO000036147	1
MO000036161	1
MO000036165	1
MO000036190	1
MO000036220	1
MO000036229	1
MO000036276	1
MO000036288	1
MO000036303	1
MO000036308	1
MO000036331	1
MO000036334	1
MO000036353	1
MO000036359	1
MO000036363	1
MO000036371	1
MO000036373	1
MO000036374	1
MO000036389	1
MO000036403	1
MO000036445	1
MO000036449	1
MO000036494	1
MO000036504	1
MO000036523	1
MO000036525	1
MO000036527	1
MO000036531	1
MO000036550	1
MO000036570	1
MO000036572	1
MO000036573	1
MO000036578	1
MO000036590	1
MO000036592	1
MO000036594	1
MO000036616	1
MO000036617	1
MO000036634	1
MO000036710	1
MO000036736	1
MO000036739	1
MO000036747	1
MO000036767	1
MO000036772	1
MO000036781	1
MO000036793	1
MO000036814	1
MO000037316	1
MO000037334	1
MO000037337	1
MO000037343	1
MO000037346	1
MO000037350	1
MO000037358	1
MO000037371	1
MO000037374	1
MO000037420	1
MO000037428	1
MO000037476	1
MO000037478	1
MO000037495	1
MO000037509	1
MO000037518	1
MO000037520	1
MO000037525	1
MO000037526	1
MO000037533	1
MO000037558	1
MO000037586	1
MO000037601	1
MO000037630	1
MO000037689	1
MO000037690	1
MO000037695	1
MO000037699	1
MO000037702	1
MO000037758	1
MO000037761	1
MO000037762	1
MO000037770	1
MO000037791	1
MO000037811	1
MO000037844	1
MO000037855	1
MO000037858	1
MO000037861	1
MO000037879	1
MO000037881	1
MO000037883	1
MO000037906	1
MO000037912	1
MO000037924	1
MO000037925	1
MO000037935	1
MO000037937	1
MO000037992	1
MO000038016	1
MO000038019	1
MO000038026	1
MO000038027	1
MO000038028	1
MO000038031	1
MO000038032	1
MO000038059	1
MO000038073	1
MO000038075	1
MO000038079	1
MO000038085	1
MO000038099	1
MO000038101	1
MO000038105	1
MO000038108	1
MO000038170	1
MO000038171	1
MO000038172	1
MO000038175	1
MO000038182	1
MO000038194	1
MO000038202	1
MO000038221	1
MO000038231	1
MO000038232	1
MO000038235	1
MO000038240	1
MO000038267	1
MO000038299	1
MO000038372	1
MO000038400	1
MO000038491	1
MO000038536	1
MO000038537	1
MO000038600	1
MO000038602	1
MO000038606	1
MO000038651	1
MO000038661	1
MO000038662	1
MO000038713	1
MO000038963	1
MO000039017	1
MO000039019	1
MO000039035	1
MO000039079	1
MO000039153	1
MO000039154	1
MO000039155	1
MO000039165	1
MO000039174	1
MO000041065	1
MO000041087	1
MO000041118	1
MO000041123	1
MO000041170	1
MO000041218	1
MO000041349	1
MO000041374	1
MO000041409	1
MO000041418	1
MO000041435	1
MO000041472	1
MO000041476	1
MO000041478	1
MO000041479	1
MO000041480	1
MO000041483	1
MO000041485	1
MO000041498	1
MO000041500	1
MO000041508	1
MO000041540	1
MO000041543	1
MO000041589	1
MO000041604	1
MO000041641	1
MO000041646	1
MO000041676	1
MO000041684	1
MO000041693	1
MO000041695	1
MO000041707	1
MO000041728	1
MO000041734	1
MO000041770	1
MO000041771	1
MO000041773	1
MO000041781	1
MO000041782	1
MO000041783	1
MO000041784	1
MO000041785	1
MO000041786	1
MO000041788	1
MO000041789	1
MO000041798	1
MO000041817	1
MO000041840	1
MO000041850	1
MO000041872	1
MO000041874	1
MO000041879	1
MO000041882	1
MO000041893	1
MO000041905	1
MO000041911	1
MO000041923	1
MO000041928	1
MO000041931	1
MO000041935	1
MO000041937	1
MO000041940	1
MO000041952	1
MO000041953	1
MO000041954	1
MO000041955	1
MO000041956	1
MO000041985	1
MO000042043	1
MO000042044	1
MO000042045	1
MO000042046	1
MO000042047	1
MO000042154	1
MO000042156	1
MO000042158	1
MO000042160	1
MO000042209	1
MO000042225	1
MO000042236	1
MO000042262	1
MO000042273	1
MO000042276	1
MO000042296	1
MO000042300	1
MO000042334	1
MO000042337	1
MO000042339	1
MO000042366	1
MO000042381	1
MO000042388	1
MO000042476	1
MO000042500	1
MO000042516	1
MO000042526	1
MO000042534	1
MO000042554	1
MO000042581	1
MO000042605	1
MO000042656	1
MO000042669	1
MO000042673	1
MO000042677	1
MO000042681	1
MO000042689	1
MO000042692	1
MO000042698	1
MO000042701	1
MO000042705	1
MO000042717	1
MO000042726	1
MO000042731	1
MO000042733	1
MO000042738	1
MO000042756	1
MO000042765	1
MO000042768	1
MO000042777	1
MO000042778	1
MO000042779	1
MO000042801	1
MO000042804	1
MO000042806	1
MO000042810	1
MO000042827	1
MO000042828	1
MO000042829	1
MO000042839	1
MO000042844	1
MO000042930	1
MO000042931	1
MO000042932	1
MO000042935	1
MO000042936	1
MO000042938	1
MO000042939	1
MO000042940	1
MO000042946	1
MO000042948	1
MO000042951	1
MO000042952	1
MO000042957	1
MO000042958	1
MO000042959	1
MO000042965	1
MO000042966	1
MO000042975	1
MO000042977	1
MO000042978	1
MO000042979	1
MO000042985	1
MO000042995	1
MO000043012	1
MO000043014	1
MO000043024	1
MO000043025	1
MO000043047	1
MO000043048	1
MO000043049	1
MO000043050	1
MO000043054	1
MO000043064	1
MO000043097	1
MO000043098	1
MO000043103	1
MO000043104	1
MO000043105	1
MO000043106	1
MO000043131	1
MO000043138	1
MO000043140	1
MO000043148	1
MO000043151	1
MO000043153	1
MO000043154	1
MO000043162	1
MO000043167	1
MO000043175	1
MO000043194	1
MO000043253	1
MO000043275	1
MO000043278	1
MO000043292	1
MO000043296	1
MO000043318	1
MO000043357	1
MO000043368	1
MO000043390	1
MO000043391	1
MO000043398	1
MO000043399	1
MO000043400	1
MO000043402	1
MO000043404	1
MO000043406	1
MO000043407	1
MO000043409	1
MO000043410	1
MO000043412	1
MO000043473	1
MO000043474	1
MO000043475	1
MO000043476	1
MO000043490	1
MO000043498	1
MO000043523	1
MO000043539	1
MO000043579	1
MO000043597	1
MO000043598	1
MO000043618	1
MO000043639	1
MO000043658	1
MO000043661	1
MO000043663	1
MO000043666	1
MO000043667	1
MO000043669	1
MO000043671	1
MO000043674	1
MO000043677	1
MO000043680	1
MO000043690	1
MO000043697	1
MO000043705	1
MO000043707	1
MO000043716	1
MO000043735	1
MO000043749	1
MO000043750	1
MO000043753	1
MO000043755	1
MO000043757	1
MO000043759	1
MO000043773	1
MO000043778	1
MO000043788	1
MO000043803	1
