ID	Ensembl ID	Gene symbol	Gene symbol ID	Average Intensity	FDR	Hit names	Hits	Master molecule name	Maximal radius	Ranks sum	Reachable total	Reached from set	Score	Transpath ID	UniProt ID	Z-Score
MO000000049	ENSG00000177606	JUN		44.46251991891073	0.024	["AP-4(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000257758"]	c-Jun(h)	9.831163	231	56556	17	0.33914766	MO000019469,MO000058322	P05412	2.9202287
MO000000058	ENSG00000109320,ENSG00000173039	RELA	NFKB1	NaN	NaN	[]	[]		NaN	0	0	0	NaN			NaN
MO000000060	ENSG00000169967			1.2990773985240511	0.031	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000116288","MO000129437","MO000257758"]	MEKK2(h)	9.528746	168	84942	19	0.41795808	MO000030900	Q9Y2U5	1.688215
MO000000073	ENSG00000132155			11.984172105543447	0.026	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000116288","MO000129437","MO000257758"]	Raf-1-isoform1(h),Raf-1-isoform2(h)	9.6832695	177	79229	19	0.38069612	MO000057036,MO000178581	P04049	1.8105198
MO000000074	ENSG00000170027		YWHAG	NaN	NaN	[]	[]		NaN	0	0	0	NaN			NaN
MO000000075	ENSG00000132155,ENSG00000135341,ENSG00000169967,ENSG00000180370			1410.573328308495	0.031	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TCF-4-isoform10(h)","TCF-4-isoform8(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000116288","MO000125399","MO000125401","MO000129437","MO000257758"]	MEKK2(h),Raf-1-isoform1(h),Raf-1-isoform2(h),TAK1(h),TAK1a(h),TAK1b(h),TAK1d(h),pak2(h)	9.6832695	264	91844	21	0.5104231	MO000016584,MO000016585,MO000016587,MO000021242,MO000030900,MO000042946,MO000057036,MO000178581	O43318,P04049,Q13177,Q9Y2U5	2.4426556
MO000000076	ENSG00000169032			620.141968580609	0.024	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000116288","MO000129437","MO000257758"]	MEK1-isoform2(h)	8.892039	170	85648	19	0.43320647	MO000256191	Q02750	1.6698883
MO000000077	ENSG00000050748,ENSG00000107643		MAPK8	25.2930196772052	0.026	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TCF-4-isoform10(h)","TCF-4-isoform8(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000116288","MO000125399","MO000125401","MO000129437","MO000257758"]	JNK1(h),JNK1alpha1(h),JNK1beta1(h),JNK2-Alpha-1(h),JNK2alpha-2(h)	9.434316	185	92408	21	0.6949053	MO000007821,MO000030998,MO000031000,MO000033485,MO000256146	P45983-3,P45984-2	3.0624542
MO000000078	ENSG00000169032			620.141968580609	0.024	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000116288","MO000129437","MO000257758"]	MEK1-isoform2(h)	8.892039	170	85648	19	0.43320647	MO000256191	Q02750	1.6698883
MO000000081	ENSG00000068078,ENSG00000096968,ENSG00000135605,ENSG00000146648,ENSG00000169032		EGFR,JAK2,TEC	NaN	NaN	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TCF-4-isoform10(h)","TCF-4-isoform8(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000116288","MO000125399","MO000125401","MO000129437","MO000257758"]	FGFR-3(h),MEK1-isoform2(h)	NaN	0	0	0	NaN	MO000019766,MO000256191	P22607-3,Q02750	NaN
MO000000095	ENSG00000068078			4.81124022295364	0.04	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TCF-4-isoform10(h)","TCF-4-isoform8(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000116288","MO000125399","MO000125401","MO000129437","MO000257758"]	FGFR-3(h)	9.501116	199	84360	21	0.39859924	MO000019766	P22607-3	1.6340073
MO000000104	ENSG00000154229		PRKCA	NaN	NaN	[]	[]		NaN	0	0	0	NaN			NaN
MO000000105	ENSG00000163235		TGFA	NaN	NaN	[]	[]		NaN	0	0	0	NaN			NaN
MO000000106	ENSG00000154229		PRKCA	NaN	NaN	[]	[]		NaN	0	0	0	NaN			NaN
MO000000107	ENSG00000146648		EGFR	NaN	NaN	[]	[]		NaN	0	0	0	NaN			NaN
MO000000108	ENSG00000146648		EGFR	NaN	NaN	[]	[]		NaN	0	0	0	NaN			NaN
MO000000110	ENSG00000160691		SHC1	NaN	NaN	[]	[]		NaN	0	0	0	NaN			NaN
MO000000111	ENSG00000050748,ENSG00000068078,ENSG00000072062,ENSG00000082701,ENSG00000087586,ENSG00000096063,ENSG00000096968,ENSG00000101266,ENSG00000104365,ENSG00000105221,ENSG00000105810,ENSG00000107643,ENSG00000123374,ENSG00000132155,ENSG00000135341,ENSG00000135605,ENSG00000146648,ENSG00000151414,ENSG00000154229,ENSG00000169032,ENSG00000169118,ENSG00000169679,ENSG00000169967,ENSG00000170312,ENSG00000180370,ENSG00000204435,ENSG00000213341,ENSG00000253729		AURKA,BUB1,CDK1,CDK2,CHUK,CSNK2A1,EGFR,JAK2,MAPK8,PRKACA,PRKCA,PRKDC,SRPK1,TEC	NaN	NaN	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TCF-4-isoform10(h)","TCF-4-isoform8(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000116288","MO000125399","MO000125401","MO000129437","MO000257758"]	AKT-2-isoform1(h),CKI-gamma1-Isoform1L(h),CKII-beta(h),Cdk6(h),DNA-PKcs-isoform1(h),FGFR-3(h),GSK3beta-isoform1(h),GSK3beta-isoform2(h),IKK-alpha(h),IKK-beta-isoform1(h),JNK1(h),JNK1alpha1(h),JNK1beta1(h),JNK2-Alpha-1(h),JNK2alpha-2(h),MEK1-isoform2(h),MEKK2(h),NIMA(h),Raf-1-isoform1(h),Raf-1-isoform2(h),TAK1(h),TAK1a(h),TAK1b(h),TAK1d(h),pak2(h)	NaN	0	0	0	NaN	MO000007821,MO000016584,MO000016585,MO000016587,MO000019766,MO000021242,MO000023341,MO000030900,MO000030998,MO000031000,MO000033485,MO000042946,MO000057036,MO000057456,MO000060068,MO000060084,MO000080193,MO000080970,MO000082901,MO000094063,MO000100964,MO000103308,MO000133606,MO000178581,MO000256146,MO000256191	O14920,O15111,O43318,P04049,P22607-3,P31751,P45983-3,P45984-2,P49841,P67870,P78527,Q00534,Q02750,Q13177,Q8TDX7,Q9HCP0-2,Q9Y2U5	NaN
MO000000127	ENSG00000099804,ENSG00000100387,ENSG00000110395,ENSG00000117399,ENSG00000126261,ENSG00000142230,ENSG00000177479,ENSG00000186591		ARIH2,CBL,CDC20	NaN	NaN	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TCF-4-isoform10(h)","TCF-4-isoform8(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000116288","MO000125399","MO000125401","MO000129437","MO000257758"]	Aos1(h),Aos1-isoform1(h),Cdc34(h),Roc1(h),SAE2(h),SAE2-isoform1(h),ube2h(h)	NaN	0	0	0	NaN	MO000019440,MO000019454,MO000019986,MO000019987,MO000085628,MO000085632,MO000119207	P49427,P62256,P62877,Q9UBE0,Q9UBT2	NaN
MO000000129	ENSG00000160691,ENSG00000177885		GRB2,SHC1	NaN	NaN	[]	[]		NaN	0	0	0	NaN			NaN
MO000000131	ENSG00000177885		GRB2	NaN	NaN	[]	[]		NaN	0	0	0	NaN			NaN
MO000000141	ENSG00000096968		JAK2	NaN	NaN	[]	[]		NaN	0	0	0	NaN			NaN
MO000000146	ENSG00000096968		JAK2	NaN	NaN	[]	[]		NaN	0	0	0	NaN			NaN
MO000000149	ENSG00000170836,ENSG00000179295		PPM1D,PTPN11	NaN	NaN	[]	[]		NaN	0	0	0	NaN			NaN
MO000000152	ENSG00000055130,ENSG00000088325,ENSG00000108094,ENSG00000110395,ENSG00000160691,ENSG00000177885		CBL,GRB2,SHC1,TPX2	NaN	NaN	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000116288","MO000129437","MO000257758"]	Cul-1(h),Cul-2(h)	NaN	0	0	0	NaN	MO000019438,MO000034271	Q13616,Q13617	NaN
MO000000191	ENSG00000146648,ENSG00000160691,ENSG00000177885		EGFR,GRB2,SHC1	NaN	NaN	[]	[]		NaN	0	0	0	NaN			NaN
MO000000193	ENSG00000173039	RELA		NaN	NaN	[]	[]		NaN	0	0	0	NaN			NaN
MO000000199	ENSG00000109320		NFKB1	NaN	NaN	[]	[]		NaN	0	0	0	NaN			NaN
MO000000200	ENSG00000109320		NFKB1	NaN	NaN	[]	[]		NaN	0	0	0	NaN			NaN
MO000000210	ENSG00000213341		CHUK	5.218629932884591	0.01	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TCF-4-isoform10(h)","TCF-4-isoform8(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000125399","MO000125401","MO000129437","MO000257758"]	IKK-alpha(h)	9.298236	82	74074	20	0.40336174	MO000060084	O15111	2.296747
MO000000211	ENSG00000104365			12.373726233721133	0.008	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TCF-4-isoform10(h)","TCF-4-isoform8(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000125399","MO000125401","MO000129437","MO000257758"]	IKK-beta-isoform1(h)	9.340879	80	71027	20	0.39722645	MO000060068	O14920	2.4391096
MO000000218	ENSG00000161057		PSMC2	NaN	NaN	[]	[]		NaN	0	0	0	NaN			NaN
MO000000223	ENSG00000066136,ENSG00000090447,ENSG00000109320,ENSG00000112592,ENSG00000116017,ENSG00000136997,ENSG00000141510,ENSG00000141905,ENSG00000148737,ENSG00000149948,ENSG00000168610,ENSG00000173039,ENSG00000175387,ENSG00000177606,ENSG00000257923	JUN,MYC,NFIC,NFYC,RELA,TCF7L2,TFAP4	ARID3A,HMGA2,NFKB1,SMAD2,STAT3,TBP,TP53	NaN	NaN	["AP-4(h)","NF-YC(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079072","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000129437","MO000257758"]	CDP(h),NF-YC(h),c-Jun(h)	NaN	0	0	0	NaN	MO000019469,MO000024708,MO000058322,MO000079072	P05412,P39880-3,Q13948,Q13952	NaN
MO000000229	ENSG00000068078,ENSG00000077238,ENSG00000123384,ENSG00000146648		EGFR,IL4R,LRP1	NaN	NaN	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TCF-4-isoform10(h)","TCF-4-isoform8(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000116288","MO000125399","MO000125401","MO000129437","MO000257758"]	FGFR-3(h)	NaN	0	0	0	NaN	MO000019766	P22607-3	NaN
MO000000231	ENSG00000109320,ENSG00000173039	RELA	NFKB1	NaN	NaN	[]	[]		NaN	0	0	0	NaN			NaN
MO000000244	ENSG00000050748,ENSG00000072062,ENSG00000082701,ENSG00000087586,ENSG00000096063,ENSG00000101266,ENSG00000104365,ENSG00000105221,ENSG00000105810,ENSG00000107643,ENSG00000123374,ENSG00000132155,ENSG00000135341,ENSG00000151414,ENSG00000154229,ENSG00000169032,ENSG00000169118,ENSG00000169679,ENSG00000169967,ENSG00000170312,ENSG00000180370,ENSG00000204435,ENSG00000213341,ENSG00000253729		AURKA,BUB1,CDK1,CDK2,CHUK,CSNK2A1,MAPK8,PRKACA,PRKCA,PRKDC,SRPK1	NaN	NaN	["AP-4(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","TCF-4(h)","TCF-4-isoform10(h)","TCF-4-isoform8(h)","TFII-I(h)","TFII-I-isoform1(h)","TFII-I-isoform2(h)","TFII-I-isoform3(h)","TFII-I-isoform4(h)","c-Jun(h)","c-Myc(h)","c-Myc-isoform1(h)","c-Myc-isoform2(h)"]	["MO000019363","MO000019469","MO000019613","MO000019622","MO000024660","MO000025736","MO000026882","MO000027279","MO000056483","MO000058322","MO000079319","MO000079350","MO000083183","MO000083184","MO000083186","MO000083187","MO000116288","MO000125399","MO000125401","MO000129437","MO000257758"]	AKT-2-isoform1(h),CKI-gamma1-Isoform1L(h),CKII-beta(h),Cdk6(h),DNA-PKcs-isoform1(h),GSK3beta-isoform1(h),GSK3beta-isoform2(h),IKK-alpha(h),IKK-beta-isoform1(h),JNK1(h),JNK1alpha1(h),JNK1beta1(h),JNK2-Alpha-1(h),JNK2alpha-2(h),MEK1-isoform2(h),MEKK2(h),NIMA(h),Raf-1-isoform1(h),Raf-1-isoform2(h),TAK1(h),TAK1a(h),TAK1b(h),TAK1d(h),pak2(h)	NaN	0	0	0	NaN	MO000007821,MO000016584,MO000016585,MO000016587,MO000021242,MO000023341,MO000030900,MO000030998,MO000031000,MO000033485,MO000042946,MO000057036,MO000057456,MO000060068,MO000060084,MO000080193,MO000080970,MO000082901,MO000094063,MO000100964,MO000103308,MO000133606,MO000178581,MO000256146,MO000256191	O14920,O15111,O43318,P04049,P31751,P45983-3,P45984-2,P49841,P67870,P78527,Q00534,Q02750,Q13177,Q8TDX7,Q9HCP0-2,Q9Y2U5	NaN
