"","TF","symbol","gene"
"122","V.BETACATENIN_Q3_01","CTNNB1","TAF1B"
"123","V.BETACATENIN_Q3_01","CTNNB1","TNIK"
"124","V.BETACATENIN_Q3_01","CTNNB1","EGFR"
"125","V.BETACATENIN_Q3_01","CTNNB1","FGF13"
"126","V.BETACATENIN_Q3_01","CTNNB1","TP53"
"127","V.BETACATENIN_Q3_01","CTNNB1","LIMK2"
"128","V.BETACATENIN_Q3_01","CTNNB1","ANXA1"
"129","V.BETACATENIN_Q3_01","CTNNB1","BGN"
"130","V.BETACATENIN_Q3_01","CTNNB1","AURKA"
"131","V.BETACATENIN_Q3_01","CTNNB1","IL7R"
"132","V.BETACATENIN_Q3_01","CTNNB1","TPX2"
"133","V.BETACATENIN_Q3_01","CTNNB1","TOP2A"
"134","V.BETACATENIN_Q3_01","CTNNB1","SNRPA"
"135","V.BETACATENIN_Q3_01","CTNNB1","MAPT"
"136","V.BETACATENIN_Q3_01","CTNNB1","ITGB8"
"137","V.BETACATENIN_Q3_01","CTNNB1","SERPINA1"
"138","V.BETACATENIN_Q3_01","CTNNB1","COL13A1"
"139","V.BETACATENIN_Q3_01","CTNNB1","KLHL12"
"140","V.BETACATENIN_Q3_01","CTNNB1","ATF3"
"141","V.BETACATENIN_Q3_01","CTNNB1","TGFB1"
"142","V.BETACATENIN_Q3_01","CTNNB1","SELPLG"
"143","V.BETACATENIN_Q6","CTNNB1","TBL1X"
"144","V.BETACATENIN_Q6","CTNNB1","PLK1"
"145","V.BETACATENIN_Q6","CTNNB1","IL4R"
"146","V.BETACATENIN_Q6","CTNNB1","DNAJB2"
"147","V.BETACATENIN_Q6","CTNNB1","MOCOS"
"148","V.BETACATENIN_Q6","CTNNB1","TNK2"
"149","V.BETACATENIN_Q6","CTNNB1","RFWD2"
"150","V.BETACATENIN_Q6","CTNNB1","FYN"
"151","V.BETACATENIN_Q6","CTNNB1","ROCK1"
"152","V.BETACATENIN_Q6","CTNNB1","GSN"
"153","V.BETACATENIN_Q6","CTNNB1","MAPK13"
"154","V.BETACATENIN_Q6","CTNNB1","ANXA1"
"155","V.BETACATENIN_Q6","CTNNB1","PIAS3"
"156","V.BETACATENIN_Q6","CTNNB1","LIMK2"
"157","V.BETACATENIN_Q6","CTNNB1","TAF12"
"158","V.BETACATENIN_Q6","CTNNB1","TACC1"
"159","V.BETACATENIN_Q6","CTNNB1","FGF13"
"160","V.BETACATENIN_Q6","CTNNB1","TOP2A"
"161","V.BETACATENIN_Q6","CTNNB1","LRP1"
"162","V.BETACATENIN_Q6","CTNNB1","RASGRF1"
"163","V.BETACATENIN_Q6","CTNNB1","SNRPA"
"164","V.BETACATENIN_Q6","CTNNB1","TAF1B"
"165","V.BETACATENIN_Q6","CTNNB1","ADAM9"
"166","V.BETACATENIN_Q6","CTNNB1","TRIM33"
"167","V.BETACATENIN_Q6","CTNNB1","EVL"
"168","V.BETACATENIN_Q6","CTNNB1","CD55"
"169","V.BETACATENIN_Q6","CTNNB1","TPR"
"170","V.BETACATENIN_Q6","CTNNB1","CKAP5"
