ID	Ensembl ID
MO000000223	ENSG00000072310,ENSG00000073282,ENSG00000111424,ENSG00000175387
MO000000288	ENSG00000072310
MO000016825	ENSG00000175387
MO000017658	ENSG00000175387
MO000019000	ENSG00000111424
MO000019779	ENSG00000175387
MO000020308	ENSG00000175387
MO000020327	ENSG00000175387
MO000020403	ENSG00000175387
MO000020405	ENSG00000175387
MO000020412	ENSG00000175387
MO000020422	ENSG00000175387
MO000020426	ENSG00000175387
MO000020430	ENSG00000175387
MO000020509	ENSG00000175387
MO000020511	ENSG00000175387
MO000021350	ENSG00000175387
MO000021494	ENSG00000111424
MO000021495	ENSG00000111424
MO000021504	ENSG00000111424
MO000021923	ENSG00000175387
MO000021924	ENSG00000175387
MO000022033	ENSG00000111424
MO000025761	ENSG00000072310
MO000025762	ENSG00000072310
MO000025763	ENSG00000072310
MO000028292	ENSG00000175387
MO000032222	ENSG00000175387
MO000033304	ENSG00000175387
MO000033989	ENSG00000175387
MO000037243	ENSG00000072310
MO000037244	ENSG00000072310
MO000037245	ENSG00000072310
MO000037246	ENSG00000072310
MO000038383	ENSG00000111424
MO000038978	ENSG00000175387
MO000039009	ENSG00000175387
MO000039020	ENSG00000175387
MO000039021	ENSG00000175387
MO000039022	ENSG00000175387
MO000039023	ENSG00000175387
MO000039025	ENSG00000175387
MO000039037	ENSG00000175387
MO000039043	ENSG00000175387
MO000039045	ENSG00000175387
MO000039767	ENSG00000175387
MO000039772	ENSG00000175387
MO000039773	ENSG00000175387
MO000040150	ENSG00000111424
MO000040151	ENSG00000111424
MO000040152	ENSG00000111424
MO000040153	ENSG00000111424
MO000040154	ENSG00000111424
MO000040155	ENSG00000111424
MO000040156	ENSG00000111424
MO000040157	ENSG00000111424
MO000040158	ENSG00000111424
MO000041035	ENSG00000175387
MO000042286	ENSG00000073282
MO000042287	ENSG00000073282
MO000042288	ENSG00000073282
MO000042289	ENSG00000073282
MO000042290	ENSG00000073282
MO000042291	ENSG00000073282
MO000042292	ENSG00000073282
MO000042294	ENSG00000073282
MO000042318	ENSG00000073282
MO000042319	ENSG00000073282
MO000042324	ENSG00000073282
MO000042325	ENSG00000073282
MO000042353	ENSG00000073282
MO000042456	ENSG00000073282
MO000042457	ENSG00000073282
MO000042508	ENSG00000073282
MO000042511	ENSG00000073282
MO000043729	ENSG00000073282
MO000043730	ENSG00000073282
MO000043734	ENSG00000073282
MO000043793	ENSG00000073282
MO000043794	ENSG00000073282
MO000043838	ENSG00000073282
MO000043839	ENSG00000073282
MO000044171	ENSG00000073282
MO000044174	ENSG00000073282
MO000044176	ENSG00000073282
MO000044179	ENSG00000073282
MO000044907	ENSG00000073282
MO000044910	ENSG00000073282
MO000045213	ENSG00000073282
MO000045215	ENSG00000073282
MO000055975	ENSG00000175387
MO000056025	ENSG00000111424
MO000056026	ENSG00000111424
MO000056027	ENSG00000111424
MO000056029	ENSG00000072310
MO000057829	ENSG00000175387
MO000057830	ENSG00000175387
MO000057915	ENSG00000175387
MO000057948	ENSG00000175387
MO000058021	ENSG00000175387
MO000058036	ENSG00000175387
MO000058335	ENSG00000175387
MO000058742	ENSG00000111424
MO000058767	ENSG00000111424
MO000058775	ENSG00000111424
MO000058850	ENSG00000111424
MO000077960	ENSG00000111424
MO000078141	ENSG00000073282
MO000078142	ENSG00000073282
MO000078143	ENSG00000073282
MO000078144	ENSG00000073282
MO000078165	ENSG00000111424
MO000078570	ENSG00000111424
MO000078773	ENSG00000111424
MO000078830	ENSG00000111424
MO000078841	ENSG00000111424
MO000079058	ENSG00000111424
MO000079195	ENSG00000111424
MO000079202	ENSG00000111424
MO000079250	ENSG00000111424
MO000079334	ENSG00000111424
MO000079340	ENSG00000111424
MO000079381	ENSG00000111424
MO000079386	ENSG00000111424
MO000079387	ENSG00000111424
MO000079399	ENSG00000111424
MO000079413	ENSG00000111424
MO000079722	ENSG00000111424
MO000079723	ENSG00000111424
MO000079724	ENSG00000111424
MO000079759	ENSG00000111424
MO000079781	ENSG00000111424
MO000079950	ENSG00000111424
MO000079957	ENSG00000111424
MO000079961	ENSG00000111424
MO000080011	ENSG00000111424
MO000080012	ENSG00000111424
MO000080030	ENSG00000111424
MO000080184	ENSG00000175387
MO000081464	ENSG00000111424
MO000081465	ENSG00000111424
MO000081687	ENSG00000111424
MO000082065	ENSG00000072310
MO000082315	ENSG00000111424
MO000082410	ENSG00000111424
MO000082422	ENSG00000111424
MO000082573	ENSG00000111424
MO000083408	ENSG00000175387
MO000083696	ENSG00000175387
MO000083801	ENSG00000175387
MO000084906	ENSG00000111424
MO000084907	ENSG00000111424
MO000088815	ENSG00000111424
MO000089701	ENSG00000175387
MO000095043	ENSG00000111424
MO000100381	ENSG00000073282
MO000102637	ENSG00000175387
MO000102748	ENSG00000175387
MO000103185	ENSG00000111424
MO000103766	ENSG00000073282
MO000103768	ENSG00000073282
MO000103776	ENSG00000073282
MO000103828	ENSG00000073282
MO000103831	ENSG00000073282
MO000103834	ENSG00000073282
MO000103836	ENSG00000073282
MO000103838	ENSG00000073282
MO000103839	ENSG00000073282
MO000103842	ENSG00000073282
MO000103846	ENSG00000073282
MO000107537	ENSG00000072310
MO000109817	ENSG00000073282
MO000115397	ENSG00000072310
MO000115726	ENSG00000072310
MO000115967	ENSG00000072310
MO000115976	ENSG00000072310
MO000115989	ENSG00000072310
MO000116009	ENSG00000072310
MO000116013	ENSG00000072310
MO000116014	ENSG00000072310
MO000116320	ENSG00000111424
MO000116323	ENSG00000111424
MO000116344	ENSG00000111424
MO000116993	ENSG00000111424
MO000118568	ENSG00000111424
MO000118569	ENSG00000111424
MO000118657	ENSG00000111424
MO000120981	ENSG00000111424
MO000120986	ENSG00000111424
MO000121060	ENSG00000111424
MO000121061	ENSG00000111424
MO000121158	ENSG00000111424
MO000121248	ENSG00000111424
MO000121347	ENSG00000111424
MO000121351	ENSG00000111424
MO000121447	ENSG00000111424
MO000121463	ENSG00000111424
MO000121489	ENSG00000111424
MO000121490	ENSG00000111424
MO000121491	ENSG00000111424
MO000121568	ENSG00000111424
MO000121663	ENSG00000111424
MO000121664	ENSG00000111424
MO000121665	ENSG00000111424
MO000121666	ENSG00000111424
MO000121667	ENSG00000111424
MO000121669	ENSG00000111424
MO000121723	ENSG00000111424
MO000121851	ENSG00000111424
MO000122129	ENSG00000111424
MO000122137	ENSG00000111424
MO000122139	ENSG00000111424
MO000122140	ENSG00000111424
MO000122144	ENSG00000111424
MO000122206	ENSG00000111424
MO000122213	ENSG00000111424
MO000122221	ENSG00000111424
MO000122227	ENSG00000111424
MO000122235	ENSG00000111424
MO000122237	ENSG00000111424
MO000122292	ENSG00000111424
MO000122547	ENSG00000111424
MO000122876	ENSG00000111424
MO000123818	ENSG00000175387
MO000124140	ENSG00000175387
MO000124182	ENSG00000073282
MO000124207	ENSG00000072310
MO000124269	ENSG00000111424
MO000124271	ENSG00000111424
MO000127922	ENSG00000111424
MO000127980	ENSG00000111424
MO000128015	ENSG00000111424
